songID|songName|songLyric|Author
52207|HÁT CHO MỌI NGƯỜI|Thật tình cờ ngày hôm nay nơi đây Anh em ta được biết...|Quốc An
55663|VỀ ĐÂU MÁI TÓC NGƯỜI THƯƠNG|Hồn lỡ sa vào đôi mắt em Chiều nao xõa tóc ngồi...|Hoài Linh
57761|EM CỦA NGÀY HÔM QUA|Liệu rằng chia tay trong em có quên được câu ca. Tình...|Sơn Tùng M-TP
55887|NGỠ|Anh bỗng thấy nhớ em nhiều Anh thấy lòng chợt lẻ loi Cô đơn...|Khắc Việt
57443|ANH MUỐN EM SỐNG SAO|Từ sâu trong đôi mắt này, anh hờ hững ko như bao...|Chi Dân
57066|KHÔNG CẢM XÚC|Bao nhiêu lâu ta không gặp nhau, Bao nhiêu lâu ta không thấy...|Nguyễn Đình Vũ
58268|EM - REMIX|Này e có thấu anh đang mỏi mệt Ngần ấy năm một giầy...|Mr. Siro
58426|CÓ ANH Ở ĐÂY RỒI|Nhìn nước mắt em đang rơi vì ai mà lòng anh cứ đau...|Vũ Khắc Anh
58388|BẠC TRẮNG TÌNH ĐỜI|Ngày mai tôi sẽ cố quên người Cho dù em có quay về...|Minh Khang
56702|ĐOẠN ĐƯỜNG VẮNG|Vẫn biết là anh, đi sẽ không quay về. Vẫn biết là...|Khánh Đơn
55969|BAY|Cho bao nhiêu bước chân đêm nay rung lên nhẹ nhàng Cho bao...|Nguyễn Hải Phong
59266|TRÁCH AI VÔ TÌNH|Bạn tình ơi dẫu gì cũng xa nhau rồi, dòng sông lững...|Nhật Ngân
57900|NƠI TÌNH YÊU BẮT ĐẦU|Ta quen nhau đã bao lâu rồi, hỡi đêm đêm có hay, Mà...|Tiến Minh
57732|CƠN MƯA NGANG QUA|Cơn mưa đi ngang qua Đừng làm rơi thêm, thêm, thêm, nhiều giọt...|Sơn Tùng M-TP
57548|EM YÊU ANH|Một người đi, chắc sẽ không quay trở lại Một người mang, nỗi...|Khánh Đơn
57846|NẮNG ẤM XA DẦN|Nắng ấm xa dần rồi. Nắng ấm xa dần rồi. Nắng ấm xa dần...|Sơn Tùng M-TP
58557|NƠI ẤY CON TÌM VỀ|Ngày con cất tiếng khóc chào đời Ngày mẹ đã nói niềm vui...|Phan Mạnh Quỳnh
55207|ANH|Một lời anh không muốn nói Là một mai hai ta không cách...|Xuân Phương
56376|EM|Này em có thấu, anh đang mỏi mệt, ngần ấy năm…|Mr. Siro
52339|CHIM TRẮNG MỒ CÔI|Tình Anh như con nước sông dài Con nước về cho cây trái...|Minh Vy
52053|MIỀN CÁT TRẮNG|Một mình anh lang thang trên phố nhớ mùa mưa qua Còn mình...|Lê Quang
58133|HOA CÀI MÁI TÓC|Mẹ Việt Nam mắt ngời sáng quắt Nghe đâu đây tiếng vọng hòa...|Thông Đạt
58901|NGƯỜI YÊU CŨ|Cuộc sống đâu lường trước điều gì, Tình yêu có thể đến rồi...|Phan Mạnh Quỳnh
57616|NẾU LÀ ANH|Nếu là anh thì anh sẽ. Dành cho em những ngày hạnh...|Bảo Thạch
57507|DẤU MƯA|Một cơn mưa đi qua để lại… những ký ức anh và...|Toàn Thắng
54100|NHƯ MỘT GIẤC MƠ|Ngày hôm qua em nói yêu tôi thật nhiều...|Nguyễn Hồng Thuận
57130|NGƯỜI ẤY|Hôm qua anh thấy... Ôi người ấy, đang trong tay với cô nào...|Trịnh Thăng Bình
55210|ANH NHỚ EM|Đêm qua từng đêm dài , anh mong người quay về Về với...|Bảo Thạch
54812|NỖI BUỒN MẸ TÔI|Đêm thức thâu đêm, mẹ may chiếc áo cho con áo nào sờn vai ...|Minh Vy
58149|MÌNH YÊU NHAU ĐI|Hình như anh có điều muốn nói Cứ ngập ngừng rồi thôi Và có...|Tiên Cookie
52435|VẦNG TRĂNG KHÓC|Đã không còn người yêu hỡi, ngày xưa ấy đôi ta…|Nguyễn Văn Chung
