
					II Samuel 1				|
						II Sa-mu-ên 1					
Now after the death of Saul, when David, having come back from the destruction of the Amalekites, had been in Ziklag for two days;|Sau khi Sau-lơ thác, và Đa-vít đã thắng dân A-ma-lét trở về rồi, thì ở Xiết-lác hai ngày.
On the third day a man came from Saul's tents, with his clothing out of order and earth on his head: and when he came to David, he went down on the earth and gave him honour.|Ngày thứ ba, xảy có một người ở dinh Sau-lơ trở về, quần áo rách rưới, đầu đóng bụi, đến trước mặt Đa-vít, sấp mình xuốn đất mà lạy.
And David said to him, Where have you come from? And he said, I have come in flight from the tents of Israel.|Đa-vít hỏi người rằng: Người ở đâu đến? Thưa rằng: Tôi ở trại quân Y-sơ-ra-ên thoát khỏi.
And David said to him, How did things go? Give me the news. And in answer he said, The people have gone in flight from the fight, and a great number of them are dead; and Saul and his son Jonathan are dead.|Đa-vít nói: Vậy, việc xảy ra sao? Hãy thuật cho ta. Người thưa: Dân sự đã trốn khỏi chiến trường, và có nhiều người trong họ bị ngã chết; Sau-lơ và Giô-na-than, con trai người, cũng đều chết nữa.
And David said to the young man who gave him the news, Why are you certain that Saul and his son Jonathan are dead?|Đa-vít hỏi người trai trẻ đem tin ấy rằng: Làm sao ngươi biết Sau-lơ và con trai người đã chết?
And the young man said, I came by chance to Mount Gilboa, and I saw Saul supporting himself on his spear; and the war-carriages and horsemen overtook him.|Người trai trẻ đem tin ấy thưa rằng: Tình cờ tôi đi qua núi Ghinh-bô -a, thấy Sau-lơ nương trên cây giáo mình. Xe và lính kị theo gần kịp người.
And looking back, he saw me and gave a cry to me. And answering him I said, Here am I.|Người xây lại thấy tôi và gọi tôi. Tôi thưa rằng: Có tôi đây.
And he said to me, Who are you? And I said, I am an Amalekite.|Người nói cùng tôi rằng: Ngươi là ai: Tôi thưa: Tôi là dân A-ma-léc.
Then he said to me, Come here to my side, and put me to death, for the pain of death has me in its grip but my life is still strong in me.|Người bèn tiếp: Hãy lại gần giết ta đi, vì ta bị xây xẩm, nhưng hãy còn sống.
So I put my foot on him and gave him his death-blow, because I was certain that he would not go on living after his fall: and I took the crown from his head and the band from his arm, and I have them here for my lord.|Vậy, tôi đến gần và giết người đi, vì tôi biết người bại trận, không còn sống được. Đoạn, tôi lấy mão triều thiên trên đầu người và vòng vàng nơi cánh tay người, mà đem về đây cho chúa tôi.
Then David gave way to bitter grief, and so did all the men who were with him:|Đa-vít bèn xé quần áo mình; hết thảy những người đi theo cũng đều làm như vậy.
And till evening they gave themselves to sorrow and weeping, and took no food, weeping for Saul and for Jonathan, his son, and for the people of the Lord and for the men of Israel; because they had come to their end by the sword.|Kế ấy, chúng để tang, khóc lóc, và nhịn đói cho đến chiều tối vì Sau-lơ, vì Giô-na-than, con trai người, vì dân sự của Đức Giê-hô-va, và vì nhà Y-sơ-ra-ên, bởi chúng đã bị gươm ngã chết.
And David said to the young man who had given him the news, Where do you come from? And he said, I am the son of a man from a strange land; I am an Amalekite.|Đa-vít hỏi người trai trẻ đem tin nầy rằng: Ngươi ở đâu đến? Người thưa rằng: Tôi là con trai của một người ngoại bang, tức con của một người A-ma-léc.
And David said to him, Had you no fear of stretching out your hand to put to death the one marked with the holy oil?|Đa-vít nói rằng: Cớ sao ngươi không sợ giơ tay lên giết kẻ chịu xức dầu của Đức Giê-hô-va?
And David sent for one of his young men and said, Go near and put an end to him. And he put him to death.|Huyết ngươi đổ lại trên đầu ngươi! Miệng ngươi đã làm chứng về ngươi, vì ngươi đã nói rằng: Chính tôi đã giết đấng chịu xức dầu của Đức Giê-hô-va.
And David said to him, May your blood be on your head; for your mouth has given witness against you, saying, I have put to death the man marked with the holy oil.|Đoạn, Đa-vít gọi một người trai trẻ mà nói rằng: Hãy lại gần, xông đánh hắn! Người ấy đánh hắn, và hắn chết.
Then David made this song of grief for Saul and Jonathan, his son:|Bây giờ, Đa-vít làm bài ai ca nầy về Sau-lơ và Giô-na-than, con trai Sau-lơ,
(It is recorded in the book of Jashar for teaching to the sons of Judah) and he said:|mà truyền dạy cho các con trẻ Giu-đa: Ay là bài ai ca về Cung, chép trong sách kẻ công bình:
The glory, O Israel, is dead on your high places! How have the great ones been made low!|Oi! Y-sơ-ra-ên! kẻ danh vọng của ngươi đã thác trên gò nỗng ngươi! Nhơn sao các kẻ anh hùng nầy bị ngã chết?
Give no news of it in Gath, let it not be said in the streets of Ashkelon; or the daughters of the Philistines will be glad, the daughters of men without circumcision will be uplifted in joy.|Chớ đi tuyên cáo điều đó trong Gát, Chớ rao truyền sự ấy trong các đường phố Ach-ca-lôn. e các con gái Phi-li-tin vui vẻ, Và các con gái kẻ không chịu cắt bì mừng rỡ chăng?
O mountains of Gilboa, let there be no dew or rain on you, you fields of death: for there the arms of the strong have been shamed, the arms of Saul, as if he had not been marked with the holy oil.|Hỡi núi Ghinh-bô -a! Nguyện sương móc và mưa chẳng sa xuống trên ngươi, Và chẳng có đồng ruộng sanh sản vật dùng làm của lễ đầu mùa; Vì tại nơi đó, cái khiên của anh hùng bị nhơ nhuốc, Tức là cái khiên của Sau-lơ, nó sẽ chẳng hề được xức dầu nữa.
From the blood of the dead, from the fat of the strong, the bow of Jonathan was not turned back, the sword of Saul did not come back unused.|Cây cung của Giô-na-than chẳng hề trở về Mà không dính đầy huyết kẻ chết, và mỡ của người dõng sĩ; Cây gươm của Sau-lơ không hề trở về mà không vinh quang.
