
					I Kings 1				|
						I Các Vua 1					
Now King David was old and far on in years; and though they put covers over him, his body was cold.|Vua Đa-vít đã già; tuổi cao; và mặc dầu người ta đắp áo cho người, cũng không thể ấm được.
So his servants said to him, Let search be made for a young virgin for my lord the king, to take care of him and be waiting on him; and you may take her in your arms, and so my lord the king will be warm.|Các tôi tớ người nói với người rằng: Xin tìm cho vua chúa tôi một gái trẻ đồng trinh, để hầu hạ vua và săn sóc vua. Nàng sẽ nằm trong lòng vua, thì vua chúa tôi có thể ấm được.
So after searching through all the land of Israel for a fair young girl, they saw Abishag the Shunammite, and took her to the king.|Vậy người ta tìm trong khắp địa phận Y-sơ-ra-ên một người gái trẻ đẹp, và gặp được A-bi-sác, người Su-nem, dẫn nàng đến cùng vua.
Now she was very beautiful; and she took care of the king, waiting on him at all times; but the king had no connection with her.|Người gái trẻ này rất là lịch sự. Nàng săn sóc và hầu hạ vua; nhưng vua không thân cận nàng.
Then Adonijah, the son of Haggith, lifting himself up in pride, said, I will become king; and he made ready his carriages of war and his horsemen, with fifty runners to go before him.|Vả, A-đô-ni-gia, con trai Ha-ghít, tự tôn mà rằng: Ta sẽ làm vua. Người sắm xe và quân kỵ, cùng năm mươi người chạy trước mặt mình.
Now all his life his father had never gone against him or said to him, Why have you done so? and he was a very good-looking man, and younger than Absalom.|Cha người chẳng hề phiền lòng người mà hỏi rằng: Cớ sao mầy làm như vậy? Vả lại, A-đô-ni-gia rất đẹp, sanh ra kế sau Ap-sa-lôm.
And he had talk with Joab, the son of Zeruiah, and with Abiathar the priest; and they were on his side and gave him their support.|Người bàn tính với Giô-áp, con trai của Xê-ru-gia và với thầy tế lễ A-bia-tha; hai người theo phe A-đô-ni-gia và giúp đỡ người.
But Zadok the priest, and Benaiah, the son of Jehoiada, and Nathan the prophet and Shimei and Rei, and David's men of war did not take the side of Adonijah.|Nhưng thầy tế lễ Xa-đốc và Bê-na-gia, con trai Giê-hô-gia-đa, Na-than, thầy tiên tri, Si-mê -i, Rê -i, và các dõng sĩ của Đa-vít không theo phe A-đô-ni-gia.
Then Adonijah put to death sheep and oxen and fat beasts by the stone of Zoheleth, by En-rogel; and he sent for all his brothers, the king's sons, and all the men of Judah, the king's servants, to come to him:|A-đô-ni-gia dâng những chiên, bò, và bò con mập bên hòn đá Xô-hê-lết, ở cạnh giếng En-Rô-ghên; rồi mời anh em mình, là các con trai của vua, và hết thảy những người Giu-đa phục sự vua.
But he did not send for Nathan the prophet and Benaiah and the other men of war and Solomon his brother.|Nhưng người chẳng mời Na-than, là đấng tiên tri, Bê-na-gia, các dõng sĩ, cùng Sa-lô-môn, em mình.
Then Nathan said to Bath-sheba, the mother of Solomon, Has it not come to your ears that Adonijah, the son of Haggith, has made himself king without the knowledge of David our lord?|Bấy giờ, Na-than nói với Bát-Sê-ba, mẹ của Sa-lô-môn, mà rằng: Bà há chẳng hay rằng A-đô-ni-gia, con trai Ha-ghít, đã làm vua, mà Đa-vít, chúa ta, chẳng hay biết sao?
So now, let me make a suggestion, so that you may keep your life safe and the life of your son Solomon.|Thế thì, bây giờ, hãy nghe; tôi sẽ cho bà một kế để bà cứu mạng sống mình và mạng sống của Sa-lô-môn.
Come now, go to King David and say to him, Did you not, O my lord, take an oath to me, your servant, saying, Truly Solomon your son will be king after me, seated on the seat of my kingdom? why then is Adonijah acting as king?|Hãy đi ra mắt vua Đa-vít, và tâu rằng: Oi vua, chúa tôi! chúa há chẳng có thề cùng con đòi của chúa rằng: Con trai ngươi là Sa-lô-môn ắt sẽ trị vì?
And while you are still talking there with the king, see, I will come in after you and say that your story is true.|Trong lúc bà tâu với vua như vậy, thì chính tôi cũng sẽ đi vào sau, làm cho quả quyết các lời của bà.
Then Bath-sheba went into the king's room; now the king was very old, and Abishag the Shunammite was waiting on him.|Vậy, Bát-Sê-ba đi đến cùng vua, tại trong phòng. Vua đã già lắm có A-bi-sác, người Su-nem, hầu hạ người.
And Bath-sheba went down on her face on the earth before the king giving him honour. And he said, What is your desire?|Bát-Sê-ba cúi mình xuống và lạy trước mặt vua. Vua hỏi rằng: Ngươi muốn chi?
And she said to him, My lord, you took an oath by the Lord your God and gave your word to your servant, saying, Truly, Solomon your son will be king after me, seated on the seat of my kingdom.|Bà tâu rằng: Chúa tôi ôi! chúa đã nhơn danh Giê-hô-va Đức Chúa Trời chúa thề cùng con đòi của chúa rằng: Sa-lô-môn con trai ngươi sẽ trị vì kế ta, và nó sẽ ngồi trên ngôi ta.
And now, see, Adonijah has made himself king without my lord's knowledge;|Oi vua chúa tôi! nhưng bây giờ, A-đô-ni-gia làm vua, mà chúa chẳng biết chi đến.
And has put to death oxen and fat beasts and sheep in great numbers, and has sent for all the sons of the king, and Abiathar the priest, and Joab, the captain of the army; but he has not sent for Solomon your servant.|Người lại có giết bò đực, bò tơ mập, và chiên rất nhiều, cũng có mời hết thảy các vương tử với A-bia-tha, thầy tế lễ, và Giô-áp, quan tổng binh; nhưng người không mời Sa-lô-môn, kẻ tôi tớ vua.
And now, my lord the king, the eyes of all Israel are on you, waiting for you to say who is to take the place of my lord the king after him.|Oi vua chúa tôi! cả Y-sơ-ra-ên đều xây mắt về vua, đợi vua cho họ biết ai là người kế vua phải ngồi trên ngai của vua, là chúa tôi.
For as things are, it will come about, when my lord the king is sleeping with his fathers, that I and Solomon my son will be made outlaws.|Chẳng vậy, khi vua chúa tôi an giấc với các tổ phụ, thì tôi và con trai tôi là Sa-lô-môn sẽ bị xử như kẻ có tội.
And while she was still talking with the king, Nathan the prophet came in.|Bà đương còn tâu với vua, thì tiên tri Na-than đến.
And they said to the king, Here is Nathan the prophet. And when he came in before the king, he went down on his face on the earth.|Người ta đến thưa cùng vua rằng: Nầy có tiên tri Na-than. Na-than ra mắt vua, sấp mình xuống trước mặt người mà lạy.
And Nathan said, O my lord king, have you said, Adonijah is to be king after me, seated on the seat of my kingdom?|và nói rằng: Oi vua chúa tôi! có phải vua đã phán rằng: A-đô-ni-gia sẽ trị vì kế ta và ngồi trên ngai ta, chăng?
Because today he has gone down and has put to death oxen and fat beasts and sheep in great numbers, and has sent for all the king's sons to come to him, with the captains of the army and Abiathar the priest; and they are feasting before him and crying, Long life to King Adonijah!|Thật vậy, ngày nay, người đã đi xuống giết bò, bò tơ mập, và chiên rất nhiều, cùng mời hết thảy các vương tử, quan tướng, và thầy tế lễ A-bia-tha; kìa, họ ăn uống tại trước mặt người, và la lên rằng: A-đô-ni-gia vạn tuế!
But me, your servant, and Zadok the priest, and Benaiah, the son of Jehoiada, and your servant Solomon, he has not sent for.|Còn tôi là kẻ tôi tớ vua, thầy tế lễ Xa-đốc, Bê-na-gia, con trai Giê-hô-gia-đa, và Sa-lô-môn, tôi tớ vua, thì người chẳng có mời.
Has this thing been done by my lord the king, without giving word to your servants who was to be placed on my lord the king's seat after him?|Việc này há phải bởi vua chúa tôi mà ra? Và lại vua không cho các tôi tớ vua biết ai là người kế vua, phải ngồi trên ngai của vua chúa tôi.
Then King David in answer said, Send for Bath-sheba to come to me. And she came in and took her place before the king.|Vua Đa-vít đáp rằng: Hãy gọi Bát-Sê-ba cho ta. Bà vào và đứng trước mặt vua.
And the king took an oath, and said, By the living Lord, who has been my saviour from all my troubles,|Đa-vít bèn thề mà rằng: Nguyện Đức Giê-hô-va hằng sống, là Đấng đã giải cứu mạng sống ta khỏi các hoạn nạn!
As I took an oath to you by the Lord, the God of Israel, saying, Certainly Solomon your son will become king after me, seated on my seat in my place; so will I do this day.|Ta nhơn danh Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên mà thề cùng ngươi rằng: Quả hẳn Sa-lô-môn, con trai ngươi, sẽ trị vì kế ta, nó sẽ ngồi trên ngai thế cho ta; thì ngày nay ta sẽ làm hoàn thành điều đó.
Then Bath-sheba went down on her face on the earth before the king giving him honour, and said, May my lord King David go on living for ever.|Bát-Sê-ba cúi mặt xuống đất và lạy trước mặt vua, mà tâu rằng: Nguyện vua Đa-vít, chúa tôi, vạn tuế!
And King David said, Send for Zadok the priest, and Nathan the prophet, and Benaiah, the son of Jehoiada. And they came before the king.|Đoạn, vua Đa-vít nói: Hãy gọi cho ta thầy tế lễ Xa-đốc, tiên tri Na-than, và Bê-na-gia, con trai của Giê-hô-gia-đa. Mấy người ấy bèn ra mắt vua.
And the king said to them, Take with you the servants of your lord, and put Solomon my son on my beast, yes, mine, and take him down to Gihon;|Rồi vua nói với họ rằng: Hãy đem các đầy tớ của chủ các ngươi theo, đỡ Sa-lô-môn, con trai ta, lên cỡi con la của ta, rồi đưa nó đến Ghi-hôn.
