
					II Kings 1				|
						II Các Vua 1					
After the death of Ahab, Moab made itself free from the authority of Israel.|Sau khi A-háp băng hà, dân Mô-áp phản nghịch cùng Y-sơ-ra-ên.
Now Ahaziah had a fall from the window of his room in Samaria, and was ill. And he sent men, and said to them, Put a question to Baal-zebub, the god of Ekron, about the outcome of my disease, to see if I will get well or not.|A-cha-xia té ngang qua song lầu mình tại Sa-ma-ri và vì cớ ấy mang bịnh. Người bèn sai sứ giả đi, mà dặn rằng: hãy đi cầu vấn Ba-anh-Xê-bụt, thần của Ec-rôn, đặng cho biết ta sẽ lành bịnh này chăng?
But the angel of the Lord said to Elijah the Tishbite, Go now, and, meeting the men sent by the king of Samaria, say to them, Is it because there is no God in Israel, that you are going to get directions from Baal-zebub, the god of Ekron?|Nhưng thiên sứ của Đức Giê-hô-va phán với Ê-li, người Thi-sê-be, rằng: Hãy chổi dậy, đi lên đón các sứ giả của vua Sa-ma-ri, và nói với họ rằng: Trong Y-sơ-ra-ên há không có Đức Chúa Trời sao, nên ngươi đi cầu vấn Ba-anh-Xê-bụt, thần của Ec-rôn?
Give ear then to the words of the Lord: You will never again get down from the bed on to which you have gone up, but death will certainly come to you. Then Elijah went away.|Bởi cớ đó, Đức Giê-hô-va phán như vầy: Ngươi sẽ không xuống khỏi giường mà ngươi đã lên, nhưng hẳn sẽ chết. Đoạn, Ê-li đi.
And the men he had sent came back to the king; and he said to them, Why have you come back?|Các sứ giả trở về cùng A-cha-xia, người hỏi rằng: Vì sao các ngươi trở về?
And they said to him, On our way we had a meeting with a man who said, Go back to the king who sent you and say to him, The Lord says, Is it because there is no God in Israel that you send to put a question to Baal-zebub, the god of Ekron? For this reason, you will not come down from the bed on to which you have gone up, but death will certainly come to you.|Chúng thưa rằng: Có một người đi lên đón chúng tôi, và nói với chúng tôi rằng: Hãy trở về cùng vua đã sai các ngươi, và nói với người rằng: Đức Giê-hô-va đã phán như vầy: Trong Y-sơ-ra-ên há không có Đức Chúa Trời sao, nên ngươi sai đi cầu vấn Ba-anh-Xê-bụt, thần của Ec-rôn? Bởi cớ đó, ngươi sẽ không xuống khỏi giường mà ngươi đã lên, nhưng hẳn sẽ chết.
And he said to them, What sort of a man was it who came and said these words to you?|Vua bèn hỏi họ rằng: Người đi lên đón các ngươi và nói những lời ấy ra sao?
And they said in answer, He was a man clothed in a coat of hair, with a leather band about his body. Then he said, It is Elijah the Tishbite.|Chúng thưa: Người đó mặc áo lông, và thắt lưng bằng dây da. Vua nói rằng: Ay là Ê-li, người Thi-sê-be.
Then the king sent to him a captain of fifty with his fifty men; and he went up to him where he was seated on the top of a hill, and said to him, O man of God, the king has said, Come down.|Vua bèn sai một quan cai năm mươi lính đi với năm mươi lính mình lên cùng Ê-li Vả, Ê-li đương ngồi trên chót gò. Quan cai nói với người rằng: Hỡi người của Đức Chúa Trời, vua đòi ông xuống.
