
					I Chronicles 1				|
						I Sử Ký 1					
Adam, Seth, Enosh;|A-đam sanh Sết, Sết sanh Ê-nót;
Kenan, Mahalalel, Jared,|Ê-nót sanh Kê-nan, Kê-nan sanh Ma-ha-la-le, Ma-ha-la-le sanh Giê-rệt;
Enoch, Methuselah, Lamech;|Giê-rệt sanh Hê-nóc, Hê-nóc sanh Mê-tu-sê-la, Mê-tu-sê-la sanh Lê-méc;
Noah, Shem, Ham, and Japheth.|Lê-méc sanh Nô-ê, Nô-ê sanh Sem, Cham và Gia-phết.
The sons of Japheth: Gomer and Magog and Madai and Javan and Tubal and Meshech and Tiras.|Con trai của Gia-phết là Gô-me, Ma-gốc, Ma-đai, Gia-van, Tu-banh, Mê-siếc, và Ti-ra.
And the sons of Gomer: Ashkenaz and Diphath and Togarmah.|Con trai của Gô-me là Ach-kê-na, Đi-phát, và Tô-ga-ma.
And the sons of Javan: Elishah and Tarshish, Kittim and Rodanim.|Con trai của Gia-van là Ê-li-sa, Ta-rê-si, Kít-tim, và Rô-đa-nim.
The sons of Ham: Cush and Egypt, Put and Canaan.|Con trai của Cham là Cúc, Mích-ra-im, Phút, và Ca-na-an.
And the sons of Cush: Seba and Havilah and Sabta and Raama and Sabteca. And the sons of Raamah: Sheba and Dedan.|con trai của Cúc là Sê-ba, Ha-vi-la, Sáp-ta, Ra-ê-ma là Sê-ba, và Đê-đan.
And Cush was the father of Nimrod: he was the first to be a great man in the earth.|Cúc sinh Nim-rốt; người khởi đầu làm anh hùng trên mặt đất.
And Egypt was the father of the Ludim and the Anamim and the Lehabim and the Naphtuhim|Mích-ra-im sinh họ Lu-đim, họ A-na-min, họ Lê-ha-bim, họ Náp-tu-him,
And the Pathrusim and the Casluhim and the Caphtorim (from whom came the Philistines).|họ Phát-ru-sim, họ Cách-lu-him, bởi đó sanh ra họ Phi-li-tin, và họ Cáp-tô-rim.
And Canaan was the father of Zidon, his oldest son, and Heth,|Ca-na-an sanh ra Si-đôn, là trưởng nam, và Hếch,
And the Jebusite and the Amorite and the Girgashite,|cùng họ Gie-bu-sít, họ A-mô-rít, họ Ghi-rê-ga-sít,
And the Hivite and the Arkite and the Sinite,|họ Hê-vít, họ A-rê-kít, họ Si-nít,
And the Arvadite and the Zemarite and the Hamathite.|họ A-va-đít, họ Xê-ma-rít, và họ Ha-ma-tít.
The sons of Shem: Elam and Asshur and Arpachshad and Lud and Aram and Uz and Hul and Gether and Meshech.|con trai của Sem là Ê-lam, A-su-rơ, A-các-sát, Lút, A-ram, Ut-xơ, Hu-lơ, Ghê-te, và Mê-siếc.
And Arpachshad was the father of Shelah, and Shelah was the father of Eber.|A-bác-sát sanh Sê-lách; Sê-lách sanh Hê-be.
And Eber had two sons: the name of the one was Peleg, because in his days a division was made of the earth; and his brother's name was Joktan.|Hê-be sanh được hai con trai: một con kêu tên là Bê-lét; bởi vì trong đời người đó đất đã chia ra; còn tên của người em là Giốc-tan.
And Joktan was the father of Almodad and Sheleph and Hazarmaveth and Jerah|Giốc-tan sanh A-mô-đát, Sê-lép, Ha-sa-ma-vết, Giê-rách,
And Hadoram and Uzal and Diklah|Ha-đô-ram, U-xa, Điếc-la,
And Ebal and Abimael and Sheba|Ê-banh, A-bi-ma-ên, Sê-ba,
And Ophir and Havilah and Jobab. All these were the sons of Joktan.|Ô-phia, Ha-vi-la, và Giô-báp. Hết thảy những người đó đều là con trai của Giốc-tan.
Shem, Arpachshad, Shelah,|Sem sanh A-bác-sát, A-bác-sát sanh Sê-lách,
Eber, Peleg, Reu,|Sê-lách sanh Hê-be, Hê-be sanh Bê-léc, Bê-léc sanh Rê-hu,
Serug, Nahor, Terah,|Rê-hu sanh Sê-rúc, Sê-rúc sanh Na-cô, Na-cô sanh Tha-rê,
Abram (that is Abraham).|Tha-rê sanh Ap-ram, cũng gọi là Ap-ra-ham.
The sons of Abraham: Isaac and Ishmael.|con trai của Ap-ra-ham là Y-sác và Ích-ma-ên.
These are their generations: the oldest son of Ishmael, Nebaioth; then Kedar and Adbeel and Mibsam,|Nầy là dòng dõi của chúng: Con cả của Ích-ma-ên là Nê-ba-giốt; kế đến Kê-đa, At-bê-ên, Mi-bô-sam,
Mishma and Dumah, Massa, Hadad and Tema,|Mích-ma, Đu-ma, Ma-sa, Ha-đát, Thê-ma,
Jetur, Naphish, and Kedemah. These are the sons of Ishmael.|Giê-hu, Na-phích, và Kết-ma. Đó là các con trai của Ích-ma-ên.
And the sons of Keturah, Abraham's servant-wife: she was the mother of Zimran and Jokshan and Medan and Midian and Ishbak and Shuah. And the sons of Jokshan: Sheba and Dedan.|Kê-tu-ra, vợ nhỏ của Ap-ra-ham, sanh các con trai là Xim-ram, Giốc-san, Mê-đan, Ma-đi-an, Dích-bác, và Su-ách. Giốc-san sanh Sê-ba, và Đê-đan.
And the sons of Midian: Ephah and Epher and Hanoch and Abida and Eldaah. All these were the sons of Keturah.|con trai của Ma-đi-an là Ê-pha, Ê-phe, Ha-nóc, A-bi-đa, và En-đa. Những người ấy đều là con cháu của Kê-tu-ra.
And Abraham was the father of Isaac. The sons of Isaac: Esau and Israel.|Ap-ra-ham sanh ra Y-sác. Con trai của Y-sác là Ê-sau và Y-sơ-ra-ên.
The sons of Esau: Eliphaz, Reuel and Jeush and Jalam and Korah.|con trai của Ê-sau là Ê-li-pha, Rê -u-ên, Giê-úc, Gia-lam, và Cô-ra.
The sons of Eliphaz: Teman and Omar, Zephi and Gatam, Kenaz and Timna and Amalek.|con trai của Ê-li-pha là Thê-man, Ô-ma, Xê-phi, Ga-tham, Kê-na, Thim-na, và A-ma-léc.
