
					II Chronicles 1				|
						II Sử Ký 1					
And Solomon, the son of David, made himself strong in his kingdom, and the Lord his God was with him, and made him very great.|Sa-lô-môn, con trai Đa-vít, được vững bền trong nước mình; Giê-hô-va Đức Chúa Trời người ở cùng người, và làm cho người rất thạnh vượng.
And Solomon sent word to all Israel, to the captains of thousands and of hundreds and to the judges and to every chief in all Israel, heads of their families.|Sa-lô-môn truyền bảo cả Y-sơ-ra-ên, các quan tướng ngàn người và trăm người, các quan xét và hết thảy các trưởng trong Y-sơ-ra-ên, là các trưởng tộc, phải đến;
Then Solomon, and all the men of Israel with him, went to the high place at Gibeon, because the Tent of meeting of God, which Moses, the servant of the Lord, had made in the waste land, was there.|đoạn, Sa-lô-môn và cả hội chúng đều đi lên nơi cao tại Ga-ba-ôn; vì ở đó có hội mạc của Đức Chúa Trời, mà Môi-se, tôi tớ của Đức Giê-hô-va, đã làm nơi đồng vắng
But the ark of God had been moved by David from Kiriath-jearim to the place which he had made ready for it, for he had put up a tent for it at Jerusalem.|.
And the altar of brass which Bezalel, the son of Uri, the son of Hur, had made, was there before the Tent of the Lord; and Solomon and all the people went to give worship there.|Vả, ở trước đền tạm của Đức Giê-hô-va có bàn thờ đồng mà Bết-sa-lê-ên, con trai U-ri, cháu Hu-rơ, đã làm; Sa-lô-môn và hội chúng đều đến nơi đó.
And Solomon went up there to the brass altar before the Lord at the Tent of meeting, offering on it a thousand burned offerings.|Sa-lô-môn đặt ở trước mặt Đức Giê-hô-va tại hội mạc, và dâng một ngàn của lễ thiêu trên bàn thờ ấy.
In that night God came to Solomon in a vision, and said to him, Say what I am to give you.|Chánh đêm ấy, Đức Chúa Trời hiện đến cùng Sa-lô-môn, mà phán rằng: Ngươi muốn ta ban cho điều gì, hãy xin đi.
And Solomon said to God, Great was your mercy to David my father, and you have made me king in his place.|Sa-lô-môn thưa cùng Đức Chúa Trời rằng: Chúa đã ban ơn rộng cho Đa-vít, cha tôi, và đã đặt tôi làm vua thế cho người.
Now, O Lord God, let your word to David my father come true; for you have made me king over a people like the dust of the earth in number.|Lạy Giê-hô-va Đức Chúa Trời, bây giờ nguyện cho lời Chúa hứa cùng Đa-vít, cha tôi, được ứng nghiệm; vì Chúa đã lập tôi lên làm vua dân sự này đông như bụi đất.
Give me now wisdom and knowledge, so that I may go out and come in before this people: for who is able to be the judge of this great people of yours?|Vậy, xin Chúa ban cho tôi sự khôn ngoan và tri thức, để tôi ra vào trước mặt dân sự này; vì ai dễ xét đoán được dân của Chúa rất đông dường kia?
And God said to Solomon, Because this was in your heart, and you did not make request for money, property, or honour, or for the destruction of your haters, or for long life; but you have made request for wisdom and knowledge for yourself, so that you may be the judge of my people over whom I have made you king:|Đức Chúa Trời phán với Sa-lô-môn rằng: Ta đã lập ngươi làm vua dân sự ta; vả, vì ngươi có lòng như vậy, không có cầu xin sự giàu có, của cải, tôn vinh, hay là mạng sống của những kẻ ghen ghét ngươi, và cũng chẳng có xin sự sống nhưng lại cầu xin sự khôn ngoan và tri thức cho mình, để xét đoán dân sự ta,
Wisdom and knowledge are given to you; and I will give you wealth and honour, such as no king has had before you or ever will have after you.|nên ta đã ban sự khôn ngoan và tri thức cho ngươi; ta lại sẽ ban cho ngươi sự giàu có, của cải, tôn vinh, đến đỗi các vua trước ngươi không hề có như vậy, và sau ngươi cũng sẽ chẳng có vua nào được như thế.
So Solomon went back from the high place at Gibeon, from before the Tent of meeting, to Jerusalem; and he was king over Israel.|Đoạn, Sa-lô-môn từ nơi cao tại Ga-ba-ôn, ở trước hội mạc, trở về Giê-ru-sa-lem; và người cai trị Y-sơ-ra-ên.
And Solomon got together war-carriages and horsemen; he had one thousand, four hundred carriages and twelve thousand horsemen, which he kept, some in the carriage-towns and some with the king at Jerusalem.|Sa-lô-môn nhóm những xe và lính kỵ, được một ngàn bốn trăm cỗ xe, và mười hai ngàn lính kỵ; người để nó trong thành chứa xe, và gần nơi vua tại Giê-ru-sa-lem.
And the king made silver and gold as common as stones in Jerusalem, and cedar like the sycamore-trees of the lowland in number.|Vua làm cho bạc vàng trong Giê-ru-sa-lem ra thường như đá sỏi, và cây bá hương nhiều như cây sung nơi đồng bằng.
And Solomon's horses came out of Egypt; the king's traders got them from Kue at a price.|Còn ngựa của Sa-lô-môn đều từ Ê-díp-tô mà ra; các con buôn của vua đi lãnh mua nó từng bầy, mỗi bầy theo giá nhất định.
A war-carriage might be got from Egypt for six hundred shekels of silver, and a horse for a hundred and fifty: they got them at the same rate for all the kings of the Hittites and the kings of Aram.|Người ta từ xứ Ê-díp-tô mua đem lên một cái xe giá sáu trăm siếc-lơ bạc, còn một con ngựa giá một trăm năm mươi siếc-lơ; các vua dân Hê-tít và vua Sy-ri cũng theo giá ấy nhờ những con buôn của vua mà mua về.

					II Chronicles 2				|
						II Sử Ký 2					
Now it was Solomon's purpose to put up a house for the name of the Lord and a house for himself as king.|Vả, Sa-lô-môn định cất một cái đền cho danh Đức Giê-hô-va, và một cái cung cho nước mình.
And Solomon had seventy thousand men numbered for transport, and eighty thousand for cutting stone in the mountains, and three thousand, six hundred as overseers.|Sa-lô-môn bèn lựa bảy vạn người bưng gánh, tám vạn người thợ đẽo đá trên núi, và ba ngàn sáu trăm người đốc công.
And Solomon sent to Huram, king of Tyre, saying, As you did for my father David, sending him cedar-trees for the building of his house,|Sa-lô-môn sai đến Hi-ram, vua Ty-rơ, mà nói rằng: Vua đã hậu đãi Đa-vít, cha tôi, cung cấp cây bá hương cho người đặng cất cái cung để người ở; xin vua cũng hãy đãi tôi như thế.
See! I am building a house for the name of the Lord my God, to be made holy to him, where perfumes of sweet spices will be burned before him, and the holy bread will be placed at all times, and burned offerings will be offered morning and evening, on the Sabbaths and at the new moons, and on the regular feasts of the Lord our God. This is a law for ever to Israel.|Này tôi toan cất một đền cho danh Giê-hô-va Đức Chúa Trời tôi, biệt đền ấy riêng ra thánh cho Ngài, đặng xông nhũ hương trước mặt Ngài, bày bánh trần thiết luôn luôn, dâng của lễ thiêu về buổi sáng và về buổi chiều, hoặc trong ngày sa-bát, ngày mồng một, hay là trong những ngày lễ định của Giê-hô-va Đức Chúa Trời chúng tôi; đều đó vốn là một lệ định cho Y-sơ-ra-ên đến đời đời.
And the house which I am building is to be great, for our God is greater than all gods.|Đức Chúa Trời chúng tôi vốn cao sang, vượt qua hết các thần; nên cái đền tôi toan cất sẽ nguy nga.
But who may have strength enough to make a house for him, seeing that the heaven and the heaven of heavens are not wide enough to be his resting-place? who am I then to make a house for him? But I am building it only for the burning of perfume before him.|Chớ thì ai có sức xây cất cho Chúa một cái đền; vì trời và đến đỗi trời của các từng trời còn chẳng chứa Ngài được thay! Vậy tôi là ai, mà cất được một cái đền cho Chúa? Cất nó chẳng qua là để xông hương tại trước mặt Ngài đó thôi.
So now send me an expert worker in gold and silver and brass and iron? in purple and red and blue, and in the cutting of all sorts of ornament, to be with the expert workmen who are here in Judah and in Jerusalem, whom my father David got together.|Vậy, bây giờ, vua hãy sai đến cùng tôi một người giỏi về nghề chế đồ vàng, bạc, đồng, sắt, thạo dệt bằng chỉ tím, đỏ và xanh, cùng biết chạm trổ đủ nghề, để làm việc với những người tài giỏi ở bên tôi, tại Giu-đa và Giê-ru-sa-lem, mà Đa-vít, cha tôi, đã sắm sẵn.
And send me cedar-trees, cypress-trees and sandal-wood from Lebanon, for, to my knowledge, your servants are expert wood-cutters in Lebanon; and my servants will be with yours,|Cũng hãy lấy ở Li-ban gỗ bá hương, gỗ tòng, và gỗ bạch đàn hương mà gởi đến cho tôi vì tôi vẫn biết rằng các tôi tớ vua đều thạo đốn cây trên Li-ban; này các tôi tớ tôi cũng sẽ giúp đỡ các tôi tớ vua,
To get trees for me in great numbers, for the house which I am building is to be great and a wonder.|đặng lo đốn sắm sửa cây gỗ cho nhiều; vì cái đền mà tôi toan cất sẽ nguy nga lạ kỳ.
And I will give as food to your servants, the wood-cutters, twenty thousand measures of grain, and twenty thousand measures of barley and twenty thousand measures of wine and twenty thousand measures of oil.|Tôi sẽ cấp cho các tôi tớ vua, là những kẻ đốn cây, hai vạn cô-rơ lúa miếng rĩa rồi, hai vạn cô-rơ lúc mạch, hai vạn bát rượu, và hai vạn bát dầu.
Then Huram, king of Tyre, sent Solomon an answer in writing, saying, Because of his love for his people the Lord has made you king over them.|Hi-ram, vua Ty-rơ, bèn viết thơ gởi cho Sa-lô-môn, mà rằng: Vì cớ Đức Giê-hô-va yêu thương dân sự mình, nên Ngài đã lập vua làm vua trên chúng.
And Huram said, Praise be to the Lord, the God of Israel, maker of heaven and earth, who has given to David the king a wise son, full of wisdom and good sense, to be the builder of a house for the Lord and a house for himself as king.|Hi-ram lại nói: Ngợi khen Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, là Đấng dựng nên trời đất, vì Ngài đã ban cho vua Đa-vít một con trai khôn ngoan, dẽ dặt, thông minh, để cất một cái đền cho Ngài và một cái cung cho nước người.
