
					Ezra 1				|
						Ê-xơ-ra 1					
Now in the first year of Cyrus, king of Persia, in order that the word of the Lord given by the mouth of Jeremiah might come true, the spirit of Cyrus, king of Persia, was moved by the Lord, so that he made a public statement through all his kingdom, and put it in writing, saying,|Năm thứ nhứt đời Si-ru, vua nước Phe-rơ-sơ trị vì, Đức Giê-hô-va muốn làm cho ứng nghiệm lời Ngài đã cậy miệng Giê-rê-mi mà phán ra, nên Ngài cảm động lòng Si-ru, vua Phe-rơ-sơ tuyên truyền trong khắp nước mình, và cũng ra sắc chỉ rằng:
These are the words of Cyrus, king of Persia: The Lord God of heaven has given me all the kingdoms of the earth; and he has made me responsible for building a house for him in Jerusalem, which is in Judah.|Si-ru, vua Phe-rơ-sơ, nói như vầy: Giê-hô-va Đức Chúa Trời đã ban các nước thế gian cho ta, và chánh Ngài có biểu ta xây cất cho Ngài một đền thờ tại Giê-ru-sa-lem, trong xứ Giu-đa.
Whoever there is among you of his people, may his God be with him, and let him go up to Jerusalem, which is in Judah, and take in hand the building of the house of the Lord, the God of Israel; he is the God who is in Jerusalem.|Trong các ngươi, phàm ai thuộc về dân sự Ngài, khá trở lên Giê-ru-sa-lem trong xứ Giu-đa, đặng cất lại đền thờ Giê-hô-va, là Đức Chúa Trời của Y-sơ-ra-ên, vẫn ngự tại Giê-ru-sa-lem. Nguyện Đức Chúa Trời người ấy ở cùng người!
And whoever there may be of the rest of Israel, living in any place, let the men of that place give him help with offerings of silver and gold and goods and beasts, in addition to the offering freely given for the house of God in Jerusalem.|Hễ dân Giu-đa còn sót lại, mặc dầu ở đâu, thì bổn dân của nơi họ ở, phải tiếp trợ họ bằng bạc, vàng, của cải, súc vật, không kể những của lễ lạc hiến về đền của Đức Chúa Trời ở tại Giê-ru-sa-lem.
Then the heads of families of Judah and Benjamin, with the priests and the Levites, got ready, even all those whose spirits were moved by God to go up and take in hand the building of the Lord's house in Jerusalem.|Bấy giờ những trưởng tộc của Giu-đa và Bên-gia-min, những thầy tế lễ, và người Lê-vi, cả thảy những người nào Đức Chúa Trời cảm động lòng có ý đi lên xây cất đền thờ của Đức Giê-hô-va tại Giê-ru-sa-lem, bèn chổi dậy.
And all their neighbours gave them help with offerings of vessels of silver and gold and goods and beasts and things of great value, in addition to what was freely offered.|Các người lân cận chúng đều tiếp trợ chúng, cho những vật bằng bạc, bằng vàng, của cải, súc vật, và những vật quí báu, bất kể các của lạc hiến khác.
And Cyrus the king got out the vessels of the house of the Lord which Nebuchadnezzar had taken from Jerusalem and put in the house of his gods;|Vua Si-ru cũng trả lại những khí dụng của đền thờ Đức Giê-hô-va, mà Nê-bu-cát-nết-sa đã đem đi khỏi Giê-ru-sa-lem và để trong đền thờ của thần người.
Even these Cyrus made Mithredath, the keeper of his wealth, get out, and he gave them, after numbering them, to Sheshbazzar, the ruler of Judah.|Si-ru, vua Phe-rơ-sơ, truyền Mít-rê-đát, người thủ quỹ, lấy các khí dụng ấy ra, đếm và giao cho Sết-ba-xa, quan trưởng của Giu-đa.
And this is the number of them: there were thirty gold plates, a thousand silver plates, twenty-nine knives,|Nầy là số của các khí dụng ấy: ba mươi cái chậu vàng, ngàn cái chậu bạc, hai mươi chín con dao,
Thirty gold basins, four hundred and ten silver basins, and a thousand other vessels.|ba mươi các chén vàng, bốn trăm mười cái chén bạc thứ hạng nhì, một ngàn cái khí dụng khác.
There were five thousand, four hundred gold and silver vessels. All these were taken back by Sheshbazzar, when those who had been taken prisoner went up from Babylon to Jerusalem.|Hết thảy những khí dụng bằng vàng và bạc số là năm ngàn bốn trăm cái. Khi những người bị bắt làm phu tù ở Ba-by-lôn được dẫn về Giê-ru-sa-lem thì Sết-ba-xa đem lên luôn hết thảy vật ấy.

					Ezra 2				|
						Ê-xơ-ra 2					
Now these are the people of the divisions of the kingdom, among those who had been made prisoners by Nebuchadnezzar, king of Babylon, and taken away to Babylon, who went back to Jerusalem and Judah, everyone to his town;|Trong con cháu các dân tỉnh Giu-đa bị Nê-bu-cát-nết-sa, vua Ba-by-lôn, bắt dẫn qua Ba-by-lôn, nầy những người bị đày đó trở lên Giê-ru-sa-lem và xứ Giu-đa, mỗi người về trong thành mình,
Who went with Zerubbabel, Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mispar, Bigvai, Rehum, Baanah, The number of the men of the people of Israel:|có Xô-rô-ba-bên, Giê-sua, Nê-hê-mi, Sê-ra-gia, Rê-ê-la-gia, Mạc-đô-chê, Binh-san, Mít-bạt, Biết-vai, Rê-hum và Ba -a-na dẫn dắt. Vậy, nầy là sổ dựng những người nam của Y-sơ-ra-ên.
The children of Parosh, two thousand, one hundred and seventy-two.|Họ Pha-rốt, hai ngàn một trăm bảy mươi hai;
The children of Shephatiah, three hundred and seventy-two.|họ Sê-pha-ti -a, ba trăm bảy mươi hai;
The children of Arah, seven hundred and seventy-five.|họ A-rách, bảy trăm bảy mươi lăm;
The children of Pahath-moab, of the children of Jeshua and Joab, two thousand, eight hundred and twelve.|họ Pha-hát-Mô-áp, con cháu của Giê-sua và Giô-áp, hai ngàn tám trăm mười hai;
The children of Elam, a thousand, two hundred and fifty-four.|họ Ê-lam, một ngàn hai trăm năm mươi bốn;
The children of Zattu, nine hundred and forty-five.|họ Xát-tu, chín trăm bốn mươi lăm;
The children of Zaccai, seven hundred and sixty.|họ Xác-cai, bảy trăm sáu mươi;
The children of Bani, six hundred and forty-two.|họ Ba-ni, sáu trăm bốn mươi hai;
The children of Bebai, six hundred and twenty-three.|họ Bê-bai, sáu trăm hai mươi ba;
The children of Azgad, a thousand, two hundred and twenty-two.|họ A-gát, một ngàn hai trăm hai mươi hai;
The children of Adonikam, six hundred and sixty-six.|họ A-đô-ni-cam, sáu trăm sáu mươi sáu;
The children of Bigvai, two thousand and fifty-six.|họ Biết-vai, hai ngàn năm mươi sáu;
The children of Adin, four hundred and fifty-four.|họ A-đin, bốn trăm năm mươi bốn;
The children of Ater, of Hezekiah, ninety-eight.|họ A-te, về gia quyến Ê-xê-chia, chín mươi tám;
The children of Bezai, three hundred and twenty-three.|họ Bết-sai, ba trăm hai mươi ba;
The children of Jorah, a hundred and twelve.|họ Giô-ra, một trăm mười hai;
The children of Hashum, two hundred and twenty-three.|họ Ha-sum, hai trăm hai mươi ba;
The children of Gibbar, ninety-five.|họ Ghi-ba, chín mươi lăm;
The children of Beth-lehem, a hundred and twenty-three.|họ Bết-lê-hem, một trăm hai mươi ba;
The men of Netophah, fifty-six.|người Nê-tô-pha, năm mươi sáu;
The men of Anathoth, a hundred and twenty-eight.|người A-na-tốt, một trăm hai mươi tám;
The children of Azmaveth, forty-two.|người Ach-ma-vết, bốn mươi hai,
The children of Kiriath-arim, Chephirah, and Beeroth, seven hundred and forty-three.|người Ki-ri-át -A-rim, Kê-phi -a, và Bê-ê-rốt, bảy trăm bốn mươi ba;
The children of Ramah and Geba, six hundred and twenty-one.|người Ra-ma và Ghê-ra, sáu trăm hai mươi mốt;
