
					Nehemiah 1				|
						Nê-hê-mi-a 1					
The history of Nehemiah, the son of Hacaliah. Now it came about, in the month Chislev, in the twentieth year, when I was in Shushan, the king's town,|Lời của Nê-hê-mi, con trai Ha-ca-lia. Năm thứ hai mươi, nhằm tháng Kít-lơ, xảy khi tôi đương ở tại kinh đô Su-sơ,
That Hanani, one of my brothers, came with certain men from Judah; and in answer to my request for news of the Jews who had been prisoners and had got away, and of Jerusalem,|có một người trong anh em tôi tên là Ha-na-ni với vài người Giu-đa đến tôi hỏi thăm chúng về dân Giu-đa đã được thoát khỏi, tức những kẻ đã bị bắt làm phu tù còn sót lại, và hỏi luôn về những việc Giê-ru-sa-lem.
They said to me, The small band of Jews now living there in the land are in great trouble and shame: the wall of Jerusalem has been broken down, and its doorways burned with fire.|Các người ấy nói với tôi rằng: Những kẻ bị bắt làm phu tù còn sót ở lại trong tỉnh, bị tai nạn và sỉ nhục lắm; còn vách thành của Giê-ru-sa-lem thì hư nát và các cửa nó đã bị lửa cháy.
Then, after hearing these words, for some days I gave myself up to weeping and sorrow, seated on the earth; and taking no food I made prayer to the God of heaven,|Khi tôi nghe các lời ấy, bèn ngồi mà khóc, cư tang mấy ngày; tôi cữ ăn và cầu nguyện Đức Chúa của các từng trời, mà rằng:
And said, O Lord, the God of heaven, the great God, greatly to be feared, keeping faith and mercy with those who have love for him and are true to his laws:|Oi! Giê-hô-va Đức Chúa của các từng trời, tức Đức Chúa Trời cực đại và đáng kinh, hay giữ lời giao ước và lòng nhân từ cùng kẻ nào kính mến Ngài và vâng giữ các điều răn của Ngài!
Let your ear now take note and let your eyes be open, so that you may give ear to the prayer of your servant, which I make before you at this time, day and night, for the children of Israel, your servants, while I put before you the sins of the children of Israel, which we have done against you: truly, I and my father's people are sinners.|Tôi xin mắt Chúa hãy đoái đến và lỗ tai Chúa lắng nghe lời cầu nguyện của kẻ đầy tớ Chúa mà tôi hiện lúc này hằng ngày và đêm cầu nguyện vì dân Y-sơ-ra-ên, là các tôi tớ Chúa, ở tại trước mặt Chúa và xưng những tội của dân Y-sơ-ra-ên mà chúng tôi đã phạm với Ngài. Và lại tôi và nhà của tổ phụ tôi cũng có phạm tội.
We have done great wrong against you, and have not kept the orders, the rules, and the decisions, which you gave to your servant Moses.|Chúng tôi có làm rất ác tệ nghịch cùng Chúa, không vâng giữ điều răn giới mạng và luật lệ của Chúa đã phán dạy Môi-se, là kẻ tôi tớ Chúa.
Keep in mind, O Lord, the order you gave your servant Moses, saying, If you do wrong I will send you wandering among the peoples:|Xin Chúa hãy nhớ lại lời Chúa đã phán dạy Môi-se, kẻ tôi tớ Chúa, rằng: Nếu các ngươi phạm tội, ta sẽ tan rải các ngươi giữa các dân tộc;
But if you come back to me and keep my orders and do them, even if those of you who have been forced out are living in the farthest parts of heaven, I will get them from there, and take them back to the place marked out by me for the resting-place of my name.|còn nếu các ngươi trở lại cùng ta, gìn giữ làm theo các điều răn của ta, dầu khi kẻ bị tan lạc của các ngươi ở cuối tận trời, ta cũng sẽ từ đó chiêu tập chúng nó về, và dẫn chúng nó đến nơi ta đã chọn đặng cho danh ta ngự tại đó.
Now these are your servants and your people, whom you have made yours by your great power and by your strong hand.|Vả, chúng là các tôi tớ và dân sự của Chúa, mà Chúa đã cậy quyền năng và tay mạnh mẽ mà chuộc lại.
O Lord, let your ear take note of the prayer of your servant, and of the prayers of your servants, who take delight in worshipping your name: give help, O Lord, to your servant this day, and let him have mercy in the eyes of this man. (Now I was the king's wine-servant.)|Chúa ôi! lời cầu nguyện của các tôi tớ Ngài vẫn vui lòng kính sợ danh Ngài; ngày nay xin Chúa hãy làm cho tôi tớ Chúa được may mắn, và ban cho nó tìm được sự nhân từ trước mặt người này. Vả, bấy giờ tôi làm quan tửu chánh của vua.

					Nehemiah 2				|
						Nê-hê-mi-a 2					
And it came about in the month Nisan, in the twentieth year of Artaxerxes the king, when wine was before him, that I took up the wine and gave it to the king. Now I had never before been sad when the king was present.|Đương năm thứ hai mươi đời vua At-ta-xét-xe, tháng Ni-san, rượu sẵn ở trước mặt người, tôi lấy rượu dâng cho vua; trước tôi không hề có bộ buồn rầu tại trước mặt người.
And the king said to me, Why is your face sad, seeing that you are not ill? this is nothing but sorrow of heart. Then I was full of fear;|Vua nói với tôi rằng: Nhơn sao ngươi mặt mày buồn, dầu mà ngươi không có bịnh? Điều đó chỉ là sự buồn rầu trong lòng mà thôi. Bấy giờ tôi lấy làm sợ hãi lắm,
And said to the king, May the king be living for ever: is it not natural for my face to be sad, when the town, the place where the bodies of my fathers are at rest, has been made waste and its doorways burned with fire?|bèn nói với vua rằng: Nguyện vua vạn tuế! Lẽ nào mặt tôi không buồn, khi cái thành, là nơi có mồ mả của tổ phụ tôi, bị phá hoang, và các cửa thành bị lửa thiêu đốt?
Then the king said to me, What is your desire? So I made prayer to the God of heaven.|Vua hỏi tôi rằng: Ngươi cầu xin cái gì? Tôi bèn cầu nguyện cùng Đức Chúa Trời của các từng trời,
And I said to the king, If it is the king's pleasure, and if your servant has your approval, send me to Judah, to the town where the bodies of my fathers are at rest, so that I may take in hand the building of it.|rồi tâu với vua rằng: Nếu vua thấy điều đó là tốt lành, nếu kẻ tôi tớ vua được ơn trước mặt vua, xin vua hãy sai tôi về Giu-đa, đến thành có mồ mả của tổ phụ tôi, để tôi xây cất thành ấy lại.
And the king said to me (the queen being seated by his side), How long will your journey take, and when will you come back? So the king was pleased to send me, and I gave him a fixed time.|Đương khi ấy hoàng hậu cũng ngồi bên cạnh vua. Vua bèn hỏi tôi rằng: Ngươi đi đường lâu chừng bao nhiêu, và khi nào ngươi trở về? Vậy, vua đẹp lòng sai tôi đi, và tôi định nhựt kỳ cho người.
Further, I said to the king, If it is the king's pleasure, let letters be given to me for the rulers across the river, so that they may let me go through till I come to Judah;|Tôi cũng thưa với vua rằng: Nếu điều này được đẹp lòng vua, xin vua hãy trao cho tôi những bức thơ truyền các qua tổng trấn bên kia sông cho phép tôi đi ngang qua cho đến khi tôi tới Giu-đa
And a letter to Asaph, the keeper of the king's park, so that he may give me wood to make boards for the doors of the tower of the house, and for the wall of the town, and for the house which is to be mine. And the king gave me this, for the hand of my God was on me.|lại ban chiếu chỉ cho A-sáp, kẻ giữ rừng vua, truyền người cho tôi gỗ làm khuôn cửa của thành điện giáp với đền và làm vách thành, cùng nhà mà tôi phải vào ở. Vua bèn ban cho tôi các điều đó, tùy theo tay nhơn lành của Đức Chúa Trời tôi giúp đỡ tôi.
Then I came to the rulers of the lands across the river and gave them the king's letters. Now the king had sent with me captains of the army and horsemen.|Vậy, tôi đến cùng các quan tổng trấn bên kia sông, vào trao cho họ những bức thơ của vua. Vả, vua có sai những quan tướng và quân kỵ đi với tôi.
And Sanballat the Horonite and Tobiah the servant, the Ammonite, hearing of it, were greatly troubled because a man had come to the help of the children of Israel.|Khi San-ba-lát, người Hô-rôn, và Tô-bi-gia, là kẻ tôi tớ Am-môn, hay điều đó, thì lấy làm bất bình vì có người đến đặng tìm kiếm sự hưng thạnh của dân Y-sơ-ra-ên.
So I came to Jerusalem and was there three days.|Vậy, tôi đến Giê-ru-sa-lem và ở tại đó ba ngày.
And in the night I got up, taking with me a small band of men; I said nothing to any man of what God had put into my heart to do for Jerusalem: and I had no beast with me but the one on which I was seated.|Tôi và mấy người cùng theo tôi, bèn chổi dậy ban đêm; tôi chẳng cho ai hay biết sự gì Đức Chúa Trời đã khiến lòng tôi toan làm vì Giê-ru-sa-lem; lại ngoài con thú tôi cỡi thì chẳng có con thú nào khác ở với tôi.
And I went out by night, through the doorway of the valley, and past the dragon's water-spring as far as the place where waste material was put, viewing the walls of Jerusalem which were broken down, and the doorways which had been burned with fire.|Ban đêm tôi ra nơi cửa Trũng, đối ngang suối con chó rừng, và đến cửa phân, xem xét các vách thành của Giê-ru-sa-lem bị hư nát, và các cửa nó bị lửa thiêu đốt.
Then I went on to the door of the fountain and to the king's pool: but there was no room for my beast to get through.|Đoạn, tôi đi qua cửa Giếng, và đến nơi ao của vua; song không có nơi nào đặng cho con thú tôi cỡi đi ngang qua được.
Then in the night, I went up by the stream, viewing the wall; then turning back, I went in by the door in the valley, and so came back.|Kế đó, ban đêm tôi bắt đường khe đi lên, xem xét vách thành; rồi tôi thối lại, vào nơi cửa Trũng mà trở về.
And the chiefs had no knowledge of where I had been or what I was doing; and I had not then said anything to the Jews or to the priests or the great ones or the chiefs or the rest of those who were doing the work.|Vả, các quan trưởng không hiểu tôi đi đâu, nào rõ tôi làm gì; và đến chừng ấy, tôi chưa tỏ ra cho người Giu-đa, hoặc cho những thầy tế lễ, hoặc cho kẻ quyền quí, hoặc cho quan trưởng, hay là cho các người khác lo làm công việc, được biết gì đến.
Then I said to them, You see what a bad condition we are in; how Jerusalem is a waste, and its doorways burned with fire: come, let us get to work, building up the wall of Jerusalem, so that we may no longer be put to shame.|Tôi bèn nói với chúng rằng: Các ngươi hãy xem tình cảnh khổ nạn của chúng ta đương đây; Giê-ru-sa-lem bị phá hoang, và các cửa nó bị lửa thiêu đốt. Hãy đến, xây cất các vách thành Giê-ru-sa-lem lại, hầu cho chúng ta chẳng còn bị sỉ nhục nữa.
Then I gave them an account of how the hand of my God was on me, helping me; and of the king's words which he had said to me. And they said, Let us get to work on the building. So they made their hands strong for the good work.|Tôi cũng thuật cho chúng làm sao tay nhơn từ của Đức Chúa Trời tôi đã giúp đỡ tôi, và các lời vua đã nói cùng tôi. Chúng nói: Hè, ta hãy chổi dậy và xây sửa lại! Vậy, chúng được vững chắc trong ý nhứt định làm công việc tốt lành này.
But Sanballat the Horonite and Tobiah the servant, the Ammonite, and Geshem the Arabian, hearing of it, made sport of us, laughing at us and saying, What are you doing? will you go against the king?|San-ba-lát, người Hô-rôn, Tô-bi-gia, kẻ tôi tớ Am-môn, và Ghê-sem, người A rạp, được hay việc đó, bèn nhạo báng và khinh bỉ chúng tôi. Chúng nó nói rằng: Các ngươi làm chi đó? Các ngươi có ý phản nghịch vua sao?
Then answering them I said, The God of heaven, he will be our help; so we his servants will go on with our building: but you have no part or right or any name in Jerusalem.|Tôi bèn đáp với chúng nó rằng: Đức Chúa của các từng trời sẽ ban cho chúng ta sự hanh thông; vì vậy, chúng ta, là tôi tớ Ngài, sẽ chổi dậy và xây sửa lại; nhưng các ngươi không có phần, hoặc phép, hoặc kỷ niệm trong Giê-ra-sa-lem. Sửa các vách thành Giê-ru-sa-lem lại

					Nehemiah 3				|
						Nê-hê-mi-a 3					
Then Eliashib, the chief priest, got up with his brothers the priests, and took in hand the building of the sheep doorway; they made it holy and put its doors in position; as far as the tower of Hammeah they made it holy, even to the tower of Hananel.|Ê-li -a-síp, thầy tế lễ thượng phẩm, chổi dậy với các anh em mình, là những thầy tế, và xây cất cái cửa Chiên. Chúng biệt nó riêng ra thánh và đặt hai cánh cửa; chúng biệt nó riêng ra thánh cho đến tháp Mê -a và cho đến tháp Ha-na-nê-ên.
And by his side the men of Jericho were building. And after them, Zaccur, the son of Imri.|Kế Ê-li -a-síp, người thành Giê-ri-cô xây cất; kế chúng, Xa-cu, con trai của Im-ri, xây cất.
The sons of Hassenaah were the builders of the fish doorway; they put its boards in place and put up its doors, with their locks and rods.|Con cháu của Sê-na xây cất cửa Cá. Chúng đặt khuôn và tra cánh, chốt với then nó.
By their side Meremoth, the son of Uriah, the son of Hakkoz, was making good the walls. Then Meshullam, the son of Berechiah, the son of Meshezabel; and by him, Zadok, the son of Baana.|Kế chúng, Mê-rê-mốt, con trai của U-si, cháu của Ha-cốt, lo sửa xây. Kế chúng, Mê-su-lam, con trai Bê-rê-kia, cháu Mê-sê-xa-lê-ên, làm tu bổ. Kế chúng, Xa-đốc; con trai Ba -a-na, tu bổ.
Near them, the Tekoites were at work; but their chiefs did not put their necks to the work of their Lord.|Kế chúng, những người Tê-cô -a tu bổ; song các người tước vị họ chẳng ghé vai vào công việc của Chúa mình.
Joiada, the son of Paseah, and Meshullam, the son of Besodeiah, made good the old doorway; they put its boards in place and put up its doors, with their locks and rods.|Giê-gia-đa, con trai của Pha-sê -a và Mê-su-lam, con trai của Bê-sô-đia, sửa xây cái cửa cũ lại; chúng lợp nó, tra cánh, chốt, và then.
By their side were working Melatiah the Gibeonite and Jadon the Meronothite, the men of Gibeon and of Mizpah from the seat of the ruler across the river.|Kế chúng, Mê-la-tia, là người Ga-ba-ôn, và Gia-đôn, là người Mê-rô-nốt, cùng những người Ga-ba-ôn và người Mích-ba, thuộc về địa hạt của quan tổng trấn bên kia sông, đều tu bổ.
Near them was working Uzziel, the son of Harhaiah, the gold-worker. And by him was Hananiah, one of the perfume-makers, building up Jerusalem as far as the wide wall.|Kế chúng, U-xi-ên, con trai Hạt-ha-gia, một kẻ trong bọn thợ vàng, tu bổ; kế người, Ha-na-nia, là người trong bọn thợ hòa hương, tu bổ; họ sửa xây Giê-ru-sa-lem cho vững bền đến vách rộng.
Near them was working Rephaiah, the son of Hur, the ruler of half Jerusalem.|Kế họ, Rê-pha-gia, con trai của Hu-rơ, làm quản lý phân nửa quận Giê-ru-sa-lem, tu bổ.
By his side was Jedaiah, the son of Harumaph, opposite his house. And by him was Hattush, the son of Hashabneiah.|Kế họ, Giê-gia-đa con trai Ha-ru-máp, tu bổ nơi đối ngang với nhà người. Kế người, Hát-túc, con trai của Ha-sáp-nia, tu bổ.
Malchijah, the son of Harim, and Hasshub, the son of Pahath-moab, were working on another part, and the tower of the ovens.|Manh-ki-gia, con trai của Pha-hát-Mô-áp, tu bổ một phần khác và cái tháp lò.
Near them was Shallum, the son of Hallohesh, the ruler of half Jerusalem, with his daughters.|Kế chúng, Sa-lum, con trai của Ha-lô-he, làm quản lý phân nửa quận Giê-ru-sa-lem, và các con gái của người, đều tu bổ.
Hanun and the people of Zanoah were working on the doorway of the valley; they put it up and put up its doors, with their locks and rods, and a thousand cubits of wall as far as the doorway where the waste material was placed.|Ha-nun và dân cư Xa-nô -a sửa cái cửa Trũng; chúng xây cất nó, tra cánh cửa chốt, và then; cũng xây một ngàn thước vách ngăn, cho đến cửa phân.
And Malchijah, the son of Rechab, the ruler of the division of Beth-haccherem, made good the doorway of the waste, building it up and putting up its doors, with their locks and rods.|Manh-ki-gia, con trai Rê-cáp, quản lý quận Bết-Hát-kê-ren, sửa cái cửa phân; người xây cất nó, tra cánh cửa, chốt, và then.
And Shallun, the son of Col-hozeh, the ruler of the division of Mizpah, made good the doorway of the fountain, building it up and covering it and putting up its doors, with their locks and rods, with the wall of the pool of Shelah by the king's garden, as far as the steps which go down from the town of David.|Sa-lun, con trai của Côn-Hô-xe, quản lý quận Mích-ba, sửa cái cửa Giếng; người xây cất nó, lợp nó, tra cánh cửa, chốt, và then; cũng xây vách ngăn của ao Si-lô-ê gấn bên vườn vua, và cho đến cái thang từ thành Đa-vít trở xuống.
By his side was working Nehemiah, the son of Azbuk, ruler of half the division of Beth-zur, as far as the place opposite the last resting-places of David's family, and the pool which was made and the house of the men of war.|Kế người, Nê-hê-mi, con trai của A-húc, quản lý phân nửa quận Bết-Xu-rơ, sửa xây vách cho đến ngang các lăng tẩm Đa-vít, cho đến ao đã đào, và cho đến nhà của các dõng sĩ.
Then came the Levites, Rehum, the son of Bani. By his side was working Hashabiah, ruler of half the division of Keilah, for his division.|Kế người, Rê-hum, con trai Ba-ni, người Lê-vi, tu bổ. Kế người, Ha-sa-bia, quản lý phân nửa quận Kê -i-la, tu bổ về phần quận mình.
After him were working their brothers, Bavvai, the son of Henadad, ruler of half the division of Keilah.|Kế người, có anh em của họ, là Ba-vai, con trai của Hê-na-đát, quản lý phân nửa quận Kê -i-la, tu bổ.
And by his side was working Ezer, the son of Jeshua, the ruler of Mizpah, making good another part opposite the way up to the store of arms at the turning of the wall.|Kế người, Ê-xe, con trai của Giô-suê, quản lý Mích-ba, tu bổ một phần khác, đối ngang dốc đi lên khi binh khí ở về góc thành.
After him Baruch, the son of Zabbai, was hard at work on another part, from the turning of the wall to the door of the house of Eliashib, the chief priest.|Sau người có Ba-rúc, con trai của Xáp-bai, lấy lòng sốt sắng tu bổ một phần khác, từ góc thành cho đến cửa vào nhà Ê-li -a-síp, thầy tế lễ thượng phẩm.
After him Meremoth, the son of Uriah, the son of Hakkoz, was working on another part, from the door of the house of Eliashib as far as the end of his house.|Sau người có Mê-rê-mốt, con trai U-si, cháu Ha-cốt, sửa một phần khác, từ cửa vào nhà Ê-li -a-síp cho đến cuối nhà người.
After him were working the priests, the men of the lowland.|Sau người có những thầy tế lễ, là kẻ ở đồng bằng Giô-đanh, tu bổ.
After them came Benjamin and Hasshub, opposite their house. After them Azariah, the son of Maaseiah, the son of Ananiah, made good the wall by the house where he himself was living.|Kế chúng, Bên-gia-min và Ha-súp tu bổ phần đối ngang nhà mình. Kế chúng, A-xa-ria, con trai của ma -a-xê-gia, cháu A-na-nia, tu bổ phía bên nhà mình.
After him Binnui, the son of Henadad, was working on another part, from the house of Azariah as far as the turning of the wall and the angle.|Kế người, Bin-nui, con trai của Hê-na-đát, sửa một phần khác, từ nhà A-xa-ria cho đến nơi cạnh và cho đến góc thành.
Palal, the son of Uzai, made good the wall opposite the angle and the tower which comes out from the higher part of the king's house, by the open space of the watch. After him was Pedaiah, the son of Parosh.|Pha-lanh, con trai của A-xai, sửa nơi đối ngang góc thành và nơi tháp cao ló ra của đền vua, đụng giáp cái sân ngục. Kế người đó có Phê-đa-gia, con trai của Pha-rốt, tu bổ.
(Now the Nethinim were living in the Ophel, as far as the place facing the water doorway to the east, and the tower which comes out.)|Vả, người Nê-thi-nim ở tại Ô-phên cho đến nơi đối ngang cửa Nước về phía đông, và tháp ló ra.
After him the Tekoites were making good another part, opposite the great tower which comes out, and up to the wall of the Ophel.|Kế người ấy có người Thê-cô -a sửa một phần khác đối ngang tháp lớn ló ra, và cho vách Ô-phên.
Further on, past the horse doorway, the priests were at work, every one opposite his house.|Những thầy tế lễ sửa nơi phía trên cửa Ngựa, mỗi người sửa phần đối ngang nhà của mình.
After them Zadok, the son of Immer, was working opposite his house. And after him Shemaiah, the son of Shecaniah, the keeper of the east door.|Sau chúng, Xa-đốc, con trai Y-mê, sửa nơi đối ngang nhà mình. Kế sau người có Sê-ma-gia, con trai Sê-ca-nia, kẻ giữ cửa đông, tu bổ.
After him Hananiah, the son of Shelemiah, and Hanun, the sixth son of Zalaph, were making good another part. After him Meshullam, the son of Berechiah, made good the wall opposite his room.|Kế người, Ha-na-nia, con trai của Sê-lê-mia, và Ha-nun, con thứ sáu của Xa-láp, sửa một phần khác. Kế chúng, Mê-sa-lum, con trai của Bê-rê-kia, sửa nơi đối ngang nhà mình.
