
					Esther 1				|
						Ê-xơ-tê 1					
Now it came about in the days of Ahasuerus, (that Ahasuerus who was ruler of a hundred and twenty-seven divisions of the kingdom, from India as far as Ethiopia:)|Xảy trong đời vua A-suê-ru, tức A-suê-ru kia mà cai trị trên một trăm hai mươi bảy tỉnh, từ An-độ cho đến Ê-thi-ô-bi,
That in those days, when King Ahasuerus was ruling in Shushan, his strong town,|khi vua ngự ngôi vương quốc tại Su-sơ, kinh đô người,
In the third year of his rule he gave a feast to all his captains and his servants; and the captains of the army of Persia and Media, the great men and the rulers of the divisions of his kingdom, were present before him;|nhằm năm thứ ba đời trị vì mình, người bày ra một bữa tiệc yến cho hết thảy quan trưởng và thần bộc mình. Đạo binh nước Phe-rơ-sơ và Mê-đi, các bực sang trọng cùng các quan cai của hàng tỉnh đều ở trước mặt người.
And for a long time, even a hundred and eighty days, he let them see all the wealth and the glory of his kingdom and the great power and honour which were his.|Trong nhiều ngày, tức trong một trăm tám mươi ngày, người bày tỏ sự giàu có sang trọng của nước và sự oai nghi rực rỡ của người.
And at the end of that time, the king gave a feast for all the people who were present in Shushan, the king's town, small as well as great, for seven days, in the outer square of the garden of the king's house.|Khi các ngày đó đã qua rồi, vua bày đãi hết dân sự đương có ở tại kinh đô Su-sơ, hoặc lớn hay nhỏ, một cuộc yến tiệc bảy ngày, tại nơi hành lang của thượng uyển.
There were fair hangings of white and green and blue, fixed with cords of purple and the best linen to silver rings and pillars of polished stone: the seats were of gold and silver on a floor of red and white and yellow and black stone.|Tư bề có treo màn trướng sắc trắng, xanh lá cây, và xanh da trời, dùng dây gai màu trắng và màu tím cột vào vòng bạc và trụ cẩm thạch; các giường sập bằng vàng và bạc, đặt trên nền lót cẩm thạch đỏ và trắng, ngọc phụng và cẩm thạch đen.
And they gave them drink in gold vessels, every vessel being different, and wine of the kingdom, freely given by the king.|Người ta đãi uống bằng chén vàng, những chén nhiều thứ khác nhau, và có ngự tửu rất nhiều, cho xứng đáng theo bực giàu sang của vua.
And the drinking was in keeping with the law; no one was forced: for the king had given orders to all the chief servants of his house to do as was pleasing to every man.|Người ta uống rượu tùy theo lịnh truyền chẳng ai ép phải uống; vì vua đã truyền các thần tể cung điện hãy làm tùy ý của mỗi người muốn.
And Vashti the queen gave a feast for the women in the house of King Ahasuerus.|Hoàng hậu Vả-thi cũng đãi một bữa tiệc cho các người nữ tại cung vua A-suê-ru.
On the seventh day, when the heart of the king was glad with wine, he gave orders to Mehuman, Biztha, Harbona, Bigtha, and Abagtha, Zethar, and Carcas, the seven unsexed servants who were waiting before Ahasuerus the king,|Qua ngày thứ bảy, vua uống rượu, hứng lòng rồi, bèn truyền cho Mê-hu-man, Bít-tha, Hạt-bô-na, Biếc-tha, A-bác-tha, Xê-thạt và Cạt-cách, tức bảy hoạn quan hầu-chực vua A-suê-ru,
That Vashti the queen was to come before him, crowned with her crown, and let the people and the captains see her: for she was very beautiful.|dẫn hoàng hậu Vả-thi đến trước mặt vua, đội mão triều hoàng hậu, đặng tỏ ra phết lịch sự của bà cho dân sự và cho các quan trưởng xem thấy; vì tướng mạo bà rất tốt đẹp.
But when the servants gave her the king's order, Vashti the queen said she would not come: then the king was very angry, and his heart was burning with wrath.|Nhưng hoàng hậu Vả-thi không khứng đến theo mạng của vua truyền bởi các hoạn quan. Vua bèn nổi giận dữ, phát nóng nả trong lòng.
And the king said to the wise men, who had knowledge of the times, (for this was the king's way with all who were expert in law and in the giving of decisions:|Vả, thường khi vua có sự gì, bèn hỏi bàn các người rõ luật thông pháp.
And second only to him were Carshena, Shethar, Admatha, Tarshish, Meres, Marsena, and Memucan, the seven rulers of Persia and Media, who were friends of the king, and had the first places in the kingdom:)|Những quan kế cận vua hơn hết là Cạt-sê-na, Sê-thạt, At-ma-tha, Ta-rê-si, Mê-re, Mạt-sê-na, Mê-mu-can, tức bảy quan trưởng của nước Phe-rơ-sơ và Mê-đi, thường thấy mặt vua và ngồi bực cao nhứt trong nước.
What is to be done by law to Vashti the queen, because she has not done what King Ahasuerus, by his servants, gave her orders to do?|Bấy giờ vua hỏi chúng rằng: Hoàng hậu Vả-thi chẳng có vâng theo mạng lịnh của vua A-suê-ru cậy các hoạn quan truyền cho; vậy thì theo luật pháp chúng ta phải xử bà thể nào?
And before the king and the captains, Memucan gave his answer: Vashti the queen has done wrong, not only to the king, but to all the captains and to all the peoples in all the divisions of the kingdom of King Ahasuerus;|Mê-mu-can thưa trước mặt vua và các quan trưởng rằng: Vả-thi chẳng những làm mất lòng vua mà thôi, nhưng lại hết thảy những quan trưởng, và dân sự ở trong các tỉnh của vua A-suê-ru;
For news of what the queen has done will come to the ears of all women, and they will no longer give respect to their husbands when it is said to them, King Ahasuerus gave orders for Vashti the queen to come before him and she came not.|vì việc nầy đồn ra trong các người nữ, khiến họ khinh bỉ chồng mình, nói rằng vua A-suê-ru có biểu dẫn hoàng hậu Vả-thi đến trước mặt vua, mà nàng không có đến.
And the wives of the captains of Persia and Media, hearing what the queen has done, will say the same to all the king's captains. So there will be much shame and wrath.|Ngày nay, các vợ quan trưởng Phe-rơ-sơ và Mê-đi mà đã hay việc hoàng hậu đã làm, cũng sẽ nói một cách với chồng mình, rồi sẽ có lắm điều khinh bỉ và cơn giận.
If it is pleasing to the king, let an order go out from him, and let it be recorded among the laws of the Persians and the Medes, so that it may never be changed, that Vashti is never again to come before King Ahasuerus; and let the king give her place to another who is better than she.|Nếu đẹp ý vua, khá giáng chiếu chỉ, chép vào trong sách luật pháp của nước Phe-rơ-sơ và Mê-đi, chẳng hề hay đổi đặng, rằng Vả-thi sẽ chẳng còn vào đến trước mặt vua A-suê-ru nữa; vua khá ban vị hoàng hậu của Vả-thi cho một người khác tốt hơn nàng.
And when this order, given by the king, is made public through all his kingdom (for it is great), all the wives will give honour to their husbands, great as well as small.|Khi chiếu chỉ của vua đã làm được truyền khắp trong nước, vì nước thật rộng lớn, thì các người vợ tất phải tôn kính chồng mình, từ người sang trọng cho đến kẻ nhỏ hèn.
And this suggestion seemed good to the king and the captains; and the king did as Memucan said;|Lời nầy đẹp ý vua và các quan trưởng; vua bèn làm theo lời của Mê-mu-can đã luận,
And sent letters to all the divisions of the kingdom, to every division in the writing commonly used there, and to every people in the language which was theirs, saying that every man was to be the ruler in his house, and that this order was to be given out in the language of his people.|hạ chiếu cho các tỉnh của vua, theo chữ và tiếng của mỗi tỉnh mỗi dân, mà bảo rằng mỗi người đờn ông phải làm chủ nhà mình, và lấy tiếng bổn xứ mình mà dạy biểu.

					Esther 2				|
						Ê-xơ-tê 2					
After these things, when the king's feelings were calmer, the thought of Vashti and what she had done and the order he had made against her, came back to his mind.|Sau các việc ấy, khi cơn thạnh nộ vua A-suê-ru đã nguôi lại, thì người bèn nhớ lại Vả-thi, và việc nàng đã làm, cùng sự đã chỉ định cho nàng.
Then the servants who were waiting on the king said to him, Let search be made for some fair young virgins for the king:|Các cận thần vua thưa rằng: Khá tìm cho vua những người nữ đồng trinh tốt đẹp;
Let the king give authority to certain men in all the divisions of his kingdom, to get together all the fair young virgins and send them to Shushan, the king's town, to the women's house, under the care of Hegai, the king's servant, the keeper of the women: and let the things needed for making them clean be given to them;|và xin vua hãy sai khiến những quan đi khắp các tỉnh của nước vua, nhóm hiệp hết thảy những người nữ đồng trinh tốt đẹp, đến Su-sơ, là kinh đô, dẫn vào hậu cung, và giao phó cho Hê-gai, hoạn quan của vua, thái giám những cung phi; rồi phát cho chúng những hương phẩm cần dùng cho sự tẩy uế;
And let the girl who is pleasing to the king be queen in place of Vashti. And the king was pleased with this suggestion; and he did so.|hễ con gái trẻ nào được đẹp lòng vua khá lập làm hoàng hậu thế cho Vả-thi. Lời ấy đẹp lòng vua; vua bèn làm như vậy.
Now there was a certain Jew in Shushan named Mordecai, the son of Jair, the son of Shimei, the son of Kish, a Benjamite;|Ở tại kinh đô Su-sơ, có một người Giu-đa, tên là Mạc-đô-chê, con trai của Giai-rơ, cháu của Si-mê -i, chắt của Kích, người Bên-gia-min,
Who had been taken away from Jerusalem among those who had been made prisoner with Jeconiah, king of Judah, when Nebuchadnezzar, king of Babylon, had taken him away.|người bị bắt dẫn khỏi Giê-ru-sa-lem với những kẻ bị bắt làm phu tù đồng một lượt với Giê-cô-nia, vua Giu-đa, mà Nê-bu-cát-nết-sa, vua Ba-by-lô, đã bắt làm phu tù.
And he had been a father to Hadassah, that is Esther, the daughter of his father's brother: for she had no father or mother, and she was very beautiful; and when her father and mother were dead, Mordecai took her for his daughter.|Người bảo dưỡng Ha-đa-xa  con gái của cậu mình, vì nàng không có cha mẹ. Người thiếu nữ ấy là tốt tươi hình dạng, đẹp đẽ dung nhan. Vậy, khi cha mẹ nàng đã qua đời rồi, Mạc-đô-chê nhận nàng làm con gái mình.
So when the order made by the king was publicly given out, and a number of girls had been placed in the care of Hegai in the king's house in Shushan, Esther was taken into the king's house and put in the care of Hegai, the keeper of the women.|Xảy ra khi mạng lịnh của vua và chiếu chỉ người đã được rõ biết, khi có nhiều con gái trẻ đã nhóm hiệp tại kinh đô Su-sơ, giao phó cho Hê-gai chưởng quản, thì Ê-xơ-tê cũng được đem đến cung vua, giao phó cho Hê-gai, quan thái giám các cung phi.
And he was pleased with the girl and was kind to her; and he quickly gave her what was needed for making her clean, and the things which were hers by right, and seven servant-girls who were to be hers from the king's house: and he had her and her servant-girls moved to the best place in the women's part of the house.|Con gái trẻ đó đẹp lòng Hê-gai và được ơn trước mặt người; người lật đật ban ho nàng những hương phẩm cần dùng sự tẩy uế, và những vật nhựt dụng của nàng, cung cấp cho nàng bảy con gái tơ chọn lấy trong cung vua; đoạn Hê-gai dời nàng với các con gái tơ vào trong một cái phòng tốt nhứt của cung phi tần.
Esther had not said what family or people she came from, for Mordecai had given her orders not to do so.|Ê-xơ-tê chẳng tỏ ra dân mình và quê hương mình; vì Mạc-đô-chê có dặn nàng đừng tỏ cho ai biết.
And every day Mordecai took his walk before the square of the women's house, to see how Esther was and what would be done to her.|Mỗi ngày, Mạc-đô-chê đi dạo chơi trước sân của các cung phi tần, để cho biết Ê-xơ-tê có bằng-yên chăng, và nàng sẽ ra thể nào.
Now every girl, when her turn came, had to go in to King Ahasuerus, after undergoing, for a space of twelve months, what was ordered by the law for the women (for this was the time necessary for making them clean, that is, six months with oil of myrrh and six months with sweet perfumes and such things as are needed for making women clean):|Mỗi con gái trẻ chiếu theo lệ định mà dọn mình cho tinh sạch trong mười hai tháng: sáu tháng dùng dầu một dược, sáu tháng dùng thuốc thơm, cùng những hương phẩm cần dùng về sự tẩy uế. Sau kỳ ấy đã mãn rồi, mỗi con gái trẻ theo phiên thứ mà đến cùng vua A-suê-ru.
And in this way the girl went in to the king; whatever she had a desire for was given to her to take with her from the women's house into the house of the king.|Họ vào chầu vua như vầy: Phàm vật gì nàng muốn đem theo từ cung phi tần đến cung điện vua, thì họ liền ban cho.
In the evening she went, and on the day after she came back to the second house of the women, into the keeping of Shaashgaz, one of the king's unsexed servants who had the care of the king's wives: only if the king had delight in her and sent for her by name did she go in to him again.|Buổi tối thì nàng đến, còn sớm mai trở về hầu cung thứ nhì, có Sa-ách-ga là hoạn quan của vua, thái giám các phi tần, coi sóc. Nàng không hề vào cung vua nữa, miễn là nàng đẹp ý vua, và được vua đòi tên mình.
Now when the time came for Esther, the daughter of Abihail, his father's brother, whom Mordecai had taken as his daughter, to go in to the king, she made request for nothing but what Hegai, the king's servant and keeper of the women, had given her. And Esther was looked on kindly by all who saw her.|Khi phiên Ê-xơ-tê, con gái của A-bi-hai, cậu của Mạc-đô-chê, là người đã nhận nàng làm con, đã đến để đi vào cùng vua, thì nàng chẳng cầu xin gì hết, ngoại trừ điều Hê-gai, hoạn quan vua, thái-giam các phi tần, đã định cho. Ê-xơ-tê được ơn trước mặt mọi người thấy nàng.
So Esther was taken in to King Ahasuerus in his house in the tenth month, which is the month Tebeth, in the seventh year of his rule.|Ay vậy, E-xơ-tê được đưa đến cùng vua A-suê-ru trong cung vua, nhằm tháng mười  năm thứ bảy đời người trị vì.
And Esther was more pleasing to the king than all the women, and to his eyes she was fairer and more full of grace than all the other virgins: so he put his crown on her head and made her queen in place of Vashti.|Vua thương mến Ê-xơ-tê nhiều hơn các cung nữ khác, và nàng được ơn trước mặt vua hơn những người nữ đồng trinh; vua đội mão triều thiên trên đầu nàng, và lập nàng làm hoàng hậu thế cho Vả-thi.
Then the king gave a great feast for all his captains and his servants, even Esther's feast; and he gave orders through all the divisions of his kingdom for a day of rest from work, and gave wealth from his store.|Đoạn, vua bày một tiệc lớn đãi các quan trưởng và thần bộc mình, tức tiệc yến của bà Ê-xơ-tê; vua rộng tha thuế cho các tỉnh, và ban thưởng xứng đáng theo bực giàu sang của vua.
And when the virgins came together in the second house of the women, Mordecai took his seat in the doorway of the king's house.|Khi các người nữ đồng trinh hiệp lại lần thứ nhì, thì Mạc-đô-chê ngồi ở nơi cửa vua.
Esther had still said nothing of her family or her people, as Mordecai had given her orders; for Esther did what Mordecai said, as when she was living with him.|Ê-xơ-tê, y như lời Mạc-đô-chê đã dặn mình, không tỏ cho ai biết quê hương và tông tộc mình; vì Ê-xơ-tê làm theo điều Mạc-đô-chê dặn nàng, như khi nàng còn được bảo dưỡng nơi nhà người.
In those days, while Mordecai was seated at the king's doorway, two of the king's servants, Bigthan and Teresh, keepers of the door, being angry, were looking for a chance to make an attack on King Ahasuerus.|Trong các ngày đó, Mạc-đô-chê đương ngồi nơi cửa vua, có hai hoạn quan của vua, trong bọn kẻ giữ cửa, là Bích-than và Thê-rết, nổi giận toan mưu tra tay vào vua A-suê-ru.
And Mordecai, having knowledge of their purpose, sent word of it to Esther the queen; and Esther gave the news to the king in Mordecai's name.|Việc ấy thấu đến Mạc-đô-chê biết, người học lại cho hoàng hậu Ê-xơ-tê, bà Ê-xơ-tê nhơn tên Mạc-đô-chê tâu lại cho vua.
And when the thing had been looked into, it was seen to be true, and the two of them were put to death by hanging on a tree: and it was put down in the records before the king.|Người ta bèn tra hạch việc đó, thấy quả thật như vậy, rồi cả hai đều bị treo nơi cây hình; đoạn họ chép điều đó trong sách sử ký tại trước mặt vua.

					Esther 3				|
						Ê-xơ-tê 3					
After these things, by the order of the king, Haman, the son of Hammedatha the Agagite, was lifted up and given a position of honour and a higher place than all the other captains who were with him.|Sau các việc ấy, vua A-suê-ru thăng chức cho Ha-man, con trai của Ham-mê-đa-tha, người A-gát, và làm nổi danh người, đặt ngôi người trên các quan trưởng ở cung vua.
And all the king's servants who were in the king's house went down to the earth before Haman and gave him honour: for so the king had given orders. But Mordecai did not go down before him or give him honour.|Hết thảy thần bộc ở tại nơi cửa vua đều cúi xuống lạy Ha-man; vì về phần người, vua đã truyền bảo như vậy. Nhưng Mạc-đô-chê không cúi xuống, cũng không lạy người.
Then the king's servants who were in the king's house said to Mordecai, Why do you go against the king's order?|Các thần bộc ở nơi cửa vua bèn nói với Mạc-đô-chê rằng: Cớ sao ông phạm mạng vua?
