
					Job 1				|
						Gióp 1					
There was a man in the land of Uz whose name was Job. He was without sin and upright, fearing God and keeping himself far from evil.|Tại trong xứ Ut-xơ có một người tên là Gióp; người ấy vốn trọn vẹn và ngay thẳng; kính sợ Đức Chúa Trời, và lánh khỏi điều ác.
And he had seven sons and three daughters.|Người sanh được bảy con trai và ba con gái;
And of cattle he had seven thousand sheep and goats, and three thousand camels, and a thousand oxen, and five hundred she-asses, and a very great number of servants. And the man was greater than any of the sons of the east.|có bảy ngàn chiên, ba ngàn lạc đà, năm trăm đôi bò, năm trăm lừa cái, và tôi tớ rất nhiều; người ấy lớn hơn hết trong cả dân Đông phương.
His sons regularly went to one another's houses, and every one on his day gave a feast: and at these times they sent for their three sisters to take part in their feasts with them.|Các con trai người hay đi dự tiệc, đãi thay phiên nhau trong nhà của mỗi người; và sai mời ba chị em gái mình ăn uống chung với mình.
And at the end of their days of feasting, Job sent and made them clean, getting up early in the morning and offering burned offerings for them all. For, Job said, It may be that my sons have done wrong and said evil of God in their hearts. And Job did this whenever the feasts came round.|Xảy khi các ngày yến tiệc xong rồi, Gióp sai người đi dọn các con cái mình cho thanh sạch, thức dậy sớm, dâng của lễ thiêu tùy số nó; vì người nói rằng: Dễ thường các con ta có phạm tội, và trong lòng từ chối Đức Chúa Trời chăng. Gióp hằng làm như vậy.
And there was a day when the sons of the gods came together before the Lord, and the Satan came with them.|Vả, một ngày kia các con trai của Đức Chúa Trời đến ra mắt Đức Giê-hô-va, và Sa-tan cũng đến trong vòng chúng.
And the Lord said to the Satan, Where do you come from? And the Satan said in answer, From wandering this way and that on the earth, and walking about on it.|Đức Giê-hô-va phán hỏi Sa-tan rằng: Ngươi ở đâu đến? Sa-tan thưa với Đức Giê-hô-va rằng: Tôi trải qua đây đó trên đất và dạo chơi tại nơi nó.
And the Lord said to the Satan, Have you taken note of my servant Job, for there is no one like him on the earth, a man without sin and upright, fearing God and keeping himself far from evil?|Đức Giê-hô-va lại hỏi Sa-tan rằng: Ngươi có nhìn thấy Gióp, tôi tớ của ta chăng; nơi thế gian chẳng có người nào giống như nó, vốn trọn vẹn và ngay thẳng, kính sợ Đức Chúa Trời, và lánh khỏi điều ác?
And the Satan said in answer to the Lord, Is it for nothing that Job is a god-fearing man?|Sa-tan thưa với Đức Giê-hô-va rằng: Gióp há kính sợ Đức Chúa Trời luống công sao?
