
					Psalms 1				|
						Thánh Thi 1					
Happy is the man who does not go in the company of sinners, or take his place in the way of evil-doers, or in the seat of those who do not give honour to the Lord.|Phước cho người nào chẳng theo mưu kế của kẻ dữ, Chẳng đứng trong đường tội nhơn, Không ngồi chỗ của kẻ nhạo báng;
But whose delight is in the law of the Lord, and whose mind is on his law day and night.|Song lấy làm vui vẻ về luật pháp của Đức Giê-hô-va, Và suy gẫm luật pháp ấy ngày và đêm.
He will be like a tree planted by the rivers of water, which gives its fruit at the right time, whose leaves will ever be green; and he will do well in all his undertakings.|Người ấy sẽ như cây trồng gần dòng nước, Sanh bông trái theo thì tiết, Lá nó cũng chẳng tàn héo; Mọi sự người làm đều sẽ thạnh vượng.
The evil-doers are not so; but are like the dust from the grain, which the wind takes away.|Kẻ ác chẳng như vậy đâu; Nhưng chúng nó khác nào rơm rác gió thổi bay đi.
For this cause there will be no mercy for sinners when they are judged, and the evil-doers will have no place among the upright,|Bởi cớ ấy kẻ ác chẳng đứng nổi trong ngày đoán xét, Tội nhơn cũng không được vào hội người công bình.
Because the Lord sees the way of the upright, but the end of the sinner is destruction.|Vì Đức Giê-hô-va biết đường người công bình, Song đường kẻ ác rồi bị diệt vong.

					Psalms 2				|
						Thánh Thi 2					
Why are the nations so violently moved, and why are the thoughts of the people so foolish?|Nhơn sao các ngoại bang náo loạn? Và những dân tộc toan mưu chước hư không?
The kings of the earth have taken their place, and the rulers are fixed in their purpose, against the Lord, and against the king of his selection, saying,|Các vua thế gian nổi dậy, Các quan trưởng bàn nghị cùng nhau Nghịch Đức Giê-hô-va, và nghịch Đấng chịu xức dầu của Ngài, mà rằng:
Let their chains be broken, and their cords taken from off us.|Chúng ta hãy bẻ lòi tói của hai Người, Và quăng xa ta xiềng xích của họ.
Then he whose seat is in the heavens will be laughing: the Lord will make sport of them.|Đấng ngự trên trời sẽ cười, Chúa sẽ nhạo báng chúng nó.
Then will his angry words come to their ears, and by his wrath they will be troubled:|Bấy giờ Ngài sẽ nổi thạnh nộ phán cùng chúng nó, Dùng cơn giận dữ mình khuấy khỏa chúng nó, mà rằng:
But I have put my king on my holy hill of Zion.|Dầu vậy, ta đã lập Vua ta Trên Si-ôn là núi thánh ta.
I will make clear the Lord's decision: he has said to me, You are my son, this day have I given you being.|Ta sẽ giảng ra mạng lịnh: Đức Giê-hô-va phán cùng ta rằng: Ngươi là Con ta; Ngày nay ta đã sanh Ngươi.
Make your request to me, and I will give you the nations for your heritage, and the farthest limits of the earth will be under your hand.|Hãy cầu ta, ta sẽ ban cho Con các ngoại bang làm cơ nghiệp, Và các đầu cùng đất làm của cải.
They will be ruled by you with a rod of iron; they will be broken like a potter's vessel.|Con sẽ dùng cây gậy sắt mà đập bể chúng nó; Con sẽ làm vỡ nát chúng nó khác nào bình gốm.
So now be wise, you kings: take his teaching, you judges of the earth.|Vì vậy, hỡi các vua, hãy khôn ngoan; Hỡi các quan xét thế gian, hãy chịu sự dạy dỗ.
Give worship to the Lord with fear, kissing his feet and giving him honour,|Khá hầu việc Đức Giê-hô-va cách kính sợ, Và mừng rỡ cách run rẩy.
For fear that he may be angry, causing destruction to come on you, because he is quickly moved to wrath. Happy are all those who put their faith in him.|Hãy hôn Con, e Người nổi giận, Và các ngươi hư mất trong đường chăng; Vì cơn thạnh nộ Người hòng nổi lên. Phàm kẻ nào nương náu mình nơi Người có phước thay!

					Psalms 3				|
						Thánh Thi 3					
A Psalm. Of David. When he went in flight from Absalom his son.Lord, how greatly are they increased who make attacks on me! in great numbers they come against me.|Đức Giê-hô-va ôi! kẻ cừu địch tôi đã thêm nhiều dường bao! Lắm kẻ dấy lên cùng tôi thay!
Unnumbered are those who say of my soul, There is no help for him in God. (Selah.)|Biết bao kẻ nói về linh hồn tôi rằng: Nơi Đức Chúa Trời chẳng có sự cứu rỗi cho nó.
But your strength, O Lord, is round me, you are my glory and the lifter up of my head.|Nhưng, hỡi Đức Giê-hô-va, Ngài là cái khiên chở che tôi; Ngài là sự vinh hiển tôi, và là Đấng làm cho tôi ngước đầu lên.
I send up a cry to the Lord with my voice, and he gives me an answer from his holy hill. (Selah.)|Tôi lấy tiếng tôi mà kêu cầu Đức Giê-hô-va, Từ núi thánh Ngài đáp lời tôi.
I took my rest in sleep, and then again I was awake; for the Lord was my support.|Tôi nằm xuống mà ngủ; Tôi tỉnh thức, vì Đức Giê-hô-va nâng đỡ tôi.
I will have no fear, though ten thousand have come round me, putting themselves against me.|Tôi sẽ không nao muôn người Vây tôi khắp bốn bên.
Come to me, Lord; keep me safe, O my God; for you have given all my haters blows on their face-bones; the teeth of the evil-doers have been broken by you.|Hỡi Đức Giê-hô-va, hãy chổi dậy; Hỡi Đức Chúa Trời tôi, hãy cứu tôi! Vì Chúa đã vả má các kẻ thù nghịch tôi, Và bẻ gãy răng kẻ ác.
Salvation comes from the Lord; your blessing is on your people. (Selah.)|Sự cứu rỗi thuộc về Đức Giê-hô-va. Nguyện phước Ngài giáng trên dân sự Ngài!

					Psalms 4				|
						Thánh Thi 4					
To the chief music-maker on corded instruments. A Psalm. Of David.Give answer to my cry, O God of my righteousness; make me free from my troubles; have mercy on me, and give ear to my prayer.|Hỡi Đức Chúa Trời của sự công bình tôi, Khi tôi kêu cầu, xin hãy đáp lời tôi. Khi tôi bị gian truân Ngài để tôi trong nơi rộng rãi; Xin hãy thương xót tôi, và nghe lời cầu nguyện tôi.
O you sons of men, how long will you go on turning my glory into shame? how long will you give your love to foolish things, going after what is false? (Selah.)|Hỡi các con loài người, sự vinh hiển ta sẽ bị sỉ nhục cho đến chừng nào? Các ngươi sẽ ưa mến điều hư không, Và tìm sự dối trá cho đến bao giờ?
See how the Lord has made great his mercy for me; the Lord will give ear to my cry.|Phải biết rằng Đức Giê-hô-va đã để riêng cho mình người nhơn đức. Khi ta kêu cầu Đức Giê-hô-va, ắt Ngài sẽ nghe lời ta.
Let there be fear in your hearts, and do no sin; have bitter feelings on your bed, but make no sound. (Selah.)|Các ngươi khá e sợ, chớ phạm tội; Trên giường mình hãy suy gẫm trong lòng, và làm thinh.
Give the offerings of righteousness, and put your faith in the Lord.|Hãy dâng sự công bình làm của lễ Và để lòng tin cậy nơi Đức Giê-hô-va.
There are numbers who say, Who will do us any good? the light of his face has gone from us.|Nhiều người nói: Ai sẽ cho chúng ta thấy phước? Hỡi Đức Giê-hô-va, xin soi trên chúng tôi sự sáng mặt Ngài.
Lord, you have put joy in my heart, more than they have when their grain and their wine are increased.|Chúa khiến lòng tôi vui mừng nhiều hơn chúng nó, Dầu khi chúng nó có lúa mì và rượu nho dư dật.
I will take my rest on my bed in peace, because you only, Lord, keep me safe.|Hỡi Đức Giê-hô-va, tôi sẽ nằm và ngủ bình an; Vì chỉ một mình Ngài làm cho tôi được ở yên ổn.

					Psalms 5				|
						Thánh Thi 5					
To the chief music-maker on wind instruments. A Psalm. Of David.Give ear to my words, O Lord; give thought to my heart-searchings.|Hỡi Đức Giê-hô-va, xin lắng tai nghe lời tôi, Xem xét sự suy gẫm tôi.
Let the voice of my cry come to you, my King and my God; for to you will I make my prayer.|Hỡi Vua tôi, Đức Chúa Trời tôi, xin hãy nghe tiếng kêu của tôi, Vì tôi cầu nguyện cùng Chúa.
My voice will come to you in the morning, O Lord; in the morning will I send my prayer to you, and keep watch.|Đức Giê-hô-va ôi! buổi sáng Ngài sẽ nghe tiếng tôi; Buổi sáng tôi sẽ trình bày duyên cớ tôi trước mặt Ngài, và trông đợi.
For you are not a God who takes pleasure in wrongdoing; there is no evil with you.|Vì Chúa chẳng phải là Đức Chúa Trời bằng lòng sự dữ; Kẻ ác sẽ không được ở cùng Chúa.
The sons of pride have no place before you; you are a hater of all workers of evil.|Kẻ kiêu ngạo chẳng đứng nổi trước mặt Chúa; Chúa ghét hết thảy những kẻ làm ác.
You will send destruction on those whose words are false; the cruel man and the man of deceit are hated by the Lord.|Chúa sẽ hủy diệt các kẻ nói dối; Đức Giê-hô-va gớm ghiếc người đổ huyết và kẻ gian lận.
