
					Proverbs 1				|
						Châm Ngôn 1					
The wise sayings of Solomon, the son of David, king of Israel.|Châm ngôn của Sa-lô-môn, con trai Đa-vít, Vua Y-sơ-ra-ên:
To have knowledge of wise teaching; to be clear about the words of reason:|Đặng khiến cho người ta hiểu biết sự khôn ngoan và điều khuyên dạy, Cùng phân biệt các lời thông sáng;
To be trained in the ways of wisdom, in righteousness and judging truly and straight behaviour:|Để nhận lãnh điều dạy dỗ theo sự khôn ngoan, Sự công bình, lý đoán, và sự chánh trực;
To make the simple-minded sharp, and to give the young man knowledge, and serious purpose:|Hầu cho người ngu dốt được sự khôn khéo, Gã trai trẻ được sự tri thức và sự dẽ dặt.
(The wise man, hearing, will get greater learning, and the acts of the man of good sense will be wisely guided:)|Kẻ khôn sẽ nghe và thêm lên sự học vấn, Người thông sáng sẽ được rộng mưu trí,
To get the sense of wise sayings and secrets, and of the words of the wise and their dark sayings.|Để hiểu biết châm ngôn, thí dụ, Và lời của người khôn ngoan, cùng câu đố nhiệm của họ.
The fear of the Lord is the start of knowledge: but the foolish have no use for wisdom and teaching.|Sự kính sợ Đức Giê-hô-va là khởi đầu sự tri thức; Còn kẻ ngu muội khinh bỉ sự khôn ngoan và lời khuyên dạy.
My son, give ear to the training of your father, and do not give up the teaching of your mother:|Hỡi con, hãy nghe lời khuyên dạy của cha, Chớ bỏ phép tắc của mẹ con;
For they will be a crown of grace for your head, and chain-ornaments about your neck.|Vì ấy sẽ như một dây hoa trên đầu con, Giống như những vòng đeo quanh cổ của con.
My son, if sinners would take you out of the right way, do not go with them.|Hỡi con, nếu kẻ tội nhơn kiếm thế quyến dụ con, Chớ khứng theo.
If they say, Come with us; let us make designs against the good, waiting secretly for the upright, without cause;|Nếu chúng nó nói: "Hãy đến cùng chúng ta, phục rình làm đổ huyết người, Núp đợi hại vô cớ kẻ chẳng tội;
Let us overcome them living, like the underworld, and in their strength, as those who go down to death;|Chúng ta sẽ nuốt sống chúng nó như âm phủ, Và còn nguyên vẹn như kẻ xuống mồ mả;
Goods of great price will be ours, our houses will be full of wealth;|Chúng ta sẽ được các thứ của báu, Chất đầy nhà chúng ta những của cướp;
Take your chance with us, and we will all have one money-bag:|Hãy lấy phần ngươi với chúng ta, Chúng ta cả thảy sẽ có một túi bạc mà thôi."
My son, do not go with them; keep your feet from their ways:|Hỡi con, đừng đi đường cùng chúng nó; Hãy cầm giữ chơn con, chớ vào lối của họ;
For their feet are running after evil, and they are quick to take a man's life.|Vì chơn chúng nó chạy đến sự ác, Lật đật làm đổ huyết ra.
Truly, to no purpose is the net stretched out before the eyes of the bird:|Vì giăng lưới ra trước mặt các loài có cánh Lấy làm luống công thay;
And they are secretly waiting for their blood and making ready destruction for themselves.|Chánh những người ấy thật phục mưu làm đổ huyết mình ra, Và núp rình hại mạng sống mình.
Such is the fate of everyone who goes in search of profit; it takes away the life of its owners.|Đó là đường của những kẻ tham lợi bất nghĩa; Lợi như thể đoạt lấy mạng sống của kẻ được nó.
Wisdom is crying out in the street; her voice is loud in the open places;|Sự khôn ngoan hô lên ngoài đường, Cất tiếng dội ra nơi phố chợ;
Her words are sounding in the meeting-places, and in the doorways of the town:|Khôn ngoan kêu la ở đầu đường dộn dực ồn ào; Tại cửa thành, và nội trong thành người phán lời mình ra,
How long, you simple ones, will foolish things be dear to you? and pride a delight to the haters of authority? how long will the foolish go on hating knowledge?|Mà rằng: Hỡi kẻ ngu dốt, các ngươi sẽ mến sự ngu dại cho đến bao giờ? Kẻ nhạo báng sẽ ưa sự nhạo báng, Và kẻ dại dột sẽ ghét sự tri thức cho đến chừng nào?
Be turned again by my sharp words: see, I will send the flow of my spirit on you, and make my words clear to you.|Nhân vì ta trách các ngươi, các ngươi khá trở lại; Kìa, ta sẽ đổ thần linh ta trên các ngươi; Ta sẽ làm cho các ngươi biết những lời của ta.
Because your ears were shut to my voice; no one gave attention to my out-stretched hand;|Bởi vì ta kêu gọi, mà các ngươi không khứng nghe, Ta giơ tay ta ra, lại chẳng có ai chủ ý;
You were not controlled by my guiding, and would have nothing to do with my sharp words:|Nhưng các ngươi đã bỏ hết lời khuyên dạy ta, Không chịu lời quở trách ta;
So in the day of your trouble I will be laughing; I will make sport of your fear;|Nên trong lúc các ngươi bị tai nạn, ta cũng sẽ chê cười, Khi sự sợ hãi giáng cho các ngươi, ắt ta sẽ nhạo báng;
When your fear comes on you like a storm, and your trouble like a rushing wind; when pain and sorrow come on you.|Khi sự sợ hãi các ngươi xảy đến thình lình như gió bão, Tai nạn xông vào các ngươi như cơn trốt, Và sự ngặt nghèo, khốn cực giáng trên các ngươi.
Then I will give no answer to their cries; searching for me early, they will not see me:|Bấy giờ chúng nó sẽ kêu cầu cùng ta, nhưng ta sẽ không đáp lời; Sáng sớm chúng nó sẽ tìm ta, nhưng không gặp được.
For they were haters of knowledge, and did not give their hearts to the fear of the Lord:|Ay bởi vì chúng nó ghét sự hiểu biết, Không chọn lấy sự kính sợ Đức Giê-hô-va,
They had no desire for my teaching, and my words of protest were as nothing to them.|Cũng không muốn theo sự khuyên dạy ta, Và chê bai các lời quở trách ta;
So the fruit of their way will be their food, and with the designs of their hearts they will be made full.|Vì vậy chúng nó sẽ ăn bông trái của đường lối mình, Và được no nê mưu chước của mình riêng.
For the turning back of the simple from teaching will be the cause of their death, and the peace of the foolish will be their destruction.|Vì sự bội nghịch của kẻ ngu dốt sẽ giết chúng nó, Và sự yên ổn của kẻ dại dột sẽ làm hại cho chúng nó.
But whoever gives ear to me will take his rest safely, living in peace without fear of evil.|Nhưng ai khứng nghe ta ắt sẽ ở an nhiên vô sự, Được bình tịnh, không sợ tai họa nào.

					Proverbs 2				|
						Châm Ngôn 2					
My son, if you will take my words to your heart, storing up my laws in your mind;|Hỡi con, nếu con tiếp nhận lời ta, Dành giữ mạng lịnh ta nơi lòng con,
So that your ear gives attention to wisdom, and your heart is turned to knowledge;|Để lắng tai nghe sự khôn ngoan, Và chuyên lòng con về sự thông sáng;
Truly, if you are crying out for good sense, and your request is for knowledge;|Phải nếu con kêu cầu sự phân biện, Và cất tiếng lên cầu xin sự thông sáng,
If you are looking for her as for silver, and searching for her as for stored-up wealth;|Nếu con tìm nó như tiền bạc, Và kiếm nó như bửu vật ẩn bí,
Then the fear of the Lord will be clear to you, and knowledge of God will be yours.|Bấy giờ con sẽ hiểu biết sự kính sợ Đức Giê-hô-va, Và tìm được điều tri thức của Đức Chúa Trời.
For the Lord gives wisdom; out of his mouth come knowledge and reason:|Vì Đức Giê-hô-va ban cho sự khôn ngoan; từ miệng Ngài ra điều tri thức và thông sáng.
He has salvation stored up for the upright, he is a breastplate to those in whom there is no evil;|Ngài dành ơn cứu rỗi cho người ngay thẳng; Ngài là thuẫn đỡ của người làm theo sự đoan chính,
He keeps watch on the ways which are right, and takes care of those who have the fear of him.|Phù hộ các lối của người công bình, Và giữ gìn đường của thánh đồ Ngài.
Then you will have knowledge of righteousness and right acting, and upright behaviour, even of every good way.|Bấy giờ con sẽ hiểu biết sự công bình, sự lý đoán, Sự chánh trực, và các nẻo lành.
For wisdom will come into your heart, and knowledge will be pleasing to your soul;|Vì sự khôn ngoan sẽ vào trong lòng con, Và linh hồn con sẽ lấy sự hiểu biết làm vui thích.
Wise purposes will be watching over you, and knowledge will keep you;|Sự dẽ dặt sẽ coi sóc con, Sự thông sáng sẽ gìn giữ con,
Giving you salvation from the evil man, from those whose words are false;|Để cứu con khỏi đường dữ, Khỏi kẻ nói việc gian tà,
Who give up the way of righteousness, to go by dark roads;|Và khỏi kẻ bỏ đường ngay thẳng, Mà đi theo các lối tối tăm;
Who take pleasure in wrongdoing, and have joy in the evil designs of the sinner;|Là người vui dạ làm dữ, Ưa thích sự gian tà của kẻ ác;
Whose ways are not straight, and whose footsteps are turned to evil:|Chúng nó cong vạy trong đường lối mình, Và lầm lạc trong các nẻo mình;
To take you out of the power of the strange woman, who says smooth words with her tongue;|Lại sự khôn ngoan sẽ cứu con khỏi dâm phụ, Là người đờn bà lạ nói lời dua nịnh;
Who is false to the husband of her early years, and does not keep the agreement of her God in mind:|Nàng lìa bỏ bạn của buổi đang thì, Và quên sự giao ước của Đức Chúa Trời mình;
For her house is on the way down to death; her footsteps go down to the shades:|Vì nhà nó xiêu qua sự chết, Và con đường nó dẫn đến chốn kẻ thác;
Those who go to her do not come back again; their feet do not keep in the ways of life:|Chẳng ai đi đến nàng mà trở về, Hoặc được tới các lối sự sống;
So that you may go in the way of good men, and keep in the footsteps of the upright.|Sự khôn ngoan sẽ khiến con đi trong đường người thiện, Và gìn giữ các lối của kẻ công bình.
For the upright will be living in the land, and the good will have it for their heritage.|Vì người ngay thẳng sẽ được ở trên đất, Và người trọn vẹn sẽ còn ở đó luôn luôn.
But sinners will be cut off from the land, and those whose acts are false will be uprooted.|Nhưng kẻ gian ác sẽ bị truất khỏi đất, Và kẻ bất trung sẽ bị nhổ rứt khỏi đó.

					Proverbs 3				|
						Châm Ngôn 3					
My son, keep my teaching in your memory, and my rules in your heart:|Hỡi con, chớ quên sự khuyên dạy ta, Lòng con khá giữ các mạng lịnh ta;
For they will give you increase of days, years of life, and peace.|Vì nó sẽ thêm cho con lâu ngày, Số năm mạng sống, và sự bình an.
Let not mercy and good faith go from you; let them be hanging round your neck, recorded on your heart;|Sự nhơn từ và sự chơn thật, chớ để lìa bỏ con; Hãy đeo nó vào cổ, ghi nó nơi bia lòng con;
So you will have grace and a good name in the eyes of God and men.|Như vậy, trước mặt Đức Chúa Trời và loài người Con sẽ được ơn và có sự khôn ngoan thật.
Put all your hope in God, not looking to your reason for support.|Hãy hết lòng tin cậy Đức Giê-hô-va, Chớ nương cậy nơi sự thông sáng của con;
In all your ways give ear to him, and he will make straight your footsteps.|Phàm trong các việc làm của con, khá nhận biết Ngài, Thì Ngài sẽ chỉ dẫn các nẻo của con.
Put no high value on your wisdom: let the fear of the Lord be before you, and keep yourself from evil:|Chớ khôn ngoan theo mắt mình; Hãy kính sợ Đức Giê-hô-va, và lìa khỏi sự ác:
This will give strength to your flesh, and new life to your bones.|Như vậy, cuống rốn con sẽ được mạnh khỏe, Và xương cốt con được mát mẻ.
Give honour to the Lord with your wealth, and with the first-fruits of all your increase:|Hãy lấy tài vật và huê lợi đầu mùa của con, Mà tôn vinh Đức Giê-hô-va;
So your store-houses will be full of grain, and your vessels overflowing with new wine.|Vậy, các vựa lẫm con sẽ đầy dư dật, Và những thùng của con sẽ tràn rượu mới.
My son, do not make your heart hard against the Lord's teaching; do not be made angry by his training:|Hỡi con, chớ khinh điều sửa phạt của Đức Giê-hô-va, Chớ hiềm lòng khi Ngài quở trách;
For to those who are dear to him the Lord says sharp words, and makes the son in whom he has delight undergo pain.|Vì Đức Giê-hô-va yêu thương ai thì trách phạt nấy. Như một người cha đối cùng con trai yêu dấu mình.
Happy is the man who makes discovery of wisdom, and he who gets knowledge.|Người nào tìm đặng sự khôn ngoan, Và được sự thông sáng, có phước thay!
