
					Ecclesiastes 1				|
						Giảng Sư 1					
The words of the Preacher, the son of David, king in Jerusalem.|Lời của người truyền đạo, con trai của Đa-vít, vua tại Giê-ru-sa-lem.
All is to no purpose, said the Preacher, all the ways of man are to no purpose.|Người truyền đạo nói: Hư không của sự hư không, hư không của sự hư không, thảy đều hư không.
What is a man profited by all his work which he does under the sun?|Các việc lao khổ loài người làm ra dưới mặt trời, thì được ích lợi chi?
One generation goes and another comes; but the earth is for ever.|Đời nầy qua, đời khác đến; nhưng đất cứ còn luôn luôn.
The sun comes up and the sun goes down, and goes quickly back to the place where he came up.|Mặt trời mọc, mặt trời lặn, nó lật đật trở về nơi nó mọc.
The wind goes to the south, turning back again to the north; circling round for ever.|Gió thổi về hướng nam, kế xây qua hướng bắc; nó xây đi vần lại không ngừng, rồi trở về vòng cũ nó.
All the rivers go down to the sea, but the sea is not full; to the place where the rivers go, there they go again.|Mọi sông đều đổ vào biển, song không hề làm đầy biển; nơi mà sông thường chảy vào, nó lại chảy về đó nữa.
All things are full of weariness; man may not give their story: the eye has never enough of its seeing, or the ear of its hearing.|Muôn vật thảy đều lao khổ, loài người không thế nói ra được; mắt không hề chán ngó, tai chẳng hề nhàm nghe.
That which has been, is that which is to be, and that which has been done, is that which will be done, and there is no new thing under the sun.|Điều chi đã có, ấy là điều sẽ có; điều gì đã làm, ấy là điều sẽ làm nữa; chẳng có điều gì mới ở dưới mặt trời.
Is there anything of which men say, See, this is new? It has been in the old time which was before us.|Nếu có một vật chi mà người ta nói rằng: Hãy xem, cái nầy mới, vật ấy thật đã có rồi trong các thời đời trước ta.
There is no memory of those who have gone before, and of those who come after there will be no memory for those who are still to come after them.|Người ta chẳng nhớ các đời trước, và các đời sau những người đến sau cũng sẽ chẳng nhớ đến nữa.
I, the Preacher, was king over Israel in Jerusalem.|Ta là người truyền đạo, đã làm vua Y-sơ-ra-ên tại Giê-ru-sa-lem.
And I gave my heart to searching out in wisdom all things which are done under heaven: it is a hard thing which God has put on the sons of men to do.|Ta chuyên lòng lấy sự khôn ngoan mà tra khảo mọi việc làm ra dưới trời; ấy là một việc lao khổ mà Đức Chúa Trời đã giao cho loài người để lo làm.
I have seen all the works which are done under the sun; all is to no purpose, and desire for wind.|Ta đã xem thấy mọi việc làm ra dưới mặt trời; kìa, thảy đều hư không, theo luồng gió thổi.
That which is bent may not be made straight, and that which is not there may not be numbered.|Vật chi đã cong vẹo không thể ngay lại được, và vật gì thiếu không thể đếm được.
I said to my heart, See, I have become great and am increased in wisdom more than any who were before me in Jerusalem--yes, my heart has seen much wisdom and knowledge.|Ta nói trong lòng rằng: Nầy, ta đã được sự khôn ngoan lớn hơn hết thảy những người ở trước ta tại Giê-ru-sa-lem; thật lòng ta đã thấy nhiều sự khôn ngoan và tri thức.
And I gave my heart to getting knowledge of wisdom, and of the ways of the foolish. And I saw that this again was desire for wind.|Ta cũng chuyên lòng học biết sự khôn ngoan, và biết sự ngu dại điên cuồng; ta nhìn biết điều đó cũng là theo luồng gió thổi.
Because in much wisdom is much grief, and increase of knowledge is increase of sorrow.|Vì nếu sự khôn ngoan nhiều, sự phiền não cũng nhiều; ai thêm sự tri thức ắt thêm sự đau đớn.

					Ecclesiastes 2				|
						Giảng Sư 2					
I said in my heart, I will give you joy for a test; so take your pleasure--but it was to no purpose.|Ta lại nói trong lòng rằng: Hè! hãy thử điều vui sướng và nếm sự khoái lạc: kìa, điều đó cũng là sự hư không.
Of laughing I said, It is foolish; and of joy--What use is it?|Ta nói: Cười là điên; vui sướng mà làm chi?
I made a search with my heart to give pleasure to my flesh with wine, still guiding my heart with wisdom, and to go after foolish things, so that I might see what was good for the sons of men to do under the heavens all the days of their life.|Ta nghĩ trong lòng rằng phải uống rượu để cho thân mình vui sướng, mà sự khôn ngoan vẫn còn dẫn dắt lòng ta, lại nghĩ phải cầm lấy sự điên dại cho đến khi xem thử điều gì là tốt hơn cho con loài người làm ở dưới trời trọn đời mình sống.
I undertook great works, building myself houses and planting vine-gardens.|Ta làm những công việc cả thể; ta cất nhà cho mình, trồng vườn nho cho mình,
I made myself gardens and fruit gardens, planting in them fruit-trees of all sorts.|lập cho mình vườn cây trái và vườn hoa, và trồng cây trái đủ thứ ở đó;
I made pools to give water for the woods with their young trees.|ta đào hồ chứa nước đặng tưới rừng, là nơi cây cối lớn lên.
I got men-servants and women-servants, and they gave birth to sons and daughters in my house. I had great wealth of herds and flocks, more than all who were in Jerusalem before me.|Ta mua những tôi trai tớ gái, lại có nhiều đầy tớ sanh ra trong nhà ta. Ta có bầy bò và chiên nhiều hơn hết thảy những người ở trước ta tại Giê-ru-sa-lem.
I got together silver and gold and the wealth of kings and of countries. I got makers of song, male and female; and the delights of the sons of men--girls of all sorts to be my brides.|Ta cũng thâu chứa bạc vàng, và những vật báu của các vua, các tỉnh. Ta lo sắm cho mình những con hát trai và gái, cùng sự khoái lạc của con trai loài người, tức là nhiều vợ và hầu.
And I became great; increasing more than all who had been before me in Jerusalem, and my wisdom was still with me.|Như vậy ta trở nên cao trọng hơn hết thảy những người ở trước ta tại Giê-ru-sa-lem; dầu vậy, sự khôn ngoan vẫn còn ở cùng ta.
And nothing which was desired by my eyes did I keep from them; I did not keep any joy from my heart, because my heart took pleasure in all my work, and this was my reward.|Ta chẳng từ điều gì mắt mình ước ao, cũng chẳng cấm điều gì lòng mình ưa thích; vì lòng ta vui vẻ vì mọi công lao của ta; và đó là phần ta đã được trong mọi công lao ta.
Then I saw all the works which my hands had made, and everything I had been working to do; and I saw that all was to no purpose and desire for wind, and there was no profit under the sun.|Đoạn ta xem xét các công việc tay mình đã làm, và sự lao khổ mình đã chịu để làm nó; kìa, mọi điều đó là sự hư không và theo luồng gió thổi, chẳng có ích lợi gì hết dưới mặt trời.
And I went again in search of wisdom and of foolish ways. What may the man do who comes after the king? The thing which he has done before.|Ta bèn xây lại đặng xem xét sự khôn ngoan, sự ngu dại, và sự điên cuồng; vì người nào đến sau vua sẽ có thể làm gì? Bất quá làm điều người khác đã làm từ lâu rồi.
