
					Song of Solomon 1				|
						Nhã Ca 1					
The song of Songs, which is Solomon's.|Nhã ca trong các bài ca, mà Sa-lô-môn đã làm.
Let him give me the kisses of his mouth: for his love is better than wine.|Nguyện người hôn tôi bằng cái hôn của miệng người. Vì ái tình chàng ngon hơn rượu.
Sweet is the smell of your perfumes; your name is as perfume running out; so the young girls give you their love.|Dầu chàng có mùi thơm tho; Danh chàng thơm như dầu đổ ra; Bởi cớ ấy các gái đồng trinh yêu mến chàng.
Take me to you, and we will go after you: the king has taken me into his house. We will be glad and full of joy in you, we will give more thought to your love than to wine: rightly are they your lovers.|Hãy kéo tôi; chúng tôi sẽ chạy theo chàng, Vua đã dẫn tôi vào phòng Ngài. Chúng tôi sẽ vui mừng và khoái lạc nơi chàng; Chúng tôi sẽ nói đến ái tình chàng hơn rượu. Các gái đồng trinh yêu mến chàng cách chánh trực.
I am dark, but fair of form, O daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.|Hỡi các con gái Giê-ru-sa-lem, tôi đen, song xinh đẹp, Như các trại Kê-đa, như màn cháng của Sa-lô-môn.
Let not your eyes be turned on me, because I am dark, because I was looked on by the sun; my mother's children were angry with me; they made me the keeper of the vine-gardens; but my vine-garden I have not kept.|Chớ dòm xem tôi, bởi vì tôi đen, Mặt trời đã giọi nám tôi. Các con trai của mẹ tôi giận tôi, Đã đặt tôi coi giữ vườn nho; Còn vườn nho riêng của tôi, tôi không coi giữ.
Say, O love of my soul, where you give food to your flock, and where you make them take their rest in the heat of the day; why have I to be as one wandering by the flocks of your friends?|Hỡi người mà lòng tôi yêu mến, hãy tỏ cho tôi biết. Chàng chăn bầy ở đâu, Ban trưa cho nó nằm nghỉ tại nơi nào; Vì cớ sao tôi phải như một người nữ che mặt Ở bên bầy của các bạn chàng?
If you have not knowledge, O most beautiful among women, go on your way in the footsteps of the flock, and give your young goats food by the tents of the keepers.|Hỡi người đẹp hơn hết trong các người nữ, Nếu ngươi chẳng biết, hãy ra theo dấu của bầy, Và chăn các dê con mình gần bên trại kẻ chăn chiên.
I have made a comparison of you, O my love, to a horse in Pharaoh's carriages.|Hỡi bạn tình ta, ta sánh mình như ngựa cái của xe Pha-ra-ôn.
Your face is a delight with rings of hair, your neck with chains of jewels.|Đôi má mình đẹp với đồ trang sức; Cổ mình xinh với hột trân châu.
We will make you chains of gold with ornaments of silver.|Chúng tôi sẽ làm cho mình chuyền vàng có vảy bạc.
While the king is seated at his table, my spices send out their perfume.|Trong khi vua ngự bàn ăn, Cam tòng hương tôi xông mùi thơm nó ra.
As a bag of myrrh is my well-loved one to me, when he is at rest all night between my breasts.|Lương nhơn tôi giống như bó hoa một dược cho tôi. Nằm ở giữa nương long tôi.
My love is to me as a branch of the cypress-tree in the vine-gardens of En-gedi.|Lương nhơn tôi giống như một chùm hoa phụng tiên cho tôi. Trong vườn nho En-Ghê-đi.
See, you are fair, my love, you are fair; you have the eyes of a dove.|Hỡi bạn tình ta, mình thanh lịch thay, mình thanh lịch thay! Con mắt mình như mắt của bò câu.
See, you are fair, my loved one, and a pleasure; our bed is green.|Hỡi lương nhơn tôi, chàng là xinh tốt; Thật, hợp ý thay! Lại giường của chúng ta xanh xanh.
Cedar-trees are the pillars of our house; and our boards are made of fir-trees.|Rường nhà chúng ta bằng gổ hương nam; Ván lá mái chúng ta bằng cây tòng.

					Song of Solomon 2				|
						Nhã Ca 2					
I am a rose of Sharon, a flower of the valleys.|Ta là hoa tường vi của Sa-rôn, Bông huệ của trũng.
As the lily-flower among the thorns of the waste, so is my love among the daughters.|Bạn tình ta ở giữa đám con gái Như bông huệ ở giữa gai gốc.
As the apple-tree among the trees of the wood, so is my loved one among the sons. I took my rest under his shade with great delight, and his fruit was sweet to my taste.|Lương nhơn tôi ở giữa đám con trai Như cây bình bát ở giữa những cây rừng. Tôi vui lòng ngồi dưới bóng người; Trái người ngọt ngào cho ổ gà tôi.
He took me to the house of wine, and his flag over me was love.|Người đưa tôi vào phòng yến tiệc, Ngọn cờ người phất trên tôi ấy là ái tình.
Make me strong with wine-cakes, let me be comforted with apples; I am overcome with love.|Hãy lấy bánh nho nâng đỡ lòng tôi; Dùng trái bình bát bổ sức tôi lại; Vì tôi có bịnh bởi ái tình.
His left hand is under my head, and his right hand is round about me.|Tay tả người kê dưới đầu tôi, Còn tay hữu người ôm lấy tôi.
I say to you, O daughters of Jerusalem, by the roes of the field, do not let love be moved till it is ready.|Hỡi các con gái Giê-ru-sa-lem, ta ép nài các ngươi Bởi những con hoàng dương hay là con nai đồng nội, Chớ kinh động, chớ làm tỉnh thức ái tình ta Cho đến khi nó muốn.
The voice of my loved one! See, he comes dancing on the mountains, stepping quickly on the hills.|Ay là tiếng của lương nhơn tôi! Kìa, người đến, nhảy qua các núi, Vượt qua các gò.
