
					Isaiah 1				|
						I-sai-a 1					
The vision of Isaiah, the son of Amoz, which he saw about Judah and Jerusalem, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.|Về đời Ô-xia, Giô-tham, A-cha và Ê-xê-chia, là các vua nước Giu-đa, thì Ê-sai, con trai A-mốt, có sự hiện thấy về nước Giu-đa và thành Giê-ru-sa-lem.
Give ear, O heavens, and you, O earth, to the word which the Lord has said: I have taken care of my children till they became men, but their hearts have been turned away from me.|Hỡi các từng trời, hãy nghe; hỡi đất, hãy lắng tai; vì Đức Giê-hô-va có phán rằng: Ta đã nuôi nấng con cái, trưởng dưỡng chúng nó, song chúng nó dấy loạn nghịch cùng ta.
Even the ox has knowledge of its owner, and the ass of the place where its master puts its food: but Israel has no knowledge, my people give no thought to me.|Bò biết chủ mình, lừa biết máng của chủ; song Y-sơ-ra-ên chẳng hiểu biết, dân ta chẳng suy nghĩ.
O nation full of sin, a people weighted down with crime, a generation of evil-doers, false-hearted children: they have gone away from the Lord, they have no respect for the Holy One of Israel, their hearts are turned back from him.|Oi! nước mắc tội, dân mang lỗi nặng nề, tông giống độc dữ, con cái làm bậy bạ kia! Chúng nó đã lìa bỏ Đức Giê-hô-va, khinh lờn Đấng Thánh của Y-sơ-ra-ên, đã trở nên xa lạ và lui đi.
Why will you have more and more punishment? why keep on in your evil ways? Every head is tired and every heart is feeble.|Các ngươi sao còn cứ bạn nghịch, để lại bị đánh nữa? Đầu đều đau đớn cả, lòng đều mòn mỏi cả.
The body, from head to foot, is all diseased; it is a mass of open wounds, marks of blows, and broken flesh: the flow of blood has not been stopped, and no oil has been put on the wounds.|Từ bàn chơn cho đến đỉnh đầu, chẳng có chỗ nào lành: rặt những vết thương, vít sưng cùng lằn mới, chưa rịt, chưa quấn, cũng chưa bôi dầu cho êm.
Your country has become waste; your towns are burned with fire; as for your land, it is overturned before your eyes, made waste and overcome by men from strange lands.|Xứ các ngươi là nơi hoang vu, thành các ngươi bị lửa thiêu hủy; dân ngoại nuốt đất đai các ngươi trước mặt các ngươi, hoang vu như bị dân ngoại phá tán.
And the daughter of Zion has become like a tent in a vine-garden, like a watchman's house in a field of fruit, like a town shut in by armies.|Con cái Si-ôn bị bỏ lại như lều vườn nho, như chòi ruộng dưa, như thành bị vây.
If the Lord of armies had not kept some at least of us safe, we would have been like Sodom, and the fate of Gomorrah would have been ours.|Ví bằng Đức Giê-hô-va vạn quân chẳng để chúng ta còn sót lại chút đỉnh, thì chúng ta sẽ giống thành Sô-đôm và như thành Gô-mô-rơ vậy!
Give ear to the word of the Lord, you rulers of Sodom; let your hearts be turned to the law of our God, you people of Gomorrah.|Hỡi các quan trưởng Sô-đôm, hãy nghe lời của Đức Giê-hô-va. Hỡi dân Gô-mô-rơ, hãy để tai vào luật pháp của Đức Chúa Trời chúng ta!
What use to me is the number of the offerings which you give me? says the Lord; your burned offerings of sheep, and the best parts of fat cattle, are a weariness to me; I take no pleasure in the blood of oxen, or of lambs, or of he-goats.|Đức Giê-hô-va phán: Muôn vàn của lễ các ngươi nào có can hệ gì đến ta? Ta đã chán chê của lễ thiêu bằng chiên đực và mỡ của bò con mập. Ta chẳng đẹp lòng về huyết của bò đực, chiên con và dê đực đâu.
At whose request do you come before me, making my house unclean with your feet?|Khi các ngươi đến chầu trước mặt ta, ai khiến các ngươi giày đạp hành lang ta?
Give me no more false offerings; the smoke of burning flesh is disgusting to me, so are your new moons and Sabbaths and your holy meetings.|Thôi, đừng dâng của lễ chay vô ích cho ta nữa! Ta gớm ghét mùi hương, ngày trăng mới, ngày sa-bát cùng sự rao nhóm hội; ta chẳng khứng chịu tội ác hội hiệp nơi lễ trọng thể.
Your new moons and your regular feasts are a grief to my soul: they are a weight in my spirit; I am crushed under them.|Thật, lòng ta ghét những ngày trăng mới và kỳ lễ các ngươi, là nặng nề cho ta, ta lấy làm mệt mà gánh lấy.
And when your hands are stretched out to me, my eyes will be turned away from you: even though you go on making prayers, I will not give ear: your hands are full of blood.|Vậy nên, khi các ngươi giơ tay, thì ta che mắt khỏi các ngươi. Khi các ngươi cầu nguyện rườn rà, ta chẳng thèm nghe. Tay các ngươi đầy những máu.
Be washed, make yourselves clean; put away the evil of your doings from before my eyes; let there be an end of sinning;|Hãy rửa đi, hãy làm cho sạch! Hãy tránh những việc ác khỏi trước mắt ta. Đừng làm dữ nữa.
Take pleasure in well-doing; let your ways be upright, keep down the cruel, give a right decision for the child who has no father, see to the cause of the widow.|Hãy học làm lành, tìm kiếm sự công bình; hãy đỡ đần kẻ bị hà hiếp, làm công bình cho kẻ mồ côi, binh vực lẽ của người góa bụa.
Come now, and let us have an argument together, says the Lord: how may your sins which are red like blood be white as snow? how may their dark purple seem like wool?|Đức Giê-hô-va phán: Bây giờ hãy đến, cho chúng ta biện luận cùng nhau. Dầu tội các ngươi như hồng điều, sẽ trở nên trắng như tuyết; dầu đỏ như son, sẽ trở nên trắng như lông chiên.
If you will give ear to my word and do it, the good things of the land will be yours;|Nếu các ngươi sẵn lòng vâng lời, sẽ ăn được sản vật tốt nhứt của đất.
But if your hearts are turned against me, I will send destruction on you by the sword; so the Lord has said.|Nhược bằng các ngươi chẳng khứng và bạn nghịch, sẽ bị nuốt bởi gươm; vì miệng Đức Giê-hô-va đã phán.
The upright town has become untrue; there was a time when her judges gave right decisions, when righteousness had a resting-place in her, but now she is full of those who take men's lives.|Oi! thành trung nghĩa đã hóa ra kỵ nữ, nó vốn đầy sự chánh trực, giờ đầy những kẻ giết người!
Your silver is no longer true metal, your wine is mixed with water.|Bạc ngươi biến thành cặn, rượu ngươi pha lộn nước.
Your chiefs have gone against the Lord, they have become friends of thieves; every one of them is looking for profit and going after rewards; they do not give right decisions for the child who has no father, and they do not let the cause of the widow come before them.|Các quan trưởng của dân ngươi là đồ phản nghịch, làm bạn với kẻ trộm, mỗi người trong chúng đều ưa của hối lộ, đeo đuổi theo tài lợi; chẳng làm công bình cho kẻ mồ côi, vụ kiện của người góa bụa chẳng đến cùng chúng nó.
For this reason the Lord, the Lord of armies, the Strong One of Israel, has said, I will put an end to my haters, and send punishment on those who are against me;|Vậy nên, Chúa, là Đức Giê-hô-va vạn quân, Đấng Quyền năng của Y-sơ-ra-ên, phán như vầy: Oi! ta sẽ được thỏa lòng về kẻ đối định ta, và báo trả kẻ cừu thù ta!
And my hand will again be on you, washing away what is unclean as with soap, and taking away all your false metal;|Ta sẽ lại tra tay trên ngươi, làm ta sạch hết cáu cặn ngươi, và bỏ hết chất pha của ngươi.
