
					Jeremiah 1				|
						Giê-rê-mi-a 1					
The words of Jeremiah, the son of Hilkiah, of the priests who were in Anathoth in the land of Benjamin:|Lời của Giê-rê-mi, con trai Hinh-kia, một trong các thầy tế lễ ở A-na-tốt, xứ Bên-gia-min.
To whom the word of the Lord came in the days of Josiah, the son of Amon, king of Judah, in the thirteenth year of his rule.|Có lời Đức Giê-hô-va phán cùng người trong đời Giô-si -a, con trai A-môn, vua Giu-đa, năm thứ mười ba đời vua ấy;
And it came again in the days of Jehoiakim, the son of Josiah, king of Judah, up to the eleventh year of Zedekiah, the son of Josiah, king of Judah; till Jerusalem was taken away in the fifth month.|lại có phán cùng người trong đời Giê-hô-gia-kim, con trai Giô-si -a, vua Giu-đa, cho đến cuối năm thứ mười một đời vua Sê-đê-kia, con trai Giô-si -a, vua Giu-đa, tức là năm mà Giê-ru-sa-lem bị bắt làm phu tù trong tháng thứ năm.
Now the word of the Lord came to me, saying,|Có lời Đức Giê-hô-va phán cùng tôi như vầy: Trước khi tạo nên ngươi trong lòng mẹ, ta đã biết ngươi rồi;
Before you were formed in the body of your mother I had knowledge of you, and before your birth I made you holy; I have given you the work of being a prophet to the nations.|trước khi ngươi sanh ra, ta đã biệt riêng ngươi, lập ngươi làm kẻ tiên tri cho các nước.
Then said I, O Lord God! see, I have no power of words, for I am a child.|Tôi thưa rằng: Oi! hãy Chúa Giê-hô-va, nầy tôi chẳng biết nói chi, vì tôi là con trẻ.
But the Lord said to me, Do not say, I am a child: for wherever I send you, you are to go, and whatever I give you orders to say, you are to say.|Nhưng Đức Giê-hô-va lại phán: Chớ nói: Tôi là con trẻ; vì ngươi sẽ đi khắp nơi nào ta sai ngươi đi, và sẽ nói mọi điều ta truyền cho nói.
Have no fear because of them: for I am with you, to keep you safe, says the Lord.|Đừng sợ vì cớ chúng nó; vì ta ở với ngươi đặng giải cứu ngươi, Đức Giê-hô-va phán vậy.
Then the Lord put out his hand, touching my mouth; and the Lord said to me, See, I have put my words in your mouth:|Đoạn, Đức Giê-hô-va giang tay rờ miệng tôi. Đức Giê-hô-va lại phán cùng tôi rằng: Nầy, ta đã đặt những lời ta trong miệng ngươi.
