
					Amos 1				|
						A-mốt 1					
The words of Amos, who was among the herdsmen of Tekoa; what he saw about Israel in the days of Uzziah, king of Judah, and in the days of Jeroboam, the son of Joash, king of Israel, two years before the earth-shock.|Lời của A-mốt, người trong bọn chăn ở Thê-cô -a, là lời đã được soi dẫn cho người về Y-sơ-ra-ên, đang đời Ô-xia, vua Giu-đa, và đang đời Giê-rô-bô-am, con trai Giô-ách, vua Y-sơ-ra-ên, hai năm trước cơn động đất.
And he said, The Lord will give a lion's cry from Zion, his voice will be sounding from Jerusalem; and the fields of the keepers of sheep will become dry, and the top of Carmel will be wasted away.|Người nói rằng: Đức Giê-hô-va sẽ gầm thét từ Si-ôn. Ngài làm cho vang tiếng mình ra từ Giê-ru-sa-lem. Những đồng cỏ của kẻ chăn chiên sẽ thảm sầu, chót núi Cạt-mên sẽ khô héo.
These are the words of the Lord: For three crimes of Damascus, and for four, I will not let its fate be changed; because they have been crushing Gilead with iron grain-crushing instruments.|Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của Đa-mách đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó, vì chúng nó đã lấy đồ đập lúa bằng sắt mà đập Ga-la-át.
And I will send a fire into the house of Hazael, burning up the great houses of Ben-hadad.|Ta sẽ sai lửa đến trong nhà Ha-xa-ên, đặng thiêu nuốt đền đài của Bên-Ha-đát.
And I will have the locks of the door of Damascus broken, and him who is seated in power cut off from the valley of Aven, and him in whose hand is the rod from the house of Eden; and the people of Aram will go away as prisoners into Kir, says the Lord.|Ta sẽ bẻ gãy then của Đa-mách; ta sẽ dứt dân cư khỏi trũng A-ven, và kẻ cầm cây trượng khỏi nhà Ê-đen; còn dân sự Sy-ri sẽ bị đày qua Ki-rơ làm phu tù, Đức Giê-hô-va phán vậy.
These are the words of the Lord: For three crimes of Gaza, and for four, I will not let its fate be changed; because they took all the people away prisoners, to give them up to Edom.|Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của Ga-xa đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó; vì chúng nó đã đem hết dân sự đi làm phu tù mà nộp cho Ê-đôm.
And I will send a fire on the wall of Gaza, burning up its great houses:|Ta sẽ sai lửa đến trên vách thành Ga-xa, nó sẽ thiêu nuốt những đền đài nó.
Him who is seated in power I will have cut off from Ashdod, and him in whose hand is the rod from Ashkelon; and my hand will be turned against Ekron, and the rest of the Philistines will come to destruction, says the Lord God.|Ta sẽ dứt dân cư khỏi Ach-đốt và kẻ cầm cây trượng khỏi Ach-ca-lôn. Ta sẽ trở tay ta nghịch cùng Ec-rôn; và phần sót lại của người Phi-li-tin sẽ chết, Chúa Giê-hô-va phán vậy.
These are the words of the Lord: For three crimes of Tyre, and for four, I will not let its fate be changed; because they gave up all the people prisoners to Edom, without giving a thought to the brothers' agreement between them.|Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của Ty-rơ đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó; vì chúng nó đã nộp hết dân sự cho Ê-đôm, chẳng hề nhớ đến sự giao ước anh em.
And I will send a fire on the wall of Tyre, burning up its great houses.|Ta sẽ sai lửa đến trên vách thành Ty-rơ, nó sẽ thiêu nuốt những đền đài nó.
These are the words of the Lord: For three crimes of Edom, and for four, I will not let its fate be changed; because his sword was turned against his brother, without pity, and his wrath was burning at all times, and he was angry for ever.|Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của Ê-đôm đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó; vì nó đã dùng gươm đuổi theo anh em mình, bẻ cả lòng thương xót, và cơn giận nó cứ cắn xé không thôi, nuôi sự thạnh nộ đời đời.
And I will send a fire on Teman, burning up the great houses of Bozrah.|Ta sẽ sai lửa đến trên Thê-man, nó sẽ thiêu nuốt những đền đài của Bốt-ra.
These are the words of the Lord: For three crimes of the children of Ammon, and for four, I will not let its fate be changed; because in Gilead they had women with child cut open, so that they might make wider the limits of their land.|Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của con cái Am-môn đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó, vì chúng nó đã mổ bụng đờn bà chửa của Ga-la-át đặng mở rộng bờ cõi mình.
And I will make a fire in the wall of Rabbah, burning up its great houses, with loud cries in the days of war, with a storm in the day of the great wind:|Ta sẽ thắp lửa trong vách thành Ráp-ba, nó sẽ thiêu nuốt những đền đài nó giữa tiếng kêu giặc giã trong ngày chiến trận, giữa cơn gió lốc trong ngày bão táp.
And their king will be made prisoner, he and his captains together, says the Lord.|Vua chúng nó cùng các quan trưởng sẽ đi làm phu tù cùng nhau, Đức Giê-hô-va phán vậy.

					Amos 2				|
						A-mốt 2					
These are the words of the Lord: For three crimes of Moab, and for four, I will not let its fate be changed; because he had the bones of the king of Edom burned to dust.|Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của Mô-áp đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó; vì nó đã đốt hài cốt của vua Ê-đôm đặng làm ra vôi.
And I will send a fire on Moab, burning up the great houses of Kerioth: and death will come on Moab with noise and outcries and the sound of the horn:|Ta sẽ sai lửa đến trên Mô-áp, nó sẽ thiêu nuốt đền đài của Kê-ri-giốt. Mô-áp sẽ chết trong sự ồn ào, giữa tiếng kêu, khi tiếng kèn thổi.
And I will have the judge cut off from among them, and all their captains I will put to death with him, says the Lord.|Ta sẽ dứt quan xét khỏi giữa nó, và giết hết thảy các quan trưởng nó với nó, Đức Giê-hô-va phán vậy.
These are the words of the Lord: For three crimes of Judah, and for four, I will not let its fate be changed; because they have given up the law of the Lord, and have not kept his rules; and their false ways, in which their fathers went, have made them go out of the right way.|Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của Giu-đa đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó; vì chúng nó đã bỏ luật pháp của Đức Giê-hô-va và không vâng theo lệ luật Ngài, những sự giả dối mà tổ phụ chúng nó đã theo, làm lầm lạc chúng nó.
And I will send a fire on Judah, burning up the great houses of Jerusalem.|Ta sẽ sai lửa đến trên Giu-đa, nó sẽ thiêu nuốt những đền đài của Giê-ru-sa-lem.
These are the words of the Lord: For three crimes of Israel, and for four, I will not let its fate be changed; because they have given the upright man for silver, and the poor for the price of two shoes;|Đức Giê-hô-va phán như vầy: Bởi cớ tội ác của Y-sơ-ra-ên đến gấp ba gấp bốn lần, nên ta không xây bỏ án phạt khỏi nó; vì chúng nó đã bán người công bình lấy bạc, bán kẻ nghèo lấy một đôi dép.
Crushing the head of the poor, and turning the steps of the gentle out of the way: and a man and his father go in to the same young woman, putting shame on my holy name:|Chúng nó cũng tham cả đến bụi đất trên đầu người nghèo khó, và làm cong đường của kẻ nhu mì. Con và cha cùng đến chung một đứa gái, như vậy làm cho ô danh thánh ta.
By every altar they are stretched on clothing taken from those who are in their debt, drinking in the house of their god the wine of those who have made payment for wrongdoing.|Chúng nó nằm gần mỗi bàn thờ, trên những áo xống đã nhận làm của tin, và uống rượu của kẻ phải phạt trong miếu thần chúng nó.
Though I sent destruction on the Amorite before them, who was tall as the cedar and strong as the oak-tree, cutting off his fruit from on high and his roots from under the earth.|Dầu vậy, chính ta đã tuyệt diệt người A-mô-rít trước mặt chúng nó, là thứ người cao bằng cây bách và mạnh như cây dẻ bộp. Ta đã diệt những trái nó ở trên và những rễ nó ở dưới.
And I took you up out of the land of Egypt, guiding you for forty years in the waste land, so that you might take for your heritage the land of the Amorite.|Ta cũng đã đem các ngươi lên khỏi đất Ê-díp-tô, và dắt các ngươi trong đồng vắng trải bốn mươi năm, hầu cho các ngươi được đất của người A-mô-rít làm sản nghiệp.
