
					Obadiah 1				|
						Ô-ba-đi-a 1					
The vision of Obadiah. This is what the Lord has said about Edom: We have had word from the Lord, and a representative has been sent among the nations, saying, Up! and let us make war against her.|Sự hiện thấy của Ap-đia. Chúa Giê-hô-va phán về Ê-đôm như vầy: chúng ta có nghe lời rao từ Đức Giê-hô-va, và một sứ giả được sai đi giữa các nước rằng: Các ngươi hãy dấy lên! Chúng ta hãy dấy lên nghịch cùng dân nầy đặng đánh trận với nó!
See, I have made you small among the nations: you are much looked down on.|Nầy, ta đã khiến ngươi làm nhỏ giữa các nước. Ngươi bị khinh dể lắm.
You have been tricked by the pride of your heart, O you whose living-place is in the cracks of the rock, whose house is high up; who has said in his heart, Who will make me come down to earth?|Hỡi ngươi là kẻ ở trong khe vầng đá, trong nơi cao, ngươi nói trong lòng mình rằng: Ai sẽ có thể xô ta xuống đất? sự kiêu ngạo của lòng ngươi đã lừa dối ngươi.
Though you go up on high like an eagle, though your house is placed among the stars, I will make you come down from there, says the Lord.|Dầu ngươi lên cao như chim ưng, dầu ngươi lót ổ giữa các ngôi sao, ta cũng sẽ xô ngươi xuống khỏi đó, Đức Giê-hô-va phán vậy!
If thieves came, attacking you by night, (how are you cut off!) would they not go on taking till they had enough? if men came cutting your grapes would they take them all?|Ngươi bị hủy diệt là thể nào! Nếu kẻ trộm hay là kẻ cướp ban đêm đến ngươi, thì há chẳng chỉ cướp lấy vừa đủ mà thôi sao? Nếu những người hái nho đến cùng ngươi, há chẳng để sót lại một vài buồng nho sao?
How are the things of Esau searched out! how are his secret stores looked for!|Ê-sau đã bị lục soát là thể nào! Những đồ châu báu giấu kín của người đã bị khám xét là thể nào!
All the men who were united with you have been false to you, driving you out to the edge of the land: the men who were at peace with you have overcome you; they have taken their heritage in your place.|Mọi kẻ đồng minh cùng ngươi đã đuổi ngươi cho đến nơi bờ cõi. Những kẻ hòa thuận cùng ngươi, thì phỉnh ngươi, thắng hơn ngươi; còn những kẻ ăn bánh ngươi, thì đánh bẫy dưới ngươi; và người không có sự hiểu biết!
Will I not, in that day, says the Lord, take away the wise men out of Edom, and wisdom out of the mountain of Esau?|Đức Giê-hô-va phán: Trong ngày đó, ta há chẳng diệt những kẻ khôn khỏi xứ Ê-đôm, và những người thông sáng khỏi núi Ê-sau sao?
And your men of war, O Teman, will be overcome with fear, so that every one of them may be cut off from the mountain of Esau.|Hỡi Thê-man, những lính-chiến của ngươi sẽ thất kinh, hầu cho ai nấy bị trừ khỏi núi Ê-sau trong lúc giết lát.
Because you were the cause of violent death and because of your cruel behaviour to your brother Jacob, you will be covered with shame and will be cut off for ever.|Ay là vì cớ sự hung bạo ngươi đối với anh em ngươi là Gia-cốp, mà ngươi sẽ mang hổ, và bị diệt đời đời!
Because you were there watching when men from other lands took away his goods, and strange men came into his doors, and put the fate of Jerusalem to the decision of chance; you were like one of them.|Trong ngày người lạ cướp của cải nó, dân ngoại quốc vào các cửa thành nó, và bắt thăm trên thành Giê-ru-sa-lem, thì trong ngày ấy ngươi đứng bên kia, ngươi cũng chỉ như một người trong chúng nó.
Do not see with pleasure your brother's evil day, the day of his fate, and do not be glad over the children of Judah on the day of their destruction, or make wide your mouth on the day of trouble.|Oi! chớ nhìn xem ngày của anh em ngươi, là ngày tai nạn của nó; chớ vui mừng trong ngày hủy diệt của con cái Giu-đa; cũng đừng nói cách khoe khoang trong ngày nó bị khốn khổ.
Do not go into the doors of my people on the day of their downfall; do not be looking on their trouble with pleasure on the day of their downfall, or put your hands on their goods on the day of their downfall.|Chớ vào cửa thành dân ta, đang này nó bị họa; chớ nhìn xem tai nạn nó, đang ngày nó bị khốn khó! Chớ vồ lấy của cải nó, đang ngày nó bị họa hoạn.
And do not take your place at the cross-roads, cutting off those of his people who get away; and do not give up to their haters those who are still there in the day of trouble.|Chớ đứng nơi ngã ba đường đặng diệt những kẻ trốn tránh của nó, và chớ nộp những kẻ sống sót sau cùng của nó trong ngày nguy nan.
For the day of the Lord is coming quickly on all nations: as you have done it will be done to you; the reward of your acts will come on your head.|Vì ngày của Đức Giê-hô-va đã gần trên hết thảy các nước: bấy giờ người ta sẽ làm cho ngươi như chính mình ngươi đã làm; những việc làm của ngươi sẽ đổ lại trên đầu ngươi.
For as you have been drinking on my holy mountain, so will all the nations go on drinking without end; they will go on drinking and the wine will go down their throats, and they will be as if they had never been.|Phải, như các ngươi đã uống trên núi thánh ta thể nào, thì hết thảy các nước cũng sẽ cứ uống thể ấy; phải, chúng nó sẽ uống và nuốt đi, rồi chúng nó sẽ như vốn không hề có!
