
					Jonah 1				|
						Giô-na 1					
And the word of the Lord came to Jonah, the son of Amittai, saying,|Có lời Đức Giê-hô-va phán cho Giô-na con trai A-mi-tai như vầy:
Up! go to Nineveh, that great town, and let your voice come to it; for their evil-doing has come up before me.|Ngươi khá chổi dậy! Hãy đi đến thành lớn Ni-ni-ve, và kêu la nghịch cùng nó; vì tội ác chúng nó đã lên thấu trước mặt ta.
And Jonah got up to go in flight to Tarshish, away from the Lord; and he went down to Joppa, and saw there a ship going to Tarshish: so he gave them the price of the journey and went down into it to go with them to Tarshish, away from the Lord.|Nhưng Giô-na chổi dậy đặng trốn qua Ta-rê-si, để lánh khỏi mặt Đức Giê-hô-va. Người xuống đến Gia-phô, gặp một chiếc tàu đi qua Ta-rê-si. Người trả tiền quá giang, và xuống tàu đặng đi Ta-rê-si với họ, để khỏi mặt Đức Giê-hô-va.
And the Lord sent out a great wind on to the sea and there was a violent storm in the sea, so that the ship seemed in danger of being broken.|Nhưng Đức Giê-hô-va khiến gió lớn thổi trên biển; trên biển có trận bão lớn, chiếc tàu hầu vỡ.
Then the sailors were full of fear, every man crying to his god; and the goods in the ship were dropped out into the sea to make the weight less. But Jonah had gone down into the inmost part of the ship where he was stretched out in a deep sleep.|Những thủy thủ đều sợ hãi, ai nầy kêu cầu thần của mình. Đoạn, họ quăng những đồ đạc trong tàu xuống biển, để cho nhẹ tàu. Giô-na đã xuống dưới lòng tàu, nằm và ngủ mê.
And the ship's captain came to him and said to him, What are you doing sleeping? Up! say a prayer to your God, if by chance God will give a thought to us, so that we may not come to destruction.|Chủ tàu bèn đến gần người và bảo rằng: Hỡi người ngủ kia, làm sao vậy? Khá chờ dậy! Hãy kêu cầu Đức Chúa Trời ngươi. Có lẽ Đức Chúa Trời sẽ tưởng đến chúng ta, thì chúng ta khỏi chết.
And they said to one another, Come, let us put this to the decision of chance and see on whose account this evil has come on us. So they did so, and Jonah was seen to be the man.|Kế đó, chúng nói cùng nhau rằng: Hãy đến, chúng ta hãy bắt thăm, để cho biết tai vạ nầy đến cho chúng ta là vì cớ ai. Vậy họ bắt thăm, và thăm trúng nhằm Giô-na.
Then they said to him, Now make clear to us what is your work, and where you come from? what is your country, and who are your people?|Bấy giờ họ nói cùng người rằng: Khá cho chúng ta biết vì điều chi mà tai vạ nầy đến trên chúng ta. Ngươi làm nghề gì, và từ đâu đến? Xứ ngươi ở đâu, ngươi thuộc về dân nào?
And he said to them, I am a Hebrew, a worshipper of the Lord, the God of heaven, who made the sea and the dry land.|Người trả lời rằng: Ta là người Hê-bơ-rơ, và ta kính sợ, Đức Giê-hô-va, là Đức Chúa Trời trên trời, Ngài đã làm nên biển và đất khô.
And the men were in great fear, and they said to him, What is this you have done? For the men had knowledge of his flight from the Lord because he had not kept it from them.|Những người ấy cả sợ, và bảo người rằng: Ngươi đã làm việc gì đó? Bấy giờ họ đã biết rằng người trốn khỏi mặt Đức Giê-hô-va; vì người đã khai ra cho họ.
And they said to him, What are we to do to you so that the sea may become calm for us? For the sea was getting rougher and rougher.|Vậy họ nói rằng: Chúng ta sẽ làm gì về ngươi, hầu cho biển yên lặng cho chúng ta? Vì biển càng động thêm mãi.
And he said to them, Take me up and put me into the sea, and the sea will become calm for you: for I am certain that because of me this great storm has come on you.|Người trả lời rằng: Hãy bắt lấy ta; hãy ném ta xuống biển, thì biển yên lặng cho các anh; vì ta biết rằng ấy là vì cớ ta mà các anh đã gặp phải trận bão lớn nầy.
And the men were working hard to get back to the land, but they were not able to do so: for the sea got rougher and rougher against them.|Những người ấy bắt tay chèo vào bờ; song không được, vì biển càng nổi lên nghịch cùng họ mãi.
So, crying to the Lord, they said, Give ear to our prayer, O Lord, give ear, and do not let destruction overtake us because of this man's life; do not put on us the sin of taking life without cause: for you, O Lord, have done what seemed good to you.|Họ bèn kêu cầu Đức Giê-hô-va mà rằng: Hỡi Đức Giê-hô-va, chúng tôi nài xin Ngài, chúng tôi nài xin Ngài chớ làm cho chúng tôi chết vì cớ mạng sống của người nầy, và chớ khiến máu vô tội đổ lại trên chúng tôi! Hỡi Đức Giê-hô-va, vì chính Ngài là Đấng đã làm điều mình muốn.
So they took Jonah up and put him into the sea: and the sea was no longer angry.|Đoạn họ bắt Giô-na, quăng xuống biển, thì sự giận dữ của biển yên lặng.
Then great was the men's fear of the Lord; and they made an offering to the Lord and took oaths to him.|Vì vậy mà những người ấy rất kính sợ Đức Giê-hô-va. Họ dâng của lễ cho Đức Giê-hô-va, và hứa nguyện cùng Ngài.
And the Lord made ready a great fish to take Jonah into its mouth; and Jonah was inside the fish for three days and three nights.|Đức Giê-hô-va sắm sửa một con cá lớn đặng nuốt Giô-na; Giô-na ở trong bụng cá ba ngày ba đêm.

					Jonah 2				|
						Giô-na 2					
