
					Numbers 1				|
						Dân Số 1					
And the Lord said to Moses in the waste land of Sinai, in the Tent of meeting, on the first day of the second month, in the second year after they came out of the land of Egypt,|Ngày mồng một tháng hai, năm thứ hai, sau khi dân Y-sơ-ra-ên ra khỏi xứ Ê-díp-tô, Đức Giê-hô-va phán cùng Môi-se ở trong hội mạc, tại đồng vắng Si-na -i, mà rằng:
Take the full number of the children of Israel, by their families, and by their fathers' houses, every male by name;|Hãy dựng sổ cả hội dân Y-sơ-ra-ên, theo họ hàng và tông tộc của họ, cứ đếm từng tên của hết thảy nam đinh,
All those of twenty years old and over, who are able to go to war in Israel, are to be numbered by you and Aaron.|từ hai mươi tuổi sắp lên, tức là mọi người trong Y-sơ-ra-ên đi ra trận được; ngươi và A-rôn sẽ kê sổ chúng nó tùy theo đội ngũ của họ.
And to give you help, take one man from every tribe, the head of his father's house.|Trong mỗi chi phái phải có một người giúp đỡ các ngươi, tức là người làm tộc trưởng của chi phái mình.
These are the names of those who are to be your helpers: from Reuben, Elizur, the son of Shedeur;|Đây là tên những người sẽ giúp đỡ các ngươi: Về chi phái Ru-bên, Ê-lít-su, con trai của Sê-đêu;
From Simeon, Shelumiel, the son of Zurishaddai;|về chi phái Si-mê-ôn, Sê-lu-mi-ên, con trai của Xu-ri-ha-đai;
From Judah, Nahshon, the son of Amminadab;|về chi phái Giu-đa, Na-ha-sôn, con trai của A-mi-na-đáp;
From Issachar, Nethanel, the son of Zuar;|về chi phái Y-sa-ca, Na-tha-na-ên, con trai của Xu -a;
From Zebulun, Eliab, the son of Helon;|về chi phái Sa-bu-lôn, Ê-li-áp, con trai của Hê-lôn;
Of the children of Joseph: from Ephraim, Elishama, the son of Ammihud; from Manasseh, Gamaliel, the son of Pedahzur,|về con cháu Giô-sép, nghĩa là về chi phái Ep-ra-im, Ê-li-sa-ma, con trai của A-mi-hút; về chi phái Ma-na-se, Ga-ma-li-ên, con trai của Phê-đát-su;
From Benjamin, Abidan, the son of Gideoni;|về chi phái Bên-gia-min, A-bi-đan, con trai của Ghi-đeo-ni;
From Dan, Ahiezer, the son of Ammi-shaddai;|về chi phái Đan, A-hi-ê-xe, con trai của A-mi-sa-đai;
From Asher, Pagiel, the son of Ochran;|về chi phái A-se, Pha-ghi-ên, con trai của Oc-ran;
From Gad, Eliasaph, the son of Reuel;|về chi phái Gát, Ê-li -a-sáp, con trai của Đê -u-ên;
From Naphtali, Ahira, the son of Enan.|về chi phái Nép-ta-li, A-hi-ra, con trai của Ê-nan.
These are the men named out of all the people, chiefs of their fathers' houses, heads of the tribes of Israel.|Đó là những người được gọi từ trong hội chúng, vốn là quan trưởng của các chi phái tổ phụ mình, và là quan tướng quân đội Y-sơ-ra-ên.
And Moses and Aaron took these men, marked out by name;|Vậy, Môi-se và A-rôn nhận lấy các người ấy mà đã được xướng tên;
And they got together all the people on the first day of the second month; and everyone made clear his family and his father's house, by the number of the names, from twenty years old and over.|đến ngày mồng một tháng hai, truyền nhóm cả hội chúng, cứ kể tên từng người từ hai mươi tuổi sắp lên mà nhập sổ theo họ hàng và tông tộc của họ.
As the Lord had given orders to Moses, so they were numbered by him in the waste place of Sinai.|Vậy, Môi-se kê sổ chúng nó tại đồng vắng Si-na -i, y như Đức Giê-hô-va đã phán dặn.
The generations of the sons of Reuben, the oldest son of Israel, were numbered by their families and their fathers' houses, every male of twenty years old and over, who was able to go to war;|Con cháu Ru-bên, là trưởng nam của Y-sơ-ra-ên, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên của hết thảy nam đinh từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Ru-bên đi ra trận được,
Forty-six thousand, five hundred of the tribe of Reuben were numbered.|số là bốn mươi sáu ngàn năm trăm.
The generations of the sons of Simeon were numbered by their families and their fathers' houses, every male of twenty years old and over, who was able to go to war;|Con cháu Si-mê-ôn, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên của hết thảy nam đinh từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Si-mê-ôn đi ra trận được,
Fifty-nine thousand, three hundred of the tribe of Simeon were numbered.|số là năm mươi chín ngàn ba trăm.
The generations of the sons of Gad were numbered by their families and their fathers' houses, every male of twenty years old and over who was able to go to war;|Con cháu Gát, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Gát đi ra trận được,
Forty-five thousand, six hundred and fifty of the tribe of Gad were numbered.|số là bốn mươi lăm ngàn sáu trăm năm mươi.
The generations of the sons of Judah were numbered by their families and their fathers' houses, every male of twenty years old and over who was able to go to war;|Con cháu Giu-đa, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Giu-đa đi ra trận được,
Seventy-four thousand, six hundred of the tribe of Judah were numbered.|số là bảy mươi bốn ngàn sáu trăm.
The generations of the sons of Issachar were numbered by their families and their fathers' houses, every male of twenty years old and over who was able to go to war;|Con cháu của Y-sa-ca, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Y-sa-ca đi ra trận được,
Fifty-four thousand, four hundred of the tribe of Issachar were numbered.|số là năm mươi bốn ngàn bốn trăm.
The generations of the sons of Zebulun were numbered by their families and their fathers' houses, every male of twenty years old and over who was able to go to war;|Con cháu của Sa-bu-lôn, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Sa-bu-lôn đi ra trận được,
Fifty-seven thousand, four hundred of the tribe of Zebulun were numbered.|số là năm mươi bảy ngàn bốn trăm.
The generations of the sons of Joseph were numbered by their families and their fathers' houses, every male of twenty years old and over who was able to go to war;|Về hậu tự Giô-sép, là con cháu Ep-ra-im, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Ep-ra-im đi ra trận được,
Forty thousand, five hundred of the tribe of Ephraim were numbered.|số là bốn mươi ngàn năm trăm.
The generations of the sons of Manasseh were numbered by their families and their fathers' houses, every male of twenty years old and over who was able to go to war;|Con cháu Ma-na-se, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Ma-na-se đi ra trận được,
Thirty-two thousand, two hundred of the tribe of Manasseh were numbered.|số là ba mươi hai ngàn hai trăm.
The generations of the sons of Benjamin were numbered by their families and their fathers' houses, every male of twenty years old and over who was able to go to war;|Con cháu Bên-gia-min, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Bên-gia-min đi ra trận được,
Thirty-five thousand, four hundred of the tribe of Benjamin were numbered.|số là ba mươi lăm ngàn bốn trăm.
The generations of the sons of Dan were numbered by their families and their fathers' houses, every male of twenty years and over who was able to go to war;|Con cháu Đan, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Đan đi ra trận được,
Sixty-two thousand, seven hundred of the tribe of Dan were numbered.|số là sáu mươi hai ngàn bảy trăm.
The generations of the sons of Asher were numbered by their families and their fathers' houses, every male of twenty years old and over who was able to go to war;|Con cháu A-se, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái A-se đi ra trận được,
Forty-one thousand, five hundred of the tribe of Asher were numbered.|số là bốn mươi mốt ngàn năm trăm.
The generations of the sons of Naphtali were numbered by their families and their fathers' houses, every male of twenty years old and over who was able to go to war;|Con cháu Nép-ta-li, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên, từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Nép-ta-li đi ra trận được,
Fifty-three thousand, four hundred of the tribe of Naphtali were numbered.|số là năm mươi ba ngàn bốn trăm.
These are they who were numbered by Moses and Aaron and by the twelve chiefs of Israel, one from every tribe.|Đó là những người mà Môi-se, A-rôn, và mười hai quan trưởng Y-sơ-ra-ên kê sổ; mỗi quan trưởng kê sổ cho tông tộc mình.
So all those who were numbered of the children of Israel, by their families, all those of twenty years old and over who were able to go to war,|Thế thì, hết thảy những người trong dân Y-sơ-ra-ên đã được nhập sổ tùy theo tông tộc mình, từ hai mươi tuổi sắp lên, tức là mọi người trong Y-sơ-ra-ên đi ra trận được,
Were six hundred and three thousand, five hundred and fifty.|số là sáu trăm ba ngàn năm trăm năm mươi.
But the Levites, of the tribe of their fathers, were not numbered among them.|Nhưng người Lê-vi, theo chi phái tổ phụ mình, không kê sổ chung với những chi phái khác.
For the Lord said to Moses,|Vì Đức Giê-hô-va có phán cùng Môi-se rằng:
Only the tribe of Levi is not to be numbered among the children of Israel,|Ngươi chớ kê sổ chi phái Lê-vi, và cũng đừng dựng bộ họ chung với dân Y-sơ-ra-ên;
But to them you are to give the care of the Tent of meeting with its vessels and everything in it: they are to take up the Tent, and be responsible for everything to do with it, and put up their tents round it.|nhưng hãy cắt phần người Lê-vi coi sóc đền tạm chứng cớ, hết thảy đồ đạc và các món thuộc về đền tạm. Ay là người Lê-vi sẽ chuyên-vận đền tạm và hết thảy đồ đạc nó, cùng sẽ làm công việc về đền tạm và đóng trại ở chung quanh đền tạm.
And when the Tent of meeting goes forward, the Levites are to take it down; and when it is to be put up, they are to do it: any strange person who comes near it is to be put to death.|Khi nào đền tạm dời chỗ, thì người Lê-vi sẽ tháo dỡ nó; khi nào đền tạm dừng lại, thì họ sẽ dựng nó lên; còn người ngoại đến gần sẽ bị xử tử.
The children of Israel are to put up their tents, every man in his tent-circle round his flag.|Dân Y-sơ-ra-ên mỗi người phải đóng ở trong trại quân mình, và mỗi trại quân, từng đội ngũ, phải đóng gần bên ngọn cờ mình.
But the tents of the Levites are to be round the Tent of meeting, so that wrath may not come on the children of Israel: the Tent of meeting is to be in the care of the Levites.|Nhưng người Lê-vi sẽ đóng trại chung quanh đền tạm chứng cớ, để đừng có sự giận dữ cùng hội-dân Y-sơ-ra-ên; người Lê-vi sẽ coi sóc đền tạm chứng cớ.
So the children of Israel did as the Lord had given orders to Moses.|Dân Y-sơ-ra-ên làm y như mọi điều Đức Giê-hô-va đã phán dặn Môi-se vậy.

					Numbers 2				|
						Dân Số 2					
And the Lord said to Moses and Aaron,|Đức Giê-hô-va phán cùng Môi-se và A-rôn rằng:
The children of Israel are to put up their tents in the order of their families, by the flags of their fathers' houses, facing the Tent of meeting on every side.|Dân Y-sơ-ra-ên mỗi người phải đóng trại gần bên ngọn cờ mình, ở dưới bảng hiệu của tông tộc mình, đối ngang nhau vây chung quanh hội mạc.
Those whose tents are on the east side, looking to the dawn, will be round the flag of the children of Judah, with Nahshon, the son of Amminadab, as their chief.|Trại quân Giu-đa sẽ đóng tại hướng đông, về phía mặt trời mọc, với ngọn cờ và những đội ngũ của mình. Quan-trưởng của người Giu-đa là Na-ha-sôn, con trai của A-mi-na-đáp;
The number of his army was seventy-four thousand, six hundred.|và quân đội người, cứ theo kê sổ, cọng bảy mươi bốn ngàn sáu trăm người.
And nearest to him will be the tribe of Issachar, with Nethanel, the son of Zuar, as their chief.|Chi phái Y-sa-ca phải đóng trại bên Giu-đa; quan trưởng của người Y-sa-ca là Na-tha-na-ên, con trai Xu -a;
The number of his army was fifty-four thousand, four hundred.|và quân đội người, cứ theo kê sổ, cọng năm mươi bốn ngàn bốn trăm người.
After him, the tribe of Zebulun, with Eliab, the son of Helon, as their chief.|Kế đến chi phái Sa-bu-lôn; quan trưởng của người Sa-bu-lôn là Ê-li-áp, con trai của Hê-lôn,
The number of his army was fifty-seven thousand, four hundred.|và quân đội người, cứ theo kê sổ, cộng năm mươi bảy ngàn bốn trăm người.
The number of all the armies of Judah was a hundred and eighty-six thousand, four hundred. They go forward first.|Vậy, các người đã kê sổ theo trại quân Giu-đa, từng đội ngũ, cộng một trăm tám mươi sáu ngàn bốn trăm người. Họ phải đi tiên phong.
On the south side is the flag of the children of Reuben, in the order of their armies, with Elizur, the son of Shedeur, as their chief.|Ngọn cờ của trại quân Ru-bên và những đội ngũ mình, phải đóng về hướng nam. Quan trưởng của người Ru-bên là Ê-li-su, con trai của Sê-đêu;
The number of his army was forty-six thousand, five hundred.|và quân đội người, cứ theo kê sổ, cộng bốn mươi sáu ngàn năm trăm người.
And nearest to him, the tribe of Simeon, with Shelumiel, the son of Zurishaddai, as their chief.|Chi phái Si-mê-ôn phải đóng trại bên Ru-bên; quan trưởng của người Si-mê-ôn là Sê-lu-mi-ên, con trai của Xu-ri-ha-đai;
The number of his army was fifty-nine thousand, three hundred.|và quân đội người, cứ theo kê sổ, cộng năm mươi chín ngàn ba trăm người.
Then the tribe of Gad, with Eliasaph, son of Reuel, as their chief.|Kế đến chi phái Gát; các quan trưởng của người Gát là Ê-li -a-sáp, con trai của Rê -u-ên;
The number of his army was forty-five thousand, six hundred and fifty.|và quân đội người, cứ theo kê sổ, cộng bốn mươi lăm ngàn sáu trăm năm mươi người.
The number of all the armies of Reuben together came to a hundred and fifty-one thousand, four hundred and fifty. They go forward second.|Vậy, các người đã kê sổ theo trại quân Ru-bên, từng đội ngũ, cộng một trăm năm mươi mốt ngàn bốn trăm năm mươi người. Họ phải đi thứ nhì.
Then the Tent of meeting is to go forward, with the tents of the Levites, in the middle of the armies; in the same order as their tents are placed, they are to go forward, every man under his flag.|Sau ấy, hội mạc sẽ đi với trại quân Lê-vi, ở giữa các trại quân khác; trại quân Lê-vi sẽ đi theo thứ tự như đã đóng, mỗi người theo hàng ngũ và theo ngọn cờ mình.
On the west side will be the flag of the children of Ephraim, with Elishama, the son of Ammihud, as their chief.|Ngọn cờ của trại quân Ep-ra-im và những quân đội người phải đóng về hướng tây; quan trưởng của người Ep-ra-im là Ê-li-sa-ma, con trai A-mi-hút;
The number of his army was forty thousand, five hundred.|và quân đội người, cứ theo kê sổ, cộng bốn mươi ngàn năm trăm người.
And by him the tribe of Manasseh with Gamaliel, the son of Pedahzur, as their chief.|Chi phái Ma-na-se phải đóng trại bên Ep-ra-im; quan trưởng của người Ma-na-se là Ga-ma-li-ên, con trai của Phê-đát-su;
The number of his army was thirty-two thousand, two hundred.|và quân đội người, cứ theo kê sổ, cộng ba mươi hai ngàn hai trăm người.
Then the tribe of Benjamin, with Abidan, the son of Gideoni, as their chief.|Kế đến chi phái Bên-gia-min; quan trưởng của người Bên-gia-min là A-bi-đan, con trai của Ghi-đeo-ni;
The number of his army was thirty-five thousand, four hundred.|và quân đội người, cứ theo kê sổ, cộng ba mươi lăm ngàn bốn trăm người.
