
					Deuteronomy 1				|
						Phục Truyền Luật Lệ 1					
These are the words which Moses said to all Israel on the far side of Jordan, in the waste land in the Arabah opposite Suph, between Paran on the one side, and Tophel, Laban, Hazeroth, and Dizahab on the other.|Nầy là lời Môi-se nói cho cả Y-sơ-ra-ên, bên kia sông Giô-đanh, tại đồng vắng, trong đồng bằng, đối ngang Su-phơ, giữa khoảng Pha-ran và Tô-phên, La-ban, Hát-sê-rốt, và Đi-xa-háp.
It is eleven days' journey from Horeb by the way of Mount Seir to Kadesh-barnea.|Từ Hô-rếp tới Ca-đe-Ba-nê -a, bởi đường núi Sê -i-rơ, đi mười một ngày đường.
Now in the fortieth year, on the first day of the eleventh month, Moses gave to the children of Israel all the orders which the Lord had given him for them;|Nhằm năm bốn mươi, ngày mồng một tháng mười một. Môi-se nói cùng dân Y-sơ-ra-ên mọi điều mà Đức Giê-hô-va đã biểu người phải nói cùng họ.
After he had overcome Sihon, king of the Amorites, ruling in Heshbon, and Og, king of Bashan, ruling in Ashtaroth, at Edrei:|Ay là sau khi người đã đánh giết Si-hôn, vua dân A-mô-rít ở tại Hết-bôn, và Oc, vua Ba-san, ở tại Ach-ta-rốt và Et-rê -i.
On the far side of Jordan in the land of Moab, Moses gave the people this law, saying,|Tại bên kia sông Giô-đanh, trong xứ Mô-áp, Môi-se khởi giảng giải luật pháp nầy mà rằng:
The Lord our God said to us in Horeb, You have been long enough in this mountain:|Giê-hô-va Đức Chúa Trời chúng ta có phán cùng chúng ta tại Hô-rếp mà rằng: Các ngươi kiều ngụ trong núi nầy đã lâu quá;
Make a move now, and go on your way into the hill-country of the Amorites and the places near it, in the Arabah and the hill-country and in the lowlands and in the South and by the seaside, all the land of the Canaanites, and Lebanon, as far as the great river, the river Euphrates.|hãy vòng lại và đi đến núi dân A-mô-rít, cùng đến các miền ở gần bên, tức là đến nơi đồng bằng, lên núi, vào xứ thấp, đến miền nam, lên mé biển, vào xứ dân Ca-na-an và Li-ban, cho đến sông lớn, là sông Ơ-phơ-rát.
See, all the land is before you: go in and take for yourselves the land which the Lord gave by an oath to your fathers, Abraham, Isaac, and Jacob, and to their seed after them.|Kìa, ta phó xứ nầy cho các ngươi! Hãy vào và chiếm lấy xứ mà Đức Giê-hô-va đã thề ban cho tổ phụ các ngươi, là Ap-ra-ham, Y-sác, Gia-cốp, cùng cho con cháu của họ.
At that time I said to you, I am not able to undertake the care of you by myself;|Trong lúc đó ta có nói cùng các ngươi rằng: Một mình ta không đủ sức cai trị các ngươi.
The Lord your God has given you increase, and now you are like the stars of heaven in number.|Giê-hô-va Đức Chúa Trời các ngươi đã gia thêm các ngươi, kìa ngày nay, các ngươi đông như sao trên trời.
May the Lord, the God of your fathers, make you a thousand times greater in number than you are, and give you his blessing as he has said!|Nguyện Giê-hô-va Đức Chúa Trời của tổ phụ các ngươi khiến các ngươi thêm lên gấp ngàn lần và ban phước cho, y như Ngài đã phán cùng các ngươi.
How is it possible for me by myself to be responsible for you, and undertake the weight of all your troubles and your arguments?|Một mình ta làm thế nào mang lấy trách nhiệm và gánh nặng về điều tranh tụng của các ngươi?
Take for yourselves men who are wise, far-seeing, and respected among you, from your tribes, and I will make them rulers over you.|Hãy chọn trong mỗi chi phái các ngươi những người khôn ngoan, thông sáng, có tiếng, và ta sẽ lập họ lên làm quan trưởng các ngươi.
And you made answer and said to me, It is good for us to do as you say.|Các ngươi có đáp rằng: Việc người toan làm thật tốt thay.
So I took the heads of your tribes, wise men and respected, and made them rulers over you, captains of thousands and captains of hundreds and captains of fifties and captains of tens, and overseers of your tribes.|Bấy giờ, ta chọn lấy những người quan trưởng của các chi phái, là những người khôn ngoan, có tiếng, lập lên làm quan tướng các ngươi, hoặc cai ngàn người, hoặc cai trăm người, hoặc cai năm mươi người, hoặc cai mười người, và làm quản lý trong những chi phái của các ngươi.
And at that time I gave orders to your judges, saying, Let all questions between your brothers come before you for hearing, and give decisions uprightly between a man and his brother or one from another nation who is with him.|Trong lúc đó, ta ra lịnh cho những quan xét các ngươi rằng: Hãy nghe anh em các ngươi, và lấy công bình mà xét đoán sự tranh tụng của mỗi người với anh em mình, hay là với khách ngoại bang ở cùng người.
In judging, do not let a man's position have any weight with you; give hearing equally to small and great; have no fear of any man, for it is God who is judge: and any cause in which you are not able to give a decision, you are to put before me and I will give it a hearing.|Trong việc xét đoán, các ngươi chớ tư vị ai; hãy nghe người hèn như nghe người sang, đừng có sợ ai, vì sự xét đoán thuộc về Đức Chúa Trời. Phàm việc nào lấy làm rất khó cho các ngươi, hãy đem đến trước mặt ta thì ta sẽ nghe cho.
And at that time I gave you all the orders which you were to do.|Vậy, trong lúc đó, ta có truyền cho các ngươi mọi điều mình phải làm.
