
					Joshua 1				|
						Giô-sua 1					
Now after the death of Moses, the servant of the Lord, the word of the Lord came to Joshua, the son of Nun, Moses' helper, saying,|Sau khi Môi-se, tôi tớ của Đức Giê-hô-va qua đời, Đức Giê-hô-va phán cùng Giô-suê, con trai của Nun, tôi tớ của Môi-se, mà rằng:
Moses my servant is dead; so now get up! Go over Jordan, you and all this people, into the land which I am giving to them, to the children of Israel.|Môi-se, tôi tớ ta, đã chết; bây giờ ngươi và cả dân sự này hãy đứng dậy đi qua sông Giô-đanh, đặng vào xứ mà ta ban cho dân Y-sơ-ra-ên.
Every place on which you put your foot I have given to you, as I said to Moses.|Phàm nơi nào bàn chơn các ngươi đạp đến, thì ta ban cho các ngươi, y như ta đã phán cùng Môi-se.
From the waste land and this mountain Lebanon, as far as the great river, the river Euphrates, and all the land of the Hittites to the Great Sea, in the west, will be your country.|Địa phận các ngươi sẽ lan ra từ đồng vắng và Li-ban này cho đến sông cái, là sông Ơ-phơ-rát, tràn cả xứ dân Hê-tít cho đến biển cả về hướng mặt trời lặn.
While you are living, all will give way before you: as I was with Moses, so I will be with you; I will not take away my help from you or give you up.|Trót đời ngươi sống, thì chẳng sẽ ai được chống cự trước mặt ngươi. Ta sẽ ở cùng ngươi như ta đã ở cùng Môi-se; ta sẽ không lìa ngươi, không bỏ ngươi đâu.
Take heart and be strong; for you will give to this people for their heritage the land which I gave by an oath to their fathers.|Hãy vững lòng bền chí, vì ngươi sẽ dẫn dân này đi nhận lấy xứ mà ta đã thề cùng tổ phụ ban cho chúng nó.
Only take heart and be very strong; take care to do all the law which Moses my servant gave you, not turning from it to the right hand or to the left, so that you may do well in all your undertakings.|Chỉ hãy vững lòng bền chí, và cẩn thận làm theo hết thảy luật pháp mà Môi-se, tôi tớ ta, đã truyền cho ngươi; chớ xây qua bên hữu hoặc bên tả, để hễ ngươi đi đâu cũng đều được thạnh vượng.
Let this book of the law be ever on your lips and in your thoughts day and night, so that you may keep with care everything in it; then a blessing will be on all your way, and you will do well.|Quyển sách luật pháp này chớ xa miệng ngươi, hãy suy gẫm ngày và đêm, hầu cho cẩn thận làm theo mọi điều đã chép ở trong; vì như vậy ngươi mới được may mắn trong con đường mình, và mới được phước.
Have I not given you your orders? Take heart and be strong; have no fear and do not be troubled; for the Lord your God is with you wherever you go,|Ta há không có phán dặn ngươi sao? Hãy vững lòng bền chí, chớ run sợ, chớ kinh khủng; vì Giê-hô-va Đức Chúa Trời ngươi vẫn ở cùng ngươi trong mọi nơi ngươi đi.
Then Joshua gave their orders to those who were in authority over the people, saying,|Bấy giờ Giô-suê truyền lịnh cho các quan trưởng của dân sự mà rằng:
Go through the tents and give orders to the people, saying, Get ready a store of food; for in three days you are to go over this river Jordan and take for your heritage the land which the Lord your God is giving you.|Hãy chạy khắp trại quân, truyền lịnh này cho dân sự rằng: Hãy sắm sẵn thực vật, vì trong ba ngày nữa các ngươi sẽ đi ngang qua sông Giô-đanh này, đặng đánh lấy xứ mà Giê-hô-va Đức Chúa Trời các ngươi ban cho mình làm sản nghiệp.
And to the Reubenites and the Gadites and the half-tribe of Manasseh, Joshua said,|Giô-suê cũng nói cùng người Ru-bên, người Gát, và phân nửa chi phái Ma-na-se mà rằng:
Keep in mind what Moses, the servant of the Lord, said to you, The Lord your God is sending you rest and will give you this land.|Hãy nhớ lại điều Môi-se, tôi tớ Giê-hô-va, đã dặn các ngươi, khi người có nói: Giê-hô-va Đức Chúa Trời các ngươi đã cho các ngươi an nghỉ và ban xứ này cho các ngươi.
Your wives, your little ones, and your cattle will be kept here in the land which Moses gave you on this side of Jordan; but you, the fighting-men, are to go over before your brothers, armed, to give them help;|Vợ, con nhỏ, và bầy súc vật các ngươi sẽ ở trong xứ mà Môi-se ban cho các ngươi về phía bên này sông Giô-đanh; nhưng các ngươi, tức là hết thảy người mạnh dạn, phải cầm binh khí đi ngang qua trước anh em mình, và giúp đỡ họ,
Till the Lord has given your brothers rest, as he has given it to you, and they have taken their heritage in the land which the Lord your God is giving them: then you will go back to the land of your heritage which Moses, the servant of the Lord, gave you on the east side of Jordan.|cho đến chừng nào Đức Giê-hô-va ban sự an nghỉ cho anh em các ngươi, y như đã ban cho các ngươi, và đến khi họ cũng đã nhận được xứ mà Giê-hô-va Đức Chúa Trời các ngươi ban cho. Đoạn, các ngươi sẽ trở về xứ mình, là xứ Môi-se, tôi tớ của Đức Giê-hô-va, đã ban cho các ngươi ở phía bên này sông Giô-đanh, về hướng mặt rời mọc, rồi các ngươi sẽ lấy nó làm sản nghiệp.
Then they said to Joshua in answer, Whatever you say to us we will do, and wherever you send us we will go.|Những người ấy thưa cùng Giô-suê rằng: Chúng tôi sẽ làm mọi điều ông dặn biểu, và đi khắp nơi nào ông sai
