
					Judges 1				|
						Các Thủ Lãnh 1					
Now after the death of Joshua, the children of Israel made request to the Lord, saying, Who is to go up first to make war for us against the Canaanites?|Sau khi Giô-suê qua đời, dân Y-sơ-ra-ên bèn cầu hỏi Đức Giê-hô-va, mà rằng: Ai là người trong chúng tôi phải đi lên trước đặng đánh dân Ca-na-an?
And the Lord said, Judah is to go up: see, I have given the land into his hands.|Đức Giê-hô-va đáp rằng: Ay là người Giu-đa phải đi lên; kìa, ta đã phó xứ vào tay họ.
Then Judah said to Simeon his brother, Come up with me into my heritage, so that we may make war against the Canaanites; and I will then go with you into your heritage. So Simeon went with him.|Người Giu-đa bèn nói cùng người Si-mê-ôn, là anh em mình, rằng: Hãy đi lên cùng tôi trong xứ đã bắt thăm về tôi, thì chúng ta sẽ đánh dân Ca-na-an; rồi tôi cũng sẽ đi cùng anh em đến xứ đã bắt thăm về anh em. Người Si-mê-ôn bèn đi với họ.
And Judah went up; and the Lord gave the Canaanites and the Perizzites into their hands; and they overcame ten thousand of them in Bezek.|Vậy, người Giu-đa đi lên, Đức Giê-hô-va phó dân Ca-na-an và dân Phê-rê-sít vào tay họ; tại Bê-xéc họ đánh giết một vạn người.
And they came across Adoni-zedek, and made war on him; and they overcame the Canaanites and the Perizzites.|Ở Bê-xéc cũng có gặp A-đô-ni-Bê-xéc, bèn xông vào người, đánh bại dân Ca-na-an và dân Phê-rê-sít.
But Adoni-zedek went in flight; and they went after him and overtook him, and had his thumbs and his great toes cut off.|A-đô-ni-Bê-xéc chạy trốn, nhưng chúng đuổi theo, bắt được người, chặt ngón cái của tay và chơn.
And Adoni-zedek said, Seventy kings, whose thumbs and great toes had been cut off, got broken meat under my table: as I have done, so has God done to me in full. And they took him to Jerusalem, and he came to his end there.|Bấy giờ A-đô-ni-Bê-xéc nói rằng: Có bảy mươi vua bị chặt ngón cái của tay và chơn, lượm vật chi rớt dưới bàn ta. Điều ta đã làm, Đức Chúa Trời lại báo ứng ta. Người ta dẫn vua đến Giê-ru-sa-lem, và người chết tại đó.
Then the children of Judah made an attack on Jerusalem, and took it, burning down the town after they had put its people to the sword without mercy.|Người Giu-đa hãm đánh thành Giê-ru-sa-lem và chiếm lấy, dùng lưỡi gươm giết dân cư, và phóng hỏa thành.
After that the children of Judah went down to make war on the Canaanites living in the hill-country and in the south and in the lowlands.|Kế ấy, người Giu-đa đi xuống đặng đánh dân Ca-na-an ở trên núi, miền nam, và đồng bằng;
And Caleb went against the Canaanites of Hebron: (now in earlier times Hebron was named Kiriath-arba:) and he put Sheshai and Ahiman and Talmai to the sword.|lại đi đánh dân Ca-na-an ở tại Hếp-rôn , và đánh Sê-sai, A-hi-man, cùng Tanh-mai.
And from there he went up against the people of Debir. (Now the name of Debir in earlier times was Kiriath-sepher.)|Từ đó, người Giu-đa đi đánh dân cư của Đê-bia .
And Caleb said, I will give Achsah, my daughter, as wife to the man who overcomes Kiriath-sepher and takes it.|Ca-lép bèn nói: Ai hãm đánh Ki-ri-át-Sê-phe, và chiếm lấy nó, thì ta sẽ gả con gái ta là Ac-sa cho người ấy làm vợ.
And Othniel, the son of Kenaz, Caleb's younger brother, took it; so he gave him his daughter Achsah for his wife.|Bấy giờ, Ot-ni-ên, con trai Kê-na, em thứ Ca-lép, chiếm lấy thành đó, nên Ca-lép gả con gái mình là Ac-sa cho người làm vợ.
Now when she came to him, he put into her mind the idea of requesting a field from her father: and she got down from her ass; and Caleb said to her, What is it?|Khi nàng đã đến nhà Ot-ni-ên, nàng giục người xin cha mình một miếng ruộng. Nàng xuống khỏi lừa, thì Ca-lép hỏi rằng: Con muốn chi?
