
					Ruth 1				|
						Ru-tơ 1					
Now there came a time, in the days of the judges, when there was no food in the land. And a certain man went from Beth-lehem-judah, he and his wife and his two sons, to make a living-place in the country of Moab.|Trong đời các quan xét, một cơn đói kém xảy đến trong xứ, có một người từ Bết-lê-hem xứ Giu-đa, đi với vợ và hai con trai mình đến kiều ngụ trong xứ Mô-áp.
And the name of the man was Elimelech, and the name of his wife Naomi, and the name of his two sons Mahlon and Chilion, Ephrathites of Beth-lehem-judah. And they came into the country of Moab, and were there for some time.|Người tên là Ê-li-mê-léc, vợ tên là Na-ô-mi, hai con trai tên là Mạc-lôn và Ki-li-ôn, đều là dân Ê-phơ-rát về Bết-lê-hem trong xứ Giu-đa. Đến xứ Mô-áp, chúng bèn ở tại đó.
And Elimelech, Naomi's husband, came to his end; and only her two sons were with her.|Ê-li-mê-léc, chồng của Na-ô-mi, qua đời, để nàng lại với hai con trai mình.
And they took two women of Moab as their wives: the name of the one was Orpah, and the name of the other Ruth; and they went on living there for about ten years.|Chúng nó cưới vợ trong người nữ Mô-áp, người nầy tên là Ot-ba, người kia tên là Ru-tơ; họ ở tại đó độ mười năm.
And Mahlon and Chilion came to their end; and the woman was without her two sons and her husband.|Kế sau, Mạc-lôn và Ki-li-ôn cũng thác, để Na-ô-mi ở lại, không chồng không con.
So she and her daughters-in-law got ready to go back from the country of Moab, for news had come to her in the country of Moab that the Lord, in mercy for his people, had given them food.|Bấy giờ, Na-ô-mi có nghe nói rằng Đức Giê-hô-va đã đoái xem dân sự Ngài, và ban lương thực cho, bèn đứng dậy cùng hai dâu mình, đặng từ xứ Mô-áp trở về.
And she went out of the place where she was, and her two daughters-in-law with her; and they went on their way to go back to the land of Judah.|Vậy, người lìa bỏ chỗ mình đã ở, cùng hai dâu mình lên đường đặng trở về xứ Giu-đa.
And Naomi said to her two daughters-in-law, Go back to your mothers' houses: may the Lord be good to you as you have been good to the dead and to me:|Nhưng Na-ô-mi nói cùng hai dâu mình rằng: Mỗi con hãy trở về nhà mẹ mình đi. Cầu Đức Giê-hô-va lấy ơn đãi hai con như hai con đã đãi các người thác của chúng ta, và đã đãi chính mình ta!
May the Lord give you rest in the houses of your husbands. Then she gave them a kiss; and they were weeping bitterly.|Nguyện Đức Giê-hô-va ban cho hai con được bình yên ở nơi nhà chồng mới! Rồi người ôm hôn hai nàng, còn hai nàng cất tiếng lên khóc,
And they said to her, No, but we will go back with you to your people.|và nói rằng: Chúng tôi sẽ đi với mẹ đến quê hương của mẹ.
But Naomi said, Go back, my daughters; why will you come with me? Have I more sons in my body, to become your husbands?|Ma-ô-mi đáp: Hỡi con gái ta, hãy trở về, đi với mẹ làm chi? Mẹ há còn những con trai trong lòng có thế làm chồng chúng con sao?
Go back, my daughters, and go on your way; I am so old now that I may not have another husband. If I said, I have hopes, if I had a husband tonight, and might have sons,|Hỡi hai con gái ta, hãy trở về đi đi; mẹ già quá mà lấy chồng nữa. Lại dầu bây giờ mẹ nói chiều nay ta sẽ có chồng, dẫu ta sanh đẻ con trai đi nữa,
Would you keep yourselves till they were old enough? would you keep from having husbands for them? No, my daughters; but I am very sad for you that the hand of the Lord is against me.|chúng con há lại muốn đợi cho đến chúng nó khôn lớn, và không lấy chồng khác hay sao? Không, hỡi chúng con, nỗi sầu thảm của mẹ cay đắng muôn phần hơn của chúng con, vì tay của Đức Giê-hô-va đã giơ ra hại mẹ.
Then again they were weeping; and Orpah gave her mother-in-law a kiss, but Ruth would not be parted from her.|Hai nàng lại cất tiếng lên khóc. Đoạn, Ot-ba hôn và từ biệt bà gia mình; còn Ru-tơ không chịu phân rẽ người.
And Naomi said, See, your sister-in-law has gone back to her people and to her gods: go back after your sister-in-law.|Na-ô-mi nói cùng Ru-tơ rằng: Nầy, chị con đã trở về quê hương và thần của nó; con hãy trở về theo nó đi.
But Ruth said, Give up requesting me to go away from you, or to go back without you: for where you go I will go; and where you take your rest I will take my rest; your people will be my people, and your God my God.|Ru-tơ thưa rằng: Xin chớ nài tôi phân rẽ mẹ; vì mẹ đi đâu, tôi sẽ đi đó; mẹ ở nơi nào, tôi sẽ ở nơi đó. Dân sự của mẹ, tức là dân sự của tôi; Đức Chúa Trời của mẹ, tức là Đức Chúa Trời của tôi;
Wherever death comes to you, death will come to me, and there will be my last resting-place; the Lord do so to me and more if we are parted by anything but death.|mẹ thác nơi nào, tôi muốn thác và được chôn nơi đó. Ví bằng có sự chi khác hơn sự chết phân cách tôi khỏi mẹ, nguyện Đức Giê-hô-va giáng họa cho tôi!
And when she saw that Ruth was strong in her purpose to go with her she said no more.|Na-ô-mi thấy nàng quyết định theo mình, nên không nói nữa.
So the two of them went on till they came to Beth-lehem. And when they came to Beth-lehem all the town was moved about them, and they said, Is this Naomi?|Vậy, hai người đi đến Bết-lê-hem. Khi hai người đến, cả thành đều cảm động. Các người nữ hỏi rằng: Ay có phải Na-ô-mi chăng?
And she said to them, Do not let my name be Naomi, but Mara, for the Ruler of all has given me a bitter fate.|Người đáp: Chớ gọi tôi là Na-ô-mi, hãy gọi là Ma-ra, vì Đấng Toàn năng đã đãi tôi cách cay đắng lắm.
I went out full, and the Lord has sent me back again with nothing; why do you give me the name Naomi, seeing that the Lord has given witness against me, and the Ruler of all has sent sorrow on me?|Tôi đi ra được đầy dẫy, nhưng Đức Giê-hô-va dắt tôi về tay không. Đức Giê-hô-va đã giáng họa cho tôi, và Đấng Toàn năng khiến tôi bị khốn khổ, vậy còn gọi tôi là Na-ô-mi làm chi?
So Naomi came back out of the country of Moab, and Ruth the Moabitess, her daughter-in-law, with her; and they came to Beth-lehem in the first days of the grain-cutting.|Na-ô-mi và Ru-tơ, người Mô-áp, dâu của Na-ô-mi, từ ở xứ Mô-áp trở về là như vậy. Hai người đến Bết-lê-hem nhằm đầu mùa gặt lúa mạch.

					Ruth 2				|
						Ru-tơ 2					
And Naomi had a relation of her husband, a man of wealth, of the family of Elimelech; and his name was Boaz.|Na-ô-mi có một người bà con bên chồng, người có quyền thế và giàu, về họ hàng Ê-li-mê-léc; tên người là Bô-ô.
And Ruth the Moabitess said to Naomi, Now let me go into the field and take up the heads of grain after him in whose eyes I may have grace. And she said to her, Go, my daughter.|Ru-tơ, người Mô-áp, thưa cùng Na-ô-mi rằng: Xin để cho con đi ra ngoài ruộng, đặng mót gié lúa theo sau kẻ sẵn lòng cho con mót. Na-ô-mi đáp: Hỡi con, hãy đi đi.
And she went, and came and took up the heads of grain in the field after the cutters; and by chance she went into that part of the field which was the property of Boaz, who was of the family of Elimelech.|Vậy, Ru-tơ đi theo sau các con gặt mà mót trong một ruộng kia. Té ra may cho nàng gặp sở đất của Bô-ô, về họ hàng Ê-li-mê-léc.
And Boaz came from Beth-lehem, and said to the grain-cutters, The Lord be with you. And they made answer, The Lord give you his blessing.|Vả, nầy Bô-ô ở Bết-lê-hem đến, nói cùng các con gặt rằng: Nguyện Đức Giê-hô-va ở cùng các ngươi! Chúng đáp: Nguyện Đức Giê-hô-va ban phước cho ông!
