
					I Samuel 1				|
						I Sa-mu-ên 1					
Now there was a certain man of Ramathaim, a Zuphite of the hill-country of Ephraim, named Elkanah; he was the son of Jeroham, the son of Elihu, the son of Tohu, the son of Zuph, an Ephraimite:|Xưa tại Ra-ma-tha-im-xô-phim, có một người quê ở núi Ep-ra-im, tên là En-ca-na, con trai của Giê-rô-ham, cháu của Ê-li-hu, chắt của Tô-hu, chít của Xu-phơ, người Ep-ra-im;
And he had two wives, one named Hannah and the other Peninnah: and Peninnah was the mother of children, but Hannah had no children.|En-ca-na có hai người vợ, người này tên là An-ne, và người kia tên là Phê-ni-na. Phê-ni-na có con, còn An-ne không có.
Now this man went up from his town every year to give worship and to make offerings to the Lord of armies in Shiloh. And the two sons of Eli, Hophni and Phinehas, the priests of the Lord, were there.|Mỗi năm, En-ca-na ở thành mình đi lên Si-lô đặng thờ phượng Đức Giê-hô-va vạn quân, và dâng của tế lễ cho Ngài; tại Si-lô có hai con trai của Hê-li, và Hốp-ni và Phi-nê -a, thầy tế lễ của Đức Giê-hô-va.
And when the day came for Elkanah to make his offering, he gave to Peninnah his wife, and to all her sons and daughters, their part of the feast:|Đến ngày En-ca-na dâng tế lễ, thì chia của lễ ra từng phần ban cho Phê-ni-na, vợ mình, và cho các con trai và con gái mình.
But to Hannah he gave one part, though Hannah was very dear to him, but the Lord had not let her have children.|Nhưng người lại ban cho An-ne một phần bằng hai, vì người thương nàng, dẫu rằng Đức Giê-hô-va khiến cho nàng son sẻ.
And the other wife did everything possible to make her unhappy, because the Lord had not let her have children;|Kẻ phân bì nàng khôn xiết trêu ghẹo nàng, để giục nàng lằm bằm vì Đức Giê-hô-va đã khiến nàng son sẻ.
And year by year, whenever she went up to the house of the Lord, she kept on attacking her, so that Hannah gave herself up to weeping and would take no food.|Từ năm nầy đến năm kia, mỗi khi nàng đi lên đền Đức Giê-hô-va, chồng nàng đãi nàng như vậy, còn Phê-ni-na cứ trêu ghẹo nàng; An-ne khóc và không ăn.
Then her husband Elkanah said to her, Hannah, why are you weeping? and why are you taking no food? why is your heart troubled? am I not more to you than ten sons?|En-ca-na, chồng nàng, nói rằng: Hỡi An-ne, sao nàng khóc? Cớ sao không ăn và lòng buồn bực dường ấy? Ta há chẳng đáng cho nàng hơn mười đứa con trai ư?
So after they had taken food and wine in the guest room, Hannah got up. Now Eli the priest was seated by the pillars of the doorway of the Temple of the Lord.|Sau khi người ta đã ăn uống tại Si-lô rồi, An-ne bèn đứng dậy; lúc ấy Hê-li, thầy tế lễ, đương ngồi trên một cái ghế gần bên cửa của đền Đức Giê-hô-va.
