
					Genesis 1				|
						Sáng Thế 1					
In the beginning God made the heaven and the earth.|Ban đầu Đức Chúa Trời dựng nên trời đất.
And the earth was waste and without form; and it was dark on the face of the deep: and the Spirit of God was moving on the face of the waters.|Vả, đất là vô hình và trống không, sự mờ tối ở trên mặt vực; Thần Đức Chúa Trời vận hành trên mặt nước.
And God said, Let there be light: and there was light.|Đức Chúa Trời phán rằng: Phải có sự sáng; thì có sự sáng.
And God, looking on the light, saw that it was good: and God made a division between the light and the dark,|Đức Chúa Trời thấy sự sáng là tốt lành, bèn phân sáng ra cùng tối.
Naming the light, Day, and the dark, Night. And there was evening and there was morning, the first day.|Đức Chúa Trời đặt tên sự sáng là ngày; sự tối là đêm. Vậy, có buổi chiều và buổi mai; ấy là ngày thứ nhứt.
And God said, Let there be a solid arch stretching over the waters, parting the waters from the waters.|Đức Chúa Trời lại phán rằng: Phải có một khoảng không ở giữa nước đặng phân rẽ nước cách với nước.
And God made the arch for a division between the waters which were under the arch and those which were over it: and it was so.|Ngài làm nên khoảng không, phân rẽ nước ở dưới khoảng không cách với nước ở trên khoảng không; thì có như vậy.
And God gave the arch the name of Heaven. And there was evening and there was morning, the second day.|Đức Chúa Trời đặt tên khoảng không là trời. Vậy, có buổi chiều và buổi mai; ấy là ngày thứ nhì.
And God said, Let the waters under the heaven come together in one place, and let the dry land be seen: and it was so.|Đức Chúa Trời lại phán rằng: Những nước ở dưới trời phải tụ lại một nơi, và phải có chỗ khô cạn bày ra; thì có như vậy.
And God gave the dry land the name of Earth; and the waters together in their place were named Seas: and God saw that it was good.|Đức Chúa Trời đặt tên chỗ khô cạn là đất, còn nơi nước tụ lại là biển. Đức Chúa Trời thấy điều đó là tốt lành.
And God said, Let grass come up on the earth, and plants producing seed, and fruit-trees giving fruit, in which is their seed, after their sort: and it was so.|Đức Chúa Trời lại phán rằng: Đất phải sanh cây cỏ; cỏ kết hột giống, cây trái kết quả, tùy theo loại mà có hột giống trong mình trên đất; thì có như vậy.
And grass came up on the earth, and every plant producing seed of its sort, and every tree producing fruit, in which is its seed, of its sort: and God saw that it was good.|Đất sanh cây cỏ: cỏ kết hột tùy theo loại, cây kết quả có hột trong mình, tùy theo loại. Đức Chúa Trời thấy điều đó là tốt lành.
And there was evening and there was morning, the third day.|Vậy, có buổi chiều và buổi mai; ấy là ngày thứ ba.
And God said, Let there be lights in the arch of heaven, for a division between the day and the night, and let them be for signs, and for marking the changes of the year, and for days and for years:|Đức Chúa Trời lại phán rằng: Phải có các vì sáng trong khoảng không trên trời, đặng phân ra ngày với đêm, và dùng làm dấu để định thì tiết, ngày và năm;
And let them be for lights in the arch of heaven to give light on the earth: and it was so.|lại dùng làm vì sáng trong khoảng không trên trời để soi xuống đất; thì có như vậy.
And God made the two great lights: the greater light to be the ruler of the day, and the smaller light to be the ruler of the night: and he made the stars.|Đức Chúa Trời làm nên hai vì sáng lớn; vì lớn hơn để cai trị ban ngày, vì nhỏ hơn để cai trị ban đêm; Ngài cũng làm các ngôi sao.
And God put them in the arch of heaven, to give light on the earth;|Đức Chúa Trời đặt các vì đó trong khoảng không trên trời, đặng soi sáng đất,
To have rule over the day and the night, and for a division between the light and the dark: and God saw that it was good.|đặng cai trị ban ngày và ban đêm, đặng phân ra sự sáng với sự tối. Đức Chúa Trời thấy điều đó là tốt lành.
And there was evening and there was morning, the fourth day.|Vậy, có buổi chiều và buổi mai; ấy là ngày thứ tư.
And God said, Let the waters be full of living things, and let birds be in flight over the earth under the arch of heaven.|Đức Chúa Trời lại phán rằng: Nước phải sanh các vật sống cho nhiều, và các loài chim phải bay trên mặt đất trong khoảng không trên trời.
And God made great sea-beasts, and every sort of living and moving thing with which the waters were full, and every sort of winged bird: and God saw that it was good.|Đức Chúa Trời dựng nên các loài cá lớn, các vật sống hay động nhờ nước mà sanh nhiều ra, tùy theo loại, và các loài chim hay bay, tùy theo loại. Đức Chúa Trời thấy điều đó là tốt lành.
And God gave them his blessing, saying, Be fertile and have increase, making all the waters of the seas full, and let the birds be increased in the earth.|Đức Chúa Trời ban phước cho các loài đó mà phán rằng: Hãy sanh sản, thêm nhiều, làm cho đầy dẫy dưới biển; còn các loài chim hãy sanh sản trên đất cho nhiều.
And there was evening and there was morning, the fifth day.|Vậy, có buổi chiều và buổi mai; ấy là ngày thứ năm.
And God said, Let the earth give birth to all sorts of living things, cattle and all things moving on the earth, and beasts of the earth after their sort: and it was so.|Đức Chúa Trời lại phán rằng: Đất phải sanh các vật sống tùy theo loại, tức súc vật, côn trùng, và thú rừng, đều tùy theo loại; thì có như vậy.
And God made the beast of the earth after its sort, and the cattle after their sort, and everything moving on the face of the earth after its sort: and God saw that it was good.|Đức Chúa Trời làm nên các loài thú rừng tùy theo loại, súc vật tùy theo loại, và các côn trùng trên đất tùy theo loại, Đức Chúa Trời thấy điều đó là tốt lành.
And God said, Let us make man in our image, like us: and let him have rule over the fish of the sea and over the birds of the air and over the cattle and over all the earth and over every living thing which goes flat on the earth.|Đức Chúa Trời phán rằng: Chúng ta hãy làm nên loài người như hình ta và theo tượng ta, đặng quản trị loài cá biển, loài chim trời, loài súc vật, loài côn trùng bò trên mặt đất, và khắp cả đất.
And God made man in his image, in the image of God he made him: male and female he made them.|Đức Chúa Trời dựng nên loài người như hình Ngài; Ngài dựng nên loài người giống như hình Đức Chúa Trời; Ngài dựng nên người nam cùng người nữ.
And God gave them his blessing and said to them, Be fertile and have increase, and make the earth full and be masters of it; be rulers over the fish of the sea and over the birds of the air and over every living thing moving on the earth.|Đức Chúa Trời ban phước cho loài người và phán rằng: Hãy sanh sản, thêm nhiều, làm cho đầy dẫy đất; hãy làm cho đất phục tùng, hãy quản trị loài cá dưới biển, loài chim trên trời cùng các vật sống hành động trên mặt đất.
And God said, See, I have given you every plant producing seed, on the face of all the earth, and every tree which has fruit producing seed: they will be for your food:|Đức Chúa Trời lại phán rằng: Nầy, ta sẽ ban cho các ngươi mọi thứ cỏ kết hột mọc khắp mặt đất, và các loài cây sanh quả có hột giống; ấy sẽ là đồ ăn cho các ngươi.
