
					Exodus 1				|
						Xuất Hành 1					
Now these are the names of the sons of Israel who came into Egypt; every man and his family came with Jacob.|Đây là tên các con trai của Y-sơ-ra-ên, mỗi người đều dẫn người nhà mình đi với Gia-cốp đến xứ Ê-díp-tô:
Reuben, Simeon, Levi, and Judah;|Ru-bên, Si-mê-ôn, Lê-vi và Giu-đa;
Issachar, Zebulun, and Benjamin;|Y-sa-ca, Sa-bu-lôn và Bên-gia-min;
Dan and Naphtali, Gad and Asher.|Đan, Nép-ta-li, Gát, và A-se.
All the offspring of Jacob were seventy persons: and Joseph had come to Egypt before them.|Hết thảy những người bởi Gia-cốp sanh ra, được bảy mươi người; Giô-sép đã ở tại xứ Ê-díp-tô.
Then Joseph came to his end, and all his brothers, and all that generation.|Vả, Giô-sép và anh em người cùng mọi kẻ đồng đời đó đều chết hết.
And the children of Israel were fertile, increasing very greatly in numbers and in power; and the land was full of them.|Con cháu Y-sơ-ra-ên thêm nhiều lạ lùng, nẩy nở ra, và trở nên rất cường thạnh; cả xứ đều đầy dẫy.
Now a new king came to power in Egypt, who had no knowledge of Joseph.|Nhưng bấy giờ tại nước Ê-díp-tô, có một vua mới lên ngôi, chẳng quen biết Giô-sép.
And he said to his people, See, the people of Israel are greater in number and in power than we are:|Vua phán cùng dân mình rằng: Nầy, dân Y-sơ-ra-ên đông và mạnh hơn chúng ta;
Let us take care for fear that their numbers may become even greater, and if there is a war, they may be joined with those who are against us, and make an attack on us, and go up out of the land.|hè! ta hãy dùng chước khôn ngoan đối cùng họ, kẻo họ thêm nhiều lên, một mai nếu có cơn chinh chiến xảy đến, họ sẽ hiệp cùng quân nghịch đánh lại ta, và ra khỏi xứ chăng.
So they put overseers of forced work over them, in order to make their strength less by the weight of their work. And they made store-towns for Pharaoh, Pithom and Raamses.|Vậy, người Ê-díp-tô bèn đặt các kẻ đầu xâu để bắt dân Y-sơ-ra-ên làm xâu khó nhọc; họ xây thành Phi-thom và Ram-se dùng làm kho tàng cho Pha-ra-ôn.
But the more cruel they were to them, the more their number increased, till all the land was full of them. And the children of Israel were hated by the Egyptians.|Nhưng người Ê-díp-tô càng bắt làm khó nhọc chừng nào, dân Y-sơ-ra-ên càng thêm nhiều lên, và tràn ra chừng nấy. Người Ê-díp-tô bèn đem lòng ghen ghét dân Y-sơ-ra-ên,
And they gave the children of Israel even harder work to do:|bắt làm công việc nhọc nhằn,
And made their lives bitter with hard work, making building-material and bricks, and doing all sorts of work in the fields under the hardest conditions.|gây cho đời dân ấy nên cay đắng, vì nỗi khổ sở nhồi đất, làm gạch và mọi việc khác ở ngoài đồng. Các công việc nầy người Ê-díp-tô bắt dân Y-sơ-ra-ên làm nhọc nhằn lắm.
And the king of Egypt said to the Hebrew women who gave help at the time of childbirth (the name of the one was Shiphrah and the name of the other Puah),|Vua xứ Ê-díp-tô cũng phán cùng các bà mụ của dân Hê-bơ-rơ, một người tên Siếp-ra và một người tên Phu -a,
When you are looking after the Hebrew women in childbirth, if it is a son you are to put him to death; but if it is a daughter, she may go on living.|mà rằng: Khi các ngươi đi rước thai cho người đàn bà Hê-bơ-rơ, hễ thấy sanh con trai, thì hãy làm cho chết đi; còn con gái, thì hãy để cho sống.
But the women had the fear of God, and did not do as the king of Egypt said, but let the male children go on living.|Nhưng các bà mụ kính sợ Đức Chúa Trời, chẳng làm theo lời vua Ê-díp-tô phán dặn, đều để cho các con trai sống hết.
And the king of Egypt sent for the women, and said to them, Why have you done this, and let the male children go on living?|Vua xứ Ê-díp-tô bèn đòi những bà mụ mà phán rằng: Sao các ngươi làm như vậy, để cho những con trai sống?
And they said to Pharaoh, Because the Hebrew women are not like the Egyptian women, for they are strong, and the birth takes place before we come to them.|Các bà mụ tâu rằng: Ay tại người đàn bà Hê-bơ-rơ chẳng phải như người đàn bà Ê-díp-tô; vì họ mạnh khỏe hơn, đã sanh nở trước khi mụ đến.
And the blessing of God was on these women: and the people were increased in number and became very strong.|Đức Chúa Trời ban ơn cho những bà mụ; dân sự gia thêm và trở nên đông đúc.
And because the women who took care of the Hebrew mothers had the fear of God, he gave them families.|Ay vậy, vì bà mụ có lòng kính sợ Đức Chúa Trời, nên Ngài làm cho nhà họ được thạnh vượng.
And Pharaoh gave orders to all his people, saying, Every son who comes to birth is to be put into the river, but every daughter may go on living.|Pha-ra-ôn bèn truyền lịnh cho cả dân mình rằng: Phàm con trai của dân Hê-bơ-rơ mới sanh, hãy liệng xuống sông; còn con gái, thì để cho sống.

					Exodus 2				|
						Xuất Hành 2					
Now a man of the house of Levi took as his wife a daughter of Levi.|Vả, có một người trong họ Lê-vi đi cưới con gái Lê-vi làm vợ.
And she became with child and gave birth to a Son; and when she saw that he was a beautiful child, she kept him secretly for three months.|Nàng thọ thai, và sanh một con trai; thấy con ngộ, nên đem đi giấu trong ba tháng.
And when she was no longer able to keep him secret, she made him a basket out of the stems of water-plants, pasting sticky earth over it to keep the water out; and placing the baby in it she put it among the plants by the edge of the Nile.|Nhưng giấu lâu hơn nữa không được, nàng bèn lấy một cái rương mây, trét chai và nhựa thông, rồi để đứa trẻ vào, đem thả trong đám sậy dựa mé sông.
And his sister took her place at a distance to see what would become of him.|Người chị đứa trẻ đứng xa nơi đó đặng cho biết nó sẽ ra sao.
Now Pharaoh's daughter came down to the Nile to take a bath, while her women were walking by the riverside; and she saw the basket among the river-plants, and sent her servant-girl to get it.|Vả, bấy giờ, con gái Pha-ra-ôn xuống sông tắm, còn các con đòi đi dạo chơi trên mé sông; công chúa thấy cái rương mây đó giữa đám sậy, bèn sai con đòi mình đi vớt lên.
And opening it, she saw the child, and he was crying. And she had pity on him, and said, This is one of the Hebrews' children.|Công chúa mở rương ra, thấy đứa trẻ, là một đứa con trai nhỏ đương khóc, bèn động lòng thương xót mà rằng: Ay là một đứa con của người Hê-bơ-rơ.
Then his sister said to Pharaoh's daughter, May I go and get you one of the Hebrew women to give him the breast?|Người chị đứa trẻ bèn nói cùng công chúa rằng: Tôi phải đi kêu một người vú trong bọn đàn bà Hê-bơ-rơ đặng cho dứa trẻ bú chớ?
And Pharaoh's daughter said to her, Go. And the girl went and got the child's mother.|Công chúa đáp rằng: Hãy đi đi. Người gái trẻ đó kêu mẹ của đứa trẻ.
And Pharaoh's daughter said to her, Take the child away and give it milk for me, and I will give you payment. And the woman took the child and gave it milk at her breast.|Công chúa nói rằng: Hãy đem đứa trẻ nầy về nuôi bú cho ta; ta sẽ trả tiền công cho. Người đàn bà ẵm đứa trẻ mà cho bú.
And when the child was older, she took him to Pharaoh's daughter and he became her son, and she gave him the name Moses, Because, she said, I took him out of the water.|Khi lớn khôn rồi, người bèn dẫn nó vào cho công chúa, nàng nhận làm con, và đặt tên là Môi-se, vì nàng nói rằng: Ta đã vớt nó khỏi nước.
Now when Moses had become a man, one day he went out to his people and saw how hard their work was; and he saw an Egyptian giving blows to a Hebrew, one of his people.|Vả, đang lúc đó, Môi-se đã lớn khôn rồi, ra đi đến cùng anh em mình, xem thấy công việc nhọc nhằn của họ; cũng thấy một người Ê-díp-tô đánh một người Hê-bơ-rơ trong vòng anh em mình;
And turning this way and that, and seeing no one, he put the Egyptian to death, covering his body with sand.|ngó quanh quất chẳng thấy ai, bèn giết người Ê-díp-tô đem vùi trong cát.
And he went out the day after and saw two of the Hebrews fighting: and he said to him who was in the wrong, Why are you fighting your brother?|Qua ngày sau, Môi-se đi ra nữa, thấy hai người Hê-bơ-rơ đánh lộn, bèn nói cùng người có lỗi rằng: Sao ngươi đánh người đồng loại mình?
And he said, Who made you a ruler and a judge over us? are you going to put me to death as you did the Egyptian? And Moses was in fear, and said, It is clear that the thing has come to light.|Nhưng người đó đáp rằng: Ai đặt ngươi làm vua, làm quan án cho chúng ta? Có phải muốn giết ta như đã giết người Ê-díp-tô kia chăng? Môi-se sợ, nói rằng: Chắc thật, việc nầy phải lậu rồi.
Now when Pharaoh had news of this, he would have put Moses to death. But Moses went in flight from Pharaoh into the land of Midian: and he took his seat by a water-spring.|Pha-ra-ôn hay việc đó, thì tìm giết Môi-se; nhưng người trốn đi khỏi mặt Pha-ra-ôn, dừng chân tại xứ Ma-đi-an, và ngồi gần bên một cái giếng.
Now the priest of Midian had seven daughters: and they came to get water for their father's flock.|Vả, thầy tế lễ xứ Ma-đi-an có bảy con gái; các nàng đó đến giếng xách nước đổ đầy máng đặng cho bầy chiên cha mình uống.
And the keepers of the sheep came up and were driving them away; but Moses got up and came to their help, watering their flock for them.|Nhưng các kẻ chăn chiên đến đuổi đi; Môi-se bèn đứng dậy, binh vực các nàng đó và cho những bầy chiên uống nước.
And when they came to Reuel their father, he said, How is it that you have come back so quickly today?|Khi mấy nàng trở về nhà Rê -u-ên, cha mình, thì người hỏi rằng: Sao bữa nay các con về sớm vậy?
And they said, An Egyptian came to our help against the keepers of sheep and got water for us and gave it to the flock.|Thưa rằng: Một người Ê-díp-tô cứu chúng tôi ra khỏi tay bọn chăn chiên, và cũng có xách nước nhiều quá cho bầy chiên uống nữa.
And he said to his daughters, Where is he? why have you let the man go? make him come in and give him a meal.|Cha lại hỏi rằng: Người đó bây giờ ở đâu? Sao các con bỏ người đi? Hãy mời đến đặng ăn bánh.
And Moses was happy to go on living with the man; and he gave his daughter Zipporah to Moses.|Môi-se ưng ở cùng người nầy, người bèn gả Sê-phô-ra, con gái mình, cho Môi-se.
And she gave birth to a son, to whom he gave the name Gershom: for he said, I have been living in a strange land.|Nàng sanh một con trai; Môi-se đặt tên là Ghẹt-sôn vì nói rằng: Tôi kiều ngụ nơi ngoại bang.
Now after a long time the king of Egypt came to his end: and the children of Israel were crying in their grief under the weight of their work, and their cry for help came to the ears of God.|Sau cách lâu, vua xứ Ê-díp-tô băng; dân Y-sơ-ra-ên than thở kêu van vì phải phục dịch khổ sở; tiếng kêu van lên thấu Đức Chúa Trời.
And at the sound of their weeping the agreement which God had made with Abraham and Isaac and Jacob came to his mind.|Ngài nghe tiếng than thở chúng, nhớ đến sự giao ước mình kết lập cùng Ap-ra-ham, Y-sác và Gia-cốp.
And God's eyes were turned to the children of Israel and he gave them the knowledge of himself.|Đức Chúa Trời đoái lại dân Y-sơ-ra-ên, nhận biết cảnh ngộ của chúng.

					Exodus 3				|
						Xuất Hành 3					
Now Moses was looking after the flock of Jethro, his father-in-law, the priest of Midian: and he took the flock to the back of the waste land and came to Horeb, the mountain of God.|Vả, Môi-se chăn bầy chiên cho Giê-trô, ông gia mình, là thầy tế lễ tại xứ Ma-đi-an; dẫn bầy chiên qua phía bên kia đồng vắng, đến núi của Đức Chúa Trời, là núi Hô-rếp.
And the angel of the Lord was seen by him in a flame of fire coming out of a thorn-tree: and he saw that the tree was on fire, but it was not burned up.|Thiên sứ của Đức Giê-hô-va hiện ra cùng người trong ngọn lửa, giữa bụi gai kia. Người nhìn thấy cả bụi gai đang cháy, nhưng không hề tàn.
And Moses said, I will go and see this strange thing, why the tree is not burned up,|Môi-se bèn nói rằng: Ta hãy tẻ bước lại đặng xem sự lạ lớn nầy, vì cớ sao bụi gai chẳng tàn chút nào.
And when the Lord saw him turning to one side to see, God said his name out of the tree, crying, Moses, Moses. And he said, Here am I.|Đức Giê-hô-va thấy người tẻ bước lại xem, Đức Chúa Trời bèn ở giữa bụi gai gọi rằng: Hỡi Môi-se, hỡi Môi-se! Người thưa rằng: Có tôi đây!
And he said, Do not come near: take off your shoes from your feet, for the place where you are is holy.|Đức Chúa Trời phán rằng: Chớ lại gần chốn nầy, Hãy cổi giầy ngươi ra, vì chỗ ngươi đang đứng là đất thánh.
And he said, I am the God of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob. And Moses kept his face covered for fear of looking on God.|Rồi Ngài lại nói: Ta là Đức Chúa Trời của tổ phụ ngươi, Đức Chúa Trời của Ap-ra-ham, Đức Chúa Trời của Y-sác, và Đức Chúa Trời của Gia-cốp. Môi-se liền che mặt, vì sợ nhìn đến Đức Chúa Trời.
And God said, Truly, I have seen the grief of my people in Egypt, and their cry because of their cruel masters has come to my ears; for I have knowledge of their sorrows;|Đức Giê-hô-va phán rằng: Ta đã thấy rõ ràng sự cực khổ của dân ta tại xứ Ê-díp-tô, và có nghe thấu tiếng kêu rêu vì cớ người đốc công của nó; phải, ta biết được nỗi đau đớn của nó.
And I have come down to take them out of the hands of the Egyptians, guiding them out of that land into a good land and wide, into a land flowing with milk and honey; into the place of the Canaanite and the Hittite and the Amorite and the Perizzite and the Hivite and the Jebusite.|Ta ngự xuống đặng cứu dân nầy khỏi tay người Ê-díp-tô, dẫn từ xứ ấy lên đến một xứ kia đẹp đẽ và rộng rãi, đượm sữa và mật, tức là nơi dân Ca-na-an, dân Hê-tít, dân A-mô-rít, dân Phê-rê-sít, dân Hê-vít và dân Giê-bu-sít ở.
For now, truly, the cry of the children of Israel has come to me, and I have seen the cruel behaviour of the Egyptians to them.|Nầy, tiếng kêu rêu của dân Y-sơ-ra-ên thấu đến ta, và ta đã thấy dân Ê-díp-tô hà hiếp chúng nó thể nào;
Come, then, and I will send you to Pharaoh, so that you may take my people, the children of Israel, out of Egypt.|vậy bây giờ, hãy lại đây, đặng ta sai ngươi đi đến Pha-ra-ôn, để dắt dân ta, là dân Y-sơ-ra-ên, ra khỏi xứ Ê-díp-tô.
And Moses said to God, Who am I to go to Pharaoh and take the children of Israel out of Egypt?|Môi-se bèn thưa rằng: Tôi là ai, dám đi đến Pha-ra-ôn, đặng dắt dân Y-sơ-ra-ên ra khỏi xứ Ê-díp-tô?
And he said, Truly I will be with you; and this will be the sign to you that I have sent you: when you have taken the children of Israel out of Egypt, you will give worship to God on this mountain.|Đức Chúa Trời phán rằng: Ta sẽ ở cùng ngươi; nầy là điều làm dấu cho ngươi biết rằng ta đã sai ngươi đi: Khi ngươi dắt dân sự ra khỏi xứ Ê-díp-tô rồi, thì các ngươi sẽ phụng sự Đức Chúa Trời tại trên núi nầy.
And Moses said to God, When I come to the children of Israel and say to them, The God of your fathers has sent me to you: and they say to me, What is his name? what am I to say to them?|Môi-se thưa cùng Đức Chúa Trời rằng: Nầy, tôi sẽ đi đến dân Y-sơ-ra-ên, nói cùng họ rằng: Đức Chúa Trời của tổ phụ các ngươi sai ta đến cùng các ngươi; nhưng nếu họ hỏi: Tên Ngài là chi? thì tôi nói với họ làm sao?
And God said to him, I AM WHAT I AM: and he said, Say to the children of Israel, I AM has sent me to you.|Đức Chúa Trời phán rằng: Ta là Đấng Tự Hữu Hằng Hữu; rồi Ngài lại rằng: Hãy nói cho dân Y-sơ-ra-ên như vầy: Đấng Tự Hữu đã sai ta đến cùng các ngươi.
And God went on to say to Moses, Say to the children of Israel, The Lord, the God of your fathers, the God of Abraham, of Isaac, and of Jacob, has sent me to you: this is my name for ever, and this is my sign to all generations.|Đức Chúa Trời lại phán cùng Môi-se rằng: Ngươi sẽ nói cho dân Y-sơ-ra-ên như vầy: Giê-hô-va, Đức Chúa Trời của tổ phụ các ngươi, Đức Chúa Trời của Ap-ra-ham, Đức Chúa Trời của Y-sác, Đức Chúa Trời của Gia-cốp, sai ta đến cùng các ngươi. Ay đó là danh đời đời của ta, ấy sẽ là kỷ niệm của ta trải qua các đời.
Go and get together the chiefs of the children of Israel, and say to them, The Lord, the God of your fathers, the God of Abraham, of Isaac, and of Jacob, has been seen by me, and has said, Truly I have taken up your cause, because of what is done to you in Egypt;|Hãy đi, hội hiệp các trưởng lão Y-sơ-ra-ên, mà nói cùng họ rằng: Giê-hô-va, Đức Chúa Trời của tổ phụ các ngươi, Đức Chúa Trời của Ap-ra-ham, Đức Chúa Trời của Y-sác, Đức Chúa Trời của Gia-cốp, đã hiện ra cùng ta mà phán rằng: Thật vậy, ta đã thăm viếng các ngươi, thấy điều họ đãi các ngươi tại xứ Ê-díp-tô,
