
					Leviticus 1				|
						Lê-vi 1					
And the voice of the Lord came to Moses out of the Tent of meeting, saying,|Đức Giê-hô-va từ trong hội mạc gọi Môi-se mà phán rằng:
Give these orders to the children of Israel: When anyone of you makes an offering to the Lord, you are to take it from the cattle, from the herd or from the flock.|Hãy nói cùng dân Y-sơ-ra-ên rằng: Khi người nào trong vòng các ngươi dâng của lễ cho Đức Giê-hô-va, thì phải dâng súc vật, hoặc bò, hoặc chiên.
If the offering is a burned offering of the herd, let him give a male without a mark: he is to give it at the door of the Tent of meeting so that he may be pleasing to the Lord.|Nếu lễ vật của ngươi là của lễ thiêu bằng bò, thì phải dùng con đực không tì vít, dâng lên tại cửa hội mạc, trước mặt Đức Giê-hô-va, để được Ngài đẹp lòng nhậm lấy.
And he is to put his hand on the head of the burned offering and it will be taken for him, to take away his sin.|Ngươi sẽ nhận tay mình trên đầu con sinh, nó sẽ được nhậm thế cho, hầu chuộc tội cho người.
And the ox is to be put to death before the Lord: then Aaron's sons, the priests, are to take the blood and put some of it on and round the altar which is at the door of the Tent of meeting.|Đoạn, người sẽ giết bò tơ trước mặt Đức Giê-hô-va, rồi các con trai A-rôn, tức những thầy tế lễ, sẽ dâng huyết lên, và rưới chung quanh trên bàn thờ tại nơi cửa hội mạc.
And the burned offering is to be skinned and cut up into its parts.|Kế đó, lột da con sinh, và sả thịt ra từng miếng.
And Aaron's sons, the priests, are to put fire on the altar and put the wood in order on the fire:|Các con trai thầy tế lễ A-rôn sẽ châm lửa trên bàn thờ, chất củi chụm lửa;
And Aaron's sons, the priests, are to put the parts, the head and the fat, in order on the wood which is on the fire on the altar:|rồi các con trai A-rôn, tức những thầy tế lễ sắp các miếng thịt, đầu và mỡ lên trên củi đã chụm lửa nơi bàn thờ.
But its inside parts and its legs are to be washed with water, and it will all be burned on the altar by the priest for a burned offering, an offering made by fire, for a sweet smell to the Lord.|Người sẽ lấy nước rửa bộ lòng và giò, rồi thấy tế lễ đem hết mọi phần xông nơi bàn thờ; ấy là của lễ thiêu, tức một của lễ dùng lữa dâng lên, có mùi thơm cho Đức Giê-hô-va.
And if his offering is of the flock, a burned offering of sheep or goats, let him give a male without a mark.|Nếu lễ vật người là của lễ thiêu bằng súc vật nhỏ, hoặc chiên hay dê, thì phải dâng một con đực không tì vít,
And he is to put it to death on the north side of the altar before the Lord: and Aaron's sons, the priests, are to put some of the blood on and round the altar.|giết nó nơi hướng bắc của bàn thờ, trước mặt Đức Giê-hô-va; rồi các con trai A-rôn, tức những thầy tế lễ, sẽ rưới huyết chung quanh trên bàn thờ;
And the offering is to be cut into its parts, with its head and its fat; and the priest is to put them in order on the wood which is on the fire on the altar:|sả thịt từng miếng, để riêng đầu và mỡ ra; thầy tế lễ sẽ chất các phần đó trên củi đã chụm lửa nơi bàn thờ.
But the inside parts and the legs are to be washed with water; and the priest will make an offering of all of it, burning it on the altar: it is a burned offering, an offering made by fire, for a sweet smell to the Lord.|Người sẽ lấy nước rửa bộ lòng và giò; đoạn thầy tế lễ dâng và xông hết mọi phần trên bàn thờ; ấy là của lễ thiêu, tức một của lễ dùng lửa dâng lên, có mùi thơm cho Đức Giê-hô-va.
And if his offering to the Lord is a burned offering of birds, then he is to make his offering of doves or of young pigeons.|Nếu lễ vật người dâng cho Đức Giê-hô-va là một của lễ thiêu bằng chim, thì phải dùng cu đất hay là bò câu con.
And the priest is to take it to the altar, and after its head has been twisted off, it is to be burned on the altar, and its blood drained out on the side of the altar:|Thầy tế lễ sẽ đem nó đến bàn thờ, vặn rứt đầu ra, rồi xông trên bàn thờ; vắt huyết chảy nơi cạnh bàn thờ.
And he is to take away its stomach, with its feathers, and put it down by the east side of the altar, where the burned waste is put:|Người sẽ gỡ lấy cái diều và nhổ lông, liệng gần bàn thờ, về hướng đông, là chỗ đổ tro;
And let it be broken open at the wings, but not cut in two; and let it be burned on the altar by the priest on the wood which is on the fire; it is a burned offering; an offering made by fire for a sweet smell to the Lord.|đoạn xé nó ra tại nơi hai cánh, nhưng không cho rời, rồi thầy tế lễ sẽ đem xông trên bàn thờ, tại trên củi đã chụm lửa; ấy là của lễ thiêu, tức một của lễ dùng lửa dâng lên, có mùi thơm cho Đức Giê-hô-va.

					Leviticus 2				|
						Lê-vi 2					
And when anyone makes a meal offering to the Lord, let his offering be of the best meal, with oil on it and perfume:|Khi nào ai dâng cho Đức Giê-hô-va một của lễ chay, thì lễ vật người phải bằng bột lọc có chế dầu, và để nhũ hương lên trên.
