
					II Sa-mu-ên 1				|
						撒母耳記下 1					
Sau khi Sau-lơ thác, và Đa-vít đã thắng dân A-ma-lét trở về rồi, thì ở Xiết-lác hai ngày.|掃 羅 死 後 、 大 衛 擊 殺 亞 瑪 力 人 回 來 、 在 洗 革 拉 住 了 兩 天 ．
Ngày thứ ba, xảy có một người ở dinh Sau-lơ trở về, quần áo rách rưới, đầu đóng bụi, đến trước mặt Đa-vít, sấp mình xuốn đất mà lạy.|第 三 天 、 有 一 人 從 掃 羅 的 營 裡 出 來 、 衣 服 撕 裂 、 頭 蒙 灰 塵 、 到 大 衛 面 前 伏 地 叩 拜 。
Đa-vít hỏi người rằng: Người ở đâu đến? Thưa rằng: Tôi ở trại quân Y-sơ-ra-ên thoát khỏi.|大 衛 問 他 說 、 你 從 哪 裡 來 、 他 說 、 我 從 以 色 列 的 營 裡 逃 來 。
Đa-vít nói: Vậy, việc xảy ra sao? Hãy thuật cho ta. Người thưa: Dân sự đã trốn khỏi chiến trường, và có nhiều người trong họ bị ngã chết; Sau-lơ và Giô-na-than, con trai người, cũng đều chết nữa.|大 衛 又 問 他 說 、 事 情 怎 樣 、 請 你 告 訴 我 ． 他 回 答 說 、 百 姓 從 陣 上 逃 跑 、 也 有 許 多 人 仆 倒 死 亡 、 掃 羅 和 他 兒 子 約 拿 單 也 死 了 。
Đa-vít hỏi người trai trẻ đem tin ấy rằng: Làm sao ngươi biết Sau-lơ và con trai người đã chết?|大 衛 問 報 信 的 少 年 人 說 、 你 怎 麼 知 道 掃 羅 和 他 兒 子 約 拿 單 死 了 呢 。
Người trai trẻ đem tin ấy thưa rằng: Tình cờ tôi đi qua núi Ghinh-bô -a, thấy Sau-lơ nương trên cây giáo mình. Xe và lính kị theo gần kịp người.|報 信 的 少 年 人 說 、 我 偶 然 到 基 利 波 山 、 看 見 掃 羅 伏 在 自 己 槍 上 、 有 戰 車 、 馬 兵 、 緊 緊 的 追 他 。
Người xây lại thấy tôi và gọi tôi. Tôi thưa rằng: Có tôi đây.|他 回 頭 看 見 我 、 就 呼 叫 我 、 我 說 、 我 在 這 裡 ．
Người nói cùng tôi rằng: Ngươi là ai: Tôi thưa: Tôi là dân A-ma-léc.|他 問 我 說 、 你 是 甚 麼 人 、 我 說 、 我 是 亞 瑪 力 人 ．
Người bèn tiếp: Hãy lại gần giết ta đi, vì ta bị xây xẩm, nhưng hãy còn sống.|他 說 、 請 你 來 將 我 殺 死 、 因 為 痛 苦 抓 住 我 、 我 的 生 命 尚 存 。
Vậy, tôi đến gần và giết người đi, vì tôi biết người bại trận, không còn sống được. Đoạn, tôi lấy mão triều thiên trên đầu người và vòng vàng nơi cánh tay người, mà đem về đây cho chúa tôi.|我 準 知 他 仆 倒 必 不 能 活 、 就 去 將 他 殺 死 、 把 他 頭 上 的 冠 冕 、 臂 上 的 鐲 子 、 拿 到 我 主 這 裡 。
Đa-vít bèn xé quần áo mình; hết thảy những người đi theo cũng đều làm như vậy.|大 衛 就 撕 裂 衣 服 、 跟 隨 他 的 人 也 是 如 此 。
Kế ấy, chúng để tang, khóc lóc, và nhịn đói cho đến chiều tối vì Sau-lơ, vì Giô-na-than, con trai người, vì dân sự của Đức Giê-hô-va, và vì nhà Y-sơ-ra-ên, bởi chúng đã bị gươm ngã chết.|而 且 悲 哀 、 哭 號 、 禁 食 到 晚 上 、 是 因 掃 羅 和 他 兒 子 約 拿 單 、 並 耶 和 華 的 民 以 色 列 家 的 人 、 倒 在 刀 下 。
Đa-vít hỏi người trai trẻ đem tin nầy rằng: Ngươi ở đâu đến? Người thưa rằng: Tôi là con trai của một người ngoại bang, tức con của một người A-ma-léc.|大 衛 問 報 信 的 少 年 人 說 、 你 是 那 裡 的 人 、 他 說 、 我 是 亞 瑪 力 客 人 的 兒 子 。
Đa-vít nói rằng: Cớ sao ngươi không sợ giơ tay lên giết kẻ chịu xức dầu của Đức Giê-hô-va?|大 衛 說 、 你 伸 手 殺 害 耶 和 華 的 受 膏 者 、 怎 麼 不 畏 懼 呢 。
Huyết ngươi đổ lại trên đầu ngươi! Miệng ngươi đã làm chứng về ngươi, vì ngươi đã nói rằng: Chính tôi đã giết đấng chịu xức dầu của Đức Giê-hô-va.|大 衛 叫 了 一 個 少 年 人 來 、 說 、 你 去 殺 他 罷 。
Đoạn, Đa-vít gọi một người trai trẻ mà nói rằng: Hãy lại gần, xông đánh hắn! Người ấy đánh hắn, và hắn chết.|大 衛 對 他 說 、 你 流 人 血 的 罪 、 歸 到 自 己 的 頭 上 、 因 為 你 親 口 作 見 證 、 說 、 我 殺 了 耶 和 華 的 受 膏 者 ． 少 年 人 就 把 他 殺 了 。
Bây giờ, Đa-vít làm bài ai ca nầy về Sau-lơ và Giô-na-than, con trai Sau-lơ,|大 衛 作 哀 歌 、 弔 掃 羅 和 他 兒 子 約 拿 單 ．
mà truyền dạy cho các con trẻ Giu-đa: Ay là bài ai ca về Cung, chép trong sách kẻ công bình:|且 吩 咐 將 這 歌 教 導 猶 大 人 ． 這 歌 名 叫 弓 歌 、 寫 在 雅 煞 珥 書 上 。
Oi! Y-sơ-ra-ên! kẻ danh vọng của ngươi đã thác trên gò nỗng ngươi! Nhơn sao các kẻ anh hùng nầy bị ngã chết?|歌 中 說 、 以 色 列 阿 、 你 尊 榮 者 在 山 上 被 殺 ． 大 英 雄 何 竟 死 亡 。
Chớ đi tuyên cáo điều đó trong Gát, Chớ rao truyền sự ấy trong các đường phố Ach-ca-lôn. e các con gái Phi-li-tin vui vẻ, Và các con gái kẻ không chịu cắt bì mừng rỡ chăng?|不 要 在 迦 特 報 告 、 不 要 在 亞 實 基 倫 街 上 傳 揚 、 免 得 非 利 士 的 女 子 歡 樂 、 免 得 未 受 割 禮 之 人 的 女 子 矜 誇 。
