
					II Các Vua 1				|
						列王紀下 1					
Sau khi A-háp băng hà, dân Mô-áp phản nghịch cùng Y-sơ-ra-ên.|亞 哈 死 後 、 摩 押 背 叛 以 色 列 。
A-cha-xia té ngang qua song lầu mình tại Sa-ma-ri và vì cớ ấy mang bịnh. Người bèn sai sứ giả đi, mà dặn rằng: hãy đi cầu vấn Ba-anh-Xê-bụt, thần của Ec-rôn, đặng cho biết ta sẽ lành bịnh này chăng?|亞 哈 謝 在 撒 瑪 利 亞 、 一 日 從 樓 上 的 欄 杆 裡 掉 下 來 、 就 病 了 ． 於 是 差 遣 使 者 說 、 你 們 去 問 以 革 倫 的 神 巴 力 西 卜 、 我 這 病 能 好 不 能 好 。
Nhưng thiên sứ của Đức Giê-hô-va phán với Ê-li, người Thi-sê-be, rằng: Hãy chổi dậy, đi lên đón các sứ giả của vua Sa-ma-ri, và nói với họ rằng: Trong Y-sơ-ra-ên há không có Đức Chúa Trời sao, nên ngươi đi cầu vấn Ba-anh-Xê-bụt, thần của Ec-rôn?|但 耶 和 華 的 使 者 對 提 斯 比 人 以 利 亞 說 、 你 起 來 、 去 迎 著 撒 瑪 利 亞 王 的 使 者 、 對 他 們 說 、 你 們 去 問 以 革 倫 神 巴 力 西 卜 、 豈 因 以 色 列 中 沒 有 　 神 麼 。
Bởi cớ đó, Đức Giê-hô-va phán như vầy: Ngươi sẽ không xuống khỏi giường mà ngươi đã lên, nhưng hẳn sẽ chết. Đoạn, Ê-li đi.|所 以 耶 和 華 如 此 說 、 你 必 不 下 你 所 上 的 床 、 必 定 要 死 ． 以 利 亞 就 去 了 。
Các sứ giả trở về cùng A-cha-xia, người hỏi rằng: Vì sao các ngươi trở về?|使 者 回 來 見 王 、 王 問 他 們 說 、 你 們 為 甚 麼 回 來 呢 。
Chúng thưa rằng: Có một người đi lên đón chúng tôi, và nói với chúng tôi rằng: Hãy trở về cùng vua đã sai các ngươi, và nói với người rằng: Đức Giê-hô-va đã phán như vầy: Trong Y-sơ-ra-ên há không có Đức Chúa Trời sao, nên ngươi sai đi cầu vấn Ba-anh-Xê-bụt, thần của Ec-rôn? Bởi cớ đó, ngươi sẽ không xuống khỏi giường mà ngươi đã lên, nhưng hẳn sẽ chết.|使 者 回 答 說 、 有 一 個 人 迎 著 我 們 來 、 對 我 們 說 、 你 們 回 去 見 差 你 們 來 的 王 、 對 他 說 、 耶 和 華 如 此 說 、 你 差 人 去 問 以 革 倫 神 巴 力 西 卜 、 豈 因 以 色 列 中 沒 有 　 神 麼 ． 所 以 你 必 不 下 所 上 的 床 、 必 定 要 死 。
Vua bèn hỏi họ rằng: Người đi lên đón các ngươi và nói những lời ấy ra sao?|王 問 他 們 說 、 迎 著 你 們 來 告 訴 你 們 這 話 的 、 是 怎 樣 的 人 。
Chúng thưa: Người đó mặc áo lông, và thắt lưng bằng dây da. Vua nói rằng: Ay là Ê-li, người Thi-sê-be.|回 答 說 、 他 身 穿 毛 衣 、 腰 束 皮 帶 ． 王 說 、 這 必 是 提 斯 比 人 以 利 亞 。 　
Vua bèn sai một quan cai năm mươi lính đi với năm mươi lính mình lên cùng Ê-li Vả, Ê-li đương ngồi trên chót gò. Quan cai nói với người rằng: Hỡi người của Đức Chúa Trời, vua đòi ông xuống.|於 是 王 差 遣 五 十 夫 長 、 帶 領 五 十 人 去 見 以 利 亞 、 他 就 上 到 以 利 亞 那 裡 ． 以 利 亞 正 坐 在 山 頂 上 。 五 十 夫 長 對 他 說 、 神 人 哪 、 王 吩 咐 你 下 來 。
Nhưng Ê-li đáp cùng quan cai năm mươi lính rằng: Nếu ta là người của Đức Chúa Trời, nguyện lửa từ trên trời giáng xuống thiêu đốt ngươi, luôn với năm mươi lính của ngươi đi! Lửa từ trên trời liền giáng xuống thiêu đốt quan cai và năm mươi lính của người.|以 利 亞 回 答 說 、 我 若 是 神 人 、 願 火 從 天 上 降 下 來 、 燒 滅 你 和 你 那 五 十 人 。 於 是 有 火 從 天 上 降 下 來 、 燒 滅 五 十 夫 長 、 和 他 那 五 十 人 。
A-cha-xia lại sai đến Ê-li một quan cai năm mươi lính khác đi với năm mươi lính người. Qua này nói với Ê-li rằng:" Hỡi người của Đức Chúa Trời, vua phán như vầy: Hãy mau mau xuống.|王 第 二 次 差 遣 一 個 五 十 夫 長 、 帶 領 五 十 人 去 見 以 利 亞 。 五 十 夫 長 對 以 利 亞 說 、 神 人 哪 、 王 吩 咐 你 快 快 下 來 。
