
					II Sử Ký 1				|
						歷代志下 1					
Sa-lô-môn, con trai Đa-vít, được vững bền trong nước mình; Giê-hô-va Đức Chúa Trời người ở cùng người, và làm cho người rất thạnh vượng.|大 衛 的 兒 子 所 羅 門 、 國 位 堅 固 、 耶 和 華 他 的 　 神 與 他 同 在 、 使 他 甚 為 尊 大 。
Sa-lô-môn truyền bảo cả Y-sơ-ra-ên, các quan tướng ngàn người và trăm người, các quan xét và hết thảy các trưởng trong Y-sơ-ra-ên, là các trưởng tộc, phải đến;|所 羅 門 吩 咐 以 色 列 眾 人 、 就 是 千 夫 長 、 百 夫 長 、 審 判 官 、 首 領 與 族 長 都 來 。
đoạn, Sa-lô-môn và cả hội chúng đều đi lên nơi cao tại Ga-ba-ôn; vì ở đó có hội mạc của Đức Chúa Trời, mà Môi-se, tôi tớ của Đức Giê-hô-va, đã làm nơi đồng vắng|所 羅 門 和 會 眾 都 往 基 遍 的 邱 壇 去 、 因 那 裡 有 　 神 的 會 幕 、 就 是 耶 和 華 僕 人 摩 西 在 曠 野 所 製 造 的 。
.|只 是 　 神 的 約 櫃 、 大 衛 已 經 從 基 列 耶 琳 搬 到 他 所 豫 備 的 地 方 、 因 他 曾 在 耶 路 撒 冷 為 約 櫃 支 搭 了 帳 幕 ．
Vả, ở trước đền tạm của Đức Giê-hô-va có bàn thờ đồng mà Bết-sa-lê-ên, con trai U-ri, cháu Hu-rơ, đã làm; Sa-lô-môn và hội chúng đều đến nơi đó.|並 且 戶 珥 的 孫 子 烏 利 的 兒 子 比 撒 列 所 造 的 銅 壇 、 也 在 基 遍 耶 和 華 的 會 幕 前 。 所 羅 門 和 會 眾 都 就 近 壇 前 。
Sa-lô-môn đặt ở trước mặt Đức Giê-hô-va tại hội mạc, và dâng một ngàn của lễ thiêu trên bàn thờ ấy.|所 羅 門 上 到 耶 和 華 面 前 會 幕 的 銅 壇 那 裡 、 獻 一 千 犧 牲 為 燔 祭 。
Chánh đêm ấy, Đức Chúa Trời hiện đến cùng Sa-lô-môn, mà phán rằng: Ngươi muốn ta ban cho điều gì, hãy xin đi.|當 夜 　 神 向 所 羅 門 顯 現 、 對 他 說 、 你 願 我 賜 你 甚 麼 、 你 可 以 求 ．
Sa-lô-môn thưa cùng Đức Chúa Trời rằng: Chúa đã ban ơn rộng cho Đa-vít, cha tôi, và đã đặt tôi làm vua thế cho người.|所 羅 門 對 　 神 說 、 你 曾 向 我 父 大 衛 大 施 慈 愛 、 使 我 接 續 他 作 王 ．
Lạy Giê-hô-va Đức Chúa Trời, bây giờ nguyện cho lời Chúa hứa cùng Đa-vít, cha tôi, được ứng nghiệm; vì Chúa đã lập tôi lên làm vua dân sự này đông như bụi đất.|耶 和 華 　 神 阿 、 現 在 求 你 成 就 向 我 父 大 衛 所 應 許 的 話 ． 因 你 立 我 作 這 民 的 王 、 他 們 如 同 地 上 塵 沙 那 樣 多 ．
Vậy, xin Chúa ban cho tôi sự khôn ngoan và tri thức, để tôi ra vào trước mặt dân sự này; vì ai dễ xét đoán được dân của Chúa rất đông dường kia?|求 你 賜 我 智 慧 聰 明 、 我 好 在 這 民 前 出 入 ． 不 然 、 誰 能 判 斷 這 眾 多 的 民 呢 。
Đức Chúa Trời phán với Sa-lô-môn rằng: Ta đã lập ngươi làm vua dân sự ta; vả, vì ngươi có lòng như vậy, không có cầu xin sự giàu có, của cải, tôn vinh, hay là mạng sống của những kẻ ghen ghét ngươi, và cũng chẳng có xin sự sống nhưng lại cầu xin sự khôn ngoan và tri thức cho mình, để xét đoán dân sự ta,|　 神 對 所 羅 門 說 、 我 已 立 你 作 我 民 的 王 、 你 既 有 這 心 意 、 並 不 求 貲 財 豐 富 尊 榮 、 也 不 求 滅 絕 那 恨 你 之 人 的 性 命 、 又 不 求 大 壽 數 ． 只 求 智 慧 聰 明 好 判 斷 我 的 民 ．
nên ta đã ban sự khôn ngoan và tri thức cho ngươi; ta lại sẽ ban cho ngươi sự giàu có, của cải, tôn vinh, đến đỗi các vua trước ngươi không hề có như vậy, và sau ngươi cũng sẽ chẳng có vua nào được như thế.|我 必 賜 你 智 慧 聰 明 ． 也 必 賜 你 貲 財 豐 富 尊 榮 ． 在 你 以 前 的 列 王 、 都 沒 有 這 樣 、 在 你 以 後 也 必 沒 有 這 樣 的 。
