
					Nê-hê-mi-a 1				|
						尼希米記 1					
Lời của Nê-hê-mi, con trai Ha-ca-lia. Năm thứ hai mươi, nhằm tháng Kít-lơ, xảy khi tôi đương ở tại kinh đô Su-sơ,|哈 迦 利 亞 的 兒 子 尼 希 米 的 言 語 如 下 。 亞 達 薛 西 王 二 十 年 、 基 斯 流 月 、 我 在 書 珊 城 的 宮 中 。
có một người trong anh em tôi tên là Ha-na-ni với vài người Giu-đa đến tôi hỏi thăm chúng về dân Giu-đa đã được thoát khỏi, tức những kẻ đã bị bắt làm phu tù còn sót lại, và hỏi luôn về những việc Giê-ru-sa-lem.|那 時 、 有 我 一 個 弟 兄 哈 拿 尼 、 同 著 幾 個 人 從 猶 大 來 ． 我 問 他 們 那 些 被 擄 歸 回 剩 下 逃 脫 的 猶 大 人 、 和 耶 路 撒 冷 的 光 景 。
Các người ấy nói với tôi rằng: Những kẻ bị bắt làm phu tù còn sót ở lại trong tỉnh, bị tai nạn và sỉ nhục lắm; còn vách thành của Giê-ru-sa-lem thì hư nát và các cửa nó đã bị lửa cháy.|他 們 對 我 說 、 那 些 被 擄 歸 回 剩 下 的 人 、 在 猶 大 省 遭 大 難 、 受 凌 辱 ． 並 且 耶 路 撒 冷 的 城 牆 拆 毀 、 城 門 被 火 焚 燒 。
Khi tôi nghe các lời ấy, bèn ngồi mà khóc, cư tang mấy ngày; tôi cữ ăn và cầu nguyện Đức Chúa của các từng trời, mà rằng:|我 聽 見 這 話 、 就 坐 下 哭 泣 、 悲 哀 幾 日 ． 在 天 上 的 　 神 面 前 禁 食 祈 禱 說 、
Oi! Giê-hô-va Đức Chúa của các từng trời, tức Đức Chúa Trời cực đại và đáng kinh, hay giữ lời giao ước và lòng nhân từ cùng kẻ nào kính mến Ngài và vâng giữ các điều răn của Ngài!|耶 和 華 天 上 的 　 神 、 大 而 可 畏 的 　 神 阿 、 你 向 愛 你 、 守 你 誡 命 的 人 、 守 約 施 慈 愛 ．
Tôi xin mắt Chúa hãy đoái đến và lỗ tai Chúa lắng nghe lời cầu nguyện của kẻ đầy tớ Chúa mà tôi hiện lúc này hằng ngày và đêm cầu nguyện vì dân Y-sơ-ra-ên, là các tôi tớ Chúa, ở tại trước mặt Chúa và xưng những tội của dân Y-sơ-ra-ên mà chúng tôi đã phạm với Ngài. Và lại tôi và nhà của tổ phụ tôi cũng có phạm tội.|願 你 睜 眼 看 、 側 耳 聽 、 你 僕 人 晝 夜 在 你 面 前 為 你 眾 僕 人 以 色 列 民 的 祈 禱 、 承 認 我 們 以 色 列 人 向 你 所 犯 的 罪 ． 我 與 我 父 家 都 有 罪 了 ．
Chúng tôi có làm rất ác tệ nghịch cùng Chúa, không vâng giữ điều răn giới mạng và luật lệ của Chúa đã phán dạy Môi-se, là kẻ tôi tớ Chúa.|我 們 向 你 所 行 的 甚 是 邪 惡 、 沒 有 遵 守 你 藉 著 僕 人 摩 西 所 吩 咐 的 誡 命 、 律 例 、 典 章 。
Xin Chúa hãy nhớ lại lời Chúa đã phán dạy Môi-se, kẻ tôi tớ Chúa, rằng: Nếu các ngươi phạm tội, ta sẽ tan rải các ngươi giữa các dân tộc;|求 你 記 念 所 吩 咐 你 僕 人 摩 西 的 話 、 說 、 你 們 若 犯 罪 、 我 就 把 你 們 分 散 在 萬 民 中 ．
còn nếu các ngươi trở lại cùng ta, gìn giữ làm theo các điều răn của ta, dầu khi kẻ bị tan lạc của các ngươi ở cuối tận trời, ta cũng sẽ từ đó chiêu tập chúng nó về, và dẫn chúng nó đến nơi ta đã chọn đặng cho danh ta ngự tại đó.|但 你 們 若 歸 向 我 、 謹 守 遵 行 我 的 誡 命 、 你 們 被 趕 散 的 人 、 雖 在 天 涯 、 我 也 必 從 那 裡 將 他 們 招 聚 回 來 、 帶 到 我 所 選 擇 立 為 我 名 的 居 所 。
