
					Ê-xơ-tê 1				|
						以斯帖記 1					
Xảy trong đời vua A-suê-ru, tức A-suê-ru kia mà cai trị trên một trăm hai mươi bảy tỉnh, từ An-độ cho đến Ê-thi-ô-bi,|亞 哈 隨 魯 作 王 、 從 印 度 直 到 古 實 統 管 一 百 二 十 七 省 ．
khi vua ngự ngôi vương quốc tại Su-sơ, kinh đô người,|亞 哈 隨 魯 王 在 書 珊 城 的 宮 登 基 、
nhằm năm thứ ba đời trị vì mình, người bày ra một bữa tiệc yến cho hết thảy quan trưởng và thần bộc mình. Đạo binh nước Phe-rơ-sơ và Mê-đi, các bực sang trọng cùng các quan cai của hàng tỉnh đều ở trước mặt người.|在 位 第 三 年 、 為 他 一 切 首 領 臣 僕 設 擺 筵 席 ． 有 波 斯 和 瑪 代 的 權 貴 、 就 是 各 省 的 貴 冑 與 首 領 、 在 他 面 前 ．
Trong nhiều ngày, tức trong một trăm tám mươi ngày, người bày tỏ sự giàu có sang trọng của nước và sự oai nghi rực rỡ của người.|他 把 他 榮 耀 之 國 的 豐 富 、 和 他 美 好 威 嚴 的 尊 貴 、 給 他 們 看 了 許 多 日 、 就 是 一 百 八 十 日 。
Khi các ngày đó đã qua rồi, vua bày đãi hết dân sự đương có ở tại kinh đô Su-sơ, hoặc lớn hay nhỏ, một cuộc yến tiệc bảy ngày, tại nơi hành lang của thượng uyển.|這 日 子 滿 了 、 又 為 所 有 住 書 珊 城 的 大 小 人 民 、 在 御 園 的 院 子 裡 設 擺 筵 席 七 日 ．
Tư bề có treo màn trướng sắc trắng, xanh lá cây, và xanh da trời, dùng dây gai màu trắng và màu tím cột vào vòng bạc và trụ cẩm thạch; các giường sập bằng vàng và bạc, đặt trên nền lót cẩm thạch đỏ và trắng, ngọc phụng và cẩm thạch đen.|有 白 色 、 綠 色 、 藍 色 的 帳 子 、 用 細 麻 繩 紫 色 繩 從 銀 環 內 繫 在 白 玉 石 柱 上 、 有 金 銀 的 床 榻 、 擺 在 紅 白 黃 黑 玉 石 鋪 的 石 地 上 ．
Người ta đãi uống bằng chén vàng, những chén nhiều thứ khác nhau, và có ngự tửu rất nhiều, cho xứng đáng theo bực giàu sang của vua.|用 金 器 皿 賜 酒 、 器 皿 各 有 不 同 、 御 酒 甚 多 、 足 顯 王 的 厚 意 ．
Người ta uống rượu tùy theo lịnh truyền chẳng ai ép phải uống; vì vua đã truyền các thần tể cung điện hãy làm tùy ý của mỗi người muốn.|喝 酒 有 例 、 不 准 勉 強 人 、 因 王 吩 咐 宮 裡 的 一 切 臣 宰 、 讓 人 各 隨 己 意 。
Hoàng hậu Vả-thi cũng đãi một bữa tiệc cho các người nữ tại cung vua A-suê-ru.|王 后 瓦 實 提 在 亞 哈 隨 魯 王 的 宮 內 、 也 為 婦 女 設 擺 筵 席 。
Qua ngày thứ bảy, vua uống rượu, hứng lòng rồi, bèn truyền cho Mê-hu-man, Bít-tha, Hạt-bô-na, Biếc-tha, A-bác-tha, Xê-thạt và Cạt-cách, tức bảy hoạn quan hầu-chực vua A-suê-ru,|第 七 日 、 亞 哈 隨 魯 王 飲 酒 心 中 快 樂 、 就 吩 咐 在 他 面 前 侍 立 的 七 個 太 監 米 戶 幔 、 比 斯 他 、 哈 波 拿 、 比 革 他 、 亞 拔 他 、 西 達 、 甲 迦 、
dẫn hoàng hậu Vả-thi đến trước mặt vua, đội mão triều hoàng hậu, đặng tỏ ra phết lịch sự của bà cho dân sự và cho các quan trưởng xem thấy; vì tướng mạo bà rất tốt đẹp.|請 王 后 瓦 實 提 頭 戴 王 后 的 冠 冕 到 王 面 前 、 使 各 等 臣 民 看 他 的 美 貌 、 因 為 他 容 貌 甚 美 ．
Nhưng hoàng hậu Vả-thi không khứng đến theo mạng của vua truyền bởi các hoạn quan. Vua bèn nổi giận dữ, phát nóng nả trong lòng.|王 后 瓦 實 提 卻 不 肯 遵 太 監 所 傳 的 王 命 而 來 、 所 以 王 甚 發 怒 、 心 如 火 燒 。
Vả, thường khi vua có sự gì, bèn hỏi bàn các người rõ luật thông pháp.|那 時 、 在 王 左 右 常 見 王 面 、 國 中 坐 高 位 的 、 有 波 斯 和 瑪 代 的 七 個 大 臣 、 就 是 甲 示 拿 、 示 達 、 押 瑪 他 、 他 施 斯 、 米 力 、 瑪 西 拿 、 米 母 干 、 都 是 達 時 務 的 明 哲 人 ． 按 王 的 常 規 、 辦 事 必 先 詢 問 知 例 明 法 的 人 ． 王 問 他 們 說 、
