
					Xuất Hành 1				|
						出埃及記 1					
Đây là tên các con trai của Y-sơ-ra-ên, mỗi người đều dẫn người nhà mình đi với Gia-cốp đến xứ Ê-díp-tô:|以 色 列 的 眾 子 、 各 帶 家 眷 和 雅 各 一 同 來 到 埃 及 、 他 們 的 名 字 記 在 下 面 。
Ru-bên, Si-mê-ôn, Lê-vi và Giu-đa;|有 流 便 、 西 緬 、 利 未 、 猶 大 、
Y-sa-ca, Sa-bu-lôn và Bên-gia-min;|以 薩 迦 、 西 布 倫 、 便 雅 憫 、
Đan, Nép-ta-li, Gát, và A-se.|但 、 拿 弗 他 利 、 迦 得 、 亞 設 。
Hết thảy những người bởi Gia-cốp sanh ra, được bảy mươi người; Giô-sép đã ở tại xứ Ê-díp-tô.|凡 從 雅 各 而 生 的 、 共 有 七 十 人 ． 約 瑟 已 經 在 埃 及 。
Vả, Giô-sép và anh em người cùng mọi kẻ đồng đời đó đều chết hết.|約 瑟 和 他 的 弟 兄 、 並 那 一 代 的 人 都 死 了 。
Con cháu Y-sơ-ra-ên thêm nhiều lạ lùng, nẩy nở ra, và trở nên rất cường thạnh; cả xứ đều đầy dẫy.|以 色 列 人 生 養 眾 多 並 且 繁 茂 、 極 其 強 盛 、 滿 了 那 地 。
Nhưng bấy giờ tại nước Ê-díp-tô, có một vua mới lên ngôi, chẳng quen biết Giô-sép.|有 不 認 識 約 瑟 的 新 王 起 來 、 治 理 埃 及 。
Vua phán cùng dân mình rằng: Nầy, dân Y-sơ-ra-ên đông và mạnh hơn chúng ta;|對 他 的 百 姓 說 、 看 哪 、 這 以 色 列 民 比 我 們 還 多 、 又 比 我 們 強 盛 ．
hè! ta hãy dùng chước khôn ngoan đối cùng họ, kẻo họ thêm nhiều lên, một mai nếu có cơn chinh chiến xảy đến, họ sẽ hiệp cùng quân nghịch đánh lại ta, và ra khỏi xứ chăng.|來 罷 我 們 不 如 用 巧 計 待 他 們 、 恐 怕 他 們 多 起 來 、 日 後 若 遇 甚 麼 爭 戰 的 事 、 就 連 合 我 們 的 仇 敵 攻 擊 我 們 、 離 開 這 地 去 了 。
