
					Giảng Sư 1				|
						傳道書 1					
Lời của người truyền đạo, con trai của Đa-vít, vua tại Giê-ru-sa-lem.|在 耶 路 撒 冷 作 王 、 大 衛 的 兒 子 、 傳 道 者 的 言 語 。
Người truyền đạo nói: Hư không của sự hư không, hư không của sự hư không, thảy đều hư không.|傳 道 者 說 、 虛 空 的 虛 空 、 虛 空 的 虛 空 ． 凡 事 都 是 虛 空 。
Các việc lao khổ loài người làm ra dưới mặt trời, thì được ích lợi chi?|人 一 切 的 勞 碌 、 就 是 他 在 日 光 之 下 的 勞 碌 、 有 甚 麼 益 處 呢 。
Đời nầy qua, đời khác đến; nhưng đất cứ còn luôn luôn.|一 代 過 去 、 一 代 又 來 ． 地 卻 永 遠 長 存 。
Mặt trời mọc, mặt trời lặn, nó lật đật trở về nơi nó mọc.|日 頭 出 來 、 日 頭 落 下 、 急 歸 所 出 之 地 。
Gió thổi về hướng nam, kế xây qua hướng bắc; nó xây đi vần lại không ngừng, rồi trở về vòng cũ nó.|風 往 南 颳 、 又 向 北 轉 、 不 住 的 旋 轉 、 而 且 返 回 轉 行 原 道 。
Mọi sông đều đổ vào biển, song không hề làm đầy biển; nơi mà sông thường chảy vào, nó lại chảy về đó nữa.|江 河 都 往 海 裡 流 、 海 卻 不 滿 ． 江 河 從 何 處 流 、 仍 歸 還 何 處 ．
Muôn vật thảy đều lao khổ, loài người không thế nói ra được; mắt không hề chán ngó, tai chẳng hề nhàm nghe.|萬 事 令 人 厭 煩 〔 或 作 萬 物 滿 有 困 乏 〕 人 不 能 說 盡 ． 眼 看 、 看 不 飽 、 耳 聽 、 聽 不 足 。
Điều chi đã có, ấy là điều sẽ có; điều gì đã làm, ấy là điều sẽ làm nữa; chẳng có điều gì mới ở dưới mặt trời.|已 有 的 事 、 後 必 再 有 ． 已 行 的 事 、 後 必 再 行 ． 日 光 之 下 並 無 新 事 。
Nếu có một vật chi mà người ta nói rằng: Hãy xem, cái nầy mới, vật ấy thật đã có rồi trong các thời đời trước ta.|豈 有 一 件 事 人 能 指 著 說 、 這 是 新 的 ． 那 知 、 在 我 們 以 前 的 世 代 、 早 已 有 了 。
Người ta chẳng nhớ các đời trước, và các đời sau những người đến sau cũng sẽ chẳng nhớ đến nữa.|已 過 的 世 代 、 無 人 記 念 、 將 來 的 世 代 、 後 來 的 人 也 不 記 念 。
Ta là người truyền đạo, đã làm vua Y-sơ-ra-ên tại Giê-ru-sa-lem.|我 傳 道 者 在 耶 路 撒 冷 作 過 以 色 列 的 王 。
Ta chuyên lòng lấy sự khôn ngoan mà tra khảo mọi việc làm ra dưới trời; ấy là một việc lao khổ mà Đức Chúa Trời đã giao cho loài người để lo làm.|我 專 心 用 智 慧 尋 求 查 究 天 下 所 作 的 一 切 事 、 乃 知 　 神 叫 世 人 所 經 練 的 、 是 極 重 的 勞 苦 。
Ta đã xem thấy mọi việc làm ra dưới mặt trời; kìa, thảy đều hư không, theo luồng gió thổi.|我 見 日 光 之 下 所 作 的 一 切 事 、 都 是 虛 空 、 都 是 捕 風 。
Vật chi đã cong vẹo không thể ngay lại được, và vật gì thiếu không thể đếm được.|彎 曲 的 不 能 變 直 ． 缺 少 的 不 能 足 數 。
Ta nói trong lòng rằng: Nầy, ta đã được sự khôn ngoan lớn hơn hết thảy những người ở trước ta tại Giê-ru-sa-lem; thật lòng ta đã thấy nhiều sự khôn ngoan và tri thức.|我 心 裡 議 論 、 說 、 我 得 了 大 智 慧 、 勝 過 我 以 前 在 耶 路 撒 冷 的 眾 人 ． 而 且 我 心 中 多 經 歷 智 慧 、 和 知 識 的 事 。
Ta cũng chuyên lòng học biết sự khôn ngoan, và biết sự ngu dại điên cuồng; ta nhìn biết điều đó cũng là theo luồng gió thổi.|我 又 專 心 察 明 智 慧 、 狂 妄 、 和 愚 昧 ． 乃 知 這 也 是 捕 風 。
Vì nếu sự khôn ngoan nhiều, sự phiền não cũng nhiều; ai thêm sự tri thức ắt thêm sự đau đớn.|因 為 多 有 智 慧 、 就 多 有 愁 煩 ． 加 增 知 識 的 、 就 加 增 憂 傷 。

					Giảng Sư 2				|
						傳道書 2					
Ta lại nói trong lòng rằng: Hè! hãy thử điều vui sướng và nếm sự khoái lạc: kìa, điều đó cũng là sự hư không.|我 心 裡 說 、 來 罷 、 我 以 喜 樂 試 試 你 、 你 好 享 福 ． 誰 知 、 這 也 是 虛 空 。
Ta nói: Cười là điên; vui sướng mà làm chi?|我 指 嬉 笑 說 、 這 是 狂 妄 ． 論 喜 樂 說 、 有 何 功 效 呢 。
Ta nghĩ trong lòng rằng phải uống rượu để cho thân mình vui sướng, mà sự khôn ngoan vẫn còn dẫn dắt lòng ta, lại nghĩ phải cầm lấy sự điên dại cho đến khi xem thử điều gì là tốt hơn cho con loài người làm ở dưới trời trọn đời mình sống.|我 心 裡 察 究 、 如 何 用 酒 使 我 肉 體 舒 暢 、 我 心 卻 仍 以 智 慧 引 導 我 ． 又 如 何 持 住 愚 昧 、 等 我 看 明 世 人 、 在 天 下 一 生 當 行 何 事 為 美 。
Ta làm những công việc cả thể; ta cất nhà cho mình, trồng vườn nho cho mình,|我 為 自 己 動 大 工 程 、 建 造 房 屋 、 栽 種 葡 萄 園 、
lập cho mình vườn cây trái và vườn hoa, và trồng cây trái đủ thứ ở đó;|修 造 園 囿 、 在 其 中 栽 種 各 樣 果 木 樹 、
ta đào hồ chứa nước đặng tưới rừng, là nơi cây cối lớn lên.|挖 造 水 池 、 用 以 澆 灌 嫩 小 的 樹 木 ．
Ta mua những tôi trai tớ gái, lại có nhiều đầy tớ sanh ra trong nhà ta. Ta có bầy bò và chiên nhiều hơn hết thảy những người ở trước ta tại Giê-ru-sa-lem.|我 買 了 僕 婢 、 也 有 生 在 家 中 的 僕 婢 ． 又 有 許 多 牛 群 羊 群 、 勝 過 以 前 在 耶 路 撒 冷 眾 人 所 有 的 ．
Ta cũng thâu chứa bạc vàng, và những vật báu của các vua, các tỉnh. Ta lo sắm cho mình những con hát trai và gái, cùng sự khoái lạc của con trai loài người, tức là nhiều vợ và hầu.|我 又 為 自 己 積 蓄 金 銀 、 和 君 王 的 財 寶 、 並 各 省 的 財 寶 ． 又 得 唱 歌 的 男 女 、 和 世 人 所 喜 愛 的 物 、 並 許 多 的 妃 嬪 。
Như vậy ta trở nên cao trọng hơn hết thảy những người ở trước ta tại Giê-ru-sa-lem; dầu vậy, sự khôn ngoan vẫn còn ở cùng ta.|這 樣 、 我 就 日 見 昌 盛 、 勝 過 以 前 在 耶 路 撒 冷 的 眾 人 ． 我 的 智 慧 仍 然 存 留 。
Ta chẳng từ điều gì mắt mình ước ao, cũng chẳng cấm điều gì lòng mình ưa thích; vì lòng ta vui vẻ vì mọi công lao của ta; và đó là phần ta đã được trong mọi công lao ta.|凡 我 眼 所 求 的 、 我 沒 有 留 下 不 給 他 的 ． 我 心 所 樂 的 、 我 沒 有 禁 止 不 享 受 的 ． 因 我 的 心 為 我 一 切 所 勞 碌 的 快 樂 ． 這 就 是 我 從 勞 碌 中 所 得 的 分 。
Đoạn ta xem xét các công việc tay mình đã làm, và sự lao khổ mình đã chịu để làm nó; kìa, mọi điều đó là sự hư không và theo luồng gió thổi, chẳng có ích lợi gì hết dưới mặt trời.|後 來 我 察 看 我 手 所 經 營 的 一 切 事 、 和 我 勞 碌 所 成 的 功 ． 誰 知 都 是 虛 空 、 都 是 捕 風 、 在 日 光 之 下 毫 無 益 處 。
Ta bèn xây lại đặng xem xét sự khôn ngoan, sự ngu dại, và sự điên cuồng; vì người nào đến sau vua sẽ có thể làm gì? Bất quá làm điều người khác đã làm từ lâu rồi.|我 轉 念 觀 看 智 慧 、 狂 妄 、 和 愚 昧 ． 在 王 以 後 而 來 的 人 、 還 能 作 作 甚 麼 呢 ． 也 不 過 行 早 先 所 行 的 就 是 了 。
