
					Nhã Ca 1				|
						雅歌 1					
Nhã ca trong các bài ca, mà Sa-lô-môn đã làm.|所 羅 門 的 歌 、 是 歌 中 的 雅 歌 。
Nguyện người hôn tôi bằng cái hôn của miệng người. Vì ái tình chàng ngon hơn rượu.|願 他 用 口 與 我 親 嘴 ． 因 你 的 愛 情 比 酒 更 美 。
Dầu chàng có mùi thơm tho; Danh chàng thơm như dầu đổ ra; Bởi cớ ấy các gái đồng trinh yêu mến chàng.|你 的 膏 油 馨 香 ． 你 的 名 如 同 倒 出 來 的 香 膏 ． 所 以 眾 童 女 都 愛 你 。
Hãy kéo tôi; chúng tôi sẽ chạy theo chàng, Vua đã dẫn tôi vào phòng Ngài. Chúng tôi sẽ vui mừng và khoái lạc nơi chàng; Chúng tôi sẽ nói đến ái tình chàng hơn rượu. Các gái đồng trinh yêu mến chàng cách chánh trực.|願 你 吸 引 我 、 我 們 就 快 跑 跟 隨 你 ． 王 帶 我 進 了 內 室 ． 我 們 必 因 你 歡 喜 快 樂 ． 我 們 要 稱 讚 你 的 愛 情 、 勝 似 稱 讚 美 酒 ． 他 們 愛 你 是 理 所 當 然 的 。
Hỡi các con gái Giê-ru-sa-lem, tôi đen, song xinh đẹp, Như các trại Kê-đa, như màn cháng của Sa-lô-môn.|耶 路 撒 冷 的 眾 女 子 阿 、 我 雖 然 黑 、 卻 是 秀 美 、 如 同 基 達 的 帳 棚 、 好 像 所 羅 門 的 幔 子 。
Chớ dòm xem tôi, bởi vì tôi đen, Mặt trời đã giọi nám tôi. Các con trai của mẹ tôi giận tôi, Đã đặt tôi coi giữ vườn nho; Còn vườn nho riêng của tôi, tôi không coi giữ.|不 要 因 日 頭 把 我 曬 黑 了 、 就 輕 看 我 。 我 同 母 的 弟 兄 向 我 發 怒 ． 他 們 使 我 看 守 葡 萄 園 、 我 自 己 的 葡 萄 園 、 卻 沒 有 看 守 。
Hỡi người mà lòng tôi yêu mến, hãy tỏ cho tôi biết. Chàng chăn bầy ở đâu, Ban trưa cho nó nằm nghỉ tại nơi nào; Vì cớ sao tôi phải như một người nữ che mặt Ở bên bầy của các bạn chàng?|我 心 所 愛 的 阿 、 求 你 告 訴 我 你 在 何 處 牧 羊 、 晌 午 在 何 處 使 羊 歇 臥 ． 我 何 必 在 你 同 伴 的 羊 群 旁 邊 、 好 像 蒙 著 臉 的 人 呢 。
Hỡi người đẹp hơn hết trong các người nữ, Nếu ngươi chẳng biết, hãy ra theo dấu của bầy, Và chăn các dê con mình gần bên trại kẻ chăn chiên.|你 這 女 子 中 極 美 麗 的 、 你 若 不 知 道 、 只 管 跟 隨 羊 群 的 腳 蹤 去 、 把 你 的 山 羊 羔 、 牧 放 在 牧 人 帳 棚 的 旁 邊 。
Hỡi bạn tình ta, ta sánh mình như ngựa cái của xe Pha-ra-ôn.|我 的 佳 偶 、 我 將 你 比 法 老 車 上 套 的 駿 馬 。
Đôi má mình đẹp với đồ trang sức; Cổ mình xinh với hột trân châu.|你 的 兩 腮 、 因 髮 辮 而 秀 美 、 你 的 頸 項 、 因 珠 串 而 華 麗 。
Chúng tôi sẽ làm cho mình chuyền vàng có vảy bạc.|我 們 要 為 你 編 上 金 辮 、 鑲 上 銀 釘 。
Trong khi vua ngự bàn ăn, Cam tòng hương tôi xông mùi thơm nó ra.|王 正 坐 席 的 時 候 、 我 的 哪 噠 香 膏 發 出 香 味 。
Lương nhơn tôi giống như bó hoa một dược cho tôi. Nằm ở giữa nương long tôi.|我 以 我 的 良 人 為 一 袋 沒 藥 、 常 在 我 懷 中 。
Lương nhơn tôi giống như một chùm hoa phụng tiên cho tôi. Trong vườn nho En-Ghê-đi.|我 以 我 的 良 人 為 一 棵 鳳 仙 花 、 在 隱 基 底 葡 萄 園 中 。
Hỡi bạn tình ta, mình thanh lịch thay, mình thanh lịch thay! Con mắt mình như mắt của bò câu.|我 的 佳 偶 、 你 甚 美 麗 、 你 甚 美 麗 ． 你 的 眼 好 像 鴿 子 眼 。
Hỡi lương nhơn tôi, chàng là xinh tốt; Thật, hợp ý thay! Lại giường của chúng ta xanh xanh.|我 的 良 人 哪 、 你 甚 美 麗 可 愛 、 我 們 以 青 草 為 床 榻 、
Rường nhà chúng ta bằng gổ hương nam; Ván lá mái chúng ta bằng cây tòng.|以 香 柏 樹 為 房 屋 的 棟 梁 、 以 松 樹 為 椽 子 。

					Nhã Ca 2				|
						雅歌 2					
Ta là hoa tường vi của Sa-rôn, Bông huệ của trũng.|我 是 沙 崙 的 玫 瑰 花 、 〔 或 作 水 仙 花 〕 是 谷 中 的 百 合 花 。
Bạn tình ta ở giữa đám con gái Như bông huệ ở giữa gai gốc.|我 的 佳 偶 在 女 子 中 、 好 像 百 合 花 在 荊 棘 內 。
Lương nhơn tôi ở giữa đám con trai Như cây bình bát ở giữa những cây rừng. Tôi vui lòng ngồi dưới bóng người; Trái người ngọt ngào cho ổ gà tôi.|我 的 良 人 在 男 子 中 、 如 同 蘋 果 樹 在 樹 林 中 。 我 歡 歡 喜 喜 坐 在 他 的 蔭 下 、 嘗 他 果 子 的 滋 味 覺 得 甘 甜 。
Người đưa tôi vào phòng yến tiệc, Ngọn cờ người phất trên tôi ấy là ái tình.|他 帶 我 入 筵 宴 所 、 以 愛 為 旗 在 我 以 上 。
Hãy lấy bánh nho nâng đỡ lòng tôi; Dùng trái bình bát bổ sức tôi lại; Vì tôi có bịnh bởi ái tình.|求 你 們 給 我 葡 萄 乾 增 補 我 力 、 給 我 蘋 果 暢 快 我 心 ． 因 我 思 愛 成 病 。
Tay tả người kê dưới đầu tôi, Còn tay hữu người ôm lấy tôi.|他 的 左 手 在 我 頭 下 、 他 的 右 手 將 我 抱 住 。
Hỡi các con gái Giê-ru-sa-lem, ta ép nài các ngươi Bởi những con hoàng dương hay là con nai đồng nội, Chớ kinh động, chớ làm tỉnh thức ái tình ta Cho đến khi nó muốn.|耶 路 撒 冷 的 眾 女 子 阿 、 我 指 著 羚 羊 、 或 田 野 的 母 鹿 、 囑 咐 你 們 、 不 要 驚 動 、 不 要 叫 醒 我 所 親 愛 的 、 等 他 自 己 情 願 。 〔 不 要 叫 醒 云 云 或 作 不 要 激 動 愛 情 等 他 自 發 〕
Ay là tiếng của lương nhơn tôi! Kìa, người đến, nhảy qua các núi, Vượt qua các gò.|聽 阿 是 我 良 人 的 聲 音 ． 看 哪 、 他 躥 山 越 嶺 而 來 。
Lương nhơn tôi giống như con hoàng dương hay là con nai tơ. Kìa, người đứng sau tường chúng tôi, Xem ngang qua cửa sổ, Ngó ngang qua chấn song.|我 的 良 人 好 像 羚 羊 、 或 像 小 鹿 ． 他 站 在 我 們 牆 壁 後 、 從 窗 戶 往 裡 觀 看 、 從 窗 櫺 往 裡 窺 探 。
Lương nhơn tôi nói chuyện với tôi rằng: Hỡi bạn tình ta, người đẹp của ta ơi, hãy chổi dậy và đến.|我 良 人 對 我 說 、 我 的 佳 偶 、 我 的 美 人 、 起 來 、 與 我 同 去 。
Vì kìa, mùa đông đã qua, Mưa đã dứt hết rồi;|因 為 冬 天 已 往 ． 雨 水 止 住 過 去 了 。
Bóng hoa nở ra trên đất; Màu hát xướng đã đến nơi, Và tiếng chim cu nghe trong xứ;|地 上 百 花 開 放 ． 百 鳥 鳴 叫 的 時 候 〔 或 作 修 理 葡 萄 樹 的 時 候 〕 已 經 來 到 、 斑 鳩 的 聲 音 在 我 們 境 內 也 聽 見 了 ．
Cây vả đương chín trái xanh tươi của nó, Và nho trổ hoa nức mùi hương. Hỡi bạn tình ta, người đẹp của ta ơi, hãy chổi dậy và đến.|無 花 果 樹 的 果 子 漸 漸 成 熟 、 葡 萄 樹 開 花 放 香 。 我 的 佳 偶 、 我 的 美 人 、 起 來 、 與 我 同 去 。
Hỡi chim bò câu ta trong hóc đá, Tại chốn đụt của nơi hê hẩm, Hãy tỏ cho ta xem mặt mũi mình, Cho ta nghe tiếng mình; Vì tiếng mình êm dịu. mặt mũi mình có duyên.|我 的 鴿 子 阿 、 你 在 磐 石 穴 中 、 在 陡 巖 的 隱 密 處 ． 求 你 容 我 得 見 你 的 面 貌 、 得 聽 你 的 聲 音 ． 因 為 你 的 聲 音 柔 和 、 你 的 面 貌 秀 美 。
Hãy bắt cho chúng tôi những con chồn, Những con chồn nhỏ phá hại vườn nho; Vì vườn nho chúng tôi đương trổ bông.|要 給 我 們 擒 拿 狐 狸 、 就 是 毀 壞 葡 萄 園 的 小 狐 狸 ． 因 為 我 們 的 葡 萄 正 在 開 花 。
Lương nhơn tôi thuộc về tôi, và tôi thuộc về người; Người chăn bầy mình giữa đám bông huệ,|良 人 屬 我 、 我 也 屬 他 ． 他 在 百 合 花 中 牧 放 群 羊 。
Cho đến hừng đông lố ra, Và bóng tối tan đi. Hỡi lương nhơn tôi, hãy trở về, Khá giống như con hoàng dương hay là con nai tơ Trên hòn núi Bê-thẹt.|我 的 良 人 哪 、 求 你 等 到 天 起 涼 風 、 日 影 飛 去 的 時 候 、 你 要 轉 回 、 好 像 羚 羊 、 或 像 小 鹿 在 比 特 山 上 。

					Nhã Ca 3				|
						雅歌 3					
Ban đêm tại trên giường mình, tôi tình người mà lòng tôi yêu dấu, Tôi tìm kiếm người mà không gặp.|我 夜 間 躺 臥 在 床 上 、 尋 找 我 心 所 愛 的 ． 我 尋 找 他 、 卻 尋 不 見 。
Tôi nói: Ta sẽ chổi dậy bây giờ, dạo quanh thành, Trải qua các đường phố, các ngã ba, Đặng tìm người mà lòng tôi yêu dấu. Tôi Tìm kiếm người, nhưng không gặp.|我 說 、 我 要 起 來 、 遊 行 城 中 ． 在 街 市 上 、 在 寬 闊 處 、 尋 找 我 心 所 愛 的 ． 我 尋 找 他 、 卻 尋 不 見 。
những kẻ canh tuần vòng quanh thành có gặp tôi. Tôi hỏi rằng: Các ngươi có thấy người mà lòng ta yêu mến chăng!|城 中 巡 邏 看 守 的 人 遇 見 我 ． 我 問 他 們 、 你 們 看 見 我 心 所 愛 的 沒 有 。
Tôi vừa đi khỏi chúng xa xa, Thì gặp người mà lòng tôi yêu mến; Bèn nắm lấy người, không khứng buông ra, Cho đến khi đưa người về nhà mẹ tôi, Vào phòng của người đã thai dựng tôi.|我 剛 離 開 他 們 、 就 遇 見 我 心 所 愛 的 ． 我 拉 住 他 、 不 容 他 走 、 領 他 入 我 母 家 、 到 懷 我 者 的 內 室 。
