
					Na-hum 1				|
						那鴻書 1					
Gánh nặng của Ni-ni-ve. Sách sự hiện thấy của Na-hum, người En-cốt.|論 尼 尼 微 的 默 示 、 就 是 伊 勒 歌 斯 人 那 鴻 所 得 的 默 示 。
Giê-hô-va là Đức Chúa Trời ghen và báo thù; Đức Giê-hô-va báo thù, và đầy sự thạnh nộ. Đức Giê-hô-va báo thù kẻ cừu địch mình và cưu giận cho kẻ thù mình.|耶 和 華 是 忌 邪 施 報 的 　 神 ． 耶 和 華 施 報 大 有 忿 怒 ． 向 他 的 敵 人 施 報 、 向 他 的 仇 敵 懷 怒 。
Đức Giê-hô-va chậm giận và có quyền lớn; nhưng Ngài chẳng cầm kẻ mắc tội là vô tội. Đức Giê-hô-va đi trong gió lốc và bão tố, những đám mây là bụi dưới chơn Ngài.|耶 和 華 不 輕 易 發 怒 、 大 有 能 力 、 萬 不 以 有 罪 的 為 無 罪 ． 他 乘 旋 風 和 暴 風 而 來 、 雲 彩 為 他 腳 下 的 塵 土 ．
Ngài quở trách biển, làm cho nó khô; và làm cạn hết thảy các sông. Ba-san và Cạt-mên đều mòn mỏi, hoa của Li-ban đều héo rụng.|他 斥 責 海 、 使 海 乾 了 、 使 一 切 江 河 乾 涸 ． 巴 珊 和 迦 密 的 樹 林 衰 殘 。 利 巴 嫩 的 花 草 也 衰 殘 了 ．
Các núi run rẩy vì cớ Ngài, các đồi tan chảy; đất và thế gian cũng dân cư trên đất đều dậy lên trước mặt Ngài.|大 山 因 他 震 動 、 小 山 也 都 消 化 ． 大 地 在 他 面 前 突 起 、 世 界 和 住 在 其 間 的 也 都 如 此 。
Ai đứng được trước sự thạnh nộ Ngài? Ai đương nổi sự nóng giận Ngài? Sự tức giận của Ngài đổ ra như lửa, những vầng đá vỡ ra bởi Ngài.|他 發 忿 恨 、 誰 能 立 得 住 呢 ． 他 發 烈 怒 、 誰 能 當 得 起 呢 ． 他 的 忿 怒 如 火 傾 倒 、 磐 石 因 他 崩 裂 。
Đức Giê-hô-va là tốt lành, làm đồn lũy trong ngày hoạn nạn, và biết những kẻ ẩn náu nơi Ngài.|耶 和 華 本 為 善 、 在 患 難 的 日 子 為 人 的 保 障 ． 並 且 認 得 那 些 投 靠 他 的 人 。
Ngài dùng nước lụt hủy diệt chỗ nó, và đuổi kẻ thù nghịch mình vào sự tối tăm.|但 他 必 以 漲 溢 的 洪 水 淹 沒 尼 尼 微 、 又 驅 逐 仇 敵 進 入 黑 暗 。
Các ngươi sẽ lập mưu gì nghịch cùng Đức Giê-hô-va? Ngài sẽ diệt hết cả, sẽ chẳng có tai nạn dậy lên lần thứ hai.|尼 尼 微 人 哪 、 設 何 謀 攻 擊 耶 和 華 呢 ． 他 必 將 你 們 滅 絕 淨 盡 ． 災 難 不 再 興 起 ．
Vì chúng nó xỏ xen như gai gốc, và mê man như say rượu, thì sẽ bị thiêu hủy hết như rơm khô.|你 們 像 叢 雜 的 荊 棘 、 像 喝 醉 了 的 人 、 又 如 枯 乾 的 碎 衪 全 然 燒 滅 。
Ay là từ ngươi mà ra một kẻ mưu sự dữ nghịch cùng Đức Giê-hô-va, và toan sự gian ác.|有 一 人 從 你 那 裡 出 來 、 圖 謀 邪 惡 、 設 惡 計 攻 擊 耶 和 華 。
Đức Giê-hô-va phán như vầy: Dầu chúng nó sức mạnh đầy đủ và người đông cũng sẽ bị từ đi và trở nên hư không. Dầu ta đã làm khổ ngươi, song ta sẽ chẳng làm khổ ngươi nữa.|耶 和 華 如 此 說 、 尼 尼 微 雖 然 勢 力 充 足 、 人 數 繁 多 、 也 被 剪 除 、 歸 於 無 有 。 猶 大 阿 、 我 雖 然 使 你 受 苦 、 卻 不 再 使 你 受 苦 ．
Nhưng bấy giờ ta sẽ bẻ gãy ách nó khỏi ngươi, và bứt dứt dây ngươi.|現 在 我 必 從 你 頸 項 上 折 斷 他 的 軛 、 扭 開 他 的 繩 索 。
Đức Giê-hô-va đã truyền lịnh về ngươi, từ danh ngươi chẳng sanh ra nữa. Ta sẽ trừ bỏ tượng chạm và tượng đúc khỏi nhà các thần ngươi; ta sẽ làm mồ mả cho ngươi, vì ngươi là hèn mạt.|耶 和 華 已 經 出 令 、 指 著 尼 尼 微 說 、 你 名 下 的 人 必 不 留 後 ． 我 必 從 你 神 的 廟 中 、 除 滅 雕 刻 的 偶 像 、 和 鑄 造 的 偶 像 ． 我 必 因 你 鄙 陋 使 你 歸 於 墳 墓 。
Nầy, trên các núi có chơn của kẻ đem tin lành và rao sự bình an! Hỡi Giu-đa, ngươi nữa, nó sẽ bị diệt sạch.|看 哪 、 有 報 好 信 傳 平 安 之 人 的 腳 登 山 、 說 、 猶 大 阿 、 可 以 守 你 的 節 期 、 還 你 所 許 的 願 罷 ． 因 為 那 惡 人 不 再 從 你 中 間 經 過 他 已 滅 絕 淨 盡 了 。

					Na-hum 2				|
						那鴻書 2					
