
					Xê-pha-ni-a 1				|
						西番雅書 1					
Nầy là lời Đức Giê-hô-va phán cùng Sô-phô-ni, con trai Cu-si cháu Ghê-đa-lia, chắt A-ma-ria, chít Ê-xê-chia, về đời Giô-si -a, con trai A-môn, vua Giu-đa.|當 猶 大 王 亞 們 的 兒 子 約 西 亞 在 位 的 時 候 、 耶 和 華 的 話 臨 到 希 西 家 的 元 孫 亞 瑪 利 雅 的 曾 孫 基 大 利 的 孫 子 古 示 的 兒 子 西 番 雅 。
Ta sẽ diệt sạch mọi sự khỏi mặt đất, Đức Giê-hô-va phán vậy.|耶 和 華 說 、 我 必 從 地 上 除 滅 萬 類 。
Ta sẽ diệt loài người và loài thú, chim trời và cá biển, cùng mọi sự ngăn trở với kẻ dữ; và ta sẽ trừ tiệt loài người khỏi mặt đất, Đức Giê-hô-va phán vậy.|我 必 除 滅 人 和 牲 畜 、 與 空 中 的 鳥 、 海 裡 的 魚 、 以 及 絆 腳 石 和 惡 人 ． 我 必 將 人 從 地 上 剪 除 。 這 是 耶 和 華 說 的 。
Ta sẽ giang tay ta trên Giu-đa và trên hết thảy dân cư Giê-ru-sa-lem; sẽ trừ tiệt phần sót lại của Ba-anh, các tên của thầy cả và thầy tế lễ nó khỏi nơi nầy.|我 必 伸 手 攻 擊 猶 大 和 耶 路 撒 冷 的 一 切 居 民 ． 也 必 從 這 地 方 剪 除 所 剩 下 的 巴 力 、 並 基 瑪 林 的 名 和 祭 司 、
Ta sẽ diệt những kẻ lạy cơ binh trên trời nơi nóc nhà; và những kẻ thờ lạy, những kẻ thề với Đức Giê-hô-va và cũng thề bởi vua mình;|與 那 些 在 房 頂 上 敬 拜 天 上 萬 象 的 、 並 那 些 敬 拜 耶 和 華 指 著 他 起 誓 、 又 指 著 瑪 勒 堪 起 誓 的 、
cùng với những kẻ xây bỏ không theo Đức Giê-hô-va, và những kẻ không tìm kiếm Đức Giê-hô-va, không cầu hỏi Ngài.|與 那 些 轉 去 不 跟 從 耶 和 華 的 、 和 不 尋 求 耶 和 華 、 也 不 訪 問 他 的 。
Hãy nín lặng, trước mặt Chúa Giê-hô-va! Vì ngày của Đức Giê-hô-va đã gần, Đức Giê-hô-va đã sửa soạn của lễ, đã biệt riêng ra tân khách Ngài.|你 要 在 主 耶 和 華 面 前 靜 默 無 聲 、 因 為 耶 和 華 的 日 子 快 到 ． 耶 和 華 已 經 豫 備 祭 物 、 將 他 的 客 、 分 別 為 聖 。
Trong ngày tế lễ của Đức Giê-hô-va, ta sẽ phạt các quan trưởng và các con trai của vua, và hết thảy những kẻ mặc áo lạ.|到 了 我 耶 和 華 獻 祭 的 日 子 、 必 懲 罰 首 領 、 和 王 子 、 並 一 切 穿 外 邦 衣 服 的 。
Trong ngày đó, ta sẽ phạt hết thảy những kẻ nhảy qua ngạch cửa, và những kẻ làm đầy dẫy sự bạo ngược và sự quỷ quyệt trong nhà chủ mình.|到 那 日 、 我 必 懲 罰 一 切 跳 過 門 檻 、 將 強 暴 和 詭 詐 得 來 之 物 充 滿 主 人 房 屋 的 。
