
					Ma-la-ki 1				|
						瑪拉基書 1					
Gánh nặng lời Đức Giê-hô-va cho Y-sơ-ra-ên bởi Ma-la-chi.|耶 和 華 藉 瑪 拉 基 傳 給 以 色 列 的 默 示 。
Đức Giê-hô-va có phán: Ta yêu các ngươi; và các ngươi nói rằng: Chúa yêu chúng tôi ở đâu? Đức Giê-hô-va phán: Ê-sau há chẳng phải là anh Gia-cốp sao?|耶 和 華 說 、 我 曾 愛 你 們 ． 你 們 卻 說 、 你 在 何 事 上 愛 我 們 呢 ． 耶 和 華 說 、 以 掃 不 是 雅 各 的 哥 哥 麼 ． 我 卻 愛 雅 各 、
Nhưng ta yêu Gia-cốp, mà ghét Ê-sau, ta làm cho những núi nó nên hoang vu, và phó sản nghiệp nó cho những chó nơi đồng vắng.|惡 以 掃 、 使 他 的 山 嶺 荒 涼 、 把 他 的 地 業 交 給 曠 野 的 野 狗 。
Nếu Ê-đôm nói rằng: Chúng ta đã bị hủy diệt, song chúng ta sẽ trở về dựng lại những nơi đổ nát, thì Đức Giê-hô-va vạn quân cũng phán rằng: Chúng nó sẽ dựng lại, nhưng ta sẽ đổ xuống, người ta sẽ gọi chúng nó là Cõi độc ác, và là dân mà Đức Giê-hô-va nổi giận nghịch cùng đời đời.|以 東 人 說 、 我 們 現 在 雖 被 毀 壞 、 卻 要 重 建 荒 廢 之 處 ． 萬 軍 之 耶 和 華 如 此 說 、 任 他 們 建 造 、 我 必 拆 毀 ． 人 必 稱 他 們 的 地 、 為 罪 惡 之 境 、 稱 他 們 的 民 、 為 耶 和 華 永 遠 惱 怒 之 民 。
Mắt các ngươi sẽ thấy, và các ngươi sẽ nói rằng: Nguyền Đức Giê-hô-va là lớn ngoài cõi Y-sơ-ra-ên!|你 們 必 親 眼 看 見 、 也 必 說 、 願 耶 和 華 在 以 色 列 境 界 之 外 、 被 尊 為 大 。
Con trai tôn kính cha mình, đầy tớ tôn kính chủ mình. Vậy nếu ta là cha, nào sự tôn kính thuộc về ta ở đâu? và nếu ta là chủ, nào sự kính sợ ta ở đâu? Đức Giê-hô-va vạn quân phán vậy cùng các ngươi, hỡi các thầy tế lễ khinh dể danh ta! Các ngươi lại nói rằng: Chúng tôi có khinh dể danh Ngài ở đâu?|藐 視 我 名 的 祭 司 阿 、 萬 軍 之 耶 和 華 對 你 們 說 、 兒 子 尊 敬 父 親 、 僕 人 敬 畏 主 人 ． 我 既 為 父 親 、 尊 敬 我 的 在 那 裡 呢 ． 我 既 為 主 人 、 敬 畏 我 的 在 那 裡 呢 。 你 們 卻 說 、 我 們 在 何 事 上 藐 視 你 的 名 呢 。
Các ngươi dâng bánh ô uế trên bàn thờ ta, rồi các ngươi nói rằng: Chúng tôi có làm ô uế Ngài ở đâu? Ay là ở điều các ngươi nói rằng: Bàn của Đức Giê-hô-va đáng khinh dể.|你 們 將 污 穢 的 食 物 獻 在 我 的 壇 上 、 且 說 、 我 們 在 何 事 上 污 穢 你 呢 ． 因 你 們 說 、 耶 和 華 的 桌 子 、 是 可 藐 視 的 。
Khi các ngươi dâng một con vật mù làm của lễ, điều đó há chẳng phải là dữ sao? Khi các ngươi dâng một con vật què hoặc đau, điều đó há chẳng phải là dữ sao? Thử dân nó cho quan trấn thủ ngươi, thì người há đẹp lòng và vui nhận cho ngươi sao? Đức Giê-hô-va vạn quân phán như vậy.|你 們 將 瞎 眼 的 獻 為 祭 物 、 這 不 為 惡 麼 ． 將 瘸 腿 的 有 病 的 獻 上 、 這 不 為 惡 麼 ． 你 獻 給 你 的 省 長 、 他 豈 喜 悅 你 、 豈 能 看 你 的 情 面 麼 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Các ngươi đã làm điều đó, nay ta xin các ngươi hãy nài xin ơn Đức Chúa Trời, hầu cho Ngài làm ơn cho chúng ta, thì Ngài há sẽ nhận một người nào trong các ngươi sao? Đức Giê-hô-va vạn quân phán vậy.|現 在 我 勸 你 們 懇 求 　 神 、 他 好 施 恩 與 我 們 。 這 妄 獻 的 事 、 既 由 你 們 經 手 、 他 豈 能 看 你 們 的 情 面 麼 。 這 是 萬 軍 之 耶 和 華 說 的 。
