
					Dân Số 1				|
						民數記 1					
Ngày mồng một tháng hai, năm thứ hai, sau khi dân Y-sơ-ra-ên ra khỏi xứ Ê-díp-tô, Đức Giê-hô-va phán cùng Môi-se ở trong hội mạc, tại đồng vắng Si-na -i, mà rằng:|以 色 列 人 出 埃 及 地 後 、 第 二 年 二 月 初 一 日 、 耶 和 華 在 西 乃 的 曠 野 、 會 幕 中 曉 諭 摩 西 說 、
Hãy dựng sổ cả hội dân Y-sơ-ra-ên, theo họ hàng và tông tộc của họ, cứ đếm từng tên của hết thảy nam đinh,|你 要 按 以 色 列 全 會 眾 的 家 室 、 宗 族 、 人 名 的 數 目 計 算 所 有 的 男 丁 。
từ hai mươi tuổi sắp lên, tức là mọi người trong Y-sơ-ra-ên đi ra trận được; ngươi và A-rôn sẽ kê sổ chúng nó tùy theo đội ngũ của họ.|凡 以 色 列 中 、 從 二 十 歲 以 外 、 能 出 去 打 仗 的 、 你 和 亞 倫 要 照 他 們 的 軍 隊 數 點 。
Trong mỗi chi phái phải có một người giúp đỡ các ngươi, tức là người làm tộc trưởng của chi phái mình.|每 支 派 中 、 必 有 一 人 作 本 支 派 的 族 長 、 幫 助 你 們 ．
Đây là tên những người sẽ giúp đỡ các ngươi: Về chi phái Ru-bên, Ê-lít-su, con trai của Sê-đêu;|他 們 的 名 字 、 屬 流 便 的 、 有 示 丟 珥 的 兒 子 以 利 蓿 ．
về chi phái Si-mê-ôn, Sê-lu-mi-ên, con trai của Xu-ri-ha-đai;|屬 西 緬 的 、 有 蘇 利 沙 代 的 兒 子 示 路 蔑 ．
về chi phái Giu-đa, Na-ha-sôn, con trai của A-mi-na-đáp;|屬 猶 大 的 、 有 亞 米 拿 達 的 兒 子 拿 順 ．
về chi phái Y-sa-ca, Na-tha-na-ên, con trai của Xu -a;|屬 以 薩 迦 的 、 有 蘇 押 的 兒 子 拿 坦 業 ．
về chi phái Sa-bu-lôn, Ê-li-áp, con trai của Hê-lôn;|屬 西 布 倫 的 、 有 希 倫 的 兒 子 以 利 押 。
về con cháu Giô-sép, nghĩa là về chi phái Ep-ra-im, Ê-li-sa-ma, con trai của A-mi-hút; về chi phái Ma-na-se, Ga-ma-li-ên, con trai của Phê-đát-su;|約 瑟 子 孫 屬 以 法 蓮 的 、 有 亞 米 忽 的 兒 子 以 利 沙 瑪 ． 屬 瑪 拿 西 的 、 有 比 大 蓿 的 兒 子 迦 瑪 列 ．
về chi phái Bên-gia-min, A-bi-đan, con trai của Ghi-đeo-ni;|屬 便 雅 憫 的 、 有 基 多 尼 的 兒 子 亞 比 但 ．
về chi phái Đan, A-hi-ê-xe, con trai của A-mi-sa-đai;|屬 但 的 、 有 亞 米 沙 代 的 兒 子 亞 希 以 謝 ．
về chi phái A-se, Pha-ghi-ên, con trai của Oc-ran;|屬 亞 設 的 、 有 俄 蘭 的 兒 子 帕 結 ．
về chi phái Gát, Ê-li -a-sáp, con trai của Đê -u-ên;|屬 迦 得 的 、 有 丟 珥 的 兒 子 以 利 雅 薩 ．
về chi phái Nép-ta-li, A-hi-ra, con trai của Ê-nan.|屬 拿 弗 他 利 的 、 有 以 南 的 兒 子 亞 希 拉 。
Đó là những người được gọi từ trong hội chúng, vốn là quan trưởng của các chi phái tổ phụ mình, và là quan tướng quân đội Y-sơ-ra-ên.|這 都 是 從 會 中 選 召 的 、 各 作 本 支 派 的 首 領 、 都 是 以 色 列 軍 中 的 統 領 。
Vậy, Môi-se và A-rôn nhận lấy các người ấy mà đã được xướng tên;|於 是 摩 西 亞 倫 帶 著 這 些 按 名 指 定 的 人 、
đến ngày mồng một tháng hai, truyền nhóm cả hội chúng, cứ kể tên từng người từ hai mươi tuổi sắp lên mà nhập sổ theo họ hàng và tông tộc của họ.|當 二 月 初 一 日 招 聚 全 會 眾 。 會 眾 就 照 他 們 的 家 室 、 宗 族 、 人 名 的 數 目 、 從 二 十 歲 以 外 的 、 都 述 說 自 己 的 家 譜 。
Vậy, Môi-se kê sổ chúng nó tại đồng vắng Si-na -i, y như Đức Giê-hô-va đã phán dặn.|耶 和 華 怎 樣 吩 咐 摩 西 、 他 就 怎 樣 在 西 乃 的 曠 野 數 點 他 們 。
Con cháu Ru-bên, là trưởng nam của Y-sơ-ra-ên, dòng dõi họ tùy theo họ hàng và tông tộc mình, cứ kể từng tên của hết thảy nam đinh từ hai mươi tuổi sắp lên, tức là mọi người trong chi phái Ru-bên đi ra trận được,|以 色 列 的 長 子 、 流 便 子 孫 的 後 代 、 照 著 家 室 、 宗 族 、 人 名 的 數 目 、 從 二 十 歲 以 外 、 凡 能 出 去 打 仗 被 數 的 男 丁 、 共 有 四 萬 六 千 五 百 名 。
