
					Mác 1				|
						馬可福音 1					
Đầu Tin Lành của Đức Chúa Jêsus Christ, là Con Đức Chúa Trời.|　 神 的 兒 子 、 耶 穌 基 督 福 音 的 起 頭 、
Như đã chép trong sách tiên tri Ê-sai rằng: Nầy, ta sai sứ ta đến trước mặt ngươi, Người sẽ dọn đường cho ngươi.|正 如 先 知 以 賽 亞 書 上 記 著 說 、 〔 有 古 卷 無 以 賽 亞 三 字 〕 『 看 哪 、 我 要 差 遣 我 的 使 者 在 你 前 面 、 豫 備 道 路 ．
Có tiếng kêu trong đồng vắng rằng: Hãy dọn đường Chúa, Ban bằng các nẻo Ngài;|在 曠 野 有 人 聲 喊 著 說 、 豫 備 主 的 道 、 修 直 他 的 路 。 』
Giăng đã tới, trong đồng vắng vừa làm vừa giảng phép báp-tem ăn năn, cho được tha tội.|照 這 話 、 約 翰 來 了 、 在 曠 野 施 洗 、 傳 悔 改 的 洗 禮 、 使 罪 得 赦 。
Cả xứ Giu-đê và hết thảy dân sự thành Giê-ru-sa-lem đều đến cùng người, xưng tội mình và chịu người làm phép báp tem dưới sông Giô-đanh.|猶 太 全 地 、 和 耶 路 撒 冷 的 人 、 都 出 去 到 約 翰 那 裡 、 承 認 他 們 的 罪 、 在 約 但 河 裡 受 他 的 洗 。
Giăng mặc áo lông lạc đà, buộc dây lưng da ngang hông; ăn những châu chấu và mật ong rừng.|約 翰 穿 駱 駝 毛 的 衣 服 、 腰 束 皮 帶 、 喫 的 是 蝗 蟲 野 蜜 。
Người giảng dạy rằng: Có Đấng quyền phép hơn ta đến sau ta; ta không đáng cúi xuống mở dây giày Ngài.|他 傳 道 說 、 有 一 位 在 我 以 後 來 的 、 能 力 比 我 更 大 、 我 就 是 彎 腰 給 他 解 鞋 帶 、 也 是 不 配 的 。
Ta làm phép báp-tem cho các ngươi bằng nước; nhưng Ngài sẽ làm phép báp-tem cho các ngươi bằng Đức Thánh-Linh.|我 是 用 水 給 你 們 施 洗 、 他 卻 要 用 聖 靈 給 你 們 施 洗 。
Vả, trong những ngày đó, Đức Chúa Jêsus đến từ Na-xa-rét là thành xứ Ga-li-lê, và chịu Giăng làm phép báp-tem dưới sông Giô-đanh.|那 時 、 耶 穌 從 加 利 利 的 拿 撒 勒 來 、 在 約 但 河 裡 受 了 約 翰 的 洗 。
Vừa khi lên khỏi nước, Ngài thấy các từng trời mở ra, và Đức Thánh-Linh ngự xuống trên mình Ngài như chim bò câu.|他 從 水 裡 一 上 來 、 就 看 見 天 裂 開 了 、 聖 靈 彷 彿 鴿 子 、 降 在 他 身 上 。
Lại có tiếng từ trên trời phán rằng: Ngươi là Con yêu dấu của ta, đẹp lòng ta mọi đường.|又 有 聲 音 從 天 上 來 說 、 你 是 我 的 愛 子 、 我 喜 悅 你 。
Tức thì Đức Thánh Linh giục Ngài đến nơi đồng vắng|聖 靈 就 把 耶 穌 催 到 曠 野 裡 去 。
Ngài ở nơi đồng vắng chịu quỉ Sa-tan cám dỗ bốn mươi ngày, ở chung với thú rừng, và có thiên sứ đến hầu việc Ngài.|他 在 曠 野 四 十 天 受 撒 但 的 試 探 ． 並 與 野 獸 同 在 一 處 ． 且 有 天 使 來 伺 候 他 。
Sau khi Giăng bị tù, Đức Chúa Jêsus đến xứ Ga-li-lê, giảng Tin-Lành của Đức Chúa Trời,|約 翰 下 監 以 後 、 耶 穌 來 到 加 利 利 、 宣 傳 　 神 的 福 音 、
mà rằng: Kỳ đã trọn, nước Đức Chúa Trời đã đến gần; các ngươi hãy ăn năn và tin đạo Tin Lành.|說 、 日 期 滿 了 、 　 神 的 國 近 了 ． 你 們 當 悔 改 、 信 福 音 。
Ngài đi dọc theo mé biển Ga-li-lê, thấy Si-môn với Anh-rê, em người, đương thả lưới dưới biển; vì hai người vốn làm nghề chài.|耶 穌 順 著 加 利 利 的 海 邊 走 、 看 見 西 門 、 和 西 門 的 兄 弟 安 得 烈 、 在 海 裡 撒 網 ． 他 們 本 是 打 魚 的 。
Đức Chúa Jêsus bèn phán cùng họ rằng: Hãy theo ta, và ta sẽ khiến các ngươi trở nên tay đánh lưới người.|耶 穌 對 他 們 說 、 來 跟 從 我 、 我 要 叫 你 們 得 人 如 得 魚 一 樣 。
Tức thì hai người bỏ chài lưới mà theo Ngài.|他 們 就 立 刻 捨 了 網 、 跟 從 了 他 。
Đi một đỗi xa xa, Ngài thấy Gia-cơ, con Xê-bê-đê, với em là Giăng, đương vá lưới trong thuyền.|耶 穌 稍 往 前 走 、 又 見 西 庇 太 的 兒 子 雅 各 、 和 雅 各 的 兄 弟 約 翰 、 在 船 上 補 網 。
Ngài liền kêu hai người; thì họ để Xê-bê-đê, cho mình, ở lại trong thuyền với mấy người làm thuê, mà theo Ngài.|耶 穌 隨 即 招 呼 他 們 ． 他 們 就 把 父 親 西 庇 太 、 和 雇 工 人 留 在 船 上 、 跟 從 耶 穌 去 了 。
Kế đó, đi đến thành Ca-bê-na-um; nhằm ngày Sa-bát, tức thì Đức Chúa Jêsus vào nhà hội, khởi dạy dỗ tại đó.|到 了 加 加 農 、 耶 穌 就 在 安 息 日 進 了 會 堂 教 訓 人 。
Chúng đều cảm động về sự dạy dỗ của Ngài, vì Ngài dạy như có quyền phép, chớ chẳng phải như các thầy thông giáo đâu.|眾 人 很 希 奇 他 的 教 訓 ． 因 為 他 教 訓 他 們 、 正 像 有 權 柄 的 人 、 不 像 文 士 。
Vả, cũng một lúc ấy, trong nhà hội có người bị tà ma ám,|在 會 堂 裡 有 一 個 人 、 被 污 鬼 附 著 ． 他 喊 叫 說 、
kêu lên rằng: Hỡi Jêsus, người Na-xa-rét, chúng tôi với Ngài có sự gì chăng? Ngài đến để diệt chúng tôi sao? Tôi biết Ngài là ai: là Đấng Thánh của Đức Chúa Trời.|拿 撒 勒 人 耶 穌 、 我 們 與 你 有 甚 麼 相 干 、 你 來 滅 我 們 麼 ． 我 知 道 你 是 誰 、 乃 是 　 神 的 聖 者 。
Nhưng Đức Chúa Jêsus nghiêm trách nó rằng: Hãy nín đi, ra khỏi người.|耶 穌 責 備 他 說 、 不 要 作 聲 、 從 這 人 身 上 出 來 罷 。
