
					Giăng 1				|
						約翰福音 1					
Ban đầu có Ngôi Lời, Ngôi Lời ở cùng Đức Chúa Trời, và Ngôi Lời là Đức Chúa Trời.|太 初 有 道 、 道 與 　 神 同 在 、 道 就 是 　 神 。
Ban đầu Ngài ở cùng Đức Chúa Trời.|這 道 太 初 與 　 神 同 在 。
Muôn vật bởi Ngài làm nên, chẳng vật chi đã làm nên mà không bởi Ngài.|萬 物 是 藉 著 他 造 的 ． 凡 被 造 的 、 沒 有 一 樣 不 是 藉 著 他 造 的 。
Trong Ngài có sự sống, sự sống là sự sáng của loài người.|生 命 在 他 裡 頭 ． 這 生 命 就 是 人 的 光 。
Sự sáng soi trong tối tăm, tối tăm chẳng hề nhận lấy sự sáng.|光 照 在 黑 暗 裡 、 黑 暗 卻 不 接 受 光 。
Có một người Đức Chúa Trời sai đến, tên là Giăng.|有 一 個 人 、 是 從 　 神 那 裡 差 來 的 、 名 叫 約 翰 。
Người đến để làm chứng về sự sáng, hầu cho bởi người ai nấy đều tin.|這 人 來 、 為 要 作 見 證 、 就 是 為 光 作 見 證 、 叫 眾 人 因 他 可 以 信 。
Chính người chẳng phải là sự sáng, song người phải làm chứng về sự sáng.|他 不 是 那 光 、 乃 是 要 為 光 作 見 證 。
Sự sáng nầy là sự sáng thật, khi đến thế gian soi sáng mọi người.|那 光 是 真 光 、 照 亮 一 切 生 在 世 上 的 人 。
Ngôi Lời ở thế gian, và thế gian đã làm nên bởi Ngài; nhưng thế gian chẳng từng nhìn biết Ngài.|他 在 世 界 、 世 界 也 是 藉 著 他 造 的 、 世 界 卻 不 認 識 他 。
Ngài đã đến trong xứ mình, song dân mình chẳng hề nhận lấy.|他 到 自 己 的 地 方 來 、 自 己 的 人 倒 不 接 待 他 。
Nhưng hễ ai đã nhận Ngài, thì Ngài ban cho quyền phép trở nên con cái Đức Chúa Trời, là ban cho những kẻ tin danh Ngài,|凡 接 待 他 的 、 就 是 信 他 名 的 人 、 他 就 賜 他 們 權 柄 、 作 　 神 的 兒 女 。
là kẻ chẳng phải sanh bởi khí huyết, hoặc bởi tình dục, hoặc bởi ý người, nhưng sanh bởi Đức Chúa Trời vậy.|這 等 人 不 是 從 血 氣 生 的 、 不 是 從 情 慾 生 的 、 也 不 是 從 人 意 生 的 、 乃 是 從 　 神 生 的 。
Ngôi Lời đã trở nên xác thịt, ở giữa chúng ta, đầy ơn và lẽ thật; chúng ta đã ngắm xem sự vinh hiển của Ngài, thật như vinh hiển của Con một đến từ nơi Cha.|道 成 了 肉 身 、 住 在 我 們 中 間 、 充 充 滿 滿 的 有 恩 典 有 真 理 。 我 們 也 見 過 他 的 榮 光 、 正 是 父 獨 生 子 的 榮 光 。
Giăng làm chứng về Ngài khi kêu lên rằng: Ay là về Ngài mà ta đã nói: Đấng đến sau ta trổi hơn ta, vì Ngài vốn trước ta.|約 翰 為 他 作 見 證 、 喊 著 說 、 這 就 是 我 曾 說 、 那 在 我 以 後 來 的 、 反 成 了 在 我 以 前 的 ． 因 他 本 來 在 我 以 前 。
Vả, bởi sự đầy dẫy của Ngài mà chúng ta đều có nhận được, và ơn càng thêm ơn.|從 他 豐 滿 的 恩 典 裡 我 們 都 領 受 了 、 而 且 恩 上 加 恩 。
Vì luật pháp đã ban cho bởi Môi-se, còn ơn và lẽ thật bởi Đức Chúa Jêsus Christ mà đến.|律 法 本 是 藉 著 摩 西 傳 的 、 恩 典 和 真 理 、 都 是 由 耶 穌 基 督 來 的 。
Chẳng hề ai thấy Đức Chúa Trời; chỉ Con một ở trong lòng Cha, là Đấng đã giải bày Cha cho chúng ta biết.|從 來 沒 有 人 看 見 　 神 ． 只 有 在 父 懷 裡 的 獨 生 子 將 他 表 明 出 來 。
Nầy là lời chứng của Giăng, khi dân Giu-đa sai mấy thầy tế lễ, mấy người Lê-vi từ thành Giê-ru-sa-lem đến hỏi người rằng: Ong là ai?|約 翰 所 作 的 見 證 、 記 在 下 面 ． 猶 太 人 從 耶 路 撒 冷 差 祭 司 和 利 未 人 到 約 翰 那 裡 、 問 他 說 、 你 是 誰 。
Người xưng ra, chẳng chối chi hết, xưng rằng mình không phải là Đấng Christ.|他 就 明 說 、 並 不 隱 瞞 ． 明 說 、 我 不 是 基 督 。
Họ lại hỏi: Vậy thì ông là ai? phải là Ê-li chăng? Người trả lời: Không phải. Ong phải là đấng tiên tri chăng: Người trả lời: Không phải.|他 們 又 問 他 說 、 這 樣 你 是 誰 呢 、 是 以 利 亞 麼 ． 他 說 、 我 不 是 ． 是 那 先 知 麼 、 他 回 答 說 、 不 是 。
Họ bèn nói: Vậy thì ông là ai? hầu cho chúng tôi trả lời cùng những người đã sai chúng tôi đến. Ong tự xưng mình là ai:|於 是 他 們 說 、 你 到 底 是 誰 、 叫 我 們 好 回 覆 差 我 們 來 的 人 ． 你 自 己 說 、 你 是 誰 。
Người trả lời: Ta là tiếng của người kêu trong đồng vắng rằng: Hãy ban đường của Chúa cho bằng, như đấng tiên tri Ê-sai đã nói.|他 說 、 我 就 是 那 在 曠 野 有 人 聲 喊 著 說 、 修 直 主 的 道 路 、 正 如 先 知 以 賽 亞 所 說 的 。
Những kẻ chịu sai đến cùng Giăng đều là người Pha-ri-si.|那 些 人 是 法 利 賽 人 差 來 的 。 〔 或 作 那 差 來 的 是 法 利 賽 人 〕
Họ lại hỏi rằng: Nếu ông chẳng phải Đấng Christ, chẳng phải Ê-li, chẳng phải đấng tiên tri, thì cớ sao ông làm phép báp tem?|他 們 就 問 他 說 、 你 既 不 是 基 督 、 不 是 以 利 亞 、 也 不 是 那 先 知 、 為 甚 麼 施 洗 呢 。
Giăng trả lời: Về phần ta, ta làm phép báp tem bằng nước; nhưng có một Đấng ở giữa các ngươi mà các ngươi không biết.|約 翰 回 答 說 、 我 是 用 水 施 洗 、 但 有 一 位 站 在 你 們 中 間 、 是 你 們 不 認 識 的 、
Ay là Đấng đến sau ta, ta chẳng đáng mở dây giày Ngài.|就 是 那 在 我 以 後 來 的 、 我 給 他 解 鞋 帶 、 也 不 配 。
