
					Công Vụ Các Sứ đồ 1				|
						使徒行傳 1					
Hỡi Thê-ô-phi-lơ, trong sách thứ nhứt ta, ta từng nói về mọi điều Đức Chúa Jêsus đã làm và dạy từ ban đầu,|提 阿 非 羅 阿 、 我 已 經 作 了 前 書 、 論 到 耶 穌 開 頭 一 切 所 教 訓 的 、
cho đến ngày Ngài được cất lên trời, sau khi Ngài cậy Đức Thánh Linh mà răn dạy các sứ đồ Ngài đã chọn.|直 到 他 藉 著 聖 靈 、 吩 咐 所 揀 選 的 使 徒 、 以 後 被 接 上 升 的 日 子 為 止 。
Sau khi chịu đau đớn rồi, thì trước mặt các sứ đồ, Ngài lấy nhiều chứng cớ tỏ ra mình là sống, và hiện đến với các sứ đồ trong bốn mươi ngày, phán bảo những sự về nước Đức Chúa Trời.|他 受 害 之 後 、 用 許 多 的 憑 據 、 將 自 己 活 活 的 顯 給 使 徒 看 、 四 十 天 之 久 向 他 們 顯 現 、 講 說 　 神 國 的 事 。
Lúc ở với các sứ đồ, Ngài dặn rằng đừng ra khỏi thành Giê-ru-sa-lem, nhưng phải ở đó chờ điều Cha đã hứa, là điều các ngươi đã nghe ta nói.|耶 穌 和 他 們 聚 集 的 時 候 、 囑 咐 他 們 說 、 不 要 離 開 耶 路 撒 冷 、 要 等 候 父 所 應 許 的 、 就 是 你 們 聽 見 我 說 過 的 。
Vì chưng Giăng đã làm phép báp-tem bằng nước, nhưng trong ít ngày, các ngươi sẽ chịu phép báp-tem bằng Đức Thánh Linh.|約 翰 是 用 水 施 洗 ． 但 不 多 幾 日 、 你 們 要 受 聖 靈 的 洗 。
Vậy, những người nhóm tại đó thưa cùng Ngài rằng: Lạy Chúa, có phải trong lúc nầy Chúa sẽ lập lại nước Y-sơ-ra-ên chăng?|他 們 聚 集 的 時 候 、 問 耶 穌 說 、 主 阿 、 你 復 興 以 色 列 國 、 就 在 這 時 候 嗎 。
Ngài đáp rằng: Kỳ hạn và ngày giờ mà Cha đã tự quyền định lấy, ấy là việc các ngươi chẳng nên biết.|耶 穌 對 他 們 說 、 父 憑 著 自 己 的 權 柄 、 所 定 的 時 候 日 期 、 不 是 你 們 可 以 知 道 的 。
Nhưng khi Đức Thánh Linh giáng trên các ngươi, thì các ngươi sẽ nhận lấy quyền phép, và làm chứng về ta tại thành Giê-ru-sa-lem, cả xứ Giu-đê, xứ Sa-ma-ri, cho đến cùng trái đất.|但 聖 靈 降 臨 在 你 們 身 上 、 你 們 就 必 得 著 能 力 ． 並 要 在 耶 路 撒 冷 、 猶 太 全 地 、 和 撒 瑪 利 亞 、 直 到 地 極 、 作 我 的 見 證 。
Ngài phán bấy nhiêu lời rồi, thì được cất lên trong lúc các ngươi đó nhìn xem Ngài, có một đám mây tiếp Ngài khuất đi, không thấy nữa.|說 了 這 話 、 他 們 正 看 的 時 候 、 他 就 被 取 上 升 、 有 一 朵 雲 彩 把 他 接 去 、 便 看 不 見 他 了 。
Các người đó đương ngó chăm trên trời trong lúc Ngài ngự lên, xảy có hai người nam mặc áo trắng hiện đến trước mặt,|當 他 往 上 去 、 他 們 定 睛 望 天 的 時 候 、 忽 然 有 兩 個 人 、 身 穿 白 衣 、 站 在 旁 邊 、 說 、
và nói rằng: Hỡi người Ga-li-lê, sao các ngươi đứng ngóng lên trời làm chi? Jêsus nầy đã được cất lên trời khỏi giữa các ngươi, cũng sẽ trở lại như cách các ngươi đã thấy Ngài lên trời vậy.|加 利 利 人 哪 、 你 們 為 甚 麼 站 著 望 天 呢 ． 這 離 開 你 們 被 接 升 天 的 耶 穌 、 你 們 見 他 怎 樣 往 天 上 去 、 他 還 要 怎 樣 來 。
Bấy giờ, các người đó từ núi gọi là ô-li-ve trở về thành Giê-ru-sa-lem; núi ấy cách thành Giê-ru-sa-lem một quãng đường ước đi một ngày Sa-bát.|有 一 座 山 名 叫 橄 欖 山 、 離 耶 路 撒 冷 不 遠 、 約 有 安 息 日 可 走 的 路 程 ． 當 下 門 徒 從 那 裡 回 耶 路 撒 冷 去 。
Khi đã về đến, bèn lên một cái phòng cao kia, là nơi Phi -e-rơ, Giăng, Gia-cơ, Anh-rê, Phi-líp, Thô-ma, Ba-thê-lê-my, Ma-thi -ơ, Gia-cơ con của A-phê, Si-môn Xê-lốt, và Giu-đe con của Gia-cơ thường ở.|進 了 城 、 就 上 了 所 住 的 一 間 樓 房 ． 在 那 裡 有 彼 得 、 約 翰 、 雅 各 、 安 得 烈 、 腓 力 、 多 馬 、 巴 多 羅 買 、 馬 太 、 亞 勒 腓 的 兒 子 雅 各 、 奮 銳 黨 的 西 門 、 和 雅 各 的 兒 子 〔 或 作 兄 弟 〕 猶 大 。
Hết thảy những người đó bền lòng đồng một ý mà cầu nguyện với các người đờn bà, và Ma-ri là mẹ Đức Chúa Jêsus cùng anh em Ngài.|這 些 人 、 同 著 幾 個 婦 人 、 和 耶 穌 的 母 親 馬 利 亞 、 並 耶 穌 的 弟 兄 、 都 同 心 合 意 的 恆 切 禱 告 。
