
					Rô-ma 1				|
						羅馬書 1					
Phao-lô, tôi tớ Đức Chúa Trời, được gọi làm sứ đồ, để riêng ra đặng giảng Tin Lành Đức Chúa Trời,|耶 穌 基 督 的 僕 人 保 羅 、 奉 召 為 使 徒 、 特 派 傳 　 神 的 福 音 ．
là Tin Lành xưa kia Đức Chúa Trời đã dùng các đấng tiên tri Ngài mà hứa trong Kinh Thánh,|這 福 音 是 　 神 從 前 藉 眾 先 知 、 在 聖 經 上 所 應 許 的 、
về Con Ngài, theo xác thịt thì bởi dòng dõi vua Đa-vít sanh ra,|論 到 他 兒 子 我 主 耶 穌 基 督 ． 按 肉 體 說 、 是 從 大 衛 後 裔 生 的 、
theo thần linh của thánh đức, thì bởi sự sống lại của Ngài từ trong kẻ chết, được tỏ ra là Con Đức Chúa Trời có quyền phép, tức là Đức Chúa Jêsus Christ, Chúa chúng ta,|按 聖 善 的 靈 說 、 因 從 死 裡 復 活 、 以 大 能 顯 明 是 　 神 的 兒 子 。
nhờ Ngài chúng ta đã nhận lãnh ân điển và chức sứ đồ, để đem mọi dân ngoại đến sự vâng phục của đức tin, vì danh Ngài,|我 們 從 他 受 了 恩 惠 、 並 使 徒 的 職 分 、 在 萬 國 之 中 叫 人 為 他 的 名 信 服 真 道 ．
trong các dân ấy anh em cũng đã được gọi bởi Đức Chúa Jêsus Christ;|其 中 也 有 你 們 這 蒙 召 屬 耶 穌 基 督 的 人 。
gởi cho hết thảy những người yêu dấu của Đức Chúa Trời tại thành Rô-ma, được gọi làm thánh đồ. Nguyền cho anh em được ân điển và sự bình an từ nơi Đức Chúa Trời, Cha chúng ta, và từ nơi Đức Chúa Jêsus Christ!|我 寫 信 給 你 們 在 羅 馬 為 　 神 所 愛 、 奉 召 作 聖 徒 的 眾 人 。 願 恩 惠 平 安 、 從 我 們 的 父 　 神 、 並 主 耶 穌 基 督 、 歸 與 你 們 。
Trước hết, tôi nhờ Đức Chúa Jêsus Christ, vì hết thảy anh em mà tạ ơn Đức Chúa Trời tôi về đức tin anh em đã đồn khắp cả thế gian.|第 一 、 我 靠 著 耶 穌 基 督 、 為 你 們 眾 人 感 謝 我 的 　 神 ． 因 你 們 的 信 德 傳 遍 了 天 下 。
Vì Đức Chúa Trời mà tôi lấy tâm thần hầu việc, bởi sự giảng Tin Lành của Con Ngài, làm chứng cho tôi rằng tôi nhắc đến anh em không thôi|我 在 他 兒 子 福 音 上 、 用 心 靈 所 事 奉 的 　 神 、 可 以 見 證 我 怎 樣 不 住 的 題 到 你 們 、
trong mọi khi tôi cầu nguyện thường xin Đức Chúa Trời, bởi ý muốn Ngài, sau lại có thể gặp dịp tiện đi đến nơi anh em.|在 禱 告 之 間 、 常 常 懇 求 、 或 者 照 　 神 的 旨 意 、 終 能 得 平 坦 的 道 路 往 你 們 那 裡 去 。
Thật vậy, tôi rất mong mỏi đến thăm anh em, đặng thông đồng sự ban cho thiêng liêng cùng anh em, hầu cho anh em được vững vàng,|因 為 我 切 切 的 想 見 你 們 、 要 把 些 屬 靈 的 恩 賜 分 給 你 們 、 使 你 們 可 以 堅 固 ．
tức là tôi ở giữa anh em, để chúng ta cùng nhau giục lòng mạnh mẽ bởi đức tin chung của chúng ta, nghĩa là của anh em và của tôi.|這 樣 我 在 你 們 中 間 、 因 你 與 我 彼 此 的 信 心 、 就 可 以 同 得 安 慰 。
Vả, hỡi anh em, tôi chẳng muốn anh em không biết rằng đã ghe phen tôi toan đi thăm anh em, đặng hái trái trong anh em cũng như trong dân ngoại khác; song về sự đó tôi bị ngăn trở cho đến bây giờ.|弟 兄 們 、 我 不 願 意 你 們 不 知 道 、 我 屢 次 定 意 往 你 們 那 裡 去 、 要 在 你 們 中 間 得 些 果 子 、 如 同 在 其 餘 的 外 邦 人 中 一 樣 ． 只 是 到 如 今 仍 有 阻 隔 。
Tôi mắc nợ cả người Gờ-réc lẫn người giã man, cả người thông thái lẫn người ngu dốt.|無 論 是 希 利 尼 人 、 化 外 人 、 聰 明 人 、 愚 拙 人 、 我 都 欠 他 們 的 債 。
Ay vậy, hễ thuộc về tôi, thì tôi cũng sẵn lòng rao Tin Lành cho anh em, là người ở thành Rô-ma.|所 以 情 願 盡 我 的 力 量 、 將 福 音 也 傳 給 你 們 在 羅 馬 的 人 。
Thật vậy, tôi không hổ thẹn về Tin Lành đâu, vì là quyền phép của Đức Chúa Trời để cứu mọi kẻ tin, trước là người Giu-đa, sau là người Gờ-réc;|我 不 以 福 音 為 恥 ． 這 福 音 本 是 　 神 的 大 能 、 要 救 一 切 相 信 的 、 先 是 猶 太 人 、 後 是 希 利 尼 人 。
vì trong Tin Lành nầy có bày tỏ sự công bình của Đức Chúa Trời, bởi đức tin mà được, lại dẫn đến đức tin nữa, như có chép rằng: Người công bình sẽ sống bởi đức tin.|因 為 　 神 的 義 、 正 在 這 福 音 上 顯 明 出 來 ． 這 義 是 本 於 信 、 以 致 於 信 ． 如 經 上 所 記 、 『 義 人 必 因 信 得 生 。 』
Vả, cơn giận của Đức Chúa Trời từ trên trời tỏ ra nghịch cùng mọi sự không tin kính và mọi sự không công bình của những người dùng sự không công bình mà bắt hiếp lẽ thật.|原 來 　 神 的 忿 怒 、 從 天 上 顯 明 在 一 切 不 虔 不 義 的 人 身 上 、 就 是 那 些 行 不 義 阻 擋 真 理 的 人 。
Vì điều chi có thể biết được về Đức Chúa Trời thì đã trình bày ra cho họ, Đức Chúa Trời đã tỏ điều đó cho họ rồi,|　 神 的 事 情 、 人 所 能 知 道 的 、 原 顯 明 在 人 心 裡 ． 因 為 　 神 已 經 給 他 們 顯 明 。
bởi những sự trọn lành của Ngài mắt không thấy được, tức là quyền phép đời đời và bổn tánh Ngài, thì từ buổi sáng thế vẫn sờ sờ như mắt xem thấy, khi người ta xem xét công việc của Ngài. Cho nên họ không thể chữa mình được,|自 從 造 天 地 以 來 、 　 神 的 永 能 和 神 性 是 明 明 可 知 的 、 雖 是 眼 不 能 見 、 但 藉 著 所 造 之 物 、 就 可 以 曉 得 、 叫 人 無 可 推 諉 ．
vì họ dẫu biết Đức Chúa Trời, mà không làm sáng danh Ngài là Đức Chúa Trời, và không tạ ơn Ngài nữa; song cứ lầm lạc trong lý tưởng hư không, và lòng ngu dốt đầy những sự tối tăm.|因 為 他 們 雖 然 知 道 　 神 、 卻 不 當 作 　 神 榮 耀 他 、 也 不 感 謝 他 ． 他 們 的 思 念 變 為 虛 妄 、 無 知 的 心 就 昏 暗 了 ．
Họ tự xưng mình là khôn ngoan, mà trở nên điên dại;|自 稱 為 聰 明 、 反 成 了 愚 拙 、
