
					II Cô-rinh-tô 1				|
						哥林多後書 1					
Phao-lô, theo ý muốn Đức Chúa Trời, làm sứ đồ Đức Chúa Jêsus Christ, cùng người anh em chúng ta là Ti-mô-thê, gởi cho Hội thánh của Đức Chúa Trời ở thành Cô-rinh-tô, và cho hết thảy thánh đồ ở khắp xứ A-chai:|奉 　 神 旨 意 、 作 基 督 耶 穌 使 徒 的 保 羅 、 和 兄 弟 提 摩 太 、 寫 信 給 在 哥 林 多 　 神 的 教 會 、 並 亞 該 亞 遍 處 的 眾 聖 徒 ．
nguyền xin anh em được ân điển và sự bình an ban cho bởi Đức Chúa Trời, Cha chúng ta, và bởi Đức Chúa Jêsus Christ!|願 恩 惠 平 安 、 從 　 神 我 們 的 父 和 主 耶 穌 基 督 歸 與 你 們 。
Chúc tạ Đức Chúa Trời, Cha Đức Chúa Jêsus Christ chúng ta, là Cha hay thương xót, là Đức Chúa Trời ban mọi sự yên ủi.|願 頌 讚 歸 與 我 們 的 主 耶 穌 基 督 的 父 　 神 、 就 是 發 慈 悲 的 父 、 賜 各 樣 安 慰 的 　 神 ．
Ngài yên ủi chúng tôi trong mọi sự khốn nạn, hầu cho nhơn sự yên ủi mà Ngài đã yên ủi chúng tôi, thì chúng tôi cũng có thể yên ủi kẻ khác trong sự khốn nạn nào họ gặp!|我 們 在 一 切 患 難 中 、 他 就 安 慰 我 們 、 叫 我 們 能 用 　 神 所 賜 的 安 慰 、 去 安 慰 那 遭 各 樣 患 難 的 人 。
Vì như những sự đau đớn của Đấng Christ chan chứa trong chúng tôi thể nào, thì sự yên ủi của chúng tôi bởi Đấng Christ mà chứa chan cũng thể ấy.|我 們 既 多 受 基 督 的 苦 楚 、 就 靠 基 督 多 得 安 慰 。
Như vậy, hoặc chúng tôi gặp hoạn nạn, ấy là cho anh em được yên ủi và được rỗi; hoặc chúng tôi được yên ủi, ấy là cho anh em yên ủi, mà sự yên ủi đó được hiện ra bởi anh em chịu cách nhịn nhục những sự đau đớn mà chúng tôi cùng chịu.|我 們 受 患 難 呢 、 是 為 叫 你 們 得 安 慰 得 拯 救 ． 我 們 得 安 慰 呢 、 也 是 為 叫 你 們 得 安 慰 ． 這 安 慰 能 叫 你 們 忍 受 我 們 所 受 的 那 樣 苦 楚 。
Sự trông cậy của chúng tôi về anh em thật vững vàng; vì biết rằng bởi anh em có phần trong sự đau đớn, thì cùng có phần trong sự yên ủi vậy.|我 們 為 你 們 所 存 的 盼 望 是 確 定 的 ． 因 為 知 道 你 們 既 是 同 受 苦 楚 、 也 必 同 得 安 慰 。
Vả, hỡi anh em, chúng tôi không muốn để anh em chẳng biết sự khổ nạn đã xảy đến cho chúng tôi trong xứ A-si, và chúng tôi đã bị đè nén quá chừng, quá sức mình, đến nỗi mất lòng trông cậy giữ sự sống.|弟 兄 們 、 我 們 不 要 你 們 不 曉 得 、 我 們 從 前 在 亞 西 亞 遭 遇 苦 難 、 被 壓 太 重 、 力 不 能 勝 、 甚 至 連 活 命 的 指 望 都 絕 了 ．
Chúng tôi lại hình như đã nhận án xử tử, hầu cho chúng tôi không cậy mình, nhưng cậy Đức Chúa Trời là Đấng khiến kẻ chết sống lại.|自 己 心 裡 也 斷 定 是 必 死 的 、 叫 我 們 不 靠 自 己 、 只 靠 叫 死 人 復 活 的 　 神 ．
Ay chính Ngài đã cứu chúng tôi khỏi sự chết lớn dường ấy, và sẽ cứu chúng tôi; phải, chúng tôi còn mong Ngài sẽ cứu chúng tôi nữa.|他 曾 救 我 們 脫 離 那 極 大 的 死 亡 、 現 在 仍 要 救 我 們 、 並 且 我 們 指 望 他 將 來 還 要 救 我 們 。
Chính anh em lấy lời cầu nguyện mà giúp đỡ chúng tôi, hầu cho chúng tôi nhờ nhiều người cầu nguyện mà được ơn, thì cũng nên dịp cho nhiều người vì cớ chúng tôi mà tạ ơn nữa.|你 們 以 祈 禱 幫 助 我 們 、 好 叫 許 多 人 為 我 們 謝 恩 、 就 是 為 我 們 因 許 多 人 所 得 的 恩 。
Còn như cái điều làm vẻ vang cho chúng tôi, ấy là lương tâm chúng tôi làm chứng rằng mình lấy sự thánh sạch và thật thà đến bởi Đức Chúa Trời mà ăn ở với anh em, không cậy sự khôn ngoan theo tánh xác thịt, nhưng cậy ơn của Đức Chúa Trời.|我 們 所 誇 的 、 是 自 己 的 良 心 、 見 證 我 們 憑 著 　 神 的 聖 潔 和 誠 實 、 在 世 為 人 、 不 靠 人 的 聰 明 、 乃 靠 　 神 的 恩 惠 、 向 你 們 更 是 這 樣 。
Vì chúng tôi chẳng viết cho anh em sự gì khác hơn những điều anh em đọc trong thơ chúng tôi và chính mình anh em nhận biết; và tôi lại mong anh em nhận biết cho đến cuối cùng,|我 們 現 在 寫 給 你 們 的 話 、 並 不 外 乎 你 們 所 念 的 、 所 認 識 的 、 我 也 盼 望 你 們 到 底 還 是 要 認 識 ．
cũng như anh em đã nhận biết ít nhiều rồi: ấy là chúng tôi làm vẻ vang cho anh em, khác nào anh em cũng làm vẻ vang cho chúng tôi trong ngày Đức Chúa Jêsus chúng ta.|正 如 你 們 已 經 有 幾 分 認 識 我 們 ． 以 我 們 誇 口 、 好 像 我 們 在 我 們 主 耶 穌 的 日 子 、 以 你 們 誇 口 一 樣 。
Bởi sự trông cậy đó, trước đây tôi có định đi thăm anh em, hầu giúp cho anh em được ơn bội phần.|我 既 然 這 樣 深 信 、 就 早 有 意 到 你 們 那 裡 去 、 叫 你 們 再 得 益 處 ．
Tôi định trải qua nơi anh em rồi đi xứ Ma-xê-đoan, lại Ma-xê-đoan trở về nơi anh em, tại nơi đó, anh em cho đưa tôi qua xứ Giu-đê.|也 要 從 你 們 那 裡 經 過 、 往 馬 其 頓 去 、 再 從 馬 其 頓 回 到 你 們 那 裡 、 叫 你 們 給 我 送 行 往 猶 太 去 。
Tôi định ý như vậy, nào có phải bởi tôi nhẹ dạ sao? Hãy là tôi theo xác thịt mà quyết định, đến nỗi nơi tôi khi thì phải khi thì chăng sao?|我 有 此 意 、 豈 是 反 復 不 定 麼 ． 我 所 起 的 意 、 豈 是 從 情 慾 起 的 、 叫 我 忽 是 忽 非 麼 。
Thật như Đức Chúa Trời là thành tín, lời chúng tôi nói với anh em cũng chẳng phải khi thì phải khi thì chăng vậy.|我 指 著 信 實 的 　 神 說 、 我 們 向 你 們 所 傳 的 道 、 並 沒 有 是 而 又 非 的 。
