
					Ga-la-ti 1				|
						加拉太書 1					
Phao-lô, làm sứ đồ, chẳng phải bởi loài người, cũng không nhờ một người nào, bèn là bởi Đức Chúa Jêsus Christ và Đức Chúa Trời, tức là Cha, Đấng đã khiến Ngài từ kẻ chết sống lại,|作 使 徒 的 保 羅 、 （ 不 是 由 於 人 、 也 不 是 藉 著 人 、 乃 是 藉 著 耶 穌 基 督 、 與 叫 他 從 死 裡 復 活 的 父 　 神 ）
cùng hết thảy anh em ở với tôi, gởi cho các Hội thánh ở xứ Ga-la-ti:|和 一 切 與 我 同 在 的 眾 弟 兄 、 寫 信 給 加 拉 太 的 各 教 會 。
nguyền xin anh em được ân điển và sự bình an ban cho bởi Đức Chúa Jêsus Christ, là Chúa chúng ta,|願 恩 惠 平 安 、 從 父 　 神 與 我 們 的 主 耶 穌 基 督 、 歸 與 你 們 。
là Đấng phó mình vì tội lỗi chúng ta, hầu cho cứu chúng ta khỏi đời ác nầy, y theo ý muốn Đức Chúa Trời, là Cha chúng ta,|基 督 照 我 們 父 　 神 的 旨 意 為 我 們 的 罪 捨 己 、 要 救 我 們 脫 離 這 罪 惡 的 世 代 ．
nguyền Ngài được vinh hiển đời đời vô cùng! A-men.|但 願 榮 耀 歸 於 　 神 直 到 永 永 遠 遠 。 阿 們 。
Tôi lấy làm lạ cho anh em đã vội bỏ Đấng gọi anh em bởi ơn Đức Chúa Jêsus Christ, đặng theo tin lành khác.|我 希 奇 你 們 這 麼 快 離 開 那 藉 著 基 督 之 恩 召 你 們 的 、 去 從 別 的 福 音 ．
Thật chẳng phải có tin lành khác, nhưng có mấy kẻ làm rối trí anh em, và muốn đánh đổ Tin Lành của Đấng Christ.|那 並 不 是 福 音 、 不 過 有 些 人 攪 擾 你 們 、 要 把 基 督 的 福 音 更 改 了 。
Nhưng nếu có ai, hoặc chính chúng tôi, hoặc thiên sứ trên trời, truyền cho anh em một tin lành nào khác với Tin Lành đã truyền cho anh em, thì người ấy đáng bị a-na-them!|但 無 論 是 我 們 、 是 天 上 來 的 使 者 、 若 傳 福 音 給 你 們 、 與 我 們 所 傳 給 你 們 的 不 同 、 他 就 應 當 被 咒 詛 。
Tôi đã nói rồi, nay lại nói lần nữa: Nếu ai truyền cho anh em một tin lành nào khác với Tin Lành anh em đã nhận, thì người ấy đáng bị a-na-them!|我 們 已 經 說 了 、 現 在 又 說 、 若 有 人 傳 福 音 給 你 們 、 與 你 們 所 領 受 的 不 同 、 他 就 應 當 被 咒 詛 。
Còn bây giờ, có phải tôi mong người ta ưng chịu tôi hay là Đức Chúa Trời? Hay là tôi muốn đẹp lòng loài người chăng? Ví bằng tôi còn làm cho đẹp lòng loài người, thì tôi chẳng phải là tôi tớ của Đấng Christ.|我 現 在 是 要 得 人 的 心 呢 、 還 是 要 得 　 神 的 心 呢 ． 我 豈 是 討 人 的 喜 歡 麼 ． 若 仍 舊 討 人 的 喜 歡 、 我 就 不 是 基 督 的 僕 人 了 。
Hỡi anh em, tôi nói cho anh em rằng, Tin Lành mà tôi đã truyền, chẳng phải đến từ loài người đâu;|弟 兄 們 、 我 告 訴 你 們 、 我 素 來 所 傳 的 福 音 、 不 是 出 於 人 的 意 思 。
vì tôi không nhận và cũng không học Tin Lành đó với một người nào, nhưng đã nhận lấy bởi sự tỏ ra của Đức Chúa Jêsus Christ.|因 為 我 不 是 從 人 領 受 的 、 也 不 是 人 教 導 我 的 、 乃 是 從 耶 穌 基 督 啟 示 來 的 。
Vả, anh em đã nghe lúc trước tôi theo giáo Giu-đa, cách cư xử của tôi là thể nào, tôi bắt bớ và phá tan Hội thánh của Đức Chúa Trời quá chừng;|你 們 聽 見 我 從 前 在 猶 太 教 中 所 行 的 事 、 怎 樣 極 力 逼 迫 殘 害 　 神 的 教 會 。
tôi tấn tới trong giáo Giu-đa hơn nhiều người cùng tuổi cùng nước với tôi, tôi là người sốt sắng quá đỗi về cựu truyền của tổ phụ tôi.|我 又 在 猶 太 教 中 、 比 我 本 國 許 多 同 歲 的 人 更 有 長 進 、 為 我 袓 宗 的 遺 傳 更 加 熱 心 。
Nhưng khi Đức Chúa Trời, là Đấng đã để riêng tôi ra từ lúc còn trong lòng mẹ, và lấy ân điển gọi tôi, vui lòng|然 而 那 把 我 從 母 腹 裡 分 別 出 來 、 又 施 恩 召 我 的 　 神 、
bày tỏ Con của Ngài ra trong tôi, hầu cho tôi rao truyền Con đó ra trong người ngoại đạo, thì lập tức tôi chẳng bàn với thịt và máu.|既 然 樂 意 將 他 兒 子 啟 示 在 我 心 裡 、 叫 我 把 他 傳 在 外 邦 人 中 、 我 就 沒 有 與 屬 血 氣 的 人 商 量 、
Tôi cũng không lên thành Giê-ru-sa-lem, đến cùng những người đã làm sứ đồ trước tôi, song tôi đi qua xứ A-ra-bi; sau rồi trở về thành Đa-mách.|也 沒 有 上 耶 路 撒 冷 去 、 見 那 些 比 我 先 作 使 徒 的 ． 惟 獨 往 亞 拉 伯 去 ． 後 又 回 到 大 馬 色 。
Kế đó, mãn ba năm, tôi lên thành Giê-ru-sa-lem, đặng làm quen với Sê-pha, và tôi ở với người mười lăm ngày;|過 了 三 年 、 纔 上 耶 路 撒 冷 去 見 磯 法 、 和 他 同 住 了 十 五 天 。
nhưng tôi không thấy một sứ đồ nào khác, trừ ra Gia-cơ là anh em của Chúa.|至 於 別 的 使 徒 、 除 了 主 的 兄 弟 雅 各 、 我 都 沒 有 看 見 。
Thật, trước mặt Đức Chúa Trời, tôi quyết rằng điều tôi viết cho anh em đây chẳng phải là điều dối.|我 寫 給 你 們 的 、 不 是 謊 話 、 這 是 我 在 　 神 面 前 說 的 。
Sau lại, tôi đi qua các miền thuộc xứ Sy-ri và xứ Si-li-si,|以 後 我 到 了 敘 利 亞 和 基 利 家 境 內 。
bấy giờ tôi còn là kẻ lạ mặt trong các Hội thánh tại xứ Giu-đê, là các hội ở trong Đấng Christ.|那 時 、 猶 太 信 基 督 的 各 教 會 都 沒 有 見 過 我 的 面 。
chỉn các hội đó có nghe rằng: Người đã bắt bớ chúng ta ngày trước, nay đương truyền đạo mà lúc bấy giờ người cố sức phá.|不 過 聽 說 、 那 從 前 逼 迫 我 們 的 、 現 在 傳 揚 他 原 先 所 殘 害 的 真 道 。
Vậy thì, các hội đó vì cớ tôi khen ngợi Đức Chúa Trời.|他 們 就 為 我 的 緣 故 、 歸 榮 耀 給 　 神 。

					Ga-la-ti 2				|
						加拉太書 2					
Sau đó mười bốn năm, tôi lại lên thành Giê-ru-sa-lem với Ba-na-ba, có đem Tít cùng đi nữa.|過 了 十 四 年 、 我 同 巴 拿 巴 又 上 耶 詻 撒 冷 去 、 並 帶 著 提 多 同 去 。
Tôi vâng theo lời tỏ ra mà lên đó, phô bày Tin Lành mà tôi đã giảng trong người ngoại đạo ra cho anh em; lại phô bày riêng cho những kẻ có danh vọng hơn hết, kẻo sự chạy của tôi trước kia và bây giờ hóa ra vô ích chăng.|我 是 奉 啟 示 上 去 的 、 把 我 在 外 邦 人 中 所 傳 的 福 音 、 對 弟 兄 們 陳 說 ． 卻 是 背 地 裡 對 那 有 名 望 之 人 說 的 ． 惟 恐 我 現 在 、 或 是 從 前 、 徒 然 奔 跑 。
Dầu Tít, kẻ cùng đi với tôi, là người Gờ-réc, cũng không bị ép phải cắt bì.|但 與 我 同 去 的 提 多 、 雖 是 希 利 尼 人 、 也 沒 有 勉 強 他 他 受 割 禮 ．
Chúng tôi đã làm như vậy, vì cớ mấy người anh em giả, lẻn vào trong vòng chúng tôi, để rình xem sự tự do mà chúng tôi được trong Đức Chúa Jêsus Christ, đặng bắt chúng tôi làm tôi mọi.|因 為 有 偷 著 引 進 來 的 假 弟 兄 、 私 下 窺 探 我 們 在 基 督 耶 穌 裡 的 自 由 、 要 叫 我 們 作 奴 僕 ．
Chúng tôi không nhường họ một giây phút nào, chối chẳng chịu thuộc dưới quyền họ, hầu cho lẽ thật của Tin Lành được vững bền trong anh em.|我 們 就 是 一 刻 的 工 夫 、 也 沒 有 容 讓 順 服 他 們 、 為 要 叫 福 音 的 真 理 仍 存 在 你 們 中 間 。
Còn như những kẻ mà người ta tôn trọng lắm, , tôi nói, những kẻ đó dầu tôn trọng lắm, cũng chẳng làm cho tôi thêm ích chút nào.|至 於 那 些 有 名 望 的 、 不 論 他 是 何 等 人 、 都 與 我 無 干 ． 　 神 不 以 外 貌 取 人 ． 那 些 有 名 望 的 、 並 沒 有 加 增 我 甚 麼 ．
Trái lại, họ thấy sự giảng Tin Lành cho kẻ không chịu phép cắt bì đã giao cho tôi, cũng như sự giảng Tin Lành cho người chịu phép cắt bì đã giao cho Phi -e-rơ vậy,|反 倒 看 見 了 主 託 我 傳 福 音 給 那 未 受 割 禮 的 人 、 正 如 託 彼 得 傳 福 音 給 那 受 割 禮 的 人 ．
vì Đấng đã cảm động trong Phi -e-rơ để sai người làm sứ đồ cho những kẻ chịu cắt bì, cũng cảm động trong tôi để sai tôi làm sứ đồ cho dân ngoại,|（ 那 感 動 彼 得 、 叫 他 為 受 割 禮 之 人 作 使 徒 的 、 也 感 動 我 、 叫 我 為 外 邦 人 作 使 徒 ）
và nhận biết ân điển đã ban cho tôi, thì Gia-cơ, Sê-pha, Giăng là những người được tôn như cột trụ, trao tay hữu giao kết với chúng tôi, tức là Ba-na-ba và tôi, hầu cho chúng tôi đi đến cùng dân ngoại, còn các người ấy thì đến cùng những kẻ chịu phép cắt bì.|又 知 道 所 賜 給 我 的 恩 典 、 那 稱 為 教 會 柱 石 的 雅 各 、 磯 法 、 約 翰 、 就 向 我 和 巴 拿 巴 用 右 手 行 相 交 之 禮 、 叫 我 們 往 外 邦 人 那 裡 去 、 他 們 往 受 割 禮 的 人 那 裡 去 ．
Các người ấy chỉ dặn dò tôi phải nhớ đến kẻ nghèo nàn, là điều tôi cũng đã ân cần làm lắm.|只 是 願 意 我 們 記 念 窮 人 ． 這 也 是 我 本 來 熱 心 去 行 的 。
Nhưng khi Sê-pha đến thành An-ti-ốt, tôi có ngăn can trước mặt người, vì là đáng trách lắm.|後 來 磯 法 到 了 安 提 阿 、 因 他 有 可 責 之 處 、 我 就 當 面 抵 擋 他 。
Bởi trước lúc mấy kẻ của Gia-cơ sai đi chưa đến, thì người ăn chung với người ngoại; vừa khi họ đã đến thì người lui đứng riêng ra, bởi sợ những kẻ chịu phép cắt bì.|從 雅 各 那 裡 來 的 人 、 未 到 以 先 、 他 和 外 邦 人 一 同 喫 飯 ． 及 至 他 們 來 到 、 他 因 怕 奉 割 禮 的 人 、 就 退 去 與 外 邦 人 隔 開 了 。
Các người Giu-đa khác cũng dùng một cách giả dối như vậy, đến nỗi chính Ba-na-ba cũng bị sự giả hình của họ dẫn dụ.|其 餘 的 猶 太 人 、 也 都 隨 著 他 裝 假 ． 甚 至 連 巴 拿 巴 也 隨 夥 裝 假 。
Nhưng khi tôi thấy họ không đi ngay thẳng theo lẽ thật của Tin Lành, thì nói với Sê-pha trước mặt mọi người rằng: nếu anh là người Giu-đa, mà ăn ở theo cách dân ngoại, không theo cách người Giu-đa, thì làm sao anh ép dân ngoại phải theo thói Giu-đa?|但 我 一 看 見 他 們 行 的 不 正 、 與 福 音 的 真 理 不 合 、 就 在 眾 人 面 前 對 磯 法 說 、 你 既 是 猶 太 人 、 若 隨 外 邦 人 行 事 、 不 隨 猶 太 人 行 事 、 怎 麼 還 勉 強 外 邦 人 隨 猶 太 人 呢 。
Về phần chúng tôi, thì sanh ra là người Giu-đa, không phải là kẻ có tội từ trong dân ngoại.|我 們 這 生 來 的 猶 太 人 、 不 是 外 邦 的 罪 人 、
