
					Phi-líp 1				|
						腓利比書 1					
Phao-lô và Ti-mô-thê, tôi tớ của Đức Chúa Jêsus Christ, gởi cho hết thảy các thánh đồ trong Đức Chúa Jêsus Christ, ở thành Phi líp, cùng cho các giám mục và các chấp sự:|基 督 耶 穌 的 僕 人 保 羅 、 和 提 摩 太 、 寫 信 給 凡 住 腓 立 比 、 在 基 督 耶 穌 裡 的 眾 聖 徒 、 和 諸 位 監 督 、 諸 位 執 事 ．
nguyền xin anh em được ân điển và sự bình an ban cho bởi Đức Chúa Trời, Cha chúng ta và bởi Đức Chúa Jêsus Christ!|願 恩 惠 平 安 、 從 　 神 我 們 的 父 、 並 主 耶 穌 基 督 、 歸 與 你 們 。
Mỗi khi tôi nhớ đến anh em, thì cảm tạ Đức Chúa Trời tôi,|我 每 逢 想 念 你 們 、 就 感 謝 我 的 　 神 ．
và mỗi khi cầu nguyện, tôi hằng cầu cho hết thảy anh em cách hớn hở,|（ 每 逢 為 你 們 眾 人 祈 求 的 時 候 、 常 是 歡 歡 喜 喜 的 祈 求 ）
vì cớ từ buổi ban đầu cho đến bây giờ, anh em đã được thông công trong sự tấn tới của đạo Tin Lành;|因 為 從 頭 一 天 直 到 如 今 、 你 們 是 同 心 合 意 的 興 旺 福 音 。
tôi tin chắc rằng Đấng đã khởi làm việc lành trong anh em, sẽ làm trọn hết cho đến ngày của Đức Chúa Jêsus Christ.|我 深 信 那 在 你 們 心 裡 動 了 善 工 的 、 必 成 全 這 工 、 直 到 耶 穌 基 督 的 日 子 ．
Tôi nghĩ đến hết thảy anh em dường ấy, là phải lắm; vì anh em ở trong lòng tôi, dầu trong vòng xiềng xích tôi, hoặc trong khi binh vực và làm chứng đạo Tin Lành, thì anh em cũng có dự phần ân điển đã ban cho tôi.|我 為 你 們 眾 人 有 這 樣 的 意 念 、 原 是 應 當 的 ． 因 為 你 們 常 在 我 心 裡 、 無 論 我 是 在 捆 鎖 之 中 、 是 辯 明 證 實 福 音 的 時 候 、 你 們 都 與 我 一 同 得 恩 。
Đức Chúa Trời cũng chứng rằng: tôi lấy lòng yêu dấu của Đức Chúa Jêsus Christ và tríu mến anh em.|我 體 會 基 督 耶 穌 的 心 腸 、 切 切 的 想 念 你 們 眾 人 ． 這 是 　 神 可 以 給 我 作 見 證 的 。
Lại, điều tôi xin trong khi cầu nguyện, ấy là lòng yêu thương của anh em càng ngày càng chan chứa hơn, trong sự thông biết và sự suy hiểu,|我 所 禱 告 的 、 就 是 要 你 們 的 愛 心 、 在 知 識 和 各 樣 見 識 上 、 多 而 又 多 ．
để nghiệm thử những sự tốt lành hơn, hầu cho anh em được tinh sạch không chỗ trách được, cho đến ngày Đấng Christ,|使 你 們 能 分 別 是 非 、 〔 或 作 喜 愛 那 美 好 的 事 〕 作 誠 實 無 過 的 人 、 直 到 基 督 的 日 子 ．
được đầy trái công bình đến bởi Đức Chúa Jêsus Christ, làm cho sáng danh và khen ngợi Đức Chúa Trời.|並 靠 著 耶 穌 基 督 結 滿 了 仁 義 的 果 子 、 叫 榮 耀 稱 讚 歸 與 　 神 。
Hỡi anh em, tôi muốn anh em biết rằng điều xảy đến cho tôi đã giúp thêm sự tấn tới cho đạo Tin Lành,|弟 兄 們 、 我 願 意 你 們 知 道 、 我 所 遭 遇 的 事 、 更 是 叫 福 音 興 旺 ．
đến nỗi chốn công đường và các nơi khác đều rõ tôi vì Đấng Christ mà chịu xiềng xích.|以 致 我 受 的 捆 鎖 、 在 御 營 全 軍 、 和 其 餘 的 人 中 、 已 經 顯 明 是 為 基 督 的 緣 故 。
Phần nhiều trong anh em nhơn tôi bị xiềng xích mà có lòng tin rất lớn trong Đấng Christ, dám truyền đạo Đức Chúa Trời chẳng sợ hãi gì.|並 且 那 在 主 裡 的 弟 兄 、 多 半 因 我 受 的 捆 鎖 、 就 篤 信 不 疑 、 越 發 放 膽 傳 　 神 的 道 、 無 所 懼 怕 。
Thật có một đôi người vì lòng ganh tị và cãi lẫy mà rao truyền Đấng Christ, nhưng cũng có kẻ lấy ý tốt mà rao truyền.|有 的 傳 基 督 、 是 出 於 嫉 妒 分 爭 ． 也 有 的 是 出 於 好 意 ．
Những người nầy làm bởi lòng yêu mến, biết rằng: tôi được lập nên để binh vực đạo Tin Lành.|這 一 等 、 是 出 於 愛 心 、 知 道 我 是 為 辯 明 福 音 設 立 的 ．
Còn những người kia, vì ý phe đãng xui giục, có lòng rao truyền Đấng Christ cách không ngay thật, tưởng thêm khổ não cho sự xiềng xích tôi.|那 一 等 傳 基 督 、 是 出 於 結 黨 、 並 不 誠 實 、 意 思 要 加 增 我 捆 鎖 的 苦 楚 。
Song có hề gì! Dẫu thế nào đi nữa, hoặc làm bộ, hoặc thật thà, Đấng Christ cũng được rao truyền; ấy vì đó tôi đương mừng rỡ, và sẽ còn mừng rỡ nữa.|這 有 何 妨 呢 ． 或 是 假 意 、 或 是 真 心 、 無 論 怎 樣 、 基 督 究 竟 被 傳 開 了 ． 為 此 我 就 歡 喜 、 並 且 還 要 歡 喜 。
Vì tôi biết rằng nhờ anh em cầu nguyện, và nhờ Thánh Linh của Đức Chúa Jêsus Christ giúp đỡ, thì điều nầy sẽ trở làm ích cho sự rỗi tôi.|因 為 我 知 道 這 事 藉 你 們 的 祈 禱 、 和 耶 穌 基 督 之 靈 的 幫 助 、 終 必 叫 我 得 救 ．
Tôi có lòng trông cậy chắc chắn nầy, việc chi tôi cũng chẳng hổ thẹn cả, nhưng bao giờ cũng thế, tôi nói cách tự do mọi bề, như vậy, dầu tôi sống hay chết, Đấng Christ sẽ được cả sáng trong mình tôi.|照 著 我 所 切 慕 所 盼 望 的 、 沒 有 一 事 叫 我 羞 愧 、 只 要 凡 事 放 膽 ． 無 論 是 生 、 是 死 、 總 叫 基 督 在 我 身 上 照 常 顯 大 。
Vì Đấng Christ là sự sống của tôi, và sự chết là điều ích lợi cho tôi vậy.|因 我 活 著 就 是 基 督 、 我 死 了 就 有 益 處 。
Ví thử tôi cứ sống trong xác thịt, là ích lợi cho công khó tôi, thì tôi chẳng biết nên lựa điều chi.|但 我 在 肉 身 活 著 、 若 成 就 我 功 夫 的 果 子 、 我 就 不 知 道 該 挑 選 甚 麼 。
Tôi bị ép giữa hai bề muốn đi ở với Đấng Christ, là điều rất tốt hơn;|我 正 在 兩 難 之 間 、 情 願 離 世 與 基 督 同 在 ． 因 為 這 是 好 得 無 比 的 ．
nhưng tôi cứ ở trong xác thịt, ấy là sự cần hơn cho anh em.|然 而 我 在 肉 身 活 著 、 為 你 們 更 是 要 緊 的 。
Trong sự tin chắc đó, tôi biết rằng tôi sẽ cứ còn lại và ở với hết thảy anh em, để giúp đức tin anh em được tấn tới và vui vẻ;|我 既 然 這 樣 深 信 、 就 知 道 仍 要 住 在 世 間 、 且 與 你 們 眾 人 同 住 、 使 你 們 在 所 信 的 道 上 、 又 長 進 又 喜 樂 ．
hầu cho khi tôi lại đến cùng anh em, anh em sẽ nhơn tôi mà có nhiều cứ khoe mình luôn trong Đức Chúa Jêsus Christ.|叫 你 們 在 基 督 耶 穌 裡 的 歡 樂 、 因 我 再 到 你 們 那 裡 去 、 就 越 發 加 增 。
Duy anh em phải ăn ở một cách xứng đáng với đạo Tin Lành của Đấng Christ, để hoặc khi đến thăm anh em, hoặc khi vắng mặt, tôi cũng biết rằng anh em một lòng đứng vững, đồng tâm chống cự vì đức tin của đạo Tin Lành, phàm sự chẳng để cho kẻ thù nghịch ngăm dọa mình;|只 要 你 們 行 事 為 人 與 基 督 的 福 音 相 稱 ． 叫 我 或 來 見 你 們 、 或 不 在 你 們 那 裡 、 可 以 聽 見 你 們 的 景 況 、 知 道 你 們 同 有 一 個 心 志 、 站 立 得 穩 、 為 所 信 的 福 音 齊 心 努 力 ．
điều đó là một chứng nghiệm chúng nó phải hư mất, còn anh em được cứu rỗi; và ấy là từ nơi Đức Chúa Trời,|凡 事 不 怕 敵 人 的 驚 嚇 ． 這 是 證 明 他 們 沉 淪 、 你 們 得 救 、 都 是 出 於 　 神 。
Ngài nhơn Đấng Christ, ban ơn cho anh em, không những tin Đấng Christ mà thôi, lại phải chịu khổ vì Ngài nữa,|因 為 你 們 蒙 恩 、 不 但 得 以 順 服 基 督 、 並 要 為 他 受 苦 。
là phải chịu cùng một cuộc chiến tranh như anh em đã thấy ở nơi tôi và hiện nay còn nghe nói có nơi tôi.|你 們 的 爭 戰 、 就 與 你 們 在 我 身 上 從 前 所 看 見 、 現 在 所 聽 見 的 一 樣 。

					Phi-líp 2				|
						腓利比書 2					
Vậy nếu trong Đấng Christ có điều yên ủi nào, nếu vì lòng yêu thương có điều cứu giúp nào, nếu có sự thông công nơi Thánh Linh, nếu có lòng yêu mến và lòng thương xót,|所 以 在 基 督 裡 若 有 甚 麼 勸 勉 、 愛 心 有 甚 麼 安 慰 、 聖 靈 有 甚 麼 交 通 、 心 中 有 甚 麼 慈 悲 憐 憫 、
thì anh em hãy hiệp ý với nhau, đồng tình yêu thương, đồng tâm, đồng tư tưởng mà làm cho tôi vui mừng trọn vẹn.|你 們 就 是 意 念 相 同 、 愛 心 相 同 、 有 一 樣 的 心 思 、 有 一 樣 的 意 念 、 使 我 的 喜 樂 可 以 滿 足 。
Chớ làm sự chi vì lòng tranh cạnh hoặc vì hư vinh, nhưng hãy khiêm nhường, coi người khác như tôn trọng hơn mình.|凡 事 不 可 結 黨 、 不 可 貪 圖 虛 浮 的 榮 耀 ． 只 要 存 心 謙 卑 、 各 人 看 別 人 比 自 己 強 。
Mỗi người trong anh em chớ chăm về lợi riêng mình, nhưng phải chăm về lợi kẻ khác nữa.|各 人 不 要 單 顧 自 己 的 事 、 也 要 顧 別 人 的 事 。
Hãy có đồng một tâm tình như Đấng Christ đã có,|你 們 當 以 基 督 耶 穌 的 心 為 心 。
Ngài vốn có hình Đức Chúa Trời, song chẳng coi sự bình đẳng mình với Đức Chúa Trời là sự nên nắm giữ;|他 本 有 　 神 的 形 像 、 不 以 自 己 與 　 神 同 等 為 強 奪 的 ．
chính Ngài đã tự bỏ mình đi, lấy hình tôi tớ và trở nên giống như loài người;|反 倒 虛 己 、 取 了 奴 僕 的 形 像 、 成 為 人 的 樣 式 ．
Ngài đã hiện ra như một người, tự hạ mình xuống, vâng phục cho đến chết, thậm chí chết trên cây thập tự.|既 有 人 的 樣 子 、 就 自 己 卑 微 、 存 心 順 服 、 以 至 於 死 、 且 死 在 十 字 架 上 。
