
					II Ti-mô-thê 1				|
						提摩太后書 1					
Ta, Phao-lô, theo ý muốn Đức Chúa Trời, làm sứ đồ của Đức Chúa Jêsus Christ, đặng rao truyền lời hứa của sự sống trong Đức Chúa Jêsus Christ,|奉 　 神 旨 意 、 照 著 在 基 督 耶 穌 裡 生 命 的 應 許 、 作 基 督 耶 穌 使 徒 的 保 羅 、
gởi cho Ti-mô-thê, là con rất yêu dấu của ta: nguyền con được ân điển, sự thương xót, sự bình an ban cho bởi Đức Chúa Trời, là Cha, và bởi Đức Chúa Jêsus Christ, Chúa chúng ta!|寫 信 給 我 親 愛 的 兒 子 提 摩 太 ． 願 恩 惠 憐 憫 平 安 、 從 父 　 神 和 我 們 主 基 督 耶 穌 、 歸 與 你 。
Ta cảm tạ Đức Chúa Trời mà ta hầu việc bằng lương tâm thanh sạch như tổ tiên ta đã làm, cả ngày lẫn đêm ta ghi nhớ con không thôi trong khi cầu nguyện.|我 感 謝 　 神 、 就 是 我 接 續 祖 先 、 用 清 潔 的 良 心 所 事 奉 的 　 神 、 祈 禱 的 時 候 、 不 住 的 想 念 你 、
Vì ta nhớ đến nước mắt con, muốn đến thăm con quá chừng, để được đầy lòng vui vẻ.|記 念 你 的 眼 淚 、 晝 夜 切 切 的 想 要 見 你 、 好 叫 我 滿 心 快 樂 ．
Ta cũng nhớ đến đức tin thành thật của con, là đức tin trước đã ở trong Lô-ít, bà nội con, và trong Ơ-nít, mẹ con, ta chắc rằng nay cũng ở trong con nữa.|想 到 你 心 裡 無 偽 之 信 ． 這 信 是 先 在 你 外 祖 母 羅 以 、 和 你 母 親 友 尼 基 心 裡 的 ． 我 深 信 也 在 你 的 心 裡 。
Vậy nên ta khuyên con hãy nhen lại ơn của Đức Chúa Trời ban cho, mà con đã nhận lãnh bởi sự đặt tay của ta.|為 此 我 題 醒 你 、 使 你 將 　 神 藉 我 按 手 所 給 你 的 恩 賜 、 再 如 火 挑 旺 起 來 。
Vì Đức Chúa Trời chẳng ban cho chúng ta tâm thần nhút nhát, bèn là tâm thần mạnh mẽ, có tình thương yêu và giè giữ.|因 為 　 神 賜 給 我 們 、 不 是 膽 怯 的 心 、 乃 是 剛 強 、 仁 愛 、 謹 守 的 心 。
Vậy con chớ thẹn vì phải làm chứng cho Chúa chúng ta, cũng đứng lấy sự ta vì Ngài ở tù làm xấu hổ; nhưng hãy cậy quyền phép Đức Chúa Trời mà chịu khổ với Tin Lành.|你 不 要 以 給 我 們 的 主 作 見 證 為 恥 、 也 不 要 以 我 這 為 主 被 囚 的 為 恥 ． 總 要 按 　 神 的 能 力 、 與 我 為 福 音 同 受 苦 難 ．
Ay chính Chúa đã cứu chúng ta, đã gọi chúng ta bởi sự kêu gọi thánh, chẳng phải theo việc làm chúng ta, bèn theo ý riêng Ngài chỉ định, theo ân điển đã ban cho chúng ta trong Đức Chúa Jêsus Christ từ trước muôn đời vô cùng,|　 神 救 了 我 們 、 以 聖 召 召 我 們 、 不 是 按 我 們 的 行 為 、 乃 是 按 他 的 旨 意 、 和 恩 典 ． 這 恩 典 是 萬 古 之 先 、 在 基 督 耶 穌 裡 賜 給 我 們 的 ．
mà bây giờ mới bày ra bởi sự hiện ra của Đức Chúa Jêsus Christ, Cứu Chúa chúng ta, Ngài đã hủy phá sự chết, dùng Tin Lành phô bày sự sống và sự không hề chết ra cho rõ ràng.|但 如 今 藉 著 我 們 救 主 基 督 耶 穌 的 顯 現 、 纔 表 明 出 來 了 。 他 已 經 把 死 廢 去 、 藉 著 福 音 、 將 不 能 壞 的 生 命 彰 顯 出 來 。
Ay là vì Tin Lành đó mà ta đã được lập làm người giảng đạo, sứ đồ và giáo sư,|我 為 這 福 音 奉 派 作 傳 道 的 、 作 使 徒 、 作 師 傅 。
ấy lại là cớ mà ta chịu khổ. Nhưng ta chẳng hổ thẹn vì biết ta đã tin Đấng nào, chắc rằng Đấng ấy có quyền phép giữ sự ta đã phó thác cho đến ngày đó.|為 這 緣 故 、 我 也 受 這 些 苦 難 ． 然 而 我 不 以 為 恥 ． 因 為 知 道 我 所 信 的 是 誰 、 也 深 信 他 能 保 全 我 所 交 付 他 的 、 〔 或 作 他 所 交 託 我 的 〕 直 到 那 日 。
Hãy lấy lòng tin và yêu trong Đức Chúa Jêsus Christ mà giữ lấy mẫu mực của các sự dạy dỗ có ích, là sự con đã nhận lãnh nơi ta.|你 從 我 聽 的 那 純 正 話 語 的 規 模 、 要 用 在 基 督 耶 穌 裡 的 信 心 和 愛 心 、 常 常 守 著 。
Hãy nhờ Đức Thánh Linh ngự trong chúng ta mà giữ lấy điều phó thác tốt lành.|從 前 所 交 託 你 的 善 道 、 你 要 靠 著 那 住 在 我 們 裡 面 的 聖 靈 、 牢 牢 的 守 著 。
Con biết rằng mọi người ở xứ A-si đã lìa bỏ ta; trong số ấy có Phy-ghen và Hẹt-mô-ghen.|凡 在 亞 西 亞 的 人 都 離 棄 我 、 這 是 你 知 道 的 ． 其 中 有 腓 吉 路 和 黑 摩 其 尼 。
Cầu xin Chúa thương xót lấy nhà Ô-nê-si-phô-rơ, vì người đòi phen yên ủi ta, chẳng hề lấy sự ta bị xiềng xích làm xấu hổ.|願 主 憐 憫 阿 尼 色 弗 一 家 的 人 ． 因 他 屢 次 使 我 暢 快 、 不 以 我 的 鎖 鍊 為 恥 ．
Lại còn, khi người vừa đến thành Rô-ma, đã vội vả kiếm ta, và kiếm được.|反 倒 在 羅 馬 的 時 候 、 殷 勤 的 找 我 、 並 且 找 著 了 。
Xin chính mình Chúa cho người tìm thấy sự thương xót của Chúa trong ngày đó! Con lại biết hơn kẻ khác, người ở Ê-phê-sô đã hầu việc ta mọi đàng.|願 主 使 他 在 那 日 得 主 的 憐 憫 ． 他 在 以 弗 所 怎 樣 多 多 的 服 事 我 、 是 你 明 明 知 道 的 。

					II Ti-mô-thê 2				|
						提摩太后書 2					
Vậy, hỡi con, hãy cậy ân điển trong Đức Chúa Jêsus Christ mà làm cho mình mạnh mẽ.|我 兒 阿 、 你 要 在 基 督 耶 穌 的 恩 典 上 剛 強 起 來 。
