
					Phi-lê-môn 1				|
						腓利門書 1					
Phao-lô, kẻ tù của Đức Chúa Jêsus Christ, và Ti-mô-thê, anh em chúng ta, gởi cho Phi-lê-môn, là người rất yêu dấu và cùng làm việc với chúng ta,|為 基 督 耶 穌 被 囚 的 保 羅 、 同 兄 弟 提 摩 太 、 寫 信 給 我 們 所 親 愛 的 同 工 腓 利 門 、
cùng cho Ap-bi và người chị em, A-chíp, là bạn cùng đánh trận, lại cho Hội thánh nhóm họp trong nhà anh:|和 妹 子 亞 腓 亞 、 並 與 我 們 同 當 兵 的 亞 基 布 、 以 及 在 你 家 的 教 會 ．
nguyền xin anh em được ân điển và sự bình an ban cho bởi Đức Chúa Trời, Cha chúng ta, và bởi Đức Chúa Jêsus Christ!|願 恩 惠 平 安 、 從 　 神 我 們 的 父 、 和 主 耶 穌 基 督 、 歸 與 你 們 。
Tôi cảm tạ Đức Chúa Trời tôi, hằng ghi nhớ anh trong lời cầu nguyện,|我 禱 告 的 時 候 題 到 你 、 常 為 你 感 謝 我 的 　 神 ．
vì nghe nói anh có lòng yêu thương và đức tin trong Đức Chúa Jêsus và cùng các thánh đồ.|因 聽 說 你 的 愛 心 、 並 你 向 主 耶 穌 和 眾 聖 徒 的 信 心 ． 〔 或 作 因 聽 說 你 向 主 耶 穌 和 眾 聖 徒 有 愛 心 有 信 心 〕
Tôi cầu xin Ngài rằng đức tin đó, là đức tin chung cho chúng ta, được có hiệu nghiệm, khiến người ta biết ấy là vì Đấng Christ mà mọi điều lành được làm trong chúng ta.|願 你 與 人 所 同 有 的 信 心 顯 出 功 效 、 使 人 知 道 你 們 各 樣 善 事 都 是 為 基 督 作 的 。
Vả, hỡi anh, tôi đã được vui mừng yên ủi lắm bởi lòng yêu thương của anh, vì nhờ anh mà lòng các thánh đồ được yên ủi.|兄 弟 阿 、 我 為 你 的 愛 心 、 大 有 快 樂 、 大 得 安 慰 ． 因 眾 聖 徒 的 心 從 你 得 了 暢 快 。
Vậy nên, dầu trong Đấng Christ, tôi có quyền truyền dạy anh việc nên làm,|我 雖 然 靠 著 基 督 能 放 膽 吩 咐 你 合 宜 的 事 ．
song vì lòng yêu thương của anh, nên tôi nài xin thì hơn. Tôi, Phao-lô, đã già rồi, hiện nay lại vì Đức Chúa Jêsus Christ chịu tù nữa,|然 而 像 我 這 有 年 紀 的 保 羅 、 現 在 又 是 為 基 督 耶 穌 被 囚 的 、 寧 可 憑 著 愛 心 求 你 ．
tôi vì con tôi đã sanh trong vòng xiềng xích, tức là Ô-nê-sim, mà nài xin anh;|就 是 為 我 在 捆 鎖 中 所 生 的 兒 子 阿 尼 西 母 〔 此 名 就 是 有 益 處 的 意 思 〕 求 你 ．
ngày trước người không ích gì cho anh, nhưng bây giờ sẽ ích lắm, và cũng ích cho tôi nữa: tôi sai người về cùng anh,|他 從 前 與 你 沒 有 益 處 、 但 如 今 與 你 我 都 有 益 處 ．
người như lòng dạ tôi vậy.|我 現 在 打 發 他 親 自 回 你 那 裡 去 ． 他 是 我 心 上 的 人 。
Tôi vốn muốn cầm người ở lại cùng tôi, đặng thế cho anh mà giúp việc tôi trong cơn vì Tin Lành chịu xiềng xích.|我 本 來 有 意 將 他 留 下 、 在 我 為 福 音 所 的 捆 鎖 中 替 你 伺 候 我 。
Nhưng tôi không muốn làm điều gì mà chưa được anh đồng ý, hầu cho điều lành anh sẽ làm chẳng phải bởi ép buộc, bèn là bởi lòng thành.|但 不 知 道 你 的 意 思 、 我 就 不 願 意 這 樣 行 、 叫 你 的 善 行 不 是 出 於 勉 強 、 乃 是 出 於 甘 心 。
Vả, có lẽ người đã tạm xa cách anh, cốt để anh nhận lấy người mãi mãi,|他 暫 時 離 開 你 、 或 者 是 叫 你 永 遠 得 著 他 。
không coi như tôi mọi nữa, nhưng coi hơn tôi mọi, coi như anh em yêu dấu, nhứt là yêu dấu cho tôi, huống chi cho anh, cả về phần xác, cả về phần trong Chúa nữa.|不 再 是 奴 僕 、 乃 是 高 過 奴 僕 、 是 親 愛 的 兄 弟 、 在 我 實 在 是 如 此 、 何 況 在 你 呢 。 這 也 不 拘 是 按 肉 體 說 、 是 按 主 說 、
Vậy nếu anh coi tôi là bạn hữu anh, thì hãy nhận lấy người như chính mình tôi vậy.|你 若 以 我 為 同 伴 、 就 收 納 他 、 如 同 收 納 我 一 樣 。
Nhược bằng người có làm hại anh hoặc mắc nợ anh điều chi, thì hãy cứ kể cho tôi.|他 若 虧 負 你 、 或 欠 你 甚 麼 、 都 歸 在 我 的 賬 上 ．
Tôi, Phao-lô, chính tay tôi viết điều nầy: sẽ trả cho anh, còn anh mắc nợ tôi về chính mình anh thì không nhắc đến.|我 必 償 還 ． 這 是 我 保 羅 親 筆 寫 的 ． 我 並 不 用 對 你 說 、 連 你 自 己 也 是 虧 欠 於 我 。
Phải, hãy anh em, ước chi tôi được nhận sự vui vẻ nầy bởi anh trong Chúa; anh hãy làm cho tôi được thỏa lòng trong Đấng Christ.|兄 弟 阿 、 望 你 使 我 在 主 裡 因 你 得 快 樂 ． 〔 或 作 益 處 〕 並 望 你 使 我 的 心 在 基 督 裡 得 暢 快 。
Tôi viết cho anh, đã tin chắc anh hay vâng lời, biết anh sẽ làm quá sự tôi nói đây.|我 寫 信 給 你 、 深 信 你 必 順 服 、 知 道 你 所 要 行 的 、 必 過 於 我 所 說 的 。
Nhân thể hãy liệu sắm nhà trọ cho tôi, vì tôi mong rằng nhờ anh em cầu nguyện, sẽ được trở về cùng anh em.|此 外 你 還 要 給 我 豫 備 住 處 、 因 為 我 盼 望 藉 著 你 們 的 禱 告 、 必 蒙 恩 到 你 們 那 裡 去 。
Ê-pháp-ra, là bạn đồng tù trong Đức Chúa Jêsus Christ với tôi, có lời thăm anh,|為 基 督 耶 穌 與 我 同 坐 監 的 以 巴 弗 問 你 安 。
Mác, A-ri-tạc, Đê-ma và Lu-ca, cùng là bạn cùng làm việc với tôi cũng vậy.|與 我 同 工 的 馬 可 、 亞 里 達 古 、 底 馬 、 路 加 、 也 都 問 你 安 。
Nguyện xin ân điển của Đức Chúa Jêsus Christ ở với tâm thần anh em!|願 我 們 主 耶 穌 基 督 的 恩 、 常 在 你 的 心 裡 。 阿 們 。
