
					Hê-bơ-rơ 1				|
						希伯來書 1					
Đời xưa, Đức Chúa Trời đã dùng các đấng tiên tri phán dạy tổ phụ chúng ta nhiều lần nhiều cách,|　 神 既 在 古 時 藉 著 眾 先 知 、 多 次 多 方 的 曉 諭 列 祖 、
rồi đến những ngày sau rốt nầy, Ngài phán dạy chúng ta bởi Con Ngài, là Con mà Ngài đã lập lên kế tự muôn vật, lại bởi Con mà Ngài đã dựng nên thế gian;|就 在 這 末 世 、 藉 著 他 兒 子 曉 諭 我 們 、 又 早 已 立 他 為 承 受 萬 有 的 、 也 曾 藉 著 他 創 造 諸 世 界 ．
Con là sự chói sáng của sự vinh hiển Đức Chúa Trời và hình bóng của bổn thể Ngài, lấy lời có quyền phép Ngài nâng đỡ muôn vật; sau khi Con làm xong sự sạch tội, bèn ngồi bên hữu Đấng tôn nghiêm ở trong nơi rất cao,|他 是 　 神 榮 耀 所 發 的 光 輝 、 是 　 神 本 體 的 真 像 、 常 用 他 權 能 的 命 令 托 住 萬 有 、 他 洗 淨 了 人 的 罪 、 就 坐 在 高 天 至 大 者 的 右 邊 ．
vậy được hưởng danh cao hơn danh thiên sứ bao nhiêu, thì trở nên cao trọng hơn thiên sứ bấy nhiêu.|他 所 承 受 的 名 、 既 比 天 使 的 名 更 尊 貴 、 就 遠 超 過 天 使 。
Vả, Đức Chúa Trời há có bao giờ phán cùng thiên sứ rằng: Ngươi là Con ta, Ngày nay ta đã sanh ngươi? Lại há có khi nào phán: Ta sẽ làm Cha người, Người sẽ làm Con ta?|所 有 的 天 使 、 　 神 從 來 對 那 一 個 說 、 『 你 是 我 的 兒 子 、 我 今 日 生 你 。 』 又 指 著 那 一 個 說 、 『 我 要 作 他 的 父 、 他 要 作 我 的 子 。 』
Còn khi Ngài đưa Con đầu lòng mình vào thế gian, thì phán rằng: Mọi thiên sứ của Đức Chúa Trời phải thờ lạy Con.|再 者 、 　 神 使 長 子 到 世 上 來 的 時 候 、 〔 或 作 　 神 再 使 長 子 到 世 上 來 的 時 候 〕 就 說 、 『 　 神 的 使 者 都 要 拜 他 。 』
Nói về thiên sứ thì Ngài phán rằng: Đức Chúa Trời làm cho thiên sứ Ngài như gió, Và tôi tớ Ngài như ngọn lửa.|論 到 使 者 、 又 說 、 『 　 神 以 風 為 使 者 、 以 火 焰 為 僕 役 。 』
Nhưng nói về Con thì lại phán rằng: Hỡi Đức Chúa Trời, ngôi Chúa còn mãi đời nọ qua đời kia, Quyền bính của nước Chúa là quyền bính ngay thẳng.|論 到 子 卻 說 、 『 　 神 阿 、 你 的 寶 座 是 永 永 遠 遠 的 、 你 的 國 權 是 正 直 的 。
Chúa ưa điều công bình, ghét điều gian ác; Cho nên, hỡi Chúa, Đức Chúa Trời của Chúa lấy dầu vui mừng xức cho, Khiến Chúa trổi hơn kẻ đồng bạn mình.|你 喜 愛 公 義 、 恨 惡 罪 惡 ． 所 以 　 神 、 就 是 你 的 　 神 、 用 喜 樂 油 膏 你 、 勝 過 膏 你 的 同 伴 。 』
Lại có phán: Hỡi Chúa, ban đầu trước hết Chúa đã dựng nền đất, Và các từng trời cũng là công việc của tay Chúa.|又 說 、 『 主 阿 、 你 起 初 立 了 地 的 根 基 、 天 也 是 你 手 所 造 的 ．
Trời đất sẽ hư đi, nhưng Chúa hằng có; Trời đất sẽ cũ đi như cái áo;|天 地 都 要 滅 沒 、 你 卻 要 長 存 ． 天 地 都 要 像 衣 服 漸 漸 舊 了 ．
Ngài sẽ cuốn nó lại như cái áo choàng, Rồi trời đất sẽ biến đổi, Nhưng Chúa vẫn y nguyên, Các năm của Chúa không hề cùng.|你 要 將 天 地 捲 起 來 、 像 一 件 外 衣 、 天 地 就 都 改 變 了 ． 惟 有 你 永 不 改 變 、 你 的 年 數 沒 有 窮 盡 。 』
Đức Chúa Trời há có bao giờ phán cùng thiên sứ nào rằng: Hãy ngồi bên hữu ta, Cho đến chừng nào ta để kẻ thù nghịch làm bệ dưới chơn ngươi?|所 有 的 天 使 、 　 神 從 來 對 那 一 個 說 、 『 你 坐 在 我 的 右 邊 、 等 我 使 你 仇 敵 作 你 的 腳 凳 。 』
Các thiên sứ há chẳng phải đều là thần hầu việc Đức Chúa Trời, đã được sai xuống để giúp việc những người sẽ hưởng cơ nghiệp cứu rỗi hay sao?|天 使 豈 不 都 是 服 役 的 靈 、 奉 差 遣 為 那 將 要 承 受 救 恩 的 人 效 力 麼 。

					Hê-bơ-rơ 2				|
						希伯來書 2					
Vậy nên, chúng ta phải càng giữ vững lấy điều mình đã nghe e kẻo bị trôi lạc chăng.|所 以 我 們 當 越 發 鄭 重 所 聽 見 的 道 理 、 恐 怕 我 們 隨 流 失 去 。
Vì nên lời thiên sứ rao truyền đã vững chắc và sự trái phép nghịch mạng đã được báo ứng xứng đáng rồi,|那 藉 著 天 使 所 傳 的 話 、 既 是 確 定 的 、 凡 干 犯 悖 逆 的 、 都 受 了 該 受 的 報 應 ．
mà nếu ta còn trễ nải sự cứu rỗi lớn dường ấy, thì làm sao tránh cho khỏi được? là sự cứu rỗi Chúa truyền ra trước hết, rồi có những kẻ nghe chứng nghiệm nó cho chúng ta,|我 們 若 忽 略 這 麼 大 的 救 恩 、 怎 能 逃 罪 呢 ． 這 救 恩 起 先 是 主 親 自 講 的 、 後 來 是 聽 見 的 人 給 我 們 證 實 了 ．
