
					Giô-sua 1				|
						約書亞記 1					
Sau khi Môi-se, tôi tớ của Đức Giê-hô-va qua đời, Đức Giê-hô-va phán cùng Giô-suê, con trai của Nun, tôi tớ của Môi-se, mà rằng:|耶 和 華 的 僕 人 摩 西 死 了 以 後 、 耶 和 華 曉 諭 摩 西 的 幫 手 嫩 的 兒 子 約 書 亞 、 說 、
Môi-se, tôi tớ ta, đã chết; bây giờ ngươi và cả dân sự này hãy đứng dậy đi qua sông Giô-đanh, đặng vào xứ mà ta ban cho dân Y-sơ-ra-ên.|我 的 僕 人 摩 西 死 了 。 現 在 你 要 起 來 、 和 眾 百 姓 過 這 約 但 河 、 往 我 所 要 賜 給 以 色 列 人 的 地 去 。
Phàm nơi nào bàn chơn các ngươi đạp đến, thì ta ban cho các ngươi, y như ta đã phán cùng Môi-se.|凡 你 們 腳 掌 所 踏 之 地 、 我 都 照 著 我 所 應 許 摩 西 的 話 賜 給 你 們 了 。
Địa phận các ngươi sẽ lan ra từ đồng vắng và Li-ban này cho đến sông cái, là sông Ơ-phơ-rát, tràn cả xứ dân Hê-tít cho đến biển cả về hướng mặt trời lặn.|從 曠 野 、 和 這 利 巴 嫩 、 直 到 伯 拉 大 河 、 赫 人 的 全 地 、 又 到 大 海 日 落 之 處 、 都 要 作 你 們 的 境 界 。
Trót đời ngươi sống, thì chẳng sẽ ai được chống cự trước mặt ngươi. Ta sẽ ở cùng ngươi như ta đã ở cùng Môi-se; ta sẽ không lìa ngươi, không bỏ ngươi đâu.|你 平 生 的 日 子 、 必 無 一 人 能 在 你 面 前 站 立 得 住 ． 我 怎 樣 與 摩 西 同 在 、 也 必 照 樣 與 你 同 在 ． 我 必 不 撇 下 你 、 也 不 丟 棄 你 。
Hãy vững lòng bền chí, vì ngươi sẽ dẫn dân này đi nhận lấy xứ mà ta đã thề cùng tổ phụ ban cho chúng nó.|你 當 剛 強 壯 膽 ． 因 為 你 必 使 這 百 姓 承 受 那 地 為 業 、 就 是 我 向 他 們 列 祖 起 誓 應 許 賜 給 他 們 的 地 。
Chỉ hãy vững lòng bền chí, và cẩn thận làm theo hết thảy luật pháp mà Môi-se, tôi tớ ta, đã truyền cho ngươi; chớ xây qua bên hữu hoặc bên tả, để hễ ngươi đi đâu cũng đều được thạnh vượng.|只 要 剛 強 、 大 大 壯 膽 、 謹 守 遵 行 我 僕 人 摩 西 所 吩 咐 你 的 一 切 律 法 ． 不 可 偏 離 左 右 、 使 你 無 論 往 那 裡 去 、 都 可 以 順 利 。
Quyển sách luật pháp này chớ xa miệng ngươi, hãy suy gẫm ngày và đêm, hầu cho cẩn thận làm theo mọi điều đã chép ở trong; vì như vậy ngươi mới được may mắn trong con đường mình, và mới được phước.|這 律 法 書 不 可 離 開 你 的 口 ． 總 要 晝 夜 思 想 、 好 使 你 謹 守 遵 行 這 書 上 所 寫 的 一 切 話 ． 如 此 你 的 道 路 就 可 以 亨 通 、 凡 事 順 利 。
Ta há không có phán dặn ngươi sao? Hãy vững lòng bền chí, chớ run sợ, chớ kinh khủng; vì Giê-hô-va Đức Chúa Trời ngươi vẫn ở cùng ngươi trong mọi nơi ngươi đi.|我 豈 沒 有 吩 咐 你 麼 ． 你 當 剛 強 壯 膽 ． 不 要 懼 怕 、 也 不 要 驚 惶 、 因 為 你 無 論 往 那 裡 去 、 耶 和 華 你 的 　 神 必 與 你 同 在 。
Bấy giờ Giô-suê truyền lịnh cho các quan trưởng của dân sự mà rằng:|於 是 約 書 亞 吩 咐 百 姓 的 官 長 、 說 、
Hãy chạy khắp trại quân, truyền lịnh này cho dân sự rằng: Hãy sắm sẵn thực vật, vì trong ba ngày nữa các ngươi sẽ đi ngang qua sông Giô-đanh này, đặng đánh lấy xứ mà Giê-hô-va Đức Chúa Trời các ngươi ban cho mình làm sản nghiệp.|你 們 要 走 遍 營 中 、 吩 咐 百 姓 、 說 、 當 豫 備 食 物 ． 因 為 三 日 之 內 、 你 們 要 過 這 約 但 河 、 進 去 得 耶 和 華 你 們 　 神 賜 你 們 為 業 之 地 。
Giô-suê cũng nói cùng người Ru-bên, người Gát, và phân nửa chi phái Ma-na-se mà rằng:|約 書 亞 對 流 便 人 、 迦 得 人 、 和 瑪 拿 西 半 支 派 的 人 、 說 、
Hãy nhớ lại điều Môi-se, tôi tớ Giê-hô-va, đã dặn các ngươi, khi người có nói: Giê-hô-va Đức Chúa Trời các ngươi đã cho các ngươi an nghỉ và ban xứ này cho các ngươi.|你 們 要 追 念 耶 和 華 的 僕 人 摩 西 所 吩 咐 你 們 的 話 、 說 、 耶 和 華 你 們 的 　 神 使 你 們 得 享 平 安 、 也 必 將 這 地 賜 給 你 們 。
