
					II Phi-rơ 1				|
						彼得後書 1					
Si-môn Phi -e-rơ, làm tôi tớ và sứ đồ của Đức Chúa Jêsus Christ, gởi cho những kẻ cậy sự công bình của Đức Chúa Trời chúng ta và của Cứu Chúa là Đức Chúa Jêsus Christ, đã lãnh phần đức tin đồng quí báu như của chúng tôi:|作 耶 穌 基 督 僕 人 和 使 徒 的 西 門 彼 得 、 寫 信 給 那 因 我 們 的 　 神 、 和 〔 有 古 卷 無 和 字 〕 救 主 耶 穌 基 督 之 義 、 與 我 們 同 得 一 樣 寶 貴 信 心 的 人 ．
nguyền xin ân điển và sự bình an được gia thêm cho anh em bởi sự nhận biết Đức Chúa Trời và Đức Chúa Jêsus, là Chúa chúng ta!|願 恩 惠 平 安 、 因 你 們 認 識 　 神 和 我 們 主 耶 穌 、 多 多 的 加 給 你 們 ．
Quyền phép Đức Chúa Trời đã ban cho chúng ta mọi điều thuộc về sự sống và sự tôn kính, khiến chúng ta biết Đấng lấy vinh hiển và nhơn đức mà gọi chúng ta,|　 神 的 神 能 已 將 一 切 關 乎 生 命 和 虔 敬 的 事 賜 給 我 們 、 皆 因 我 們 認 識 那 用 自 己 榮 耀 和 美 德 召 我 們 的 主 ．
và bởi vinh hiển nhơn đức ấy, Ngài lại ban lời hứa rất quí rất lớn cho chúng ta, hầu cho nhờ đó anh em được lánh khỏi sự hư nát của thế gian bởi tư dục đến, mà trở nên người dự phần bổn tánh Đức Chúa Trời.|因 此 他 已 將 又 寶 貴 又 極 大 的 應 許 賜 給 我 們 、 叫 我 們 既 脫 離 世 上 從 情 慾 來 的 敗 壞 、 就 得 與 　 神 的 性 情 有 分 。
Vậy nên, về phần anh em, phải gắng hết sức thêm cho đức tin mình sự nhơn đức, thêm cho nhơn đức sự học thức,|正 因 這 緣 故 、 你 們 要 分 外 的 殷 勤 ． 有 了 信 心 、 又 要 加 上 德 行 ． 有 了 德 行 、 又 要 加 上 知 識 ．
thêm cho học thức sự tiết độ, thêm cho tiết độ sự nhịn nhục, thêm cho nhịn nhục sự tôn kính,|有 了 知 識 、 又 要 加 上 節 制 ． 有 了 節 制 、 又 要 加 上 忍 耐 ． 有 了 忍 耐 、 又 要 加 上 虔 敬 ．
thêm cho tôn kính tình yêu thương anh em, thêm cho tình yêu thương anh em lòng yêu mến.|有 了 虔 敬 、 又 要 加 上 愛 弟 兄 的 心 ． 有 了 愛 弟 兄 的 心 、 又 要 加 上 愛 眾 人 的 心 。
Vì nếu các điều đó có đủ trong anh em và đầy dẫy nữa, thì ắt chẳng để cho anh em ở dưng hoặc không kết quả trong sự nhận biết Đức Chúa Jêsus Christ chúng ta đâu.|你 們 若 充 充 足 足 的 有 這 幾 樣 、 就 必 使 你 們 在 認 識 我 們 的 主 耶 穌 基 督 上 、 不 至 於 閒 懶 不 結 果 子 了 。
Nhưng ai thiếu những điều đó, thì thành ra người cận thị, người mù; quên hẳn sự làm sạch tội mình ngày trước.|人 若 沒 有 這 幾 樣 、 就 是 眼 瞎 、 只 看 見 近 處 的 、 忘 了 他 舊 日 的 罪 已 經 得 了 潔 淨 。
