
					Các Thủ Lãnh 1				|
						士師記 1					
Sau khi Giô-suê qua đời, dân Y-sơ-ra-ên bèn cầu hỏi Đức Giê-hô-va, mà rằng: Ai là người trong chúng tôi phải đi lên trước đặng đánh dân Ca-na-an?|約 書 亞 死 後 、 以 色 列 人 求 問 耶 和 華 說 、 我 們 中 間 誰 當 首 先 上 去 攻 擊 迦 南 人 、 與 他 們 爭 戰 。
Đức Giê-hô-va đáp rằng: Ay là người Giu-đa phải đi lên; kìa, ta đã phó xứ vào tay họ.|耶 和 華 說 、 猶 大 當 先 上 去 ． 我 已 將 那 地 交 在 他 手 中 。
Người Giu-đa bèn nói cùng người Si-mê-ôn, là anh em mình, rằng: Hãy đi lên cùng tôi trong xứ đã bắt thăm về tôi, thì chúng ta sẽ đánh dân Ca-na-an; rồi tôi cũng sẽ đi cùng anh em đến xứ đã bắt thăm về anh em. Người Si-mê-ôn bèn đi với họ.|猶 大 對 他 哥 哥 西 緬 說 、 請 你 同 我 到 拈 鬮 所 得 之 地 去 、 好 與 迦 南 人 爭 戰 ． 以 後 我 也 同 你 到 你 拈 鬮 所 得 之 地 去 ． 於 是 西 緬 與 他 同 去 。
Vậy, người Giu-đa đi lên, Đức Giê-hô-va phó dân Ca-na-an và dân Phê-rê-sít vào tay họ; tại Bê-xéc họ đánh giết một vạn người.|猶 大 就 上 去 ． 耶 和 華 將 迦 南 人 和 比 利 洗 人 交 在 他 們 手 中 ． 他 們 在 比 色 擊 殺 了 一 萬 人 。
Ở Bê-xéc cũng có gặp A-đô-ni-Bê-xéc, bèn xông vào người, đánh bại dân Ca-na-an và dân Phê-rê-sít.|又 在 那 裡 遇 見 亞 多 尼 比 色 、 與 他 爭 戰 、 殺 敗 迦 南 人 和 比 利 洗 人 。
A-đô-ni-Bê-xéc chạy trốn, nhưng chúng đuổi theo, bắt được người, chặt ngón cái của tay và chơn.|亞 多 尼 比 色 逃 跑 ． 他 們 追 趕 、 拿 住 他 、 砍 斷 他 手 腳 的 大 姆 指 。
Bấy giờ A-đô-ni-Bê-xéc nói rằng: Có bảy mươi vua bị chặt ngón cái của tay và chơn, lượm vật chi rớt dưới bàn ta. Điều ta đã làm, Đức Chúa Trời lại báo ứng ta. Người ta dẫn vua đến Giê-ru-sa-lem, và người chết tại đó.|亞 多 尼 比 色 說 、 從 前 有 七 十 個 王 、 手 腳 的 大 姆 指 都 被 我 砍 斷 、 在 我 桌 子 底 下 拾 取 零 碎 食 物 ． 現 在 　 神 按 著 我 所 行 的 報 應 我 了 。 於 是 他 們 將 亞 多 尼 比 色 帶 到 耶 路 撒 冷 、 他 就 死 在 那 裡 。
Người Giu-đa hãm đánh thành Giê-ru-sa-lem và chiếm lấy, dùng lưỡi gươm giết dân cư, và phóng hỏa thành.|猶 大 人 攻 打 耶 路 撒 冷 、 將 城 攻 取 、 用 刀 殺 了 城 內 的 人 、 並 且 放 火 燒 城 。
Kế ấy, người Giu-đa đi xuống đặng đánh dân Ca-na-an ở trên núi, miền nam, và đồng bằng;|後 來 猶 大 人 下 去 、 與 住 山 地 南 地 和 高 原 的 迦 南 人 爭 戰 。
lại đi đánh dân Ca-na-an ở tại Hếp-rôn , và đánh Sê-sai, A-hi-man, cùng Tanh-mai.|猶 大 人 去 攻 擊 住 希 伯 崙 的 迦 南 人 、 殺 了 示 篩 、 亞 希 幔 、 撻 買 ． 希 伯 崙 從 前 名 叫 基 列 亞 巴 。
Từ đó, người Giu-đa đi đánh dân cư của Đê-bia .|他 們 從 那 裡 去 攻 擊 底 壁 的 居 民 ． 底 璧 從 前 名 叫 基 列 西 弗 。
Ca-lép bèn nói: Ai hãm đánh Ki-ri-át-Sê-phe, và chiếm lấy nó, thì ta sẽ gả con gái ta là Ac-sa cho người ấy làm vợ.|迦 勒 說 、 誰 能 攻 打 基 列 西 弗 、 將 城 奪 取 、 我 就 把 我 女 兒 押 撒 給 他 為 妻 。
Bấy giờ, Ot-ni-ên, con trai Kê-na, em thứ Ca-lép, chiếm lấy thành đó, nên Ca-lép gả con gái mình là Ac-sa cho người làm vợ.|迦 勒 兄 弟 基 納 斯 的 兒 子 俄 陀 聶 、 奪 取 了 那 城 ． 迦 勒 就 把 女 兒 押 撒 給 他 為 妻 。
