
					Ru-tơ 1				|
						路得記 1					
Trong đời các quan xét, một cơn đói kém xảy đến trong xứ, có một người từ Bết-lê-hem xứ Giu-đa, đi với vợ và hai con trai mình đến kiều ngụ trong xứ Mô-áp.|當 士 師 秉 政 的 時 候 、 國 中 遭 遇 饑 荒 、 在 猶 大 伯 利 恆 有 一 個 人 帶 著 妻 子 和 兩 個 兒 子 往 摩 押 地 去 寄 居 ．
Người tên là Ê-li-mê-léc, vợ tên là Na-ô-mi, hai con trai tên là Mạc-lôn và Ki-li-ôn, đều là dân Ê-phơ-rát về Bết-lê-hem trong xứ Giu-đa. Đến xứ Mô-áp, chúng bèn ở tại đó.|這 人 名 叫 以 利 米 勒 、 他 的 妻 名 叫 拿 俄 米 、 他 兩 個 兒 子 、 一 個 名 叫 瑪 倫 、 一 個 名 叫 基 連 、 都 是 猶 大 伯 利 恆 的 以 法 他 人 、 他 們 到 了 摩 押 地 就 住 在 那 裡 。
Ê-li-mê-léc, chồng của Na-ô-mi, qua đời, để nàng lại với hai con trai mình.|後 來 拿 俄 米 的 丈 夫 以 利 米 勒 死 了 、 剩 下 婦 人 和 他 兩 個 兒 子 。
Chúng nó cưới vợ trong người nữ Mô-áp, người nầy tên là Ot-ba, người kia tên là Ru-tơ; họ ở tại đó độ mười năm.|這 兩 個 兒 子 娶 了 摩 押 女 子 為 妻 、 一 個 名 叫 俄 珥 巴 、 一 個 名 叫 路 得 、 在 那 裡 住 了 約 有 十 年 。
Kế sau, Mạc-lôn và Ki-li-ôn cũng thác, để Na-ô-mi ở lại, không chồng không con.|瑪 倫 和 基 連 二 人 也 死 了 、 剩 下 拿 俄 米 沒 有 丈 夫 、 也 沒 有 兒 子 。
Bấy giờ, Na-ô-mi có nghe nói rằng Đức Giê-hô-va đã đoái xem dân sự Ngài, và ban lương thực cho, bèn đứng dậy cùng hai dâu mình, đặng từ xứ Mô-áp trở về.|他 就 與 兩 個 兒 婦 起 身 要 從 摩 押 地 歸 回 、 因 為 他 在 摩 押 地 、 聽 見 耶 和 華 眷 顧 自 己 的 百 姓 、 賜 糧 食 與 他 們 。
Vậy, người lìa bỏ chỗ mình đã ở, cùng hai dâu mình lên đường đặng trở về xứ Giu-đa.|於 是 他 和 兩 個 兒 婦 起 行 離 開 所 住 的 地 方 、 要 回 猶 大 地 去 。
Nhưng Na-ô-mi nói cùng hai dâu mình rằng: Mỗi con hãy trở về nhà mẹ mình đi. Cầu Đức Giê-hô-va lấy ơn đãi hai con như hai con đã đãi các người thác của chúng ta, và đã đãi chính mình ta!|拿 俄 米 對 兩 個 兒 婦 說 、 你 們 各 人 回 娘 家 去 罷 、 願 耶 和 華 恩 待 你 們 、 像 你 們 恩 待 已 死 的 人 與 我 一 樣 ．
Nguyện Đức Giê-hô-va ban cho hai con được bình yên ở nơi nhà chồng mới! Rồi người ôm hôn hai nàng, còn hai nàng cất tiếng lên khóc,|願 耶 和 華 使 你 們 各 在 新 夫 家 中 得 平 安 ． 於 是 拿 俄 米 與 他 們 親 嘴 、 他 們 就 放 聲 而 哭 、
và nói rằng: Chúng tôi sẽ đi với mẹ đến quê hương của mẹ.|說 、 不 然 、 我 們 必 與 你 一 同 回 你 本 國 去 。
Ma-ô-mi đáp: Hỡi con gái ta, hãy trở về, đi với mẹ làm chi? Mẹ há còn những con trai trong lòng có thế làm chồng chúng con sao?|拿 俄 米 說 、 我 女 兒 們 哪 、 回 去 罷 、 為 何 要 跟 我 去 呢 、 我 還 能 生 子 作 你 們 的 丈 夫 麼 ．
Hỡi hai con gái ta, hãy trở về đi đi; mẹ già quá mà lấy chồng nữa. Lại dầu bây giờ mẹ nói chiều nay ta sẽ có chồng, dẫu ta sanh đẻ con trai đi nữa,|我 女 兒 們 哪 、 回 去 罷 、 我 年 紀 老 邁 、 不 能 再 有 丈 夫 、 即 或 說 、 我 還 有 指 望 、 今 夜 有 丈 夫 可 以 生 子 ．
chúng con há lại muốn đợi cho đến chúng nó khôn lớn, và không lấy chồng khác hay sao? Không, hỡi chúng con, nỗi sầu thảm của mẹ cay đắng muôn phần hơn của chúng con, vì tay của Đức Giê-hô-va đã giơ ra hại mẹ.|你 們 豈 能 等 著 他 們 長 大 呢 、 你 們 豈 能 等 著 他 們 不 嫁 別 人 呢 ． 我 女 兒 們 哪 、 不 要 這 樣 、 我 為 你 們 的 緣 故 、 甚 是 愁 苦 、 因 為 耶 和 華 伸 手 攻 擊 我 。
Hai nàng lại cất tiếng lên khóc. Đoạn, Ot-ba hôn và từ biệt bà gia mình; còn Ru-tơ không chịu phân rẽ người.|兩 個 兒 婦 又 放 聲 而 哭 、 俄 珥 巴 與 婆 婆 親 嘴 而 別 、 只 是 路 得 捨 不 得 拿 俄 米 。
Na-ô-mi nói cùng Ru-tơ rằng: Nầy, chị con đã trở về quê hương và thần của nó; con hãy trở về theo nó đi.|拿 俄 米 說 、 看 哪 、 你 嫂 子 已 經 回 他 本 國 、 和 他 所 拜 的 神 那 裡 去 了 、 你 也 跟 著 你 嫂 子 回 去 罷 。
Ru-tơ thưa rằng: Xin chớ nài tôi phân rẽ mẹ; vì mẹ đi đâu, tôi sẽ đi đó; mẹ ở nơi nào, tôi sẽ ở nơi đó. Dân sự của mẹ, tức là dân sự của tôi; Đức Chúa Trời của mẹ, tức là Đức Chúa Trời của tôi;|路 得 說 、 不 要 催 我 回 去 不 跟 隨 你 、 你 往 那 裡 去 、 我 也 往 那 裡 去 ． 你 在 哪 裡 住 宿 、 我 也 在 那 裡 住 宿 ． 你 的 國 就 是 我 的 國 、 你 的 　 神 就 是 我 的 　 神 ．
mẹ thác nơi nào, tôi muốn thác và được chôn nơi đó. Ví bằng có sự chi khác hơn sự chết phân cách tôi khỏi mẹ, nguyện Đức Giê-hô-va giáng họa cho tôi!|你 在 那 裡 死 、 我 也 在 那 裡 死 、 也 葬 在 那 裡 ． 除 非 死 能 使 你 我 相 離 、 不 然 、 願 耶 和 華 重 重 地 降 罰 與 我 。
Na-ô-mi thấy nàng quyết định theo mình, nên không nói nữa.|拿 俄 米 見 路 得 定 意 要 跟 隨 自 己 去 、 就 不 再 勸 他 了 。
Vậy, hai người đi đến Bết-lê-hem. Khi hai người đến, cả thành đều cảm động. Các người nữ hỏi rằng: Ay có phải Na-ô-mi chăng?|於 是 二 人 同 行 、 來 到 伯 利 恆 、 他 們 到 了 伯 利 恆 、 合 城 的 人 就 都 驚 訝 、 婦 女 們 說 、 這 是 拿 俄 米 麼 。
Người đáp: Chớ gọi tôi là Na-ô-mi, hãy gọi là Ma-ra, vì Đấng Toàn năng đã đãi tôi cách cay đắng lắm.|拿 俄 米 對 他 們 說 、 不 要 叫 我 拿 俄 米 、 〔 拿 俄 米 就 是 甜 的 意 思 〕 要 叫 我 瑪 拉 、 〔 瑪 拉 就 是 苦 的 意 思 〕 因 為 全 能 者 使 我 受 了 大 苦 。
Tôi đi ra được đầy dẫy, nhưng Đức Giê-hô-va dắt tôi về tay không. Đức Giê-hô-va đã giáng họa cho tôi, và Đấng Toàn năng khiến tôi bị khốn khổ, vậy còn gọi tôi là Na-ô-mi làm chi?|我 滿 滿 的 出 去 、 耶 和 華 使 我 空 空 的 回 來 、 耶 和 華 降 禍 與 我 、 全 能 者 使 我 受 苦 、 既 是 這 樣 、 你 們 為 何 還 叫 我 拿 俄 米 呢 。
Na-ô-mi và Ru-tơ, người Mô-áp, dâu của Na-ô-mi, từ ở xứ Mô-áp trở về là như vậy. Hai người đến Bết-lê-hem nhằm đầu mùa gặt lúa mạch.|拿 俄 米 和 他 兒 婦 摩 押 女 子 路 得 、 從 摩 押 地 回 來 到 伯 利 恆 、 正 是 動 手 割 大 麥 的 時 候 。

					Ru-tơ 2				|
						路得記 2					
Na-ô-mi có một người bà con bên chồng, người có quyền thế và giàu, về họ hàng Ê-li-mê-léc; tên người là Bô-ô.|拿 俄 米 的 丈 夫 以 利 米 勒 的 親 族 中 、 有 一 個 人 名 叫 波 阿 斯 、 是 個 大 財 主 。
Ru-tơ, người Mô-áp, thưa cùng Na-ô-mi rằng: Xin để cho con đi ra ngoài ruộng, đặng mót gié lúa theo sau kẻ sẵn lòng cho con mót. Na-ô-mi đáp: Hỡi con, hãy đi đi.|摩 押 女 子 路 得 對 拿 俄 米 說 、 容 我 往 田 間 去 、 我 蒙 誰 的 恩 、 就 在 誰 的 身 後 拾 取 麥 穗 、 拿 俄 米 說 、 女 兒 阿 、 你 只 管 去 。
Vậy, Ru-tơ đi theo sau các con gặt mà mót trong một ruộng kia. Té ra may cho nàng gặp sở đất của Bô-ô, về họ hàng Ê-li-mê-léc.|路 得 就 去 了 、 來 到 田 間 、 在 收 割 的 人 身 後 拾 取 麥 穗 、 他 恰 巧 到 了 以 利 米 勒 本 族 的 人 波 阿 斯 那 塊 田 裡 。
Vả, nầy Bô-ô ở Bết-lê-hem đến, nói cùng các con gặt rằng: Nguyện Đức Giê-hô-va ở cùng các ngươi! Chúng đáp: Nguyện Đức Giê-hô-va ban phước cho ông!|波 阿 斯 正 從 伯 利 恆 來 、 對 收 割 的 人 說 、 願 耶 和 華 與 你 們 同 在 ． 他 們 回 答 說 、 願 耶 和 華 賜 福 與 你 。
Đoạn, Bô-ô nói cùng đầy tớ coi sóc các con gặt rằng: Người gái trẻ này là con của ai?|波 阿 斯 問 監 管 收 割 的 僕 人 說 、 那 是 誰 家 的 女 子 。
Người đầy tớ coi sóc các con gặt đáp rằng: Ay là người gái trẻ Mô-áp ở từ xứ Mô-áp trở về cùng Na-ô-mi;|監 管 收 割 的 僕 人 回 答 說 、 是 那 摩 押 女 子 、 跟 隨 拿 俄 米 從 摩 押 地 回 來 的 。
nàng có nói cùng chúng tôi rằng: Xin cho phép tôi đi sau các con gặt mà mót và lượm nơi giữa các bó lúa. Nàng đã đến từ sáng, đứng mót cho đến bây giờ, trừ ra có nghỉ dưới chòi một chút.|他 說 、 請 你 容 我 跟 著 收 割 的 人 、 拾 取 打 捆 剩 下 的 麥 穗 、 他 從 早 晨 直 到 如 今 、 除 了 在 屋 子 裡 坐 一 會 兒 、 常 在 這 裡 。
Bô-ô nói cùng Ru-tơ rằng: Hỡi con gái ta, hãy nghe, chớ đi mót trong ruộng khác và cũng đừng xa khỏi chỗ này. Hãy ở cùng các tớ gái ta;|波 阿 斯 對 路 得 說 、 女 兒 阿 、 聽 我 說 、 不 要 往 別 人 田 裡 拾 取 麥 穗 、 也 不 要 離 開 這 裡 、 要 常 與 我 使 女 們 在 一 處 。
Xem người ta gặt trong ruộng ở nơi nào, thì hãy đi theo đó. Ta đã cấm các đầy tớ ta đụng đến nàng. Nếu có khát, hãy đi uống nước nơi bình của chúng sẽ múc cho.|我 的 僕 人 在 那 塊 田 收 割 、 你 就 跟 著 他 們 去 、 我 已 經 吩 咐 僕 人 不 可 欺 負 你 、 你 若 渴 了 、 就 可 以 到 器 皿 那 裡 喝 僕 人 打 來 的 水 。
Ru-tơ bèn sấp mình xuống dưới chơn người, cúi đầu đến đất, mà thưa rằng: Vì duyên cớ nào tôi được ơn trước mặt ông, đến đỗi ông đoái xem tôi, vốn là một người ngoại bang?|路 得 就 俯 伏 在 地 叩 拜 、 對 他 說 、 我 既 是 外 邦 人 、 怎 麼 蒙 你 的 恩 、 這 樣 顧 恤 我 呢 。
Bô-ô đáp: Người ta có thuật cho ta nghe mọi điều nàng đã làm cho mẹ chồng nàng, từ khi chồng nàng chết, và cách nào nàng đã lìa cha mẹ, xứ sở sanh của nàng, đặng đi đến một dân tộc mà nàng không biết trước.|波 阿 斯 回 答 說 、 自 從 你 丈 夫 死 後 、 凡 你 向 婆 婆 所 行 的 、 並 你 離 開 父 母 和 本 地 、 到 素 不 認 識 的 民 中 、 這 些 事 人 全 都 告 訴 我 了 。
Nguyện Đức Giê-hô-va báo đáp điều nàng đã làm; nàng đã đến núp dưới cánh Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên; cầu xin Ngài thưởng cho nàng cách trọn vẹn.|願 耶 和 華 照 你 所 行 的 賞 賜 你 、 你 來 投 靠 耶 和 華 以 色 列 　 神 的 翅 膀 下 、 願 你 滿 得 他 的 賞 賜 。
