
					Sáng Thế 1				|
						創世記 1					
Ban đầu Đức Chúa Trời dựng nên trời đất.|起 初 　 神 創 造 天 地 。
Vả, đất là vô hình và trống không, sự mờ tối ở trên mặt vực; Thần Đức Chúa Trời vận hành trên mặt nước.|地 是 空 虛 混 沌 ． 淵 面 黑 暗 ． 　 神 的 靈 運 行 在 水 面 上 。
Đức Chúa Trời phán rằng: Phải có sự sáng; thì có sự sáng.|　 神 說 、 要 有 光 、 就 有 了 光 。
Đức Chúa Trời thấy sự sáng là tốt lành, bèn phân sáng ra cùng tối.|　 神 看 光 是 好 的 、 就 把 光 暗 分 開 了 。
Đức Chúa Trời đặt tên sự sáng là ngày; sự tối là đêm. Vậy, có buổi chiều và buổi mai; ấy là ngày thứ nhứt.|　 神 稱 光 為 晝 、 稱 暗 為 夜 ． 有 晚 上 、 有 早 晨 、 這 是 頭 一 日 。
Đức Chúa Trời lại phán rằng: Phải có một khoảng không ở giữa nước đặng phân rẽ nước cách với nước.|　 神 說 、 諸 水 之 間 要 有 空 氣 、 將 水 分 為 上 下 。
Ngài làm nên khoảng không, phân rẽ nước ở dưới khoảng không cách với nước ở trên khoảng không; thì có như vậy.|　 神 就 造 出 空 氣 、 將 空 氣 以 下 的 水 、 空 氣 以 上 的 水 分 開 了 ． 事 就 這 樣 成 了 。
Đức Chúa Trời đặt tên khoảng không là trời. Vậy, có buổi chiều và buổi mai; ấy là ngày thứ nhì.|　 神 稱 空 氣 為 天 ． 有 晚 上 、 有 早 晨 、 是 第 二 日 。
Đức Chúa Trời lại phán rằng: Những nước ở dưới trời phải tụ lại một nơi, và phải có chỗ khô cạn bày ra; thì có như vậy.|　 神 說 、 天 下 的 水 要 聚 在 一 處 、 使 旱 地 露 出 來 ． 事 就 這 樣 成 了 。
Đức Chúa Trời đặt tên chỗ khô cạn là đất, còn nơi nước tụ lại là biển. Đức Chúa Trời thấy điều đó là tốt lành.|　 神 稱 旱 地 為 地 、 稱 水 的 聚 處 為 海 ． 　 神 看 著 是 好 的 。
Đức Chúa Trời lại phán rằng: Đất phải sanh cây cỏ; cỏ kết hột giống, cây trái kết quả, tùy theo loại mà có hột giống trong mình trên đất; thì có như vậy.|　 神 說 、 地 要 發 生 青 草 、 和 結 種 子 的 菜 蔬 、 並 結 果 子 的 樹 木 、 各 從 其 類 、 果 子 都 包 著 核 ． 事 就 這 樣 成 了 。
Đất sanh cây cỏ: cỏ kết hột tùy theo loại, cây kết quả có hột trong mình, tùy theo loại. Đức Chúa Trời thấy điều đó là tốt lành.|於 是 地 發 生 了 青 草 、 和 結 種 子 的 菜 蔬 、 各 從 其 類 、 並 結 果 子 的 樹 木 、 各 從 其 類 、 果 子 都 包 著 核 。 　 神 看 著 是 好 的 ．
Vậy, có buổi chiều và buổi mai; ấy là ngày thứ ba.|有 晚 上 、 有 早 晨 、 是 第 三 日 。
