
					Thánh Thi 1				|
						詩篇 1					
Phước cho người nào chẳng theo mưu kế của kẻ dữ, Chẳng đứng trong đường tội nhơn, Không ngồi chỗ của kẻ nhạo báng;|不 從 惡 人 的 計 謀 、 不 站 罪 人 的 道 路 、 不 坐 褻 慢 人 的 座 位 、
Song lấy làm vui vẻ về luật pháp của Đức Giê-hô-va, Và suy gẫm luật pháp ấy ngày và đêm.|惟 喜 愛 耶 和 華 的 律 法 、 晝 夜 思 想 、 這 人 便 為 有 福 。
Người ấy sẽ như cây trồng gần dòng nước, Sanh bông trái theo thì tiết, Lá nó cũng chẳng tàn héo; Mọi sự người làm đều sẽ thạnh vượng.|他 要 像 一 棵 樹 栽 在 溪 水 旁 、 按 時 候 結 果 子 、 葉 子 也 不 枯 乾 ． 凡 他 所 作 的 、 盡 都 順 利 。
Kẻ ác chẳng như vậy đâu; Nhưng chúng nó khác nào rơm rác gió thổi bay đi.|惡 人 並 不 是 這 樣 、 乃 像 糠 秕 被 風 吹 散 。
Bởi cớ ấy kẻ ác chẳng đứng nổi trong ngày đoán xét, Tội nhơn cũng không được vào hội người công bình.|因 此 當 審 判 的 時 候 、 惡 人 必 站 立 不 住 ． 罪 人 在 義 人 的 會 中 、 也 是 如 此 。
Vì Đức Giê-hô-va biết đường người công bình, Song đường kẻ ác rồi bị diệt vong.|因 為 耶 和 華 知 道 義 人 的 道 路 ． 惡 人 的 道 路 、 卻 必 滅 亡 。

					Thánh Thi 2				|
						詩篇 2					
Nhơn sao các ngoại bang náo loạn? Và những dân tộc toan mưu chước hư không?|外 邦 為 甚 麼 爭 鬧 、 萬 民 為 甚 麼 謀 算 虛 妄 的 事 。
Các vua thế gian nổi dậy, Các quan trưởng bàn nghị cùng nhau Nghịch Đức Giê-hô-va, và nghịch Đấng chịu xức dầu của Ngài, mà rằng:|世 上 的 君 王 一 齊 起 來 、 臣 宰 一 同 商 議 、 要 敵 擋 耶 和 華 、 並 他 的 受 膏 者 、
Chúng ta hãy bẻ lòi tói của hai Người, Và quăng xa ta xiềng xích của họ.|說 、 我 們 要 掙 開 他 們 的 捆 綁 、 脫 去 他 們 的 繩 索 。
Đấng ngự trên trời sẽ cười, Chúa sẽ nhạo báng chúng nó.|那 坐 在 天 上 的 必 發 笑 ． 主 必 嗤 笑 他 們 。
Bấy giờ Ngài sẽ nổi thạnh nộ phán cùng chúng nó, Dùng cơn giận dữ mình khuấy khỏa chúng nó, mà rằng:|那 時 他 要 在 怒 中 責 備 他 們 、 在 烈 怒 中 驚 嚇 他 們 、
Dầu vậy, ta đã lập Vua ta Trên Si-ôn là núi thánh ta.|說 、 我 已 經 立 我 的 君 在 錫 安 我 的 聖 山 上 了 。
Ta sẽ giảng ra mạng lịnh: Đức Giê-hô-va phán cùng ta rằng: Ngươi là Con ta; Ngày nay ta đã sanh Ngươi.|受 膏 者 說 、 我 要 傳 聖 旨 ． 耶 和 華 曾 對 我 說 、 你 是 我 的 兒 子 、 我 今 日 生 你 。
Hãy cầu ta, ta sẽ ban cho Con các ngoại bang làm cơ nghiệp, Và các đầu cùng đất làm của cải.|你 求 我 、 我 就 將 列 國 賜 你 為 基 業 、 將 地 極 賜 你 為 田 產 。
Con sẽ dùng cây gậy sắt mà đập bể chúng nó; Con sẽ làm vỡ nát chúng nó khác nào bình gốm.|你 必 用 鐵 杖 打 破 他 們 ． 你 必 將 他 們 如 同 ? 匠 的 瓦 器 摔 碎 。
Vì vậy, hỡi các vua, hãy khôn ngoan; Hỡi các quan xét thế gian, hãy chịu sự dạy dỗ.|現 在 你 們 君 王 應 當 省 悟 。 你 們 世 上 的 審 判 官 該 受 管 教 。
Khá hầu việc Đức Giê-hô-va cách kính sợ, Và mừng rỡ cách run rẩy.|當 存 畏 懼 事 奉 耶 和 華 、 又 當 存 戰 兢 而 快 樂 。
Hãy hôn Con, e Người nổi giận, Và các ngươi hư mất trong đường chăng; Vì cơn thạnh nộ Người hòng nổi lên. Phàm kẻ nào nương náu mình nơi Người có phước thay!|當 以 嘴 親 子 、 恐 怕 他 發 怒 、 你 們 便 在 道 中 滅 亡 、 因 為 他 的 怒 氣 快 要 發 作 。 凡 投 靠 他 的 、 都 是 有 福 的 。

					Thánh Thi 3				|
						詩篇 3					
Đức Giê-hô-va ôi! kẻ cừu địch tôi đã thêm nhiều dường bao! Lắm kẻ dấy lên cùng tôi thay!|〔 大 衛 逃 避 他 兒 子 押 沙 龍 的 時 候 作 的 詩 。 〕 耶 和 華 阿 、 我 的 敵 人 何 其 加 增 ． 有 許 多 人 起 來 攻 擊 我 。
Biết bao kẻ nói về linh hồn tôi rằng: Nơi Đức Chúa Trời chẳng có sự cứu rỗi cho nó.|有 許 多 人 議 論 我 說 、 他 得 不 著 　 神 的 幫 助 。 〔 細 拉 〕
Nhưng, hỡi Đức Giê-hô-va, Ngài là cái khiên chở che tôi; Ngài là sự vinh hiển tôi, và là Đấng làm cho tôi ngước đầu lên.|但 你 耶 和 華 是 我 四 圍 的 盾 牌 ． 是 我 的 榮 耀 、 又 是 叫 我 抬 起 頭 來 的 。
Tôi lấy tiếng tôi mà kêu cầu Đức Giê-hô-va, Từ núi thánh Ngài đáp lời tôi.|我 用 我 的 聲 音 求 告 耶 和 華 、 他 就 從 他 的 聖 山 上 應 允 我 。 〔 細 拉 〕
Tôi nằm xuống mà ngủ; Tôi tỉnh thức, vì Đức Giê-hô-va nâng đỡ tôi.|我 躺 下 睡 覺 ． 我 醒 著 ． 耶 和 華 都 保 佑 我 。
Tôi sẽ không nao muôn người Vây tôi khắp bốn bên.|雖 有 成 萬 的 百 姓 來 周 圍 攻 擊 我 、 我 也 不 怕 。
Hỡi Đức Giê-hô-va, hãy chổi dậy; Hỡi Đức Chúa Trời tôi, hãy cứu tôi! Vì Chúa đã vả má các kẻ thù nghịch tôi, Và bẻ gãy răng kẻ ác.|耶 和 華 阿 、 求 你 起 來 ． 我 的 　 神 阿 、 求 你 救 我 ． 因 為 你 打 了 我 一 切 仇 敵 的 腮 骨 、 敲 碎 了 惡 人 的 牙 齒 。
Sự cứu rỗi thuộc về Đức Giê-hô-va. Nguyện phước Ngài giáng trên dân sự Ngài!|救 恩 屬 乎 耶 和 華 ． 願 你 賜 福 給 你 的 百 姓 。 〔 細 拉 〕

					Thánh Thi 4				|
						詩篇 4					
Hỡi Đức Chúa Trời của sự công bình tôi, Khi tôi kêu cầu, xin hãy đáp lời tôi. Khi tôi bị gian truân Ngài để tôi trong nơi rộng rãi; Xin hãy thương xót tôi, và nghe lời cầu nguyện tôi.|〔 大 衛 的 詩 、 交 與 伶 長 ． 用 絲 絃 的 樂 器 。 〕 顯 我 為 義 的 　 神 阿 、 我 呼 籲 的 時 候 、 求 你 應 允 我 ． 我 在 困 苦 中 、 你 曾 使 我 寬 廣 ． 現 在 求 你 憐 恤 我 、 聽 我 的 禱 告 。
Hỡi các con loài người, sự vinh hiển ta sẽ bị sỉ nhục cho đến chừng nào? Các ngươi sẽ ưa mến điều hư không, Và tìm sự dối trá cho đến bao giờ?|你 們 這 上 流 人 哪 、 你 們 將 我 的 尊 榮 變 為 羞 辱 、 要 到 幾 時 呢 ． 你 們 喜 愛 虛 妄 、 尋 找 虛 假 、 要 到 幾 時 呢 。 〔 細 拉 〕
Phải biết rằng Đức Giê-hô-va đã để riêng cho mình người nhơn đức. Khi ta kêu cầu Đức Giê-hô-va, ắt Ngài sẽ nghe lời ta.|你 們 要 知 道 耶 和 華 已 經 分 別 虔 誠 人 歸 他 自 己 ． 我 求 告 耶 和 華 、 他 必 聽 我 。
Các ngươi khá e sợ, chớ phạm tội; Trên giường mình hãy suy gẫm trong lòng, và làm thinh.|你 們 應 當 畏 懼 、 不 可 犯 罪 ． 在 床 上 的 時 候 、 要 心 裡 思 想 、 並 要 肅 靜 。 〔 細 拉 〕
Hãy dâng sự công bình làm của lễ Và để lòng tin cậy nơi Đức Giê-hô-va.|當 獻 上 公 義 的 祭 、 又 當 倚 靠 耶 和 華 。
Nhiều người nói: Ai sẽ cho chúng ta thấy phước? Hỡi Đức Giê-hô-va, xin soi trên chúng tôi sự sáng mặt Ngài.|有 許 多 人 說 、 誰 能 指 示 我 們 甚 麼 好 處 。 耶 和 華 阿 、 求 你 仰 起 臉 來 、 光 照 我 們 。
Chúa khiến lòng tôi vui mừng nhiều hơn chúng nó, Dầu khi chúng nó có lúa mì và rượu nho dư dật.|你 使 我 心 裡 快 樂 、 勝 過 那 豐 收 五 穀 新 酒 的 人 。
Hỡi Đức Giê-hô-va, tôi sẽ nằm và ngủ bình an; Vì chỉ một mình Ngài làm cho tôi được ở yên ổn.|我 必 安 然 躺 下 睡 覺 、 因 為 獨 有 你 耶 和 華 使 我 安 然 居 住 。

					Thánh Thi 5				|
						詩篇 5					
Hỡi Đức Giê-hô-va, xin lắng tai nghe lời tôi, Xem xét sự suy gẫm tôi.|〔 大 衛 的 詩 、 交 與 伶 長 、 用 吹 的 樂 器 。 〕 耶 和 華 阿 、 求 你 留 心 聽 我 的 言 語 、 顧 念 我 的 心 思 。
Hỡi Vua tôi, Đức Chúa Trời tôi, xin hãy nghe tiếng kêu của tôi, Vì tôi cầu nguyện cùng Chúa.|我 的 王 我 的 　 神 阿 、 求 你 垂 聽 我 呼 求 的 聲 音 ． 因 為 我 向 你 祈 禱 。
Đức Giê-hô-va ôi! buổi sáng Ngài sẽ nghe tiếng tôi; Buổi sáng tôi sẽ trình bày duyên cớ tôi trước mặt Ngài, và trông đợi.|耶 和 華 阿 、 早 晨 你 必 聽 我 的 聲 音 ． 早 晨 我 必 向 你 陳 明 我 的 心 意 、 並 要 儆 醒 。
Vì Chúa chẳng phải là Đức Chúa Trời bằng lòng sự dữ; Kẻ ác sẽ không được ở cùng Chúa.|因 為 你 不 是 喜 悅 惡 事 的 　 神 ． 惡 人 不 能 與 你 同 居 。
