
					I-sai-a 1				|
						以賽亞書 1					
Về đời Ô-xia, Giô-tham, A-cha và Ê-xê-chia, là các vua nước Giu-đa, thì Ê-sai, con trai A-mốt, có sự hiện thấy về nước Giu-đa và thành Giê-ru-sa-lem.|當 烏 西 雅 、 約 坦 、 亞 哈 斯 、 希 西 家 、 作 猶 大 王 的 時 候 、 亞 摩 斯 的 兒 子 以 賽 亞 得 默 示 、 論 到 猶 大 、 和 耶 路 撒 冷 。
Hỡi các từng trời, hãy nghe; hỡi đất, hãy lắng tai; vì Đức Giê-hô-va có phán rằng: Ta đã nuôi nấng con cái, trưởng dưỡng chúng nó, song chúng nó dấy loạn nghịch cùng ta.|天 哪 、 要 聽 、 地 阿 、 側 耳 而 聽 ． 因 為 耶 和 華 說 、 我 養 育 兒 女 、 將 他 們 養 大 、 他 們 竟 悖 逆 我 。
Bò biết chủ mình, lừa biết máng của chủ; song Y-sơ-ra-ên chẳng hiểu biết, dân ta chẳng suy nghĩ.|牛 認 識 主 人 、 驢 認 識 主 人 的 槽 ． 以 色 列 卻 不 認 識 、 我 的 民 卻 不 留 意 。
Oi! nước mắc tội, dân mang lỗi nặng nề, tông giống độc dữ, con cái làm bậy bạ kia! Chúng nó đã lìa bỏ Đức Giê-hô-va, khinh lờn Đấng Thánh của Y-sơ-ra-ên, đã trở nên xa lạ và lui đi.|嗐 、 犯 罪 的 國 民 、 擔 著 罪 孽 的 百 姓 、 行 惡 的 種 類 、 敗 壞 的 兒 女 ． 他 們 離 棄 耶 和 華 、 藐 視 以 色 列 的 聖 者 、 與 他 生 疏 、 往 後 退 步 。
Các ngươi sao còn cứ bạn nghịch, để lại bị đánh nữa? Đầu đều đau đớn cả, lòng đều mòn mỏi cả.|你 們 為 甚 麼 屢 次 悖 逆 、 還 要 受 責 打 麼 。 你 們 已 經 滿 頭 疼 痛 、 全 心 發 昏 。
Từ bàn chơn cho đến đỉnh đầu, chẳng có chỗ nào lành: rặt những vết thương, vít sưng cùng lằn mới, chưa rịt, chưa quấn, cũng chưa bôi dầu cho êm.|從 腳 掌 到 頭 頂 、 沒 有 一 處 完 全 的 ． 盡 是 傷 口 、 青 腫 、 與 新 打 的 傷 痕 ． 都 沒 有 收 口 、 沒 有 纏 裹 、 也 沒 有 用 膏 滋 潤 。
Xứ các ngươi là nơi hoang vu, thành các ngươi bị lửa thiêu hủy; dân ngoại nuốt đất đai các ngươi trước mặt các ngươi, hoang vu như bị dân ngoại phá tán.|你 們 的 地 土 已 經 荒 涼 ． 你 們 的 城 邑 被 火 焚 燬 ． 你 們 的 田 地 、 在 你 們 眼 前 為 外 邦 人 所 侵 吞 、 既 被 外 邦 人 傾 覆 、 就 成 為 荒 涼 。
Con cái Si-ôn bị bỏ lại như lều vườn nho, như chòi ruộng dưa, như thành bị vây.|僅 存 錫 安 城 、 〔 城 原 文 作 女 子 〕 好 像 葡 萄 園 的 草 棚 、 瓜 田 的 茅 屋 、 被 圍 困 的 城 邑 。
Ví bằng Đức Giê-hô-va vạn quân chẳng để chúng ta còn sót lại chút đỉnh, thì chúng ta sẽ giống thành Sô-đôm và như thành Gô-mô-rơ vậy!|若 不 是 萬 軍 之 耶 和 華 給 我 們 稍 留 餘 種 、 我 們 早 已 像 所 多 瑪 、 蛾 摩 拉 的 樣 子 了 。
Hỡi các quan trưởng Sô-đôm, hãy nghe lời của Đức Giê-hô-va. Hỡi dân Gô-mô-rơ, hãy để tai vào luật pháp của Đức Chúa Trời chúng ta!|你 們 這 所 多 瑪 的 官 長 阿 、 要 聽 耶 和 華 的 話 ． 你 們 這 蛾 摩 拉 的 百 姓 阿 、 要 側 耳 聽 我 們 　 神 的 訓 誨 。
Đức Giê-hô-va phán: Muôn vàn của lễ các ngươi nào có can hệ gì đến ta? Ta đã chán chê của lễ thiêu bằng chiên đực và mỡ của bò con mập. Ta chẳng đẹp lòng về huyết của bò đực, chiên con và dê đực đâu.|耶 和 華 說 、 你 們 所 獻 的 許 多 祭 物 、 與 我 何 益 呢 ． 公 綿 羊 的 燔 祭 、 、 和 肥 畜 的 脂 油 、 我 已 經 彀 了 ． 公 牛 的 血 、 羊 羔 的 血 、 公 山 羊 的 血 、 我 都 不 喜 悅 。
Khi các ngươi đến chầu trước mặt ta, ai khiến các ngươi giày đạp hành lang ta?|你 們 來 朝 見 我 、 誰 向 你 們 討 這 些 、 使 你 們 踐 踏 我 的 院 宇 呢 。
Thôi, đừng dâng của lễ chay vô ích cho ta nữa! Ta gớm ghét mùi hương, ngày trăng mới, ngày sa-bát cùng sự rao nhóm hội; ta chẳng khứng chịu tội ác hội hiệp nơi lễ trọng thể.|你 們 不 要 再 獻 虛 浮 的 供 物 ． 香 品 是 我 所 憎 惡 的 ． 月 朔 、 和 安 息 日 、 並 宣 召 的 大 會 、 也 是 我 所 憎 惡 的 ． 作 罪 孽 、 又 守 嚴 肅 會 、 我 也 不 能 容 忍 。
Thật, lòng ta ghét những ngày trăng mới và kỳ lễ các ngươi, là nặng nề cho ta, ta lấy làm mệt mà gánh lấy.|你 們 的 月 朔 、 和 節 期 、 我 心 裡 恨 惡 、 我 都 以 為 麻 煩 ． 我 擔 當 、 便 不 耐 煩 。
Vậy nên, khi các ngươi giơ tay, thì ta che mắt khỏi các ngươi. Khi các ngươi cầu nguyện rườn rà, ta chẳng thèm nghe. Tay các ngươi đầy những máu.|你 們 舉 手 禱 告 、 我 必 遮 眼 不 看 ． 就 是 你 們 多 多 的 祈 禱 、 我 也 不 聽 ． 你 們 的 手 都 滿 了 殺 人 的 血 。
Hãy rửa đi, hãy làm cho sạch! Hãy tránh những việc ác khỏi trước mắt ta. Đừng làm dữ nữa.|你 們 要 洗 濯 、 自 潔 ． 從 我 眼 前 除 掉 你 們 的 惡 行 ． 要 止 住 作 惡 、
Hãy học làm lành, tìm kiếm sự công bình; hãy đỡ đần kẻ bị hà hiếp, làm công bình cho kẻ mồ côi, binh vực lẽ của người góa bụa.|學 習 行 善 ． 尋 求 公 平 、 解 救 受 欺 壓 的 、 給 孤 兒 伸 冤 、 為 寡 婦 辨 屈 。
Đức Giê-hô-va phán: Bây giờ hãy đến, cho chúng ta biện luận cùng nhau. Dầu tội các ngươi như hồng điều, sẽ trở nên trắng như tuyết; dầu đỏ như son, sẽ trở nên trắng như lông chiên.|耶 和 華 說 、 你 們 來 、 我 們 彼 此 辯 論 ． 你 們 的 罪 雖 像 硃 紅 、 必 變 成 雪 白 ． 雖 紅 如 丹 顏 、 必 白 如 羊 毛 。
Nếu các ngươi sẵn lòng vâng lời, sẽ ăn được sản vật tốt nhứt của đất.|你 們 若 甘 心 聽 從 、 必 喫 地 上 的 美 物 ．
Nhược bằng các ngươi chẳng khứng và bạn nghịch, sẽ bị nuốt bởi gươm; vì miệng Đức Giê-hô-va đã phán.|若 不 聽 從 、 反 倒 悖 逆 、 必 被 刀 劍 吞 滅 ． 這 是 耶 和 華 親 口 說 的 。
Oi! thành trung nghĩa đã hóa ra kỵ nữ, nó vốn đầy sự chánh trực, giờ đầy những kẻ giết người!|可 歎 忠 信 的 城 、 變 為 妓 女 ． 從 前 充 滿 了 公 平 、 公 義 居 在 其 中 、 現 今 卻 有 兇 手 居 住 。
Bạc ngươi biến thành cặn, rượu ngươi pha lộn nước.|你 的 銀 子 、 變 為 渣 滓 、 你 的 酒 、 用 水 攙 對 。
Các quan trưởng của dân ngươi là đồ phản nghịch, làm bạn với kẻ trộm, mỗi người trong chúng đều ưa của hối lộ, đeo đuổi theo tài lợi; chẳng làm công bình cho kẻ mồ côi, vụ kiện của người góa bụa chẳng đến cùng chúng nó.|你 的 官 長 居 心 悖 逆 、 與 盜 賊 作 伴 ． 各 都 喜 愛 賄 賂 、 追 求 ? 私 ． 他 們 不 為 孤 兒 伸 冤 、 寡 婦 的 案 件 、 也 不 得 呈 到 他 們 面 前 。
Vậy nên, Chúa, là Đức Giê-hô-va vạn quân, Đấng Quyền năng của Y-sơ-ra-ên, phán như vầy: Oi! ta sẽ được thỏa lòng về kẻ đối định ta, và báo trả kẻ cừu thù ta!|因 此 、 主 萬 軍 之 耶 和 華 以 色 列 的 大 能 者 說 、 哎 、 我 要 向 我 的 對 頭 雪 恨 、 向 我 的 敵 人 報 仇 ．
Ta sẽ lại tra tay trên ngươi, làm ta sạch hết cáu cặn ngươi, và bỏ hết chất pha của ngươi.|我 必 反 手 加 在 你 身 上 、 煉 盡 你 的 渣 滓 、 除 淨 你 的 雜 質 ．
Ta sẽ lập các quan xét của ngươi như ngày trước, các mưu sĩ của ngươi như lúc đầu. Rồi sau người ta sẽ xưng ngươi là thành công bình, là ấp trung nghĩa.|我 也 必 復 還 你 的 審 判 官 、 像 起 初 一 樣 、 復 還 你 的 謀 士 、 像 起 先 一 般 ． 然 後 、 你 必 稱 為 公 義 之 城 、 忠 信 之 邑 。
Si-ôn sẽ được chuộc bởi sự chánh trực, còn kẻ nào trở lại đó thì được chuộc bởi sự công bình.|錫 安 必 因 公 平 得 蒙 救 贖 、 其 中 歸 正 的 人 、 必 因 公 義 得 蒙 救 贖 。
Song những kẻ bạn nghịch và mắc tội sẽ cùng bị hủy diệt, còn kẻ bỏ Đức Giê-hô-va sẽ bị diệt vong.|但 悖 逆 的 、 、 和 犯 罪 的 、 必 一 同 敗 亡 、 離 棄 耶 和 華 的 、 必 致 消 滅 。
Vậy các ngươi sẽ hổ thẹn vì những cây thông mình ưa; mắc cỡ vì những vườn mình đã chọn.|那 等 人 必 因 你 們 所 喜 愛 的 橡 樹 抱 愧 、 你 們 必 因 所 選 擇 的 園 子 蒙 羞 。
Vì các ngươi sẽ giống như cây thông khô lá, như vườn không nước.|因 為 你 們 必 如 葉 子 枯 乾 的 橡 樹 、 好 像 無 水 澆 灌 的 園 子 。
Người mạnh sẽ như bã gai, việc làm của nó như đóm lửa; cả hai sẽ cùng nhau cháy, chẳng có ai giập tắt.|有 權 勢 的 必 如 麻 瓤 、 他 的 工 作 、 好 像 火 星 、 都 要 一 同 焚 燬 、 無 人 撲 滅 。

					I-sai-a 2				|
						以賽亞書 2					
Lời mà Ê-sai, con trai A-mốt, đã thấy về Giu-đa và Giê-ru-sa-lem.|亞 摩 斯 的 兒 子 以 賽 亞 得 默 示 、 論 到 猶 大 、 、 和 耶 路 撒 冷 。
Sẽ xảy ra trong những ngày sau rốt, núi của nhà Đức Giê-hô-va sẽ được lập vững trên đỉnh các núi, cao hơn các đồi. Mọi nước sẽ đổ về đó,|末 後 的 日 子 、 耶 和 華 殿 的 山 必 堅 立 、 超 乎 諸 山 、 高 舉 過 於 萬 嶺 ． 萬 民 都 要 流 歸 這 山
