
					Giê-rê-mi-a 1				|
						耶利米書 1					
Lời của Giê-rê-mi, con trai Hinh-kia, một trong các thầy tế lễ ở A-na-tốt, xứ Bên-gia-min.|便 雅 憫 地 亞 拿 突 城 的 祭 司 中 、 希 勒 家 的 兒 子 耶 利 米 的 話 記 在 下 面 。
Có lời Đức Giê-hô-va phán cùng người trong đời Giô-si -a, con trai A-môn, vua Giu-đa, năm thứ mười ba đời vua ấy;|猶 大 王 亞 們 的 兒 子 約 西 亞 在 位 十 三 年 、 耶 和 華 的 話 臨 到 耶 利 米 。
lại có phán cùng người trong đời Giê-hô-gia-kim, con trai Giô-si -a, vua Giu-đa, cho đến cuối năm thứ mười một đời vua Sê-đê-kia, con trai Giô-si -a, vua Giu-đa, tức là năm mà Giê-ru-sa-lem bị bắt làm phu tù trong tháng thứ năm.|從 猶 大 王 約 西 亞 的 兒 子 約 雅 敬 在 位 的 時 候 、 直 到 猶 大 王 約 西 亞 的 兒 子 西 底 家 在 位 的 末 年 、 就 是 十 一 年 五 月 間 耶 路 撒 冷 人 被 擄 的 時 候 、 耶 和 華 的 話 、 也 常 臨 到 耶 利 米 。
Có lời Đức Giê-hô-va phán cùng tôi như vầy: Trước khi tạo nên ngươi trong lòng mẹ, ta đã biết ngươi rồi;|耶 利 米 說 、 耶 和 華 的 話 臨 到 我 、 說 、
trước khi ngươi sanh ra, ta đã biệt riêng ngươi, lập ngươi làm kẻ tiên tri cho các nước.|我 未 將 你 造 在 腹 中 、 我 已 曉 得 你 、 你 未 出 母 胎 、 我 已 分 別 你 為 聖 ． 我 已 派 你 作 列 國 的 先 知 。
Tôi thưa rằng: Oi! hãy Chúa Giê-hô-va, nầy tôi chẳng biết nói chi, vì tôi là con trẻ.|我 就 說 、 主 耶 和 華 阿 、 我 不 知 怎 樣 說 、 因 為 我 是 年 幼 的 。
Nhưng Đức Giê-hô-va lại phán: Chớ nói: Tôi là con trẻ; vì ngươi sẽ đi khắp nơi nào ta sai ngươi đi, và sẽ nói mọi điều ta truyền cho nói.|耶 和 華 對 我 說 、 你 不 要 說 我 是 年 幼 的 ． 因 為 我 差 遣 你 到 誰 那 裡 去 、 你 都 要 去 ． 我 吩 咐 你 說 甚 麼 話 、 你 都 要 說 。
Đừng sợ vì cớ chúng nó; vì ta ở với ngươi đặng giải cứu ngươi, Đức Giê-hô-va phán vậy.|你 不 要 懼 怕 他 們 、 因 為 我 與 你 同 在 、 要 拯 救 你 ． 這 是 耶 和 華 說 的 。
Đoạn, Đức Giê-hô-va giang tay rờ miệng tôi. Đức Giê-hô-va lại phán cùng tôi rằng: Nầy, ta đã đặt những lời ta trong miệng ngươi.|於 是 耶 和 華 伸 手 按 我 的 口 、 對 我 說 、 我 已 將 當 說 的 話 傳 給 你 。
Hãy xem, ngày nay ta đã lập ngươi trên các dân các nước, đặng ngươi hoặc nhổ, hoặc phá, hoặc diệt, hoặc đổ, hoặc dựng, hoặc trồng.|看 哪 、 我 今 日 立 你 在 列 邦 列 國 之 上 、 為 要 施 行 拔 出 、 拆 毀 、 毀 壞 、 傾 覆 、 又 要 建 立 栽 植 。
Lại có lời Đức Giê-hô-va phán cùng tôi rằng: Hỡi Giê-rê-mi, ngươi thấy gì? Tôi thưa rằng: Tôi thấy một gậy bằng cây hạnh.|耶 和 華 的 話 、 又 臨 到 我 說 、 耶 利 米 你 看 見 甚 麼 ． 我 說 、 我 看 見 一 根 杏 樹 枝 。
Đức Giê-hô-va bèn phán: Ngươi thấy phải đó; ta sẽ tỉnh thức, giữ lời phán ta đặng làm trọn.|耶 和 華 對 我 說 、 你 看 得 不 錯 ． 因 為 我 留 意 保 守 我 的 話 、 使 得 成 就 。
Lại có lời Đức Giê-hô-va phán cùng tôi lần thứ hai mà rằng: Ngươi thấy gì? Tôi thưa: Tôi thấy một nồi nước sôi từ phương bắc bắn ra.|耶 和 華 的 話 第 二 次 臨 到 我 說 、 你 看 見 甚 麼 ． 我 說 、 我 看 見 一 個 燒 開 的 鍋 、 從 北 而 傾 。
Đức Giê-hô-va phán: Ay là hoạn nạn từ phương bắc sẽ giáng cho hết thảy dân cư đất nầy.|耶 和 華 對 我 說 、 必 有 災 禍 從 北 方 發 出 、 臨 到 這 地 的 一 切 居 民 。
Vậy, ta sẽ gọi mọi họ hàng của các nước phương bắc, Đức Giê-hô-va phán vậy, Chúng nó sẽ được, và ai nấy đặt ngôi mình nơi cửa thành Giê-ru-sa-lem, vây đánh các vách thành ấy, và các thành của Giu-đa.|耶 和 華 說 、 看 哪 、 我 要 召 北 方 列 國 的 眾 族 ． 他 們 要 來 、 各 安 座 位 在 耶 路 撒 冷 的 城 門 口 、 周 圍 攻 擊 城 牆 、 又 要 攻 擊 猶 大 的 一 切 城 邑 。
Ta sẽ rao sự xét đoán ta nghịch cùng chúng nó, vì điều ác chúng nó đã làm; bởi chưng chúng nó đã lìa bỏ ta, đốt hương cho các thần khác, và thờ lạy việc tay mình làm ra.|至 於 這 民 的 一 切 惡 、 就 是 離 棄 我 、 向 別 神 燒 香 、 跪 拜 自 己 手 所 造 的 、 我 要 發 出 我 的 判 語 、 攻 擊 他 們 。
Vậy, ngươi hãy thắt lưng, chờ dậy, bảo cho chúng nó mọi sự mà ta truyền cho ngươi. Đừng sợ sệt vì cớ chúng nó, kẻo ta làm cho ngươi sợ sệt trước mặt chúng nó chăng.|所 以 你 當 束 腰 、 起 來 將 我 所 吩 咐 你 的 一 切 話 告 訴 他 們 ． 不 要 因 他 們 驚 惶 、 免 得 我 使 你 在 他 們 面 前 驚 惶 。
Nầy, ngày nay, ta lập ngươi lên làm thành vững bền, làm cột bằng sắt, làm tường bằng đồng, nghịch cùng cả đất nầy, nghịch cùng các vua Giu-đa, các quan trưởng nó, các thầy tế lễ, và dân trong đất.|看 哪 、 我 今 日 使 你 成 為 堅 城 、 鐵 柱 、 銅 牆 、 與 全 地 、 和 猶 大 的 君 王 、 首 領 、 祭 司 、 並 地 上 的 眾 民 反 對 。
Họ sẽ đánh nhau với ngươi, những không thắng ngươi; vì ta ở cùng ngươi đặng giải cứu ngươi, Đức Giê-hô-va phán vậy.|他 們 要 攻 擊 你 、 卻 不 能 勝 你 ． 因 為 我 與 你 同 在 、 要 拯 救 你 ． 這 是 耶 和 華 說 的 。

					Giê-rê-mi-a 2				|
						耶利米書 2					
Có lời Đức Giê-hô-va phán cùng tôi rằng:|耶 和 華 的 話 臨 到 我 說 、
Hãy đi, kêu vào tại Giê-ru-sa-lem rằng: Đức Giê-hô-va phán như vầy: Ta còn nhớ về ngươi lòng nhơn từ của ngươi lúc đang thơ, tình yêu mến trong khi ngươi mới kết bạn, là khi ngươi theo ta nơi đồng vắng, trong đất không gieo trồng.|你 去 向 耶 路 撒 冷 人 的 耳 中 喊 叫 說 、 耶 和 華 如 此 說 、 你 幼 年 的 恩 愛 、 婚 姻 的 愛 情 、 你 怎 樣 在 曠 野 、 在 未 曾 耕 種 之 地 跟 隨 我 、 我 都 記 得 。
Y-sơ-ra-ên vốn là dân biệt riêng ra thánh cho Đức Giê-hô-va; vốn là trái đầu mùa của hoa lợi Ngài. Phàm những kẻ nuốt dân ấy sẽ có tội; tai vạ sẽ lâm trên họ, Đức Giê-hô-va phải vậy.|那 時 以 色 列 歸 耶 和 華 為 聖 、 作 為 土 產 初 熟 的 果 子 ． 凡 吞 喫 他 的 、 必 算 為 有 罪 ． 災 禍 必 臨 到 他 們 ． 這 是 耶 和 華 說 的 。
Hỡi nhà Gia-cốp, cùng các họ hàng nhà Y-sơ-ra-ên, hãy nghe lời Đức Giê-hô-va!|雅 各 家 、 以 色 列 家 的 各 族 阿 、 你 們 當 聽 耶 和 華 的 話 。
Đức Giê-hô-va phán như vầy: Tổ phụ các ngươi có thấy điều không công bình gì trong ta, mà đã xa ta, bước theo sự hư không, và trở nên ngươi vô ích?|耶 和 華 如 此 說 、 你 們 的 列 祖 見 我 有 甚 麼 不 義 、 竟 遠 離 我 、 隨 從 虛 無 的 神 、 自 己 成 為 虛 妄 的 呢 ．
Họ không nói: Chớ nào Đức Giê-hô-va ở đâu? Ay là Đấng đã đem chúng ta khiến khỏi đất Ê-díp-tô, đã dắt chúng ta qua đồng vắng, trong đất sa mạc đầy hầm hố, trong đất khô khan và có bóng sự chết, là đất chẳng một người nào đi qua, và không ai ở.|他 們 也 不 說 、 那 領 我 們 從 埃 及 地 上 來 、 引 導 我 們 經 過 曠 野 、 沙 漠 有 深 坑 之 地 、 和 乾 旱 死 蔭 、 無 人 經 過 、 無 人 居 住 之 地 的 耶 和 華 在 那 裡 呢 。
Ta đã đem các ngươi vào trong một đất có nhiều hoa quả, để ăn trái và hưởng lợi nó. Nhưng, vừa vào đó, các ngươi đã làm ô uế đất ta, đã làm cho sản nghiệp ta thành ra gớm ghiếc.|我 領 你 們 進 入 肥 美 之 地 、 使 你 們 得 喫 其 中 的 果 子 和 美 物 ． 但 你 們 進 入 的 時 候 、 就 玷 污 我 的 地 、 使 我 的 產 業 成 為 可 憎 的 。
Các thầy tế lễ không còn nói: Nào Đức Giê-hô-va ở đâu? Những người giảng luật pháp chẳng biết ta nữa. Những kẻ chăn giữ đã bội nghịch cùng ta. Các tiên tri đã nhơn danh Ba-anh mà nói tiên tri, đi theo những sự không ích gì cả.|祭 司 都 不 說 、 耶 和 華 在 那 裡 呢 ． 傳 講 律 法 的 、 都 不 認 識 我 、 官 長 違 背 我 、 先 知 藉 巴 力 說 豫 言 、 隨 從 無 益 的 神 。
Đức Giê-hô-va phán: Vì cớ đó ta sẽ còn tranh cạnh cùng các ngươi, cho đến con cháu của con cháu các ngươi nữa.|耶 和 華 說 、 我 因 此 必 與 你 們 爭 辯 、 也 必 與 你 們 的 子 孫 爭 辯 。
Hãy qua các cù lao Kít-tim mà xem! Hãy khiến người đến Kê-đa, và xét kĩ; xem thử có việc như vậy chăng.|你 們 且 過 到 基 提 海 島 去 察 看 、 打 發 人 往 基 達 去 、 留 心 查 考 、 看 曾 有 這 樣 的 事 沒 有 。
Có nước nào thay đổi thần của mình, mặc dầu ấy chẳng phải là thần không? Nhưng dân ta đã đổi vinh hiển mình lấy vật vô ích!|豈 有 一 國 換 了 他 的 神 麼 、 其 實 這 不 是 神 ． 但 我 的 百 姓 、 將 他 們 的 榮 耀 、 換 了 那 無 益 的 神 。
Hỡi các từng trời, hãy lấy làm lạ về sự đó; hãy kinh hãi gớm ghê, hãy rất tiêu điều, Đức Giê-hô-va phán.|諸 天 哪 、 要 因 此 驚 奇 、 極 其 恐 慌 、 甚 為 淒 涼 ． 這 是 耶 和 華 說 的 。
Dân ta đã làm hai điều ác: chúng nó đã lìa bỏ ta, là nguồn nước sống, mà tự đào lấy hồ, thật, hồ nứt ra, không chứa nước được.|因 為 我 的 百 姓 、 做 了 兩 件 惡 事 、 就 是 離 棄 我 這 活 水 的 泉 源 、 為 自 己 鑿 出 池 子 、 是 破 裂 不 能 存 水 的 池 子 。
Y-sơ-ra-ên là đầy tớ, hay là tôi mọi sanh trong nhà? Vậy sao nó đã bị phó cho sự cướp?|以 色 列 是 僕 人 麼 ． 是 家 中 生 的 奴 僕 麼 ． 為 何 成 為 掠 物 呢 。
Các sư tử con gầm thét, rống lên inh ỏi nghịch cùng nó, làm cho đất nó thành ra hoang vu. Các thành nó bị đốt cháy, không có người ở nữa.|少 壯 獅 子 向 他 咆 哮 、 大 聲 吼 叫 、 使 他 的 地 荒 涼 、 城 邑 也 都 焚 燒 、 無 人 居 住 。
Con cháu của Nốp và Tác-pha-nết cũng đã làm giập sọ ngươi.|挪 弗 人 和 答 比 匿 人 、 也 打 破 你 的 頭 頂 ．
Mọi điều đó há chẳng phải xảy ra cho ngươi vì đã lìa bỏ Giê-hô-va Đức Chúa Trời mình, khi Ngài dắt ngươi trên đường sao?|這 事 臨 到 你 身 上 、 不 是 你 自 招 的 麼 ． 不 是 因 耶 和 華 你 　 神 引 你 行 路 的 時 候 、 你 離 棄 他 麼 。
Hiện bây giờ, người có việc gì mà đi đường qua Đức Chúa Trời đặng uống nước Si-ho? Có việc gì mà đi trong đường A-si-ri đặng uống nước Sông cái?|現 今 你 為 何 在 埃 及 路 上 、 要 喝 西 曷 的 水 呢 ． 你 為 何 在 亞 述 路 上 、 要 喝 大 河 的 水 呢 。
Tội ác ngươi sự sửa phạt ngươi, sự bội nghịch ngươi sẽ trách ngươi, nên ngươi khá biết và thấy rằng lìa bỏ Giê-hô-va Đức Chúa Trời ngươi, và chẳng có lòng kính sợ ta, ấy là một sự xấu xa cay đắng, Chúa, là Đức Giê-hô-va vạn quân phán vậy.|你 自 己 的 惡 、 必 懲 治 你 、 你 背 道 的 事 、 必 責 備 你 ． 由 此 可 知 可 見 你 離 棄 耶 和 華 你 的 　 神 、 不 存 敬 畏 我 的 心 、 乃 為 惡 事 、 為 苦 事 、 這 是 主 萬 軍 之 耶 和 華 說 的 。
Xưa kia ta đã bẻ ách ngươi, bứt xiềng ngươi, mà ngươi nói rằng: Tôi không vâng phục nữa; vì trên mỗi đồi cao, dưới mỗi cây xanh, ngươi đã cúi mình mà hành dâm.|我 在 古 時 折 斷 你 的 軛 、 解 開 你 的 繩 索 、 你 說 、 我 必 不 事 奉 耶 和 華 ． 因 為 你 在 各 高 岡 上 、 各 青 翠 樹 下 、 屈 身 行 淫 。 〔 或 作 我 在 古 時 折 斷 你 的 軛 解 開 你 的 繩 索 你 就 說 我 必 不 事 奉 別 神 誰 知 你 在 各 高 岡 上 各 青 翠 樹 下 仍 屈 身 行 淫 〕
Ta đã trồng ngươi như cây nho tốt, giống đều rặc cả; mà cớ sao ngươi đã đốc ra nhánh xấu của gốc nho lạ cho ta?|然 而 我 栽 你 是 上 等 的 葡 萄 樹 、 全 然 是 真 種 子 ． 你 怎 麼 向 我 變 為 外 邦 葡 萄 樹 的 壞 枝 子 呢 ．
Dầu ngươi lấy hỏa tiêu và dùng nhiều diêm cường rửa mình, tội lỗi ngươi cũng còn ghi mãi trước mặt ta, Chúa Giê-hô-va phán vậy.|你 雖 用 鹼 、 多 用 肥 皂 洗 濯 、 你 罪 孽 的 痕 跡 、 仍 然 在 我 面 前 顯 出 ． 這 是 主 耶 和 華 說 的 。
Sao ngươi dám nói rằng: Ta không bị ô uế; ta chẳng từng đi theo thần tượng Ba-anh? Hãy xem đường ngươi trong nơi trũng; nhận biết điều ngươi đã làm, như lạc đà một gu lanh lẹ và buông tuồng,|你 怎 能 說 、 我 沒 有 玷 污 、 沒 有 隨 從 眾 巴 力 ． 你 看 你 谷 中 的 路 、 就 知 道 你 所 行 的 如 何 ． 你 是 快 行 的 獨 峰 駝 、 狂 奔 亂 走 ．
như lừa cái rừng, quen nơi đồng vắng, động tình dục mà hút gió. Trong cơn nóng nảy, ai hay xây trở nó được ư? Những kẻ tìm nó không cần mệt nhọc, đến trong tháng nó thì sẽ tìm được.|你 是 野 驢 慣 在 曠 野 、 慾 心 發 動 就 吸 風 ． 起 性 的 時 候 、 誰 能 使 他 轉 去 呢 ． 凡 尋 找 他 的 、 必 不 至 疲 乏 ． 在 他 的 月 分 、 必 能 尋 見 。
Hãy giữ cho chơn ngươi chớ để trần, cổ ngươi chớ khát! Nhưng ngươi nói rằng: Ay là vô ích; không, vì ta thích kẻ lạ và sẽ theo chúng nó.|我 說 、 你 不 要 使 腳 上 無 鞋 、 喉 嚨 乾 渴 。 你 倒 說 、 這 是 枉 然 ． 我 喜 愛 別 神 、 我 必 隨 從 他 們 。
