
					Ai Ca 1				|
						耶利米哀歌 1					
Thành nầy xưa vốn đông dân lắm, kìa nay ngồi một mình! Xưa vốn làm lớn giữa các dân, nay như đờn bà góa! Xưa vốn làm nữ chủ các quận, nay phải nộp thuế khóa!|先 前 滿 有 人 民 的 城 、 現 在 何 竟 獨 坐 、 先 前 在 列 國 中 為 大 的 、 現 在 竟 如 寡 婦 ． 先 前 在 諸 省 中 為 王 后 的 、 現 在 成 為 進 貢 的 。
Nó khóc nức nở ban đêm, nước mắt tràn đôi má. Mọi kẻ yêu mến nó, chẳng ai yên ủi nó. Bạn bè nó phản nó, đều trở nên nghịch thù.|他 夜 間 痛 哭 、 淚 流 滿 腮 ． 在 一 切 所 親 愛 的 中 間 、 沒 有 一 個 安 慰 他 的 ． 他 的 朋 友 、 都 以 詭 詐 待 他 、 成 為 他 的 仇 敵 。
Giu-đa đi làm phu tù, vì chịu nạn cùng chịu sai dịch nặng nề. Ở đậu giữa các dân, chẳng được chút nghỉ ngơi. Những kẻ bắt bớ đuổi theo nó, theo kịp nó nơi eo hẹp.|猶 大 因 遭 遇 苦 難 、 又 因 多 服 勞 苦 、 就 遷 到 外 邦 ． 他 住 在 列 國 中 、 尋 不 著 安 息 ． 追 逼 他 的 都 在 狹 窄 之 地 將 他 追 上 。
Các đường lối Si-ôn đương thảm sầu, vì chẳng ai đến dự kỳ lễ trọng thể nữa. Mọi cửa thành hoang vu; các thầy tế lễ thở than; Các gái đồng trinh nó bị khốn nạn, chính nó phải chịu cay đắng.|錫 安 的 路 徑 、 因 無 人 來 守 聖 節 就 悲 傷 ． 他 的 城 門 淒 涼 、 他 的 祭 司 歎 息 ． 他 的 處 女 受 艱 難 、 自 己 也 愁 苦 。
Kẻ đối địch nó trở nên đầu, kẻ thù nghịch nó được thạnh vượng; Vì Đức Giê-hô-va làm khốn khổ nó, bởi cớ tội lỗi nó nhiều lắm. Con nhỏ nó bị kẻ nghịch bắt điệu đi làm phu tù.|他 的 敵 人 為 首 ． 他 的 仇 敵 亨 通 ． 因 耶 和 華 為 他 許 多 的 罪 過 、 使 他 受 苦 ． 他 的 孩 童 被 敵 人 擄 去 。
Con gái Si-ôn đã mất hết mọi sự làm cho mình vinh hoa. Các quan trưởng nó như nai chẳng tìm được đồng cỏ, Chạy trốn kiệt cả sức trước mặt kẻ đuổi theo.|錫 安 城 〔 城 原 文 作 女 子 下 同 〕 的 威 榮 、 〔 城 原 文 作 女 子 下 同 〕 全 都 失 去 ． 他 的 首 領 、 像 找 不 著 草 場 的 鹿 、 在 追 趕 的 人 前 、 無 力 行 走 。
Giê-ru-sa-lem, đương ngày khốn khổ lưu ly, nhớ xưa trải mọi mùi vui thích; Khi dân nó sa vào tay kẻ nghịch, chẳng ai đến cứu cùng. Quân thù xem thấy nó, chê cười nó hoang vu!|耶 路 撒 冷 在 困 苦 窘 迫 之 時 、 就 追 想 古 時 一 切 的 樂 境 。 他 百 姓 落 在 敵 人 手 中 、 無 人 救 濟 ． 敵 人 看 見 、 就 因 他 的 荒 涼 嗤 笑 。
Giê-ru-sa-lem phạm tội trọng, bởi đó trở nên sự ô uế. Mọi kẻ tôn kính đều khinh dể, vì thấy nó trần truồng. Nó tự mình thở than, trở lui.|耶 路 撒 冷 大 大 犯 罪 ． 所 以 成 為 不 潔 之 物 ． 素 來 尊 敬 他 的 、 見 他 赤 露 就 都 藐 視 他 ． 他 自 己 也 歎 息 退 後 。
Váy nó dơ bẩn; nó chẳng nghĩ sự cuối cùng mình! Sự sa sút nó khác thường, chẳng ai yên ủi nó! Hỡi Đức Giê-hô-va, xin xem sự kiên nhẫn tôi, vì kẻ thù đã tự tôn mình làm lớn.|他 的 污 穢 是 在 衣 襟 上 ． 他 不 思 想 自 己 的 結 局 ． 所 以 非 常 的 敗 落 、 無 人 安 慰 他 。 他 說 、 耶 和 華 阿 、 求 你 看 我 的 苦 難 、 因 為 仇 敵 誇 大 。
Kẻ thù đã giơ tay trên mọi vật tốt nó; Vì nó đã thấy các dân ngoại xông vào nơi thánh nó. Về dân ngoại ấy Ngài có truyền: chẳng được vào hội Ngài.|敵 人 伸 手 、 奪 取 他 的 美 物 ． 他 眼 見 外 邦 人 進 入 他 的 聖 所 ． 論 這 外 邦 人 你 曾 吩 咐 不 可 入 你 的 會 中 。
Cả dân nó vừa đi xin bánh, vừa thở than; Đổi hết sự vui lấy thức ăn, để tươi tỉnh linh hồn mình. Hỡi Đức Giê-hô-va, xin đoái xem, vì tôi đã nên khinh hèn!|他 的 民 都 歎 息 、 尋 求 食 物 ． 他 們 用 美 物 換 糧 食 、 要 救 性 命 。 他 們 說 、 耶 和 華 阿 、 求 你 觀 看 、 因 為 我 甚 是 卑 賤 。
Hỡi mọi người đi qua, há chẳng lấy làm quan hệ sao? Xét xem có sự buồn bực nào đọ được sự buồn bực đã làm cho ta, Mà Đức Giê-hô-va đã làm khốn cho ta nơi ngày Ngài nổi giận phừng phừng.|你 們 一 切 過 路 的 人 哪 、 這 事 你 們 不 介 意 麼 ． 你 們 要 觀 看 、 有 像 這 臨 到 我 的 痛 苦 沒 有 、 就 是 耶 和 華 在 他 發 烈 怒 的 日 子 使 我 所 受 的 苦 。
Ngài đã giáng lửa từ trên cao, và xương cốt ta và thắng được. Ngài đã giăng lưới dưới chơn ta, làm cho ta thối lui. Ngài đã làm cho ta nên đơn chiếc, hằng ngày bị hao mòn.|他 從 高 天 使 火 進 入 我 的 骨 頭 、 剋 制 了 我 ． 他 鋪 下 網 羅 、 絆 我 的 腳 、 使 我 轉 回 ． 他 使 我 終 日 淒 涼 發 昏 。
Ach của tội lỗi ta Ngài buộc tay vào, Cả bó chất nặng cổ ta, Ngài đã bẻ gãy sức mạnh ta. Chúa đã phó ta trong tay chúng nó, mà ta không chống cự được!|我 罪 過 的 軛 、 是 他 手 所 綁 的 、 猶 如 軛 繩 縛 在 我 頸 項 上 ． 他 使 我 的 力 量 衰 敗 。 主 將 我 交 在 我 所 不 能 敵 擋 的 人 手 中 。
Chúa đã làm nên hư không lính chiến ở giữa ta. Ngài đã nhóm hội lớn nghịch cùng ta, đặng nghiền kẻ trai trẻ ta. Chúa đã giày đạp như trong bàn ép con gái đồng trinh của Giu-đa.|主 輕 棄 我 中 間 的 一 切 勇 士 、 招 聚 多 人 〔 原 文 作 大 會 〕 攻 擊 我 、 要 壓 碎 我 的 少 年 人 ． 主 將 猶 大 居 民 踹 下 、 像 在 酒 醡 中 一 樣 。
Vậy nên ta khóc lóc; mắt ta tuôn nước mắt; Vì kẻ yên ủi làm tỉnh hồn ta thì đã xa ta. Con cái ta bị đơn chiếc, vì kẻ thù đã thắng trận.|我 因 這 些 事 哭 泣 ． 我 眼 淚 汪 汪 ． 因 為 那 當 安 慰 我 、 救 我 性 命 的 、 離 我 甚 遠 ． 我 的 兒 女 孤 苦 、 因 為 仇 敵 得 了 勝 。
Si-ôn giơ tay, chẳng ai yên ủi nó; Đức Giê-hô-va đã truyền về Gia-cốp: những kẻ chung quanh nó nghịch cùng nó. Giê-ru-sa-lem ở giữa chúng nó như một sự ô uế.|錫 安 舉 手 、 無 人 安 慰 ． 耶 和 華 論 雅 各 已 經 出 令 、 使 四 圍 的 人 作 他 仇 敵 ． 耶 路 撒 冷 在 他 們 中 間 、 像 不 潔 之 物 。
Đức Giê-hô-va là công bình, vì ta đã bạn nghịch cùng mạng Ngài. Hỡi các dân, xin hãy nghe hết thảy, hãy xem sự buồn bực ta! Gái đồng trinh và trai trẻ ta đã đi làm phu tù.|耶 和 華 是 公 義 的 ． 他 這 樣 待 我 、 是 因 我 違 背 他 的 命 令 。 眾 民 哪 、 請 聽 我 的 話 、 看 我 的 痛 苦 、 我 的 處 女 和 少 年 人 、 都 被 擄 去 。
Ta đã kêu gọi những kẻ yêu mến ta, nhưng họ lừa dối ta. Các thầy tế lễ và trưởng lão đã tắt hơi trong thành, Khi họ tim đồ ăn để tươi tỉnh linh hồn mình.|我 招 呼 我 所 親 愛 的 、 他 們 卻 愚 弄 我 ． 我 的 祭 司 和 長 老 、 正 尋 求 食 物 救 性 命 的 時 候 、 就 在 城 中 絕 氣 。
Hỡi Đức Giê-hô-va, xin đoái xem, vì tôi gặp hoạn nạn; lòng tôi bối rối; Trái tim tôi chuyển động, vì tôi bạn nghịch lắm lắm! Ở ngoài có gươm dao làm cho mất, trong nhà có sự tử vong.|耶 和 華 阿 、 求 你 觀 看 、 因 為 我 在 急 難 中 ． 我 心 腸 擾 亂 ． 我 心 在 我 裡 面 翻 轉 ． 因 我 大 大 悖 逆 ． 在 外 刀 劍 使 人 喪 子 、 在 家 猶 如 死 亡 。
Người ta nghe tiếng tôi than thở, chẳng ai hề yên ủi. Mọi kẻ thù nghe tin tôi bị nạn, biết Ngài đã làm thì mừng rỡ. Ngày Ngài đã rao, Ngài sẽ khiến đến! chúng nó sẽ giống như tôi!|聽 見 我 歎 息 的 有 人 ． 安 慰 我 的 卻 無 人 ． 我 的 仇 敵 、 都 聽 見 我 所 遭 的 患 難 ． 因 你 作 這 事 他 們 都 喜 樂 。 你 必 使 你 報 告 的 日 子 來 到 、 他 們 就 像 我 一 樣 。
Nguyền cho mọi tội chúng nó bày ra trước mặt Ngài! Xin đãi chúng nó như đãi tôi bởi cứ mọi tội lỗi tôi; Vì tôi than thở nhiều, và lòng tôi mòn mỏi.|願 他 們 的 惡 行 、 都 呈 在 你 面 前 ． 你 怎 樣 因 我 的 一 切 罪 過 待 我 、 求 你 照 樣 待 他 們 ． 因 我 歎 息 甚 多 、 心 中 發 昏 。

					Ai Ca 2				|
						耶利米哀歌 2					
Sao Chúa đã nổi giận, vầy mây che khuất con gái Si-ôn? Ngài đã ném sự đẹp đẽ Y-sơ-ra-ên từ trên trời xuống đất. Trong ngày thạnh nộ, Ngài chẳng nhớ đến bệ chơn mình.|主 何 竟 發 怒 、 使 黑 雲 遮 蔽 錫 安 城 ． 他 將 以 色 列 的 華 美 、 從 天 扔 在 地 上 、 在 他 發 怒 的 日 子 、 並 不 記 念 自 己 的 腳 凳 。
Chúa đã nuốt đi, chẳng thương xót, hết thảy chỗ ở của Gia-cốp. Ngài nhơn giận đã đổ đồn lũy con gái Giu-đa; Ngài đã xô cho đổ xuống đất, làm nhục nước và quan trưởng trong nước.|主 吞 滅 雅 各 一 切 的 住 處 、 並 不 顧 惜 、 他 發 怒 傾 覆 猶 大 民 的 保 障 、 使 這 保 障 坍 倒 在 地 ． 他 辱 沒 這 國 、 和 其 中 的 首 領 。
Trong cơn nóng giận, Ngài chặt hết sừng của Y-sơ-ra-ên. Ngài đã rút tay hữu lại từ trước mặt kẻ nghịch thù. Ngài đã đốt cháy Gia-cốp như lửa hừng thiêu nuốt cả tư bề.|他 發 烈 怒 、 把 以 色 列 的 角 、 全 然 砍 斷 、 在 仇 敵 面 前 收 回 右 手 ． 他 像 火 燄 四 圍 吞 滅 、 將 雅 各 燒 燬 。
Ngài giương cung ra như kẻ thù; giơ tay hữu lên, đứng như kẻ nghịch. Ngài đã giết hết, những kẻ làm vui mắt. Trong trại con gái Si-ôn, Ngài đã đổ giận ra như lửa.|他 張 弓 、 好 像 仇 敵 ． 他 站 著 舉 起 右 手 、 如 同 敵 人 、 將 悅 人 眼 目 的 、 盡 行 殺 戮 ． 在 錫 安 百 姓 的 帳 棚 上 、 倒 出 他 的 忿 怒 像 火 一 樣 。
Chúa đã trở nên như kẻ nghịch đã nuốt Y-sơ-ra-ên; Nuốt cả cung đền, phá tan đồn lũy; Làm cho con gái Giu-đa thêm tang chế thảm thương.|主 如 仇 敵 吞 滅 以 色 列 、 和 錫 安 的 一 切 宮 殿 、 拆 毀 百 姓 的 保 障 、 在 猶 大 民 中 、 加 增 悲 傷 哭 號 。
Ngài đã cất nhà tạm mình đi cách mạnh bạo như thuộc về vườn; lại đã hủy nơi hội họp Ngài. Tại Si-ôn, Đức Giê-hô-va đã khiến ngày hội trọng thể cùng Sa-bát bị quên đi; Trong cơn nóng giận, Ngài khinh dể vua và thầy tế lễ.|他 強 取 自 己 的 帳 幕 、 好 像 是 園 中 的 窩 棚 、 毀 壞 他 的 聚 會 之 處 、 耶 和 華 使 聖 節 和 安 息 日 、 在 錫 安 都 被 忘 記 、 又 在 怒 氣 的 憤 恨 中 、 藐 視 君 王 和 祭 司 。
Đức Giê-hô-va đã bỏ bàn thờ, lại gớm nơi thánh; Ngài đã phó thành quách cung điện Si-ôn vào trong tay quân nghịch. Chúng nó làm om sòm trong nhà Đức Giê-hô-va như trong ngày hội trọng thể.|耶 和 華 丟 棄 自 己 的 祭 壇 、 憎 惡 自 己 的 聖 所 、 將 宮 殿 的 牆 垣 交 付 仇 敵 。 他 們 在 耶 和 華 的 殿 中 喧 嚷 、 像 在 聖 會 之 日 一 樣 。
Đức Giê-hô-va đã định phá hủy tường thành của con gái Si-ôn; Ngài đã giăng dây mực, chẳng ngừng tay về sự phá diệt; Ngài làm cho lũy và tường thảm sầu hao mòn cùng nhau.|耶 和 華 定 意 拆 毀 錫 安 的 城 牆 ． 他 拉 了 準 繩 、 不 將 手 收 回 、 定 要 毀 滅 ． 他 使 外 郭 和 城 牆 都 悲 哀 、 一 同 衰 敗 。
Các cửa nó sụp trong đất; Ngài đã phá và bẻ các then chốt. Vua và quan trưởng nó ở giữa các nước là nơi chẳng có pháp luật! Chính mình các tiên tri chẳng tìm được từ Đức Giê-hô-va sự hiện thấy chi.|錫 安 的 門 、 都 陷 入 地 內 ． 主 將 他 的 門 閂 毀 壞 、 折 斷 ． 他 的 君 王 和 首 領 落 在 沒 有 律 法 的 列 國 中 ． 他 的 先 知 不 得 見 耶 和 華 的 異 象 。
Các kẻ già cả gái Si-ôn nín lặng ngồi dưới đất; Đầu đổ tro bụi, mình mặc bao gai. Các gái đồng trinh Giê-ru-sa-lem gục đầu đến đất.|錫 安 城 的 長 老 坐 在 地 上 默 默 無 聲 ． 他 們 揚 起 塵 土 、 落 在 頭 上 、 腰 束 麻 布 ． 耶 路 撒 冷 的 處 女 、 垂 頭 至 地 。
Mắt ta hao mòn vì chảy nước mắt, lòng ta bối rối; Gan ta đổ trên đất, vì sự hủy diệt con gái dân ta. Vì con trẻ và các con đương bú, ngất đi nơi các đường phố trong thành.|我 眼 中 流 淚 、 以 致 失 明 ． 我 的 心 腸 擾 亂 、 肝 膽 塗 地 ． 都 因 我 眾 民 遭 毀 滅 、 又 因 孩 童 和 喫 奶 的 在 城 內 街 上 發 昏 ．
Chúng nó nói cùng mẹ mình rằng: tìm thóc và rượu ở đâu? Khi nhất đi như kẻ bị thương, nơi các đường phố trong thành; Và khi chúng nó tắt hơi trên lòng mẹ mình.|那 時 、 他 們 在 城 內 街 上 發 昏 、 好 像 受 傷 的 、 在 母 親 的 懷 裡 、 將 要 喪 命 、 對 母 親 說 、 穀 酒 在 那 裡 呢 。
Ta làm chứng gì cho ngươi? Hỡi gái Giê-ru-sa-lem, ta kể thí dụ chi? Ta lấy gì sánh cùng ngươi đặng yên ủi ngươi, hỡi con gái đồng trinh Si-ôn? Sự phá hại ngươi to như biển: ai sửa sang lại được?|耶 路 撒 冷 的 民 哪 、 我 可 用 甚 麼 向 你 證 明 呢 ． 我 可 用 甚 麼 與 你 相 比 呢 ． 錫 安 的 民 哪 、 我 可 拿 甚 麼 和 你 比 較 、 好 安 慰 你 呢 ． 因 為 你 的 裂 口 大 如 海 、 誰 能 醫 治 你 呢 。
Các tiên tri ngươi xem cho ngươi những sự hiện thấy giả dối và ngu dại. Chẳng tỏ ra tội lỗi ngươi, đặng đem phu tù ngươi trở về. Chỉ thấy cho ngươi những lời tiên tri dối và sự làm cớ cho ngươi bị đuổi.|你 的 先 知 為 你 見 虛 假 和 愚 昧 的 異 象 、 並 沒 有 顯 露 你 的 罪 孽 、 使 你 被 擄 的 歸 回 ． 卻 為 你 見 虛 假 的 默 示 、 和 使 你 被 趕 出 本 境 的 緣 故 。
Những người qua đường thấy ngươi thì vỗ tay; Xỉ báng lắc đầu vì thấy gái Giê-ru-sa-lem, Nói rằng: Có phải nầy là thành mà người ta gọi là sự đẹp đẽ trọn vẹn, sự vui mừng của cả đất chăng?|凡 過 路 的 、 都 向 你 拍 掌 ． 他 們 向 耶 路 撒 冷 城 、 嗤 笑 搖 頭 、 說 、 難 道 人 所 稱 為 全 美 的 ． 稱 為 全 地 所 喜 悅 的 、 就 是 這 城 麼 。
Mọi kẻ thù nghịch ngươi hả miệng rộng nghịch cùng ngươi, Xỉ báng, nghiến răng, rằng: Chúng ta đã nuốt nó! Nầy chắc là ngày chúng ta trông đợi, chúng ta đã tìm được, đã thấy rồi!|你 的 仇 敵 、 都 向 你 大 大 張 口 ． 他 們 嗤 笑 、 又 切 齒 、 說 、 我 們 吞 滅 他 、 這 真 是 我 們 所 盼 望 的 日 子 臨 到 了 ． 我 們 親 眼 看 見 了 。
