
					Ê-xê-ki-ên 1				|
						以西結書 1					
Năm thứ ba mươi, ngày mồng năm tháng tư, khi ta đương ở giữa phu tù, trước bờ sông Kê-ba, các từng trời mở ra, và ta xem những sự hiện thấy của Đức Chúa Trời.|當 三 十 年 四 月 初 五 日 、 以 西 結 〔 原 文 作 我 〕 在 迦 巴 魯 河 邊 、 被 擄 的 人 中 、 天 就 開 了 、 得 見 　 神 的 異 象 。
Ngày mồng năm tháng ấy, bấy giờ là năm thứ năm sau khi vua Giê-hô-gia-kin bị bắt làm phu tù,|正 是 約 雅 斤 王 被 擄 去 第 五 年 四 月 初 五 日 、
lời của Đức Giê-hô-va được phán riêng cho thầy tế lễ Ê-xê-chi-ên, con trai Bu-xi, tại trong đất người Canh-đê, trên bờ sông Kê-ba. Ay là tại đó mà tay Đức Giê-hô-va đặt trên người.|在 迦 勒 底 人 之 地 、 迦 巴 魯 河 邊 、 耶 和 華 的 話 特 特 臨 到 布 西 的 兒 子 祭 司 以 西 結 ． 耶 和 華 的 靈 〔 原 文 作 手 〕 降 在 他 身 上 。
Nầy, ta thấy có luồng gió bão đến từ phương bắc, một đám mây lớn bọc lửa giãi sáng khắp tư bề; từ giữa nó, thấy như loài kim bóng nhoáng ra từ chính giữa lửa.|我 觀 看 、 見 狂 風 從 北 方 颳 來 、 隨 著 有 一 朵 包 括 閃 爍 火 的 大 雲 、 周 圍 有 光 輝 、 從 其 中 的 火 內 發 出 好 像 光 耀 的 精 金 。
Từ giữa nó, thấy giống như bốn vật sống, hình trạng như vầy: bộ giống người,|又 從 其 中 、 顯 出 四 個 活 物 的 形 像 來 、 他 們 的 形 狀 是 這 樣 、 有 人 的 形 像 。
mỗi con có bốn mặt và bốn cánh.|各 有 四 個 臉 面 、 四 個 翅 膀 。
Chơn nó thẳng, bàn chơn như bàn chơn bò con đực; sáng ngời như đồng bóng nhoáng.|他 們 的 腿 是 直 的 、 腳 掌 好 像 牛 犢 之 蹄 、 都 燦 爛 如 光 明 的 銅 。
Dưới những cánh nó, bốn bên đều có tay người; bốn con có mặt và có cánh mình như sau nầy:|在 四 面 的 翅 膀 以 下 有 人 的 手 ． 這 四 個 活 物 的 臉 和 翅 膀 、 乃 是 這 樣 ．
cánh tiếp giáp nhau khi đi, không xây lại, mỗi con cứ đi thẳng tới.|翅 膀 彼 此 相 接 、 行 走 並 不 轉 身 、 俱 各 直 往 前 行 。
Còn như hình mặt nó, thì bốn con đều có mặt người; bốn con đều có mặt sư tử ở bên hữu; bốn con đều có mặt bò ở bên tả; và bốn con đều có mặt chim ưng.|至 於 臉 的 形 像 、 前 面 各 有 人 的 臉 、 右 面 各 有 獅 子 的 臉 、 左 面 各 有 牛 的 臉 、 後 面 各 有 鷹 的 臉 。
Những mặt và cánh phân rẽ ra bởi trên cao; mỗi con có hai cánh giáp với nhau, và có hai cánh che thân mình.|各 展 開 上 邊 的 兩 個 翅 膀 相 接 、 各 以 下 邊 的 兩 個 翅 膀 遮 體 。
Mỗi con đi thẳng tới: thần khiến đi đâu thì đi đó, không xây mình lại trong khi đi.|他 們 俱 各 直 往 前 行 、 靈 往 那 裡 去 、 他 們 就 往 那 裡 去 、 行 走 並 不 轉 身 。
Hình trạng của những vật sống ấy giống như hình trạng than đỏ và đuốc lửa; lửa lên xuống giữa các vật sống ấy, lửa nhoáng sáng và có chớp từ nó phát ra.|至 於 四 活 物 的 形 像 、 就 如 燒 著 火 炭 的 形 狀 、 又 如 火 把 的 形 狀 ． 火 在 四 活 物 中 間 上 去 下 來 、 這 火 有 光 輝 、 從 火 中 發 出 閃 電 。
Các vật sống ấy chạy đi và trở lại như hình trạng chớp nhoáng.|這 活 物 往 來 奔 走 、 好 像 電 光 一 閃 。
Vả, đang khi ta ngắm xem các vật sống ấy, nầy, trên đất có một cái bánh xe ở kề bên các vật sống ấy, mỗi một trong bốn mặt đều có một bánh xe.|我 正 觀 看 活 物 的 時 候 、 見 活 物 的 臉 旁 、 各 有 一 輪 在 地 上 。
Hình và kiểu những bánh xe ấy giống như bích ngọc; hết thảy bốn bánh đều giống nhau; hình và kiểu như là bánh xe trong bánh xe.|輪 的 形 狀 和 顏 色 、 〔 原 文 作 作 法 〕 好 像 水 蒼 玉 ． 四 輪 都 是 一 個 樣 式 、 形 狀 和 作 法 、 好 像 輪 中 套 輪 。
Khi đi tới, thì đều đi bốn phía mình: khi đi không phải xây lại.|輪 行 走 的 時 候 、 向 四 方 都 能 直 行 、 並 不 掉 轉 。
Vòng bánh xe cao và dễ sợ; và vòng bánh xe của bốn con đều đầy những mắt.|至 於 輪 輞 、 高 而 可 畏 ． 四 個 輪 輞 周 圍 滿 有 眼 睛 。
