
					Ða-ni-ên 1				|
						但以理書 1					
Năm thứ ba về đời Giê-hô gia-kim, vua Giu-đa, thì Nê-bu-cát-nết-sa, vua Ba-by-lôn, đến thành Giê-ru-sa-lem và vây lấy.|猶 大 王 約 雅 敬 在 位 第 三 年 、 巴 比 倫 王 尼 布 甲 尼 撒 來 到 耶 路 撒 冷 、 將 城 圍 困 。
Chúa phó Giê-hô-gia-kim vua Giu-đa, và một phần khí mạnh của nhà Đức Chúa Trời vào tay người. Nê-bu-cát-nết-sa đem khí mạnh ấy về đất Si-nê -a, vào nhà của thần mình, và để trong kho của thần mình.|主 將 猶 大 王 約 雅 敬 、 並 　 神 殿 中 器 皿 的 幾 分 交 付 他 手 、 他 就 把 這 器 皿 帶 到 示 拿 地 、 收 入 他 神 的 廟 裡 、 放 在 他 神 的 庫 中 。
Vua truyền cho At-bê-na, là người làm đầu các hoạn quan mình, lấy trong con cái Y-sơ-ra-ên, trong dòng vua, và trong hàng quan sang, mà đem đến|王 吩 咐 太 監 長 亞 施 毘 拿 、 從 以 色 列 人 的 宗 室 和 貴 冑 中 、 帶 進 幾 個 人 來 、
mấy kẻ trai trẻ không có tật nguyền, mặt mày xinh tốt, tập mọi sự khôn ngoan, biết cách trí, đủ sự thông hiểu khoa học, có thể đứng chầu trong cung vua, và dạy cho học thức và tiếng của người Canh-đê.|就 是 年 少 沒 有 殘 疾 、 相 貌 俊 美 、 通 達 各 樣 學 問 、 知 識 聰 明 俱 備 、 足 能 侍 立 在 王 宮 裡 的 、 要 教 他 們 迦 勒 底 的 文 字 言 語 。
Vua định mỗi ngày ban cho họ một phần đồ ngon vua ăn và rượu vua uống, hầu cho khi đã nuôi họ như vậy ba năm rồi, thì họ sẽ đứng chầu trước mặt vua.|王 派 定 將 自 己 所 用 的 膳 、 和 所 飲 的 酒 、 每 日 賜 他 們 一 分 、 養 他 們 三 年 ． 滿 了 三 年 、 好 叫 他 們 在 王 面 前 侍 立 。
Trong bọn đó có Đa-ni-ên, Ha-na-nia, Mi-sa-ên và A-xa-ria là thuộc về con cái Giu-đa.|他 們 中 間 有 猶 大 族 的 人 、 但 以 理 、 哈 拿 尼 雅 、 米 沙 利 、 亞 撒 利 雅 ．
Người làm đầu hoạn quan đặt tên cho họ: Đa-ni-ên tên Bên-tơ-xát-sa; cho Ha-na-nia tên Sa-đơ-rắc; cho Mi-sa-ên tên Mê-sác; và cho A-xa-ria tên A-bết-Nê-gô.|太 監 長 給 他 們 起 名 、 稱 但 以 理 為 伯 提 沙 撒 、 稱 哈 拿 尼 雅 為 沙 得 拉 、 稱 米 沙 利 為 米 煞 、 稱 亞 撒 利 雅 為 亞 伯 尼 歌 。
Vả, Đa-ni-ên quyết định trong lòng rằng không chịu ô uế bởi đồ ngon vua ăn và rượu vua uống, nên cầu xin người làm đầu hoạn quan để đừng bắt mình phải tự làm ô uế.|但 以 理 卻 立 志 、 不 以 王 的 膳 、 和 王 所 飲 的 酒 、 玷 污 自 己 、 所 以 求 太 監 長 容 他 不 玷 污 自 己 。
Đức Chúa Trời khiến Đa-ni-ên được ơn và thương xót trước mặt người làm đầu hoạn quan.|　 神 使 但 以 理 在 太 監 長 眼 前 蒙 恩 惠 、 受 憐 憫 ．
Người làm đầu hoạn quan bảo Đa-ni-ên rằng: Ta sợ vua, là chủ ta, đã chỉ định đồ ăn đồ uống của các ngươi. Lẽ nào vua sẽ thấy mặt mày các ngươi tiều tụy hơn những kẻ trai trẻ khác đồng tuổi với các ngươi, và các ngươi nộp đầu ta cho vua sao?|太 監 長 對 但 以 理 說 、 我 懼 怕 我 主 我 王 、 他 巳 經 派 定 你 們 的 飲 食 ． 倘 若 他 見 你 們 的 面 貌 、 比 你 們 同 歲 的 少 年 人 肌 瘦 、 怎 麼 好 呢 、 這 樣 、 你 們 就 使 我 的 頭 在 王 那 裡 難 保 。
Đa-ni-ên bèn nói với Ham-mên-xa mà người làm đầu hoạn quan đã khiến coi sóc Đa-ni-ên, Ha-na-nia, Mi-sa-ên và A-xa-ria, rằng:|但 以 理 對 太 監 長 所 派 管 理 但 以 理 、 哈 拿 尼 雅 、 米 沙 利 、 亞 撒 利 雅 的 委 辦 說 、
Tôi xin ông hãy thử những kẻ tôi tớ ông trong mười ngày, cho chúng tôi chỉ ăn rau uống nước.|求 你 試 試 僕 人 們 十 天 、 給 我 們 素 菜 喫 、 白 水 喝 、
