
					Hô-sê-a 1				|
						何西阿書 1					
Có lời Đức Giê-hô-va phán cùng Ô-sê, con trai Bê-ê-ri, về đời ô-xia, Giô-tham, A-cha, Ê-xê-chia là các vua của Giu-đa, và về đời Giê-rô-bô-am, con trai Giô-ách, vua Y-sơ-ra-ên.|當 烏 西 雅 、 約 坦 、 亞 哈 斯 、 希 西 家 、 作 猶 大 王 、 約 阿 施 的 兒 子 耶 羅 波 安 作 以 色 列 王 的 時 候 、 耶 和 華 的 話 臨 到 備 利 的 兒 子 何 西 阿 。
Khi Đức Giê-hô-va bắt đầu phán cùng Ô-sê, Đức Giê-hô-va bảo người rằng: Hãy đi, lấy một người vợ gian dâm, và con cái ngoại tình; vì đất nầy chỉ phạm sự tà dâm, lìa bỏ Đức Giê-hô-va.|耶 和 華 初 次 與 何 西 阿 說 話 、 對 他 說 、 你 去 娶 淫 婦 為 妻 、 也 收 那 從 淫 亂 所 生 的 兒 女 、 因 為 這 地 大 行 淫 亂 、 離 棄 耶 和 華 。
Vậy Ô-sê đi cưới Gô-me, con gái của Đíp-la-im. Nàng chịu thai và sanh cho người một trai.|於 是 何 西 阿 去 娶 了 滴 拉 音 的 女 兒 歌 篾 ． 這 婦 人 懷 孕 、 給 他 生 了 一 個 兒 子 。
Bấy giờ Đức Giê-hô-va phán cùng người rằng: Hãy đặt tên nó là Gít-rê-ên, vì còn ít lâu nữa, ta sẽ báo thù cho huyết của Gít-rê-ên nơi nhà Giê-hu, và sẽ dứt nước của nhà Y-sơ-ra-ên.|耶 和 華 對 何 西 阿 說 、 給 他 起 名 叫 耶 斯 列 、 因 為 再 過 片 時 、 我 必 討 耶 戶 家 在 耶 斯 列 殺 人 流 血 的 罪 、 也 必 使 以 色 列 家 的 國 滅 絕 。
Trong ngày đó, ta sẽ bẻ cung của Y-sơ-ra-ên trong trũng Gít-rê-ên.|到 那 日 、 我 必 在 耶 斯 列 平 原 折 斷 以 色 列 的 弓 。
Nàng lại chịu thai và sanh một gái, thì Đức Giê-hô-va phán cùng Ô-sê rằng: Hãy đặt tên nó là Lô-Ru-ha-ma; vì ta sẽ không thương xót nhà Y-sơ-ra-ên nữa.|歌 篾 又 懷 孕 生 了 一 個 女 兒 、 耶 和 華 對 何 西 阿 說 、 給 他 起 名 叫 羅 路 哈 瑪 、 〔 就 是 不 蒙 憐 憫 的 意 思 〕 因 為 我 必 不 再 憐 憫 以 色 列 家 、 決 不 赦 免 他 們 ．
Nhưng ta sẽ thương xót nhà Giu-đa; sẽ giải cứu chúng nó bởi Giê-hô-va Đức Chúa Trời của chúng nó; và ta sẽ không cứu chúng nó bởi cung, hoặc bởi gươm, hoặc bởi chiến trận, hoặc bởi ngựa, hoặc bởi người cưỡi ngựa.|我 卻 要 憐 憫 猶 大 家 、 使 他 們 靠 耶 和 華 他 們 的 　 神 得 救 、 不 使 他 們 靠 弓 、 刀 、 爭 戰 、 馬 匹 、 與 馬 兵 得 救 。
Sau khi Lô-Ru-ha-ma thôi bú, nàng chịu thai và sanh một trai.|歌 篾 給 羅 路 哈 瑪 斷 奶 以 後 、 又 懷 孕 生 了 一 個 兒 子 。
Đức Giê-hô-va phán rằng: Hãy đặt tên nó là Lô-Am-mi; vì các ngươi chẳng phải là dân ta nữa, và ta sẽ không làm Đức Chúa Trời các ngươi nữa.|耶 和 華 說 、 給 他 起 名 叫 羅 阿 米 、 〔 就 是 非 我 民 的 意 思 〕 因 為 你 們 不 作 我 的 子 民 、 我 也 不 作 你 們 的 　 神 。
Dầu vậy, số con cái Y-sơ-ra-ên sẽ giống như cát bờ biển, không thể lường, không thể đếm; và chính nơi mà đã bảo chúng nó rằng: Các ngươi chẳng phải là dân ta, sẽ lại bảo rằng: Các ngươi là con trai của Đức Chúa Trời hằng sống.|然 而 以 色 列 的 人 數 必 如 海 沙 、 不 可 量 、 不 可 數 ． 從 前 在 甚 麼 地 方 對 他 們 說 、 你 們 不 是 我 的 子 民 、 將 來 在 那 裡 必 對 他 們 說 、 你 們 是 永 生 　 神 的 兒 子 。
Con cái Giu-đa và con cái Y-sơ-ra-ên sẽ hiệp nhau lại; sẽ lập cho mình một quan trưởng chung, và sẽ trở lên từ đất nầy, vì ngày của Gít-rê-ên sẽ là ngày lớn.|猶 大 人 和 以 色 列 人 必 一 同 聚 集 、 為 自 己 立 一 個 首 領 、 從 這 地 上 去 、 〔 或 作 從 被 擄 之 地 上 來 〕 因 為 耶 斯 列 的 日 子 必 為 大 日 。

					Hô-sê-a 2				|
						何西阿書 2					
Hãy xưng anh em các ngươi là Am-mi; và chị em các ngươi là Ru-ha-ma.|你 們 要 稱 你 們 的 弟 兄 為 阿 米 、 〔 就 是 我 民 的 意 思 〕 稱 你 們 的 姊 妹 為 路 哈 瑪 。 〔 就 是 蒙 憐 憫 的 意 思 〕
Hãy kiện mẹ các ngươi, hãy kiện đi; vì nó chẳng phải là vợ ta, còn ta chẳng phải là chồng nó! Nó hãy cất bỏ sự dâm loạn khỏi trước mặt nó, và sự ngoại tình khỏi giữa vú nó đi;|你 們 要 與 你 們 的 母 親 大 大 爭 辯 、 ． 因 為 他 不 是 我 的 妻 子 、 我 也 不 是 他 的 丈 夫 ． 叫 他 除 掉 臉 上 的 淫 像 、 和 胸 間 的 淫 態 ．
kẻo ta sẽ lột trần nó, để nó như ngày mới sanh ra, và làm cho nó ra như đồng vắng, như đất khô, khiến nó chết khát.|免 得 我 剝 他 的 衣 服 、 使 他 赤 體 與 纔 生 的 時 候 一 樣 、 使 他 如 曠 野 、 如 乾 旱 之 地 、 因 渴 而 死 。
Ta sẽ không thương xót con cái nó, vì ấy là con cái của sự gian dâm.|我 必 不 憐 憫 他 的 兒 女 、 因 為 他 們 是 從 淫 亂 而 生 的 。
Thật vậy, mẹ chúng nó làm sự gian dâm, kẻ mang thai chúng nó đã làm sự ô nhục. Vì nó rằng: Ta sẽ đi theo các tình nhơn ta, là kẻ ban bánh, nước, lông chiên, vải, dầu và đồ uống cho ta.|他 們 的 母 親 行 了 淫 亂 、 懷 他 們 的 母 作 了 可 羞 恥 的 事 、 因 為 他 說 、 我 要 隨 從 所 愛 的 ． 我 的 餅 、 水 、 羊 毛 、 麻 、 油 、 酒 都 是 他 們 給 的 。
Vậy nên, nầy, ta sẽ lấy gai gốc rấp đường ngươi; sẽ xây một bức tường nghịch cùng nó, và nó không thể tìm lối mình được nữa.|因 此 、 我 必 用 荊 棘 堵 塞 他 的 道 、 築 牆 擋 住 他 、 使 他 找 不 著 路 。
Nó sẽ đuổi theo tình nhơn mình mà không kịp, tìm mà không gặp đâu. Đoạn nó sẽ rằng: Ta sẽ trở về cùng chồng thứ nhứt của ta; vì lúc đó ta sung sướng hơn bây giờ.|他 必 追 隨 所 愛 的 、 卻 追 不 上 、 他 必 尋 找 他 們 、 卻 尋 不 見 、 便 說 、 我 要 歸 回 前 夫 、 因 我 那 時 的 光 景 比 如 今 還 好 。
Thật nó chưa từng nhận biết rằng chính ta là Đấng đã ban lúa mì, rượu mới và dầu cho nó, đã thêm nhiều bạc và vang mà chúng nó dùng cho Ba-anh.|他 不 知 道 是 我 給 他 五 榖 新 酒 、 和 油 、 又 加 增 他 的 金 銀 、 他 卻 以 此 供 奉 〔 或 作 製 造 〕 巴 力 。
Vậy nên ta sẽ lấy lại lúa mì ta trong kỳ nó và rượu mới ta trong mùa nó, ta sẽ cướp lại nhung và vải ta là đồ che sự trần truồng nó.|因 此 到 了 收 割 的 日 子 、 出 酒 的 時 候 、 我 必 將 我 的 五 榖 新 酒 收 回 、 也 必 將 他 應 當 遮 體 的 羊 毛 和 麻 、 奪 回 來 。
Ay vậy, ta sẽ to sự xấu xa nó ra trước mặt tình nhơn nó, và chẳng ai sẽ cứu nó được khỏi tay ta.|如 今 我 必 在 他 所 愛 的 眼 前 、 顯 露 他 的 醜 態 、 必 無 人 能 救 他 脫 離 我 的 手 。
Ta sẽ dứt cả sự vui của nó, những ngày lễ, ngày trăng mới, ngày Sa-bát và hết thảy những ngày lễ trọng thể của nó₫|我 也 必 使 他 的 宴 樂 、 節 期 、 月 朔 、 安 息 日 、 並 他 的 一 切 大 會 、 都 止 息 了 。
Ta sẽ phá những cây nho và cây vả nó, về các cây ấy nó nói rằng: Nầy là tiền công của các tình nhơn ta cho ta. Ta sẽ làm cho những cây ấy nên rừng, và các thú đồng sẽ ăn đi.|我 也 必 毀 壞 他 的 葡 萄 樹 和 無 花 果 樹 、 就 是 他 說 、 這 是 我 所 愛 的 給 我 為 賞 賜 的 、 我 必 使 這 些 樹 變 為 荒 林 、 為 田 野 的 走 獸 所 喫 。
Ta sẽ thăm phạt nó vì những ngày mà nó dâng hương cho các tượng Ba-anh, trang sức những hoa tai và đồ châu báu, nó đi theo tình nhơn mình, còn ta thì nó quên đi! Đức Giê-hô-va phán vậy.|我 必 追 討 他 素 日 給 諸 巴 力 燒 香 的 罪 、 那 時 他 佩 帶 耳 環 、 和 別 樣 妝 飾 、 隨 從 他 所 愛 的 、 卻 忘 記 我 日 ． 這 是 耶 和 華 說 的 。
Cho nên, nầy, ta sẽ dẫn dụ nó, dẫn nó vào đồng vắng, và lấy lời ngọt ngào nói cùng nó.|後 來 我 必 勸 導 他 、 領 他 到 曠 野 、 對 他 說 安 慰 的 話 ．
