
					Giô-ên 1				|
						約珥書 1					
Nầy là lời Đức Giê-hô-va phán cùng Giô-ên, con trai của Phê-thu-ên:|耶 和 華 的 話 臨 到 毘 土 珥 的 兒 子 約 珥 。
Hỡi kẻ già cả, hãy nghe điều nầy! Các ngươi hết thảy là dân cư trong đất hãy lắng tai! Há có sự gì như vậy đã xảy đến trong ngày các ngươi, hay là trong ngày tổ phụ các ngươi sao?|老 年 人 哪 、 當 聽 我 的 話 ． 國 中 的 居 民 哪 、 都 要 側 耳 而 聽 ． 在 你 們 的 日 子 、 或 你 們 列 祖 的 日 子 、 曾 有 這 樣 的 事 麼 。
Hãy kể chuyện nầy lại cho con cái các ngươi; con cái các ngươi kể cho con cái chúng nó, con cái chúng nó kể cho dòng dõi nối theo.|你 們 要 將 這 事 傳 與 子 、 子 傳 與 孫 、 孫 傳 與 後 代 。
Cái gì sâu keo còn để lại cào cào ăn; cái gì cào cào còn để lại, sâu lột vỏ ăn; cái gì sâu lột vỏ còn để lại, châu chấu ăn.|剪 蟲 剩 下 的 、 蝗 蟲 來 喫 ． 蝗 蟲 剩 下 的 、 蝻 子 來 喫 ． 蝻 子 剩 下 的 、 螞 蚱 來 喫 。
Hỡi kẻ say sưa, hãy thức dậy và khóc lóc! Hỡi các ngươi hết thảy là kẻ hay uống rượu, hãy than vãn vì cớ rượu ngọt đã bị chất khỏi miệng các ngươi!|酒 醉 的 人 哪 、 要 清 醒 哭 泣 ． 好 酒 的 人 哪 、 都 要 為 甜 酒 哀 號 ． 因 為 從 你 們 的 口 中 斷 絕 了 。
Vì một dân mạnh và vô số, đã lên nghịch cùng đất ta; răng nó là răng của sư tử, nó có răng hàm của sư tử cái.|有 一 隊 蝗 蟲 〔 原 文 是 民 〕 又 強 盛 、 又 無 數 、 侵 犯 我 的 地 ． 牠 的 牙 齒 如 獅 子 的 牙 齒 、 大 牙 如 母 獅 的 大 牙 。
Nó đã hủy phá cây nho ta và lột vỏ cây vả ta. Nó đã lột tiệt cây ấy và bỏ đi; nhánh nó đã trở nên trắng.|牠 毀 壞 我 的 葡 萄 樹 、 剝 了 我 無 花 果 樹 的 皮 、 剝 盡 而 丟 棄 、 使 枝 條 露 白 。
Ngươi khá than khóc như một người nữ đồng trinh mặc bao gai đặng khóc chồng mình thuở còn trẻ tuổi!|我 的 民 哪 、 你 當 哀 號 、 像 處 女 腰 束 麻 布 、 為 幼 年 的 丈 夫 哀 號 。
Của lễ chay và lễ quán đã cất khỏi nhà Đức Giê-hô-va; các thầy tế lễ hầu việc Đức Giê-hô-va đương ở trong sự tang chế.|素 祭 和 奠 祭 從 耶 和 華 的 殿 中 斷 絕 ． 事 奉 耶 和 華 的 祭 司 都 悲 哀 。
Đồng ruộng bị phá hoang, và đất đương sầu thảm; vì lúa mì bị hủy hại, dầu mới đã cạn, dầu đã hao tổn.|田 荒 涼 、 地 悲 哀 ． 因 為 五 穀 毀 壞 、 新 酒 乾 竭 、 油 也 缺 乏 。
Hỡi kẻ cày ruộng, hãy hổ thẹn; hỡi kẻ làm vườn nho hãy than khóc, vì cớ lúa mì và mạch nha, vì mùa ngoài đồng đã mất.|農 夫 阿 、 你 們 要 慚 愧 、 修 理 葡 萄 園 的 阿 、 你 們 要 哀 號 、 因 為 大 麥 小 麥 與 田 間 的 莊 稼 都 滅 絕 了 。
Cây nho khô héo, cây vả hao mòn; cây lựu cũng như cây chà là, cây tần, mọi cây cối ngoài đồng đều khô héo; sự vui vẻ đã khô héo đi khỏi con trai loài người!|葡 萄 樹 枯 乾 、 無 花 果 樹 衰 殘 。 石 榴 樹 、 棕 樹 、 蘋 果 樹 、 連 田 野 一 切 的 樹 木 也 都 枯 乾 ． 眾 人 的 喜 樂 盡 都 消 滅 。
