
					Lê-vi 1				|
						利未記 1					
Đức Giê-hô-va từ trong hội mạc gọi Môi-se mà phán rằng:|耶 和 華 從 會 幕 中 呼 叫 摩 西 、 對 他 說 、
Hãy nói cùng dân Y-sơ-ra-ên rằng: Khi người nào trong vòng các ngươi dâng của lễ cho Đức Giê-hô-va, thì phải dâng súc vật, hoặc bò, hoặc chiên.|你 曉 諭 以 色 列 人 說 、 你 們 中 間 若 有 人 獻 供 物 給 耶 和 華 、 要 從 牛 群 羊 群 中 、 獻 牲 畜 為 供 物 。
Nếu lễ vật của ngươi là của lễ thiêu bằng bò, thì phải dùng con đực không tì vít, dâng lên tại cửa hội mạc, trước mặt Đức Giê-hô-va, để được Ngài đẹp lòng nhậm lấy.|他 的 供 物 若 以 牛 為 燔 祭 、 就 要 在 會 幕 門 口 獻 一 隻 沒 有 殘 疾 的 公 牛 、 可 以 在 耶 和 華 面 前 蒙 悅 納 。
Ngươi sẽ nhận tay mình trên đầu con sinh, nó sẽ được nhậm thế cho, hầu chuộc tội cho người.|他 要 按 手 在 燔 祭 牲 的 頭 上 、 燔 祭 便 蒙 悅 納 、 為 他 贖 罪 。
Đoạn, người sẽ giết bò tơ trước mặt Đức Giê-hô-va, rồi các con trai A-rôn, tức những thầy tế lễ, sẽ dâng huyết lên, và rưới chung quanh trên bàn thờ tại nơi cửa hội mạc.|他 要 在 耶 和 華 面 前 宰 公 牛 、 亞 倫 子 孫 作 祭 司 的 、 要 奉 上 血 、 把 血 灑 在 會 幕 門 口 壇 的 周 圍 。
Kế đó, lột da con sinh, và sả thịt ra từng miếng.|那 人 要 剝 去 燔 祭 牲 的 皮 、 把 燔 祭 牲 切 成 塊 子 。
Các con trai thầy tế lễ A-rôn sẽ châm lửa trên bàn thờ, chất củi chụm lửa;|祭 司 亞 倫 的 子 孫 、 要 把 火 放 在 壇 上 、 把 柴 擺 在 火 上 。
rồi các con trai A-rôn, tức những thầy tế lễ sắp các miếng thịt, đầu và mỡ lên trên củi đã chụm lửa nơi bàn thờ.|亞 倫 子 孫 作 祭 司 的 、 要 把 肉 塊 和 頭 、 並 脂 油 、 擺 在 壇 上 火 的 柴 上 。
Người sẽ lấy nước rửa bộ lòng và giò, rồi thấy tế lễ đem hết mọi phần xông nơi bàn thờ; ấy là của lễ thiêu, tức một của lễ dùng lữa dâng lên, có mùi thơm cho Đức Giê-hô-va.|但 燔 祭 的 臟 腑 與 腿 、 要 用 水 洗 ． 祭 司 就 要 把 一 切 全 燒 在 壇 上 、 當 作 燔 祭 、 獻 與 耶 和 華 為 馨 香 的 火 祭 。
Nếu lễ vật người là của lễ thiêu bằng súc vật nhỏ, hoặc chiên hay dê, thì phải dâng một con đực không tì vít,|人 的 供 物 若 以 綿 羊 、 或 山 羊 為 燔 祭 、 就 要 獻 上 沒 有 殘 疾 的 公 羊 。
giết nó nơi hướng bắc của bàn thờ, trước mặt Đức Giê-hô-va; rồi các con trai A-rôn, tức những thầy tế lễ, sẽ rưới huyết chung quanh trên bàn thờ;|要 把 羊 宰 於 壇 的 北 邊 、 在 耶 和 華 面 前 ． 亞 倫 子 孫 作 祭 司 的 、 要 把 羊 血 灑 在 壇 的 周 圍 。
sả thịt từng miếng, để riêng đầu và mỡ ra; thầy tế lễ sẽ chất các phần đó trên củi đã chụm lửa nơi bàn thờ.|要 把 燔 祭 牲 切 成 塊 子 、 連 頭 和 脂 油 、 祭 司 就 要 擺 在 壇 上 火 的 柴 上 。
Người sẽ lấy nước rửa bộ lòng và giò; đoạn thầy tế lễ dâng và xông hết mọi phần trên bàn thờ; ấy là của lễ thiêu, tức một của lễ dùng lửa dâng lên, có mùi thơm cho Đức Giê-hô-va.|但 臟 腑 與 腿 、 要 用 水 洗 ． 祭 司 就 要 全 然 奉 獻 燒 在 壇 上 ． 這 是 燔 祭 、 是 獻 與 耶 和 華 為 馨 香 的 火 祭 。
